Speaker,Arabic (AR)
,...ﺍﻟﻈﻼﻡ ﺣﺎﻟﻚ، ﻭﻻ ﺷﻲﺀ ﻳُﺮﻯ، ......ﺇﻻ ﺃﻧّﻲ ﺃﺣﺴﺴﺖُ ﺑﻮﺟﻮﺩ ﺑﻴـﺎﺗﻮ ﺑﺠﻨﺒﻲ.
,......ﻟﺬﺍ، ﻧﺎﺩﻳﺘﻬﺎ.{n}...ﺍﻟﻜﻼﻡ، ﻳﻤﻜﻦ ﺗﺒﺎﺩﻟﻪ ﺳﻮﺍﺀ ﻛﻨﺎ ﺑﺸﺮًﺍ ﺃﻡ ﺳﺤﺮﺓ.
,......ﻟﺬﻟﻚ، ﺣﺘﻰ ﻓﻲ ﻋﺎﻟﻢٍ ﻧُﻔﻴﺖ ﻣﻨﻪ ﺍﻟﺴﺎﺣﺮﺍﺕ، ...ﻳﻨﺒﻐﻲ ﺃﻥ ﻳُﺴﻤﺢ ﻟﻨﺎ ﻋﻠﻰ ﺍﻷﻗﻞ ﺑﺎﻟﻜﻠﻤﺎﺕ...
Ushiromiya Battler,"""...............ﺑﻴـﺎﺗﻮ......"""
{f:5:Beatrice},"""......ﺃﺃﻧﺖ ﺑﺎﺗﻠﺮ؟... ...............ﻟﻘﺪ ﻧﺠﺤﺖُ. ......ﻫﺎ ﻗﺪ... ﻓﻌﻠﺘﻬﺎ."""
Ushiromiya Battler,"""...ﻧﻌﻢ. ......ﻟﻢ ﺃﺳﻤﻊ ﻛﻠﻤﺎﺗﻚ، .........ﻟﻜﻨّﻲ ﺭﺍﻗﺒﺘﻚِ، ...ﺣﺘﻰ ﺍﻟﻨﻬﺎﻳﺔ... ﻟﻘﺪ ﺭﺃﻳﺘﻚِ ﻭﺃﻧﺖِ ﺗﻘﻔﻴﻦ ﺑﻜﻞّ ﺟﺮﺃﺓٍ، ...ﻓﻲ ﻭﺟﻪ ﺗﻠﻚ ﺍﻟﺴﺎﺣﺮﺓ ﺍﻟﺸﺮﻳﺮﺓ..."""
{f:5:Beatrice},""".........ﺑﻬﺬﺍ، ...ﻟﻢ ﺃﻋﺪ ﺳﺎﺣﺮﺓً ﺑﻌﺪ ﺍﻵﻥ. ............ﻟﻜﻨﻨﻲ، ...ﺳﺄﻋﻮﺩ ﻣﺠﺪﺩًﺍ ﻛﺴﺎﺣﺮﺓ... ......ﻭ......ﻋﻨﺪﻣﺎ ﻳُﻄﻠﻖ ﻋﻠﻲَّ ﻣﻦ ﺟﺪﻳﺪ ﻟﻘﺐ ﺍﻟﺴﺎﺣﺮﺓ ﺍﻟﺬﻫﺒﻴﺔ، .........ﻭﺣﻴﻦ، ......ﻳُﻌﺘﺮﻑُ ﺑﻲ ﻛﺨﺼﻢٍ ﻟﻚ ﻓﻲ ﻫﺬﻩ ﺍﻟﻠﻌﺒﺔ، .........ﺳﺄﻋﻮﺩ ﻛﺴﺎﺣﺮﺓ......"""
Ushiromiya Battler,"""ﻛﻼ. .........ﺃﻧﺖِ...ﻓﻌﻼً ﺳﺎﺣﺮﺓ."""
{f:5:Beatrice},"""...............ﻫﺎﻩ......?"""
Ushiromiya Battler,"""...ﻟﻘﺪ ﺭﺃﻳﺘﻚِ ﺑﺄﻡ ﻋﻴﻨﻲّ. .........ﻋﻨﺪﻣﺎ ﻛﻨﺖِ ﺗﻮﺍﺟﻬﻴﻦ ﺗﻠﻚ ﺍﻟﺴﺎﺣﺮﺓ ﺍﻟﺸﺮﻳﺮﺓ، ......ﻭﺑﻮﺍﺳﻄﺔ ﺳﺤﺮﻙِ ﺍﻟﻤﺪﻫﺶ ﻛﺸﻔﺖِ ﻋﻦ ﻫﻴﺌﺘﻬﺎ ﺍﻟﺤﻘﻴﻘﻴﺔ. ...ﺭﺃﻳﺖ ﺫﻟﻚ ﺑﻌﻴﻨﻲ ﻗﻠﺒﻲ..."""
{f:5:Beatrice},"""ﺫ-ﺫﻟﻚ ﻟﻴﺲ ﺳﺤﺮًﺍ، ......ﺑﻞ ﻛﺎﻧﺖ ﺍﻟﺤﻘﻴﻘﺔ ﺍﻟﺤﻤـ-"""
Ushiromiya Battler,"""ﻛﻼ، ﺑﻞ ﻛﺎﻥ ﺳﺤﺮًﺍ. .........ﺃﻧﺖِ ﻓﻌﻼً.... ﺍﻟﺴﺎﺣﺮﺓ ﺍﻟﺬﻫﺒﻴﺔ. .........ﺣﺘﻰ ﻭﺇﻥ ﻧﻔﻴﺖِ ﺫﻟﻚ، .........ﻓﺄﻧﺎ ﺃﻋﺘﺮﻑ ﺑﻚ. ............ﺃﻧﺖِ ﻓﻌﻼً...ﺍﻟﺴﺎﺣﺮﺓ ﺍﻟﺬﻫﺒﻴﺔ."""
,.........ﻋﻨﺪﻣﺎ ﻧﻄﻖ ﺑﺎﺗﻠﺮ ﺑﺘﻠﻚ ﺍﻟﻜﻠﻤﺎﺕ...
,ﻓﺠﺄﺓً ﻣﻦ ﻭﺳﻂ ﺍﻟﻈﻼﻡ ﺍﻟﺤﺎﻟﻚ،
,...ﻇﻬﺮﺕ ﺑﺬﺭﺓ ﺫﻫﺒﻴﺔ ﺍﻟﻠﻮﻥ ﺑﺮّﺍﻗﺔً ﻭﻻﻣﻌﺔً.{n}...ﻭﻋﻠﻰ ﺍﻟﺮﻏﻢ ﻣﻦ ﺿﺂﻟﺔ ﺣﺠﻤﻬﺎ، ﺇﻻ ﺃﻥّ ﺑﺮﻳﻘﻬﺎ ﻛﺎﻥ ﺳﺎﻃﻊ ﺍﻟﻠﻮﻥ ﺫﻫﺒﻴًﺎ.
,ﻭﻫﻜﺬﺍ ﺃﺿﺎﺀﺕ ﻋﻠﻴﻬﻤﺎ ﻭﻫﻤّﺎ ﻳﺠﻠﺴﺎﻥ ﻭﻇﻬﺮﻳﻬﻤﺎ ﻳﻘﺎﺑﻼﻥ ﺑﻌﻀﻬﻤﺎ...
,ﻭﻫﻜﺬﺍ، ﺃﺩﺭﻙ ﻛﻼﻫﻤﺎ ﻭﺟﻮﺩ ﺍﻵﺧﺮ.
,...ﺃﻱّ ﺃﻥّ ﻭﺟﻮﺩﻫﻤﺎ ﻟﻢ ﻳﻘﺘﺼّﺮ ﻋﻠﻰ ﻭﻋﻴﻬﻤﺎ ﻓﺤﺴﺐ.
,......ﺑﻞ ﻷﻧﻬﻤﺎ ﻛﻴﺎﻧﺎﻥ ﺑﺠﺴﺪ.
,...ﺃﻭ ﺭﺑﻤﺎ، ﻣﻦ ﺍﻷﺩﻕ ﺍﻟﻘﻮﻝ، ...ﺃﻥ ﺟﺴﺪًﺍ ﻗﺪ ﻣُﻨﺢ ﻟﻬﻤﺎ.
,ﻋﻨﺪﻣﺎ ﻧﻈﺮ ﺑﺎﺗﻠﺮ ﻟﻨﻔﺴﻪ، ﻟﻢ ﻳﻜﻦ ﻳﺒﺪﻭ ﻣﻨﺪﻫﺸًﺎ.
,...ﺑﻌﻜﺲ ﺑﻴـﺎﺗﻮ، ﻓﻘﺪ ﺑﺪﺕ ﻣﺘﻔﺎﺟﺌﺔ ﻗﻠﻴﻼً ﺣﻴﻦ ﺭﺃﺕ ﺟﺴﺪﻫﺎ.
,......ﺭﻏﻢ ﺃﻥ ﺑﺎﺗﻠﺮ ﺭﺁﻫﺎ ﻛﻤﺎ ﻳﻌﺮﻓﻬﺎ ﺩﺍﺋﻤًﺎ، ......ﺇﻻ ﺃﻧﻬﺎ ﻇﻠّﺖ ﺗﺤﺪﻕ ﻓﻲ ﻧﻔﺴﻬﺎ ﺑﺪﻫﺸﺔ ﻟﻠﺤﻈﺎﺕ...
{f:5:Beatrice},""".........ﻣﺎ ﺍﻟﺬﻱ..................ﻳﺤﺪﺙ.........?"""
Ushiromiya Battler,"""ﺍﻧﺒﻌﺚ ﺿﻮﺀٌ ﻣﻦ ﺗﻠﻚ ﺍﻟﺒﺬﺭﺓ ...ﻭﺻﺎﺭ ﻳﺰﺩﺍﺩ ﻗﻮﺓً ﺗﺪﺭﻳﺠﻴًﺎ..."""
,ﺇﺯﺩﺍﺩ ﺿﻮﺀ ﺍﻟﺒﺬﺭﺓ ﻗﻮﺓً ﻟﻴﺴﻄﻊ ﻛﻨﻮﺭ ﺍﻟﺸﻤﺲ.
,ﻭﺑﻬﺪﻭﺀ ﺍﻗﺘﺮﺑﺖ ﺗﻠﻚ ﺍﻟﺒﺬﺭﺓ ﻣﻦ ﺻﺪﺭ ﺑﻴـﺎﺗﻮ،
,ﺛﻢ ﻭﻟّﺠﺖ ﺩﺍﺧﻠﻪ...
,......ﻭﺑﺎﻟﺘﺎﻟﻲ ﺗﺤﻮّﻝ ﺍﻟﻈﻼﻡ ﺍﻟﺤﺎﻟﻚ ﺇﻟﻰ ﺳﻤﺎﺀ ﺯﺭﻗﺎﺀ ﺯﺍﻫﻴﺔ، ﻭﻣﻦ ﺗﺤﺘﻤﻬﺎ ﺍﻣﺘﺪّ ﻣﺤﻴﻂٌ ﺃﺯﺭﻕٌ ﻗﺎﻥٍ.
,ﺛﻢ ﺧُﻠﻘﺖ ﺟﺰﻳﺮﺓ، ﻭﻧﺒﺘﺖ ﺃﺷﺠﺎﺭٌ ﻟﺘُﺸﻜّﻞ ﻏﺎﺑﺔً، ﻭﺃﺣﺎﻃﺖ ﺑﻨﺎ ﺟﺪﺭﺍﻥٌ ﻣﻦ ﺣﻮﻟﻨّﺎ، ﻭﺳﻘﻒٌ ﻣﻦ ﻓﻮﻗﻨﺎ.
,ﻭﺗﺰﻳّﻦ ﺍﻟﻤﻜﺎﻥ ﺷﻴﺌًﺎ ﻓﺸﻴﺌًﺎ، ......ﻟﻴﺸﺒﻪ ﻗﺎﻋﺔ ﻣﺪﺧﻞ ﻗﺼﺮ ﻋﺎﺋﻠﺔ ﺃﻭﺷﻴﺮﻭﻣﻴﺎ.
,ﻭﻓﻲ ﻭﺳﻂ ﺍﻟﻘﺎﻋﺔ ﺍﻟﺨﻴﺎﻟﻴﺔ ﺣﻴﺚ ﺗﺮﻓﺮﻑ ﺍﻟﻌﺪﻳﺪ ﻣﻦ ﺍﻟﻔﺮﺍﺷﺎﺕ ﺍﻟﺬﻫﺒﻴﺔ ﺑﺄﺟﻨﺤﺘﻬﺎ، ...ﺗﺰﻳﻨﺖ ﺍﻟﻌﺪﻳﺪ ﻣﻦ ﺍﻟﻄﺎﻭﻻﺕ ﺑﻤﻔﺎﺭﺵ ﺍﻟﻤﺎﺋﺪﺓ ﺍﻟﺒﻴﻀﺎﺀ ﻭﺍﻟﻔﻮﺍﻛﻪ ﺍﻟﺠﻤﻴﻠﺔ، ﻭﺃﻳﻀًﺎ ﺍﻷﻛﻞ ﺍﻟﻠﺬﻳﺬ، ﻟﻴﺒﺪﻭ ﺍﻟﻤﻜﺎﻥ ﻣﺜﻞ ﺣﻔﻠﺔٍ.
