Speaker,Arabic (AR)
Ushiromiya George,"""...........ﻻ ﺃﺻﺪﻕ ﻫﺬﺍ. ......ﻫﻞ ﻫﺬﺍ ﺣﻘًﺎ ﻣﺎﺣﺪﺙ؟"""
Shannon,""".....ﻧﻌﻢ. ......ﺃﺧﺒﺮﻧﺎﻙ ﺑﻤﺎ ﺭﺃﻳﻨﺎﻩ ﺣﺮﻓﻴًﺎ."""
,ﻋﻘﺪ ﺟﻮﺭﺝ ﺫﺭﺍﻋﻴﻪ ﻭﺑﺪﺃ ﻳُﺘﻤﺘﻢ ﺑﺼﻮﺕٍ ﻣﻨﺨﻔﺾ.{n}...ﻭﺳﺎﺩ ﺍﻟﺼﻤﺖُ ﻓﻲ ﺍﻟﻤﻄﺒﺦ ﻣﺮﺓ ﺃﺧﺮﻯ.
Gohda Toshiro,"""ﺟﻮﺭﺝ-ﺳﺎﻣﺎ، ﺃﻓﻬﻢ ﺗﻤﺎﻣًﺎ ﺃﻧﻪ ﻻﻳﻤﻜﻨﻚ ﺗﺼﺪﻳﻘﻨﺎ. ...ﻓﺒﻌﺪ ﻛﻞ ﺷﻲﺀ، ﺣﺘﻰ ﺃﻧﺎ ﺭﻏﻢ ﺃﻧﻨﻲ ﻣﺘﺄﻛﺪٌ ﻣﻤﺎ ﺭﺃﻳﺘﻪ ﺑﺄﻡ ﻋﻴﻨﻲ، ﻻ ﺃﻋﻠﻢ ﺣﺘﻰ ﻣﺎ ﺍﻟﺬﻱ ﺭﺃﻳﺘﻪ..."""
Gohda Toshiro,"""ﺃﻧﺎ ﻣﺘﺄﻛﺪٌ ﻣﻤﺎ ﺭﺃﻳﺖ. ﻭﺃﻧﺎ ﻭﺍﺛﻖٌ ﻣﻦ ﺃﻧﻨﻲ ﺣﺘﻰ ﺍﺷﺘﺒﻜﺖُ ﻣﻌﻪ! ﻭﻣﻊ ﺫﻟﻚ، ......ﺃﻛﺎﺩ ﺃﺷﻌﺮ ﻭﻛﺄﻥ ﻛﻞ ﺫﻟﻚ ﻟﻢ ﻳﻜﻦ ﺳﻮﻯ ﻭَﻫْﻢ..."""
Ushiromiya George,"""...ﻓﻬﻤﺖ. ......ﺇﺫﻥ ﻟﻬﺬﺍ ﻟﻢ ﺗﺘﻤﻜﻨﺎ ﻣﻦ ﺍﻟﺘﺤﺪﺙ ﺑﺎﻟﺘﻔﺎﺻﻴﻞ ﺃﻣﺎﻡ ﺍﻟﻌﻤﺔ ﺭﻭﺯﺍ."""
Ushiromiya George,"""......ﻟﻮ ﻛﻨﺘﻤﺎ ﻗﺪ ﺃﺧﺒﺮﺗﻤﺎﻫﺎ ﺑﻤﺎ ﻗﻠﺘﻤﺎﻩ ﺍﻵﻥ، ﻟﺘﺴﺒﺐ ﺫﻟﻚ ﺑﻤﺸﺎﻛﻞ ﺃﻛﺒﺮ. ...ﻓﻬﻤﺖ ﺍﻵﻥ ﺗﻤﺎﻣًﺎ ﻟﻤﺎﺫﺍ ﺗﻌﺎﻣﻞ ﻗﻴﻨﺠﻲ-ﺳﺎﻥ ﻣﻊ ﺍﻷﻣﺮ ﺑﻬﺪﻭﺀٍ ﻣﺬﻫﻞ."""
Ronoue Genji,"""...............ﻟﻮ ﻛﻨﺖُ ﺃﻣﻠﻚ ﺍﻟﻘﺪﺭﺓ ﻋﻠﻰ ﺷﺮﺡ ﺍﻟﻤﻮﻗﻒ ﻟﻔﻌﻠﺖ."""
,ﻟﻢ ﻳﻜﻦ ﺟﻮﺭﺝ ﻗﺪ ﺭﺃﻯ ﺫﻟﻚ ﺑﻨﻔﺴﻪ، ﻟﺬﺍ ﺣﺘﻰ ﺣﻴﻦ ﻃُﻠﺐ ﻣﻨﻪ ﺗﺼﺪﻳﻘﻪ، ﻟﻢ ﻳﺴﺘﻄﻊ ﺫﻟﻚ.
,ﻭﻛﺎﻥ ﺫﻟﻚ ﻃﺒﻴﻌﻴًﺎ ﺗﻤﺎﻣًﺎ. ﻷﻥ ﺣﺘﻰ ﺃﻭﻟﺌﻚ ﺍﻟﺬﻳﻦ ﺭﺃﻭﻩ ﺑﺄﻋﻴﻨﻬﻢ، ﺍﻧﺘﻬﻰ ﺑﻬﻢ ﺍﻷﻣﺮ ﺑﺎﻟﺘﺸﻜﻴﻚ ﻓﻲ ﻣﺎﻫﻴﺘﻪ...
