Speaker,Arabic (AR)
,ﻋﺒﺮﻧﺎ ﺍﻟﻘﺎﻋﺔ ﻓﻲ ﻃﺮﻳﻘﻨﺎ ﺇﻟﻰ ﺍﻟﻤﺪﺧﻞ.
,ﺃﺛﻨﺎﺀ ﺫﻟﻚ، ﺃﺑﺼﺮﻧﺎ ﻣﺠﺪﺩﹰﺍ ﻟﻮﺣﺔ ﺍﻟﺴﺎﺣﺮﺓ.
,ﻗﺪ ﻻ ﺗﻜﻮﻥ ‘ﺃﺑﺼﺮﻧﺎ‘ ﺃﻓﻀﻞ ﻛﻠﻤﺔﹴ ﻟﻮﺻﻒ ﻫﺬﺍ ﺍﻟﺤﺪﺙ.{n}...ﻛﻤﺎ ﻟﻮ ﺃﻥ ﺑﺼﺮﻧﺎ ﻗﺪ ﺳﹸﺤﺐ ﺇﻟﻴﻬﺎ.
,ﻓﻲ ﻋﻴﻮﻥ ﺗﻠﻚ ﺍﻟﻤﺮﺃﺓ ﺳﺤﺮﹲ ﺷﺒﻴﻪﹲ ﺑﺎﻟﺤﻜﻤﺔ، ﺗﻤﺘﻠﻚ ﺍﻟﻘﺪﺭﺓ ﻋﻠﻰ ﺟﻌﻞ ﻣﻦ ﻳﻨﻈﺮ ﺇﻟﻴﻬﺎ ﻳﻘﻒ ﻣﺘﺄﺻﻠﹰﺎ ﺩﻭﻥ ﺣﺮﺍﻙ.
Ushiromiya Battler,"""....ﻫﻲ ﺍﻟﺴﺎﺣﺮﺓ، .{f:7:ﺑﻴﺎﺗﺮﻳﺲ}. ﺃﺗﺴﺎﺀﻝ ﻋﻦ ﺻﺤﺔ ﺫﻟﻚ....."""
Ushiromiya Maria,"""ﺃﻭﻭ-؟ ﺑﺎﺗﻠﺮ ﻻ ﻳﺼﺪﻕ...؟"""
,ﻣﻨﺬ ﻗﻠﻴﻞﹴ، ﻋﻨﺪﻣﺎ ﺳﺄﻝ ﺑﺎﺗﻠﺮ ﻋﻦ ﻣﺎﻫﻴﺔ ﻫﺬﻩ ﺍﻟﻠﻮﺣﺔ، ﺃﻭﻝ ﻣﻦ ﺃﺧﺒﺮﻩ ﺃﻧﻬﺎ {f:7:ﺑﻴﺎﺗﺮﻳﺲ} ﻛﺎﻧﺖ ﻣﺎﺭﻳﺎ.
,ﻭﻋﻨﺪﻣﺎ ﺃﻇﻬﺮ ﺑﺎﺗﻠﺮ ﻋﻼﻣﺎﺕ ﺍﻟﺸﻚ، ﺷﻌﺮﺕ ﻣﺎﺭﻳﺎ ﺑﺄﻥ ﺑﺎﺗﻠﺮ ﻟﻢ ﻳﺼﺪﻗﻬﺎ.
,...ﺑﺎﻟﻄﺒﻊ، ﻫﺬﺍ ﻟﻴﺲ ﻣﺎ ﻳﻌﻨﻴﻪ ﺑﺎﺗﻠﺮ.
,ﺭﻛﻀﺖ ﻣﺎﺭﻳﺎ ﺇﻟﻰ ﺍﻟﻠﻮﺣﺔ ﻭﺷﺮﻋﺖ ﺗﻀﺮﺏ ﺻﻔﻴﺤﺔﹰ ﻭﺿﻌﺖ ﺃﺳﻔﻠﻬﺎ.
,ﻗﺪ ﻳﻜﻮﻥ ﻋﻨﻮﺍﻥ ﺍﻟﻠﻮﺣﺔ ﻣﻜﺘﻮﺑﹰﺎ ﻋﻠﻴﻬﺎ.
,ﻣﺎﺭﻳﺎ، ﻟﺘﺜﺒﺖ ﺃﻧﻬﺎ ﻻ ﺗﻜﺬﺏ، ﻭﺍﺻﻠﺖ ﺑﻌﻨﺎﺩﹴ ﺿﺮﺏ ﺍﻟﺼﻔﻴﺤﺔ.
Ushiromiya Battler,"""ﺁﻩ، ﺁﺳﻒ، ﻟﺴﺖ ﺃﺷﻚ ﻓﻲ ﺃﻱ ﺷﻲﺀﹴ ﻗﻠﺘﻪﹺ ﻳﺎ ﻣﺎﺭﻳﺎ."""
Ushiromiya Maria,"""ﺃﻭﻭ-! ﺑﺎﺗﻠﺮ ﻳﺼﺪﻕ! ﺃﻭﻭ-!"""
,ﻋﻨﺪﻣﺎ ﺭﺑﹼﺖﹸﹼ ﻋﻠﻰ ﺭﺃﺱ ﻣﺎﺭﻳﺎ ﻣﻌﺘﺬﺭﹰﺍ، ﺑﺪﺕ ﻭﻛﺄﻧﻬﺎ ﺗﻘﺒﻞ ﺍﻋﺘﺬﺍﺭﻱ، ﻭﺗﻠﺘﺼﻖ ﺑﺼﺪﺭﻱ ﻭﺑﻔﺨﺮﹴ ﺗﺮﺩﺩ ﺃﻭﻭ-ﺃﻭﻭ-.
Ushiromiya Battler,"""...ﻣﺎ ﻫﺬﺍ؟ ""ﺃﺣﺐ ﺳﺎﺣﺮﺓ ﺇﻟﻰ ﻗﻠﺒﻲ, {f:7:ﺑﻴﺎﺗﺮﻳﺲ}"". …‘ﺃﺑﺼﺮﻭﺍ ﻧﻬﺮ ﺍﻷﺳﻤﺎﻙ ﺍﻟﻌﺬﺑﺔ-‘....ﻣﺎ ﻫﺬﻩ ﺍﻟﻤﺮﺛﻴﺔ ﺍﻟﻄﻮﻳﻠﺔ ﻭﺍﻟﻐﺮﻳﺒﺔ؟"""
,ﺍﺣﺘﻮﺕ ﺍﻟﺼﻔﻴﺤﺔ ﺍﻟﻤﻮﺿﻮﻋﺔ ﺑﺎﻷﺳﻔﻞ ﻋﻠﻰ ﻋﻨﻮﺍﻥ ﺍﻟﻠﻮﺣﺔ، ﻭﻟﻜﻨﻬﺎ ﺑﺪﺕ ﺃﻛﺒﺮ ﺑﻜﺜﻴﺮﹴ ﻟﺘﺤﻮﻱ ﺫﻟﻚ ﻓﻘﻂ.
,ﺗﻮﺍﺟﺪ ﺃﺳﻔﻞ ﺍﻟﻌﻨﻮﺍﻥ ﻣﺮﺛﻴﺔﹲ ﻃﻮﻳﻠﺔﹲ.
,ﻟﻮ ﻗﺮﺃﺗﻪ ﻋﻠﻰ ﻧﺤﻮﹴ ﺳﺮﻳﻊﹴ، ﻓﺎﻟﻌﺪﻳﺪ ﻣﻦ ﺍﻟﻜﻠﻤﺎﺕ ﺍﻟﻤﺨﻴﻔﺔ ﺳﺘﻈﻬﺮ ﻟﻚ.
Ushiromiya Jessica,"""ﻣﺬﻫﻞ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟ ﻛﺘﺒﻬﺎ ﺟﺪﻱ. ...ﻋﻤﻴﻘﺔﹲ ﺟﺪﹰﺍ، ﻫﺎﻩ؟"""
Ushiromiya Maria,"""ﺃﻭﻭ-! ﻣﺎﺭﻳﺎ ﺗﻌﺮﻑ! ﻣﻜﺎﻥ ﺍﻟﺬﻫﺐ ﺍﻟﻤﺨﻔﻲ!"""
Ushiromiya Battler,"""...ﻣﻬﻼﹰ، ﺃﺗﻌﻨﻴﻦ ﻗﺼﺔ ﺍﻟﺬﻫﺐ ﺍﻟﻤﺨﻔﻲ ﻟﻌﺎﺋﻠﺔ ﺃﻭﺷﻴﺮﻭﻣﻴﺎ؟ ﻫﺬﺍ ﺷﻲﺀﹲ ﺁﺧﺮﹲ ﺃﺗﺬﻛﺮﻩ ﻣﻨﺬ ﻣﺪﺓ ﻃﻮﻳﻠﺔ... ...ﻟﺤﻈﺔ ﻳﺎ ﺃﺧﻲ، ...ﻫﻞ ﻫﺬﺍ ﺣﻘﻴﻘﻲ؟"""
Ushiromiya George,"""ﺻﺤﻴﺢ ﺃﻥ ﺟﺪﻱ ﻣﻦ ﻛﺘﺒﻪ، ﻟﻜﻨﻪ ﻟﻢ ﻳﻘﻞ ﺃﻱ ﺷﻲﺀﹴ ﺑﺸﺄﻥ ﻫﺬﻩ ﺍﻟﻠﻮﺣﺔ ﺃﻭ ﺍﻟﻤﺮﺛﻴﺔ. ....ﻟﻜﻦ ﺑﻴﻦ ﺃﻓﺮﺍﺩ ﺍﻷﺳﺮﺓ، ﻏﺎﻟﺒﹰﺎ ﻣﺎ ﻳﺘﺪﺍﻭﻝ ﺃﻧﻬﺎ ﺗﺸﻴﺮ ﺇﻟﻰ ﻣﻮﻗﻊ ﺫﻫﺐ ﺟﺪﻱ ﺍﻟﻤﺨﻔﻲ، ﻭﺑﺄﻧﻪ ﺳﻴﺘﺨﻠﻰ ﻋﻦ ﺍﻟﻤﻴﺮﺍﺙ ﻭﺍﻟﺬﻫﺐ ﻟﻤﻦ ﻳﺤﻞ ﺍﻟﻠﻐﺰ."""
Ushiromiya Maria,"""ﺃﻭﻭ-! ﻣﺎﺭﻳﺎ ﺳﻤﻌﺖ ﺫﻟﻚ ﺃﻳﻀﹰﺎ، ﻣﺎﺭﻳﺎ ﺳﻤﻌﺖ ﺫﻟﻚ ﺃﻳﻀﹰﺎ! ﺍﻟﻜﺜﻴﺮ ﻭﺍﻟﻜﺜﻴﺮ ﻣﻦ ﺍﻟﺬﻫﺐ!"""
