Speaker,Spanish (ES)
,"Al final, {f:5:Eva} había destruido de antemano el círculo mágico que sellaba la llave."
,"Cuando Battler y Ange llegaron, el círculo mágico se desmoronaba lentamente, como la arena en un reloj de arena."
,"Intentaron acelerar su destrucción golpeándolo y pateándolo, pero no lograron aumentar la velocidad con la que se deshacía."
Ushiromiya Ange,"""... Parece que lo destruyó hace bastante tiempo, pero... Aun así, parece que tomará un poco más de tiempo..."""
Ushiromiya Battler,"""Probablemente, ya falta poco... Si logramos ganar cinco minutos más, quizás..."""
,"Por la velocidad con la que se desmoronaba el círculo mágico y el ambiente en general, parecía que estaba a punto de terminar."
,"Sin embargo, dadas las circunstancias, no estaba seguro de si cinco minutos podían considerarse ""{i:en breve}""."
,Se dieron la vuelta.
,"... Más allá del valle de estanterías, se extendía un universo."
,"La batalla entre {f:5:Lambdadelta} y {f:5:Bernkastel} era algo que, incluso para Battler, quien había presenciado innumerables enfrentamientos de Beato, resultaba algo inimaginable, no podía encontrar una palabra que describiera lo que estaba viendo."
,"Finalmente, el único adjetivo que se le ocurrió fue ""cósmico""."
,"Cada vez que {f:5:Lambdadelta} y {f:5:Bernkastel} libraban su feroz batalla, nacía un universo entre ellas."
,"Se producía un Big Bang, se creaba un universo, y galaxias enteras nacían y desaparecían, una tras otra."
,"Luego, llegaba un Big Crunch, el universo colapsaba, y sin pausa alguna, otro Big Bang daba lugar a un nuevo universo."
,Era como ver jugar a dioses.
,"Las dos brujas creaban y destruían universos una y otra vez, casi como si dos Creadores lucharan por demostrar que su universo es el correcto."
,Si te descuidabas aunque fuera un poco... sentías que tu alma sería absorbida solo con observarlas.
Ushiromiya Ange,"""... Pronto podremos recuperar la llave... Entonces, ¿podremos regresar a la Tierra Dorada con el Fragmento que nos dio {f:5:Lambdadelta}?"""
Ushiromiya Battler,"""En cuanto tengas la llave, Ange, regresa de inmediato. No puedo dejar a {f:5:Lambdadelta} atrás."""
