Speaker,Spanish (ES)
Furudo Erika,"""Battler-san regresó a la casa de huéspedes a las 3:00 AM. Luego, el resto de ustedes se separó unos 30 minutos después, ¿correcto?"""
Ushiromiya Eva,"""Sí, así es. Estábamos bastante cansados. Decidimos tomar un pequeño descanso y luego comenzar de nuevo."""
,"Para descubrir al asesino del primer crepúsculo, Erika silenciosamente interrogó a todos los involucrados para corroborar sus coartadas y evidencia."
,"Para confirmarlos, recorrió la mansión con ellos, y, cuando era necesario, fue varias veces a la casa de huéspedes a pesar de la lluvia."
,... Su energía era admirable.
,"... Aunque era una huésped sin invitación, ya a todos les había dejado de parecer extraña la forma en que imitaba a un detective..."
Ronove,"""... Parece que Erika también está preparando sus razones a paso firme."""
{f:5:Beatrice},"""Es inútil. Existan o no coartadas, no puede negar nuestra existencia... Kinzo escapó por la ventana y ahora forma parte de la niebla de Rokkenjima. No será capaz de capturarlo o negarlo de ninguna manera."""
Gaap,"""Cuando todo esté dicho y hecho, quizá digan que se escapó a la parte inferior del tablero de ajedrez."""
Ronove,"""En ese caso, quizá pueda decirse que ha sido escondido."""
{f:5:Beatrice},"""... Pensándolo bien, respecto a esos cadáveres del primer crepúsculo. También fueron escondidos, ¿verdad?"""
Gaap,"""Sí. Han sido guardados en mi oscuridad entre este mundo y el otro."""
{f:5:Beatrice},"""... ¿Y esa que se hace la detective no logrará encontrarlos?..."""
Gaap,"""Por supuesto que no. Definitivamente sería imposible para un humano... ¿Quieres corroborarlo?"""
{f:5:Beatrice},"""Solo por si acaso. También necesitamos confirmar cuáles serán los objetivos de Lady {f:5:Bernkastel} de ahora en adelante."""
Ronove,"""Si conoces a tu enemigo, no hay por qué temer el resultado de cien batallas."""
{f:5:Beatrice},"""Si conoces la verdad, puedes ganar cien batallas sin luchar."""
Ronove,"""Pukkukukukuku. Vaya, vaya."""
,Gaap abrió un amplio agujero en el cielo e hizo que se los tragara a todos.
,"Invitó a Beato y Ronove al agujero entre los mundos, donde había escondido los cadáveres..."
,"... Ese lugar... no estaba en este mundo, y no existía en ningún momento de este mundo."
,"En otras palabras, era verdadera y literalmente un lugar fuera de este mundo."
,"En este lugar, preguntas como ""¿Dónde estamos?"" y ""¿Qué hora es? ""no tienen significado alguno."
,"Cada lugar llevaba aquí, pero a ningún lugar se podría llegar desde aquí."
,"Además, todo momento conectaba a este lugar, pero ningún momento podría continuar desde aquí."
,"En breve, este lugar era justo lo que decían que era: la parte inferior del tablero."
,"No, quizá sería más apropiado decirle la torre de los cautivos, a donde van las piezas que han dejado el juego..."
,"... Luego, a través de ese mundo de oscuridad, se vio un brillo como de un reflector, y cinco cadáveres aparecieron a la vista..."
,Los cinco patéticos cadáveres con sus cuellos abiertos estaban acomodados de forma ordenada.
,"Sus párpados estaban cerrados y sus manos una sobre la otra.{n}Por lo visto, incluso Gaap respetaba a los muertos..."
{f:5:Virgilia},"""Oh, vaya... ¿Hay cinco sacrificios para el primer crepúsculo en este juego? ¿No son seis?"""
{f:5:Beatrice},"""Ah, eres tú, maestra. Me preocupaba a dónde hubieras ido. El juego ya ha llegado al primer crepúsculo, y como puedes ver, aparecieron las primeras víctimas... Así que es hora. ¡Estoy tan emocionada!..."""
{f:5:Virgilia},"""Ya veo... La tú de aquí parece estar muy animada. Me alegra."""
{f:5:Beatrice},"""¿¿Mmm?? ¡Estoy llena de energía y tengo un cuerpo cautivador! ¿Qué más buscarías excepto una buena disposición? Wajaja."""
,"Por alguna razón, {f:5:Virgilia} aclamó a Beato por su buen humor."
,"Aunque a Beato le sorprendieron las palabras tan de abuela que {f:5:Virgilia} dijo de repente, le respondió mientras se golpeaba el pecho con el puño."
