Speaker,Spanish (ES)
,"Abriendo la puerta forzosamente con un azote, Rosa se apresuró a entrar con María."
Ushiromiya Rosa,"""¡¿Está Genji-san o alguien más aquí?!... ¡¡No importa quién, que alguien traiga una toalla!!..."""
,"El tifón ya estaba fuerte afuera, y llovía a con mucha fuerza.{n}Aun cuando ella tenía un paraguas, María había estado en el jardín de rosas en medio de ese viento y lluvia todo ese tiempo."
,Ella se había puesto helada.
,"María había tenido una pequeña pelea con Rosa en el jardín de rosas, y se le había dicho que se quedara allí para siempre."
,"... Había hecho lo que se le dijo, y se había mantenido esperando en ese lugar incluso cuando la lluvia empezó a caer."
,"Rosa ciertamente se había puesto algo emocional y enojada, pero el capricho obstinado de María era probablemente el más culpable."
,"... Los primos, que habían escuchado su conversación, estaban aliviados de ver a madre e hija cercanas otra vez."
,"Rosa limpió la cabeza de María con una toalla. Parecía sobresaltada con la preocupación de que María se podria haber resfriado, pero la misma María era indiferente."
Ushiromiya Rosa,"""¿Estás bien? No agarraste un resfriado, ¿verdad? Tal vez debamos regresar por ahora y buscarte una muda de ropa..."""
Ushiromiya Maria,"""Uu, ¡estoy bien! Lo más importante, María tiene hambre, así que la comida es mejor que un cambio de ropa, ¡uu!"""
Ushiromiya Battler,"""Jajajaja. Ella parece estar bien, tía Rosa. Debe de estar bien si está de tan buen ánimo."""
Ushiromiya George,"""Qué bueno que tuviera un paraguas... Estaba pensando que podría estar mojada hasta los huesos. El hecho de que ella estaba sosteniendo un paraguas es un consuelo, al menos."""
Ushiromiya Jessica,"""¡Pero María! Incluso si tuvieras un paraguas, debes buscar más cobijo si comienza a llover mucho, ¿está bien? Las niñas pequeñas definitivamente no deberían dejar que sus cuerpos se congelaran."""
Ushiromiya Maria,"""... Uu."""
Ushiromiya Rosa,"""Está bien, Jessica-chan... Es culpa de mamá por pedirle que se quedara allí. ¡¡Lo siento, de verdad lo siento!!..."""
Ushiromiya Maria,"""¡Uu! ¿María es una buena niña? ¿María es una buena niña por hacer lo que mamá dijo? Me quedé allí aunque estaba frío, ¡me quedé allí hasta que mamá vino! ¡Uu-uu!"""
Ushiromiya Rosa,"""Sí, de verdad eres una buena niña, María. Hiciste exactamente lo que mamá dijo... De verdad impresionante. Pero la próxima vez, incluso si mamá te dice que hagas algo, encuentra algún refugio si empieza a llover así. ¿Está bien?... Prométeselo a mamá."""
Ushiromiya Maria,"""Uu. Te lo prometo mamá... Uu{p:0:☆}."""
,"Mientras Rosa levantaba gentilmente a María, ellas unieron sus meñiques en señal de promesa."
,"Battler y los otros podían ver que por aquel momento de vínculo entre madre e hija, expresado a través un solo dedo meñique, el calor había empezado a regresar al cuerpo de María."
Ushiromiya Rosa,"""Kanon-kun, gracias por la toalla. Eso de verdad ayudó."""
Kanon,"""... Entonces, si me disculpa."""
,"Mientras Kanon dio una reverencia con una expresión vacía, como si no hubiese hecho nada que requiriese gratitud, él dejó el salón."
Ushiromiya Rosa,"""... Está bien, ya es la hora de la cena. Vayamos todos juntos... Incluso le daré a María mi ración de postre por ser tan buena."""
Ushiromiya Maria,"""¡Uu! ¡¿En serio, mamá?! Uu-uu, tengo postre, uu-uu-uu{p:0:♪}. ¡Amo a mamá, amo a mamá!"""
Ushiromiya Rosa,"""Oye, María, no saltes por ahí. Mamá también te ama, María. Ama a María, ama a María."""
Ushiromiya Maria,"""María ama a mamá también, ¡Ama a mamá! ¡Uu-uu-uu-uu!"""
Ushiromiya Rosa,"""Uu-uu-uu-uu{p:0:♪}."""
,Rosa y María se veían muy felices. Incluso los primos que miraban empezaron a sentir la hace tanto olvidada calidez llenando sus pechos.
Ushiromiya Battler,"""... Sabes, esa debe ser la edad cuando te llevas mejor con tus padres."""
Ushiromiya Jessica,"""Así no fue conmigo. Mamá estaba siempre gritándome que estudiara, estudiara, y estudiara."""
Ushiromiya George,"""Eso es porque ellos aman a sus hijos. El amor de los padres no es siempre gentil e indulgente. Mi madre era estricta conmigo también, pero ahora me doy cuenta de que era porque ella me valoraba mucho."""
Ushiromiya Maria,"""¡Uu-uu-uu! ¡Amo a mamá, amo a mamá!"""
Ushiromiya Rosa,"""Amo a María, amo a María{p:0:♪}. Bien, ¿vamos por algo de comida? Seamos amigas y tomémonos de las manos."""
Ushiromiya Maria,"""¡Uu! ¡Ser amigas y llevarnos de la mano! Mamá y María amigas, amigas{p:0:♪}."""
Ushiromiya Rosa,"""Sí, así es. Mamá y María son amigas. Siempre estaremos así. Te quiero, María..."""
Ushiromiya Battler,"""... ¿Qué diablos fue eso?... ¿Qué pasó?"""
,"El sonido repentino había venido de una taza de té que estaba sosteniendo Gretel, que se había caído y roto."
Ushiromiya Ange,"""... Lo siento. Me descuidé por un momento. Disculpa por dejarla caer."""
,La taza en el suelo estaba hecha pedazos.
,... ¿Realmente haría tal sonido y se rompería en pedazos solo con ser dejada caer desde esa altura?
,"Incluso alguien tan cabeza dura como Battler podría darse cuenta de que ella estaba de mal humor por algo, pero él no podía entender porque se había disgustado tanto."
,"Cuando ella se agachó para recoger los fragmentos de la taza, Ronove apareció de la nada y la detuvo."
Ronove,"""Porfavor, se lastimará. Déjeme la limpieza a mí. ¿Le traigo otra taza de té negro?..."""
Ushiromiya Ange,"""... No gracias... Supongo que el té negro de los demonios no encaja en mis gustos."""
{f:5:Beatrice},"""Jo. Y pensar que hay alguien cuyos gustos no pueden ser satisfechos ni por el té de Ronove. Debo respetar tu exigente paladar."""
Ushiromiya Ange,"""... Me estoy aburriendo, así que saldré por un momento."""
Ushiromiya Battler,"""¿{i:Aburriendo}? Espera un segundo, ahora es cuando las cosas comienzan a hacerse interesantes. Justo ahora, María probablemente va a decir que recibió el paraguas de {f:5:Beatrice} de nuevo, ¿sabes? Esta es la parte esencial..."""
Ushiromiya Ange,"""Disculpa. Lo siento, cuento contigo para que limpies esto."""
Ronove,"""Déjemelo a mí."""
,"Sin decir nada más, Gretel desapareció a voluntad. Su forma literalmente se derritió y desapareció en el vacío..."
,Definitivamente había una expresión molesta en su rostro.
,"Pero ni Battler ni Ronove, y por supuesto tampoco Beato, pudieron entender por qué su humor había empeorado repentinamente."
,Todo lo que quedaba era el aroma del té negro que ella había derramado...
,... No me agrada.
,"No, para ser más franca, me disgusta."
Ushiromiya Maria,"""¿Uu?... ¿Por qué estás tan irritada, Ange?..."""
Ushiromiya Ange,"""¡¿{i:Por qué}?! ¿Acaso no es obvio?..."""
Ushiromiya Maria,"""Uu... María no entiende..."""
,"Incluso María onee-chan, con esa expresión vacía en su rostro... me irritaba."
,"Mientras levantaba las palmas de mis manos en el aire de la nada, un único libro aterrizó en ellas."
,... Era el diario de María onee-chan.
,"Aunque yo no cambié las páginas, estas se hojearon, incluso cuando no había viento, y la puerta al mundo de María onee-chan fue abierta."
Ushiromiya Maria,"""... ¿Por qué piensas que María no es feliz, Ange?"""
Ushiromiya Ange,"""... Piensa en ello objetivamente."""
Ushiromiya Maria,"""Por objetivamente te refieres a tu perspectiva, ¿cierto, Ange?"""
Ushiromiya Ange,"""... ¿Estás tratando de decir que la verdad es diferente para ti y para mí, María onee-chan?"""
Ushiromiya Maria,"""La verdad puede cambiar su forma dependiendo del observador. Y los observadores del futuro siempre sobrescriben esa forma... Ange, ¿qué estás tratando de hacerle a la felicidad de María?..."""
Ushiromiya Ange,"""..."""
,Las páginas del diario se pasaron a mayor y mayor velocidad...{n}Entonces una luz brillante brotó desde las profundidades del diario... tragándose todo y pintando sobre todo con blanco.
Ushiromiya Rosa,"""... Lo siento, María. Mamá tiene que hacerse cargo de un negocio repentino que se ha apilado, así que necesito quedarme en la compañía por un rato... Yo probablemente no sea capaz de volver a casa hasta la noche de pasado mañana."""
Ushiromiya Maria,"""... Uu... ¿Entonces, qué hay de tu promesa de ir al cine con María el domingo?..."""
Ushiromiya Rosa,"""¿Al cine?... Ehh—"""
,"A juzgar por el tono de Rosa, ella claramente se había olvidado de la promesa."
,Pero la respuesta de María a eso fue una disculpa por preguntar...
,... Lo siento.
,María se disculpó por molestar a su mamá al hacerle esa pregunta...
Ushiromiya Maria,"""... María se quedará en casa. Definitivamente esperará pacientemente... María tomará un baño cada día y se cambiará de ropa interior."""
Ushiromiya Maria,"""... Y también sabe dónde está el dinero... María irá a una tienda diferente cada día. Tratará de no salir muy tarde. Si un policía pregunta, María dirá que ella estaba haciendo compras para mamá... María hará lo que mamá dice, como mamá dice."""
Ushiromiya Rosa,"""... Está bien. De verdad estás siendo una buena niña. Si haces eso, te compraré un regalo. ¿Está bien? Ve a la cama a las nueve. Asegúrate de no decirle a tu maestra o a cualquier adulto que mamá no vino a casa. ¿Está bien?..."""
Ushiromiya Maria,"""... Sí... Así que mamá, haz lo mejor que puedas en el trabajo... Da lo mejor, termina tu trabajo... y ven a casa tan pronto como puedas..."""
Ushiromiya Maria,"""María... ya no llorará toda la noche y molestará a los vecinos... Así que, regresa rápido..."""
Ushiromiya Rosa,"""... Muy bien, estoy ocupada, así que colgaré... Sé una buena niña y espera. No hagas ninguna insensatez. Nos vemos."""
,"*Clic*... Con un tono en su voz que indicaba que estaba finalizando la llamada, Rosa colgó el teléfono sin esperar por la respuesta de María."
,"María educadamente colgó el recibidor y regresó al sofá.{n}Allí estaba sentado el animal de peluche Sakutaro, que había estado viendo televisión hasta hace un segundo."
,Sakutaro estaba sosteniendo el control remoto de la televisión.{n}... La televisión había sido apagada por la llamada telefónica.
,Él parecía que estaba diciéndole que pulsara el botón porque quería ver la televisión de nuevo rápidamente.
Ushiromiya Maria,"""... Sakutaro... ¿Quieres ver... la televisión?"""
Sakutarou,"‘... ¿Uryu? ¿Ya no la quieres ver, María?... Si el equipo de los actores responde bien todas las preguntas, podrían cambiar las cosas. ¡Uryu~!’"
Ushiromiya Maria,"""... No... Ya es suficiente... televisión."""
,De nuevo... mamá estaba ocupada con su trabajo y no vino a casa.
,Mamá trabaja tantas horas extra que no regresa a casa hasta tarde.
,"... Ya que tenía que socializar para el trabajo o algo así, ella siempre llegaba a casa después de beber mucho alcohol, aunque no sea buena con la bebida, y con un rostro pálido, ella iba directo a la ducha y luego a la cama."
,"E incluso en los fines de semana, ella decía que tenía que quedarse por tiempo extra, y casi nunca venía a casa."
