Speaker,Arabic (AR)
,...ﺍﺩﻋﺎﺀ ﻫﻴﺪﻳﻮﺷﻲ ﺑﺄﻥّ ﺍﻹﻋﻼﻥ ﻳﻀﺎﻋﻒ ﺍﻟﻄﻌﻢ ﻛﺎﻥ ﻋﻠﻰ ﻣﺎ ﻳﺒﺪﻭ ﺻﺤﻴﺤًﺎ.
,ﺗﺠﻤﻊ ﺍﻷﻃﻔﺎﻝ ﻭﻧﺎﻧﺠﻮ ﺍﻟﺬﻳﻦ ﻃﺮﺩﻭﺍ ﺇﻟﻰ ﺑﻴﺖ ﺍﻟﻀﻴﺎﻓﺔ، ﻓﻲ ﻏﺮﻓﺔ ﺃﺑﻨﺎﺀ ﺍﻟﻌﻤﻮﻣﺔ، ﻭﻛﺎﻧﻮﺍ ﻳﺄﻛﻠﻮﻥ ﺍﻟﻜﻌﻜﺔ ﺍﻟﺘﻲ ﺟﻠﺒﺘﻬﺎ ﻛﻮﻣﺎﺳﺎﻭﺍ ﺇﻟﻰ ﻫﻨﺎﻙ ﻛﺤﻠﻮﻯ.
,ﻛﺎﻧﺖ ﺭﺍﺋﻌﺔ ﻭﻓﺎﺧﺮﺓ، ﻣﻊ ﻛﻤﻴﺎﺕ ﻭﻓﻴﺮﺓ ﻣﻦ ﺍﻟﻜﺮﻳﻤﺔ ﻭﻣﺰﻳﻨﺔ ﺑﺸﻜﻞٍ ﻟﺬﻳﺬ ﺑﺎﻟﻔﻮﺍﻛﻪ، ﻟﻜﻦ ﺭﻏﻢ ﺃﻧّﻬﺎ ﻛﺎﻧﺖ ﻟﺬﻳﺬﺓ، ﺇﻻ ﺃﻧّﻬﺎ ﻟﺴﺒﺐٍ ﻣﺎ ﻟﻢ ﺗﻜﻦ ﺑﻨﻔﺲ ﺍﻟﻄﻌﻢ ﺍﻟﺮﺍﺋﻊ...
Ushiromiya Jessica,"""ﻫﺎﻫﺎ، ﺑﺪﻭﻥ ﺇﻋﻼﻥ ﻗﻮﺩﺍ-ﺳﺎﻥ، ﻻ ﺗﻜﻮﻥ ﺑﻨﻔﺲ ﺍﻟﻄﻌﻢ ﺍﻟﺠﻴﺪ ﺗﻘﺮﻳﺒًﺎ."""
Ushiromiya Battler,"""ﻭﺣﻈﺎ ﺳﻌﻴﺪﺍ ﻓﻲ ﻃﻠﺐ ﺍﻹﻋﻼﻥ ﻣﻦ ﻛﻮﻣﺎﺳﺎﻭﺍ ﺑﺎ-ﺗﺸﺎﻥ، ﺳﺘﺨﺒﺮﻙ ﻓﻘﻂ ﺃﻧﻬﺎ ﻣﺼﻨﻮﻋﺔ ﻣﻦ ﺍﻷﺳﻘﻤﺮﻱ."""
Ushiromiya Maria,"""ﺃﻭﻭ؟! ﺣﻘﺎ؟! ﺃﻳﻤﻜﻦ ﺻﻨﻊ ﻛﻌﻜﺔ ﻣﻦ ﺍﻷﺳﻘﻤﺮﻱ؟!"""
Kumasawa Chiyo,"""ﻫﻮﻩ-ﻫﻮﻩ-ﻫﻮﻩ-ﻫﻮ. ﺃﻭﻩ، ﺑﺎﻟﺘﺄﻛﻴﺪ ﻧﻌﻢ، ﻫﺬﻩ ﺍﻟﻜﻌﻜﺔ ﺃﻳﻀﺎ ﺇﺫﺍ ﺧﻠﻄﺖ ﻋﺼﻴﺮ ﺍﻷﺳﻘﻤﺮﻱ ﺍﻟﻤﻌﺼﻮﺭ ﻣﻊ ﺍﻟﻄﺤﻴﻦ ﻭﺍﻟﺒﻴﺾ ﻭﺧﺒﺰﺗﻬﺎ، ﺳﺘﺨﺮﺝ ﻫﺸﺔ. ﻫﻮﻩ-ﻫﻮﻩ-ﻫﻮﻩ-ﻫﻮ."""
Ushiromiya George,"""ﺳﻴﻜﻮﻥ ﺫﻟﻚ ﻣﺬﻫﻼ ﻟﻮ ﻛﺎﻥ ﺻﺤﻴﺤﺎ. ﺭﺑﻤﺎ ﺗﻈﻬﺮ ﻛﻌﻜﺔ ﺍﻷﺳﻘﻤﺮﻱ ﻓﻲ ﺍﻟﻘﺎﺋﻤﺔ ﺍﻟﺠﺪﻳﺪﺓ ﻟﻤﺘﺎﺟﺮ ﻭﺍﻟﺪﻱ."""
Ushiromiya Battler,"""ﻭﺍﻫﺎﻫﺎﻫﺎ! ﻷﻥ ﺍﻷﺳﻘﻤﺮﻱ ﻣﻠﻲﺀ ﺑﺎﻟﻌﻨﺎﺻﺮ ﺍﻟﻐﺬﺍﺋﻴﺔ ﻭﻟﻪ ﺻﻮﺭﺓ ﺻﺤﻴﺔ. ﻗﺪ ﻳﻜﻮﻥ ﺷﺎﺋﻌﺎ ﺟﺪﺍ ﺑﻴﻦ ﺍﻟﻨﺴﺎﺀ ﻭﻛﺒﺎﺭ ﺍﻟﺴﻦ! ﻟﻜﻨﻨﻲ ﻟﻦ ﺃﻗﺘﺮﺏ ﻣﻨﻪ ﺃﺑﺪًﺍ!"""
Ushiromiya Jessica,"""ﺍﻟﻔﺘﻴﺎﺕ ﻟﻦ ﻳﺄﻛﻠﻦ ﺷﻴﺌًﺎ ﻏﺮﻳﺒًﺎ ﻛﻬﺬﺍ."""
