Speaker,Arabic (AR)
,ﻛﺎﻧﺎ ﻗﺪ ﺗﻨﺎﻭﻻ ﺍﻟﻔَﻄﻮﺭ ﻓﻲ ﻣﻘﻬﻰ ﺩﺍﺧﻞ ﺍﻟﻤﺤﻄﺔ.
,...ﻭﺍﺗﻔﻖ ﺃﻥَّ ﺟﺪﺭﺍﻥَ ﺍﻟﻤﻘﻬﻰ ﻛﺎﻧﺖ ﻣﺰﻳﻨﺔً ﺑﺄﻟﻮﺍﻥ ﺍﻟﻬﺎﻟﻮﻳﻦ، ﺑﻤﻨﺎﺳﺒﺔ ﺷﻬﺮ ﺃﻛﺘﻮﺑﺮ.
,ﻛﺄﻥَّ ﺫﻟﻚ ﺃﻋﺠﺐ ﻣﺎﺭﻳﺎ ﺑﺸﺪﺓ.
,ﻣﻨﺬ ﺫﻟﻚ ﺍﻟﻮﻗﺖ ﻭﻫﻲ ﺗﺜﻴﺮ ﺟﻠﺒﺔ ﻓﻲ ﺍﻟﻘﻄﺎﺭ ﺗﺮﻳﺪ ﺇﻗﺎﻣﺔ ﺣﻔﻠﺔ ﻫﺎﻟﻮﻳﻦ ﻏﻴﺮَ ﺁﺑﻬﺔٍ ﺑﻨﻈﺮﺍﺕ ﺍﻟﻤﺎﺭﺓ ﺇﻟﻴﻬﺎ.
,ﻋﻴﺪ ﺍﻟﻬﺎﻟﻮﻳﻦ ﺷﺎﺋﻊ ﻓﻲ ﺃﻭﺭﻭﺑﺎ ﻭﺃﻣﺮﻳﻜﺎ، ﻟﻜﻦ ﺍﻟﻴﺎﺑﺎﻧﻴﻴﻦ ﻻ ﻳﻜﺎﺩﻭﻥ ﻳﺴﻤﻌﻮﻥ ﺑﻪ.
,"ﻛﺎﻥ ﺍﻟﺴﻮﻕ ﻣﺰﻳﻨﺎ ﺑﺎﻟﻴﻘﻄﻴﻦ ﺍﻟﺒﺮﺗﻘﺎﻟﻲ، ﻟﻜﻦْ ﻻ ﺃﺛﺮَ ﻟﺤﺸﻮﺩِ ﺍﻷﻃﻔﺎﻝِ ﺍﻟﻤﺘﻨﻜﺮﻳﻦَ ﺍﻟﺬﻳﻦ ﻳﻄﻠﺒﻮﻥَ ﺍﻟﺤﻠﻮﻯ ﻗﺎﺋﻠﻴﻦَ ""ﺧﺪﻋﺔٌ ﺃﻡ ﺣَﻠﻮﻯ""."
Ushiromiya Maria,"""ﺃﻭﻭ! ﺃﺭﻳﺪ ﺣﻔﻠﺔ ﻫﺎﻟﻮﻳــﻦ! ﻻ ﺃﺭﻳﺪ ﺍﺭﺗﺪﺍﺀ ﻫﺬﻩ ﺍﻟﺜﻴﺎﺏ، ﺃﺭﻳﺪ ﺃﻥ ﺃﺑﺪﻭ ﻣﺜﻞ ﺳــﺎﺣــﺮﺓ! ﺃﻭﻭ-ﺃﻭﻭ!"""
Ushiromiya Rosa,"""ﻣﺆﺗﻤﺮ ﺍﻟﻌﺎﺋﻠﺔ ﻟﻴﺲ ﻟﻠَّﻬﻮ. ﺳﻮﻑ ﻧﺮﻯ ﺟﺪﻙ، ﻟﺬﺍ ﻋﻠﻴﻚ ﺍﺭﺗﺪﺍﺀ ﺛﻴﺎﺏ ﺟﻤﻴﻠﺔ."""
,ﺻﺤﻴﺢ ﺃﻥ ﺍﻟﻘﻄﺎﺭ ﻟﻢ ﻳﻜﻦ ﻣﻜﺘﻈﺎ ﺑﺎﻟﻜﺎﻣﻞ، ﻟﻜﻦ ﺍﻟﺮﻛﺎﺏ ﻛﺎﻧﻮﺍ ﻳﺸﻐﻠﻮﻥ ﺃﻛﺜﺮ ﺍﻟﻤﻘﺎﻋﺪ.
,ﺑﻴﻨﻬﻢ ﻣﺎﺭﻳﺎ ﺍﻟﺘﻲ ﻛﺎﻧﺖ ﺗﺜﻴﺮ ﺍﻟﺠﻠﺒﺔ ﺑﺮﻛﻠﻬﺎ ﻣﻘﻌﺪَﻫﺎ ﺑﺎﺳﺘﻤﺮﺍﺭ، ﺑﻴﻨﻤﺎ ﻳﻌﻠﻮ ﺍﻟﻐﻀﺐُ ﻭﺟﻪَ ﺭﻭﺯﺍ.
,ﺃﻣﺮﺗﻬﺎ ﺭﻭﺯﺍ ﻣِﺮﺍﺭﺍً ﺑﺼﻮﺕ ﻣﻨﺨﻔﺾ ﺃﻥ ﺗﺴﻜﺖ، ﻟﻜﻦ ﻣﺎﺭﻳﺎ ﻟﻢ ﺗﻜﻦ ﺗﺴﺘﺠﻴﺐ ﺍﻟﺒﺘﺔ.
,...ﺣﻴﻦ ﺗﺼﻴﺮ ﻣﺎﺭﻳﺎ ﻫﻜﺬﺍ، ﻻ ﻳﻬﻢُّ ﻛﻢ ﺗﺤﺎﻭﻝ ﺇﻓﻬﺎﻣَﻬﺎ ﺍﻟﻤﻮﻗﻒَ ﺃﻭ ﺗﻬﺪﺋﺘَﻬﺎ، ﻓﻬﻲ ﻟﻦ ﺗﻄﻴﻊ.
,ﺳﺎﺑﻘﺎ، ﻛﺎﻧﺖ ﺭﻭﺯﺍ ﺗﺪﻟﻞ ﻣﺎﺭﻳﺎ ﻭﺗﺴﺘﺴﻠﻢ ﻟﺮﻏﺒﺎﺗﻬﺎ ﻓﻲ ﺣﺎﻻﺕ ﻛﻬﺬﻩ.
,ﻟﻜﻦْ، ﻛﺄﻥَّ ﺍﻟﻤﺸﻜﻠﺔ ﻛﺎﻧﺖ ﻫﻨﺎﻙ.
,ﻻ ﺷﻚ ﻓﻲ ﺃﻥَّ ﻣﺎﺭﻳﺎ ﺍﻟﺼﻐﻴﺮﺓَ ﺣﺴﺒﺖْ ﺃﻧﻬﺎ ﺇﻥْ ﺗﺬﻣﺮﺕ ﺑﺼﺨﺐٍ ﻓﺈﻥَّ ﺃﻣﻬﺎ ﺳﺘﺬﻋﻦ ﻭﺗﺴﺘﺠﻴﺐ ﻟﻬﺎ.
,ﻣُﺬْ ﻗﺮﺃﺕ ﺭﻭﺯﺍ ﻋﻦ ﺫﻟﻚ ﺍﻟﺨﻄﺄ ﻓﻲ ﻛﺘﺎﺏ ﺗﺮﺑﻮﻱ، ﺍﺯﺩﺍﺩﺕ ﺣﺰﻣﺎً ﻟﻜﻲ ﻻ ﺗﻔﺴﺪ ﺗﺮﺑﻴﺔ ﻃﻔﻠﺘِﻬﺎ ﺍﻟﺤﺒﻴﺒﺔ...
,ﺃﺧﺬ ﺍﻟﺘﻔﺎﻫﻢ ﺍﻟﻤﺘﺒﺎﺩﻝ ﻣﻊ ﻣﺎﺭﻳﺎ ﻳﺘﻀﺎﺀﻝ ﺷﻴﺌﺎً ﻓﺸﻴﺌﺎً، ﻭﺃﺻﺎﺑﻬﺎ ﻋﺠﺰﻫﺎ ﺑﺎﻹﺣﺒﺎﻁ ﻣﺮﺍﺭﺍً ﻭﺗﻜﺮﺍﺭﺍً...
Ushiromiya Maria,"""ﻫﺎﻟﻮﻳﻦ، ﻫﺎﻟﻮﻳﻦ!! ﺧﺪﻋﺔ ﺃﻡ ﺣﻠﻮﻯ، ﺃﻭﻭ-ﺃﻭﻭ-ﺃﻭﻭ!!"""
Ushiromiya Rosa,"""ﻻ ﺣﻠﻮﻯ ﻟﻚِ! ﺗﻨﺎﻭﻟﺖِ ﺍﻟﻔَﻄﻮﺭ ﻟﻠﺘﻮّ!"""
Ushiromiya Maria,"""ﺧﺪﻋﺔ ﺃﻡ ﺣﻠﻮﻯ! ﺧﺪﻋﺔ ﺃﻡ ﺣﻠﻮﻯ! ﺃﻭﻭ-ﺃﻭﻭ-ﺃﻭﻭ!!"""
,ﺇﺫ ﺗﺮﻛﻞ ﻣﺎﺭﻳﺎ ﻣﻘﻌﺪﻫﺎ، ﺃﺧﺬﺕ ﻋﺠﻮﺯ ﺳﻤﻴﻨﺔ ﻓﻲ ﺍﻟﻤﻘﻌﺪ ﻗﺒﺎﻟﺔ ﻣﺎﺭﻳﺎ ﻗﻄﻌﺔ ﺣﻠﻮﻯ ﻣﻦ ﺣﻘﻴﺒﺘﻬﺎ ﻭﺃﻋﻄﺘﻬﺎ ﻟﻤﺎﺭﻳﺎ.
Ushiromiya Maria,"""ﺃﻭﻭ! ﺣﺼﻠﺖُ ﻋﻠﻰ ﺣﻠﻮﻯ، ﺣﺼﻠﺖُ ﻋﻠﻰ ﺣﻠﻮﻯ! ﺍﻧﻈﺮﻱ، ﺍﻧﻈﺮﻱ، ﻣﺎﻣﺎ، ﻣﺎﻣﺎ! ﻫﺎﻟﻮﻳﻦ ﺳﻌﻴـ~ـﺪ!"""
Ushiromiya Rosa,"""ﻣﺎﺭﻳﺎ! ﻻ ﻳﺠﻮﺯ ﻗﺒﻮﻝ ﺍﻟﺤﻠﻮﻯ ﻣﻦ ﺍﻟﻐﺮﺑﺎﺀ، ﺃﻧﺴﻴﺖ?! ﺃﻋﻴﺪﻳﻬﺎ!!"""
,"""ﻻ ﺑﺄﺱ، ﻫﻮﻩ-ﻫﻮﻩ-ﻫﻮ. ﻳﺎﻟَﻬﺎ ﻣﻦ ﺑﻨﺖٍ ﻣﺮِﺣﺔ. ﻛﻢ ﻋﻤﺮﻫﺎ?"""
