Speaker,Spanish (ES)
,La incómoda atmósfera continuó incluso después de que esos dos se marcharan.
,No podíamos quitarnos de la cabeza la idea de que pensar en quién era el culpable sería lo mismo que decidir de quién dudar... Empezaba a parecer que la discusión sobre el caso era en sí misma un tabú.
,"Así que nadie lo mencionaba, al menos no en voz alta."
,"... Sin embargo, esos pensamientos eran lo que llenaban nuestras mentes.{n}Todo lo que no podíamos decir en voz alta hizo a nuestras cabezas sentir como si estuvieran a punto de explotar..."
,"Así que, al menos por fuera, el salón había recuperado de nuevo su ambiente calmado."
,Aunque todo quedó sin arreglarse.
Ushiromiya George,"""... Parece que la lluvia se ha calmado un poco."""
Ushiromiya Maria,"""¿Uu?... Sigue lloviendo a cántaros. Uu..."""
Ushiromiya Battler,"""Incluso si parara, no hay ningún barco en esta isla... Pero sería bueno que el barco llegara rápido mañana. He tenido suficiente de estas vacaciones en una mansión occidental, ijiji."""
Ushiromiya Jessica,"""Mamá, ¿a qué hora vendrá el barco mañana?"""
Ushiromiya Natsuhi,"""En principio, el barco que les llevaría de vuelta habría llegado hoy a las tres. Probablemente habrán llamado por teléfono para decir que vendrán una vez pase el tifón, pero por desgracia los teléfonos no funcionan..."""
Ushiromiya Natsuhi,"""... Pero ellos no son niños. Se les dijo que trajeran y recogieran a nuestros invitados, así que probablemente lleguen a primera hora mañana por la mañana—supongo que alrededor de las nueve en punto."""
,"Estaba totalmente oscuro afuera.{n}Cuando miré el reloj, me di cuenta de que eran más de las siete.{n}Estaba empezando a tener hambre..."
,"En la cocina, Kumasawa cocinaba con entusiasmo.{n}Ella había preparado una variedad de platos, y aunque no llegaban al nivel de la cocina artística de Gohda, seguían siendo espléndidos."
,"Era un gesto de amabilidad de Kumasawa, que estaba intentando animar a todo el mundo con algo de comida."
,"Kumasawa no tenía el talento de un cocinero profesional como Gohda, pero estaba lejos de ser inexperta."
,"... Al contrario, ya que había sido criada en una aldea de pescadores, la comida simple que ella preparaba era bastante apreciada."
,"Bajo su dirección, Kanon dispuso en los platos la comida que Kumasawa había terminado de preparar."
,"Kanon también ayudaba en la cocina en ocasiones, pero ya que no solía ser colocado en ese papel, era un poco torpe, aunque daba su mejor esfuerzo..."
