Speaker,Arabic (AR)
Ushiromiya Jessica,"""ﺇﻳﻴﻴﻴﻴﻴﻴﻴﻴﻪ؟! ﻣﺎ ﺍﻟﺬﻱ ﺗﻌﻨﻴﻨﻪ ﺑـﺎﻟﻐﺮﻑ ﺍﻟﻤﻨﻔﺼﻠﺔ""؟! ﺇﺫًﺍ، ﻫﻞ ﺗﻌﻤﺪﺕِ ﻳﺎ ﺷﺎﻧﻮﻥ ﺍﻟﻤﺒﻴﺖ ﺃﻧﺖِ ﻭ ﺃﺧﻲ ﺟﻮﺭﺝ ﻓﻲ ﻏﺮﻑٍ ﻣﺨﺘﻠﻔﺔ؟"""
Shannon," ""ﻥ- ......ﻧﻌﻢ... ﺃﻣﻢ، ......ﺃﻛﺎﻥ ﺫﻟﻚ ﻏﺮﻳﺒًﺎ ﺇﻟﻰ ﻫﺬﻩ ﺍﻟﺪﺭﺟﺔ...""    "
," ﺑﻤﺎ ﺃﻥ ﺧﺪﻱ ﺟﻴﺴﻴﻜﺎ ﻛﺎﻧﺎ ﻣﻤﺘﻠﺌﻴﻦ ﺑﻘﻄﻌﺔ ﻣﻦ ﺑﺴﻜﻮﻳﺖ ""ﺗﺸﻴﻨﺴﻮﻛﻮ"" ﺍﻟﻤﻐﻄﻰ ﺑﺎﻟﺸﻮﻛﻮﻻﺗﺔ ﺃﺣﻀﺮﺗﻬﺎ ﺷﺎﻧﻮﻥ ﻛﺘﺬﻛﺎﺭ ﻣﻦ ﺃﻭﻛﻴﻨﺎﻭﺍ ﻓﻘﺪ ﻃﺎﺭ ﺍﻟﻔﺘﺎﺕ ﻓﻲ ﻭﺟﻪ ﺷﺎﻧﻮﻥ ﻋﻨﺪﻣﺎ ﺻﺮﺧﺖ ﺟﻴﺴﻴﻜﺎ..."
Ushiromiya Jessica,"""ﺷﺎ-ﺷﺎﻧﻮﻥ، ﻟﻤﺎﺫﺍ ﺇﺫﻥ ﺗﻜﺒﺪﺗُﻤﺎ ﺍﻟﺬﻫﺎﺏ ﻓﻲ ﺭﺣﻠﺔ ﺇﻟﻰ ﺃﻭﻛﻴﻨﺎﻭﺍ..؟ ﻭﻟﻮﺣﺪﻛﻤﺎ ﺃﻳﻀًﺎ، ﺃﻧﺖِ ﻭﺃﺧﻲ ﺟﻮﺭﺝ!"""
Shannon,"""ﻫﺬﺍ ﻷﻥ... ﺃﻋﻨﻲ... ﺑﻤﺎ ﺃﻥ ﻫﻨﺎﻙ ﺣﻮﺽ ﺃﺳﻤﺎﻙ ﺿﺨﻤًﺎ ﻓﻲ ﺃﻭﻛﻴﻨﺎﻭﺍ، ﻓﻘﺪ ﺩﻋﻴﺖُ ﻟﻠﺬﻫﺎﺏ ﺇﻟﻴﻪ ﻭ...ﺃﻧﺎ... ﺃﺣﺐ ﺍﻷﺳﻤﺎﻙ ﻭﻣﺎ ﺷﺎﺑﻪ..."""
Ushiromiya Jessica,"""ﻻ، ﻟﻴﺲ ﻫﺬﺍ ﻣﺎ ﺃﻋﻨﻴﻪ...!! ﺃﻟﻢ ﺗﻜﻦ ﻫﺬﻩ ﺭﺣﻠﺔ ﻟﺤﺒﻴﺒﻴﻦ ﺷﺎﺑﻴﻦ ﻟﻘﻀﺎﺀ ﺍﻟﻠﻴﻠﺔ ﻣﻌًﺎ؟! ﻭﺗﻘﻮﻟﻴﻦ ﺇﻧﻪ ﻟﻢ ﻳﻜﻦ ﻫﻨﺎﻙ ﺃﻱ ﻋﻨﺎﻕ ﺃﻭ ﻗﺒﻼﺕ؟! ﻧﺎﻫﻴﻚ ﻋﻦ ﻣﺒﻴﺘﻜﻤﺎ ﻓﻲ ﻏﺮﻓﺘﻴﻦ ﻣﻨﻔﺼﻠﺘﻴﻦ!!"""
Shannon,"""ﺃﻣﺎ ﺑﺨﺼﻮﺹ ﺍﻟﻘـ... ﺍﻟﻘﺒﻼﺕ، ﻓﻼ ﺗﻌﻠﻴﻖ. ""...ﺁﻩ، ﻟﻜﻨﻨﺎ ﺗﻌﺎﻧﻘﻨﺎ...؟ ﻛﺎﻥ ﺻﺪﺭ ﺟﻮﺭﺝ-ﺳﺎﻥ ﺩﺍﻓﺌًﺎ..."""
Ushiromiya Jessica,"ﻟﻴﺲ ﻫﺬﺍ ﻣﺎ ﺃﺗﺤﺪﺙ ﻋﻨﻪ!! ﺍﺍﻩ, ﻳﺎ ﺇﻟﻬﻲ! ﻟﻤﺎﺫﺍ ﻳﻮﺟﺪ ﻋﺸﺎﻕ ﻣﺜﻞ ﻫﺆﻻﺀ؟! ﺍﺍﺍﻩ، ﻳﺎ ‘ﺇﻟﻬﻲ!! ﺣﻘﺎ ﺍﻧﻪ ﺃﻣﺮ ﻣﺰﻋﺞ ﻟﻠﻐﺎﻳﺔ!"""
, ﻣﻦ ﻣﻨﻈﻮﺭ ﺷﺎﻧﻮﻥ، ﻛﺎﻧﺖ ﺭﺣﻠﺔ ﺳﻌﻴﺪﺓ ﻣﻠﻴﺌﺔ ﺑﺎﻟﺬﻛﺮﻳﺎﺕ ﺍﻟﺠﻤﻴﻠﺔ، ﻟﻜﻦ ﻳﺒﺪﻭ ﺃﻥ ﺟﻴﺴﻴﻜﺎ ﺷﻌﺮﺕ ﺑﺄﻧﻬﺎ ﻓﺮﺻﺔ ﺿﺎﺋﻌﺔ ﺗﻤﺎﻣًﺎ، ﻣﻤﺎ ﺧﻴﺐ ﻇﻨﻬﺎ.
,ﻇﻠّﺖ ﺗﻤﻀﻎ ﻗﻄﻊ ﺍﻟﺒﺴﻜﻮﻳﺖ ﺍﻟﺘﻲ ﺟﻠﺒﺘﻬﺎ ﺷﺎﻧﻮﻥ، ﻣﺘﻠﻮﻳﺔً ﻋﻠﻰ ﺳﺮﻳﺮﻫﺎ ﻭﻫﻲ ﺗﺘﺬﻣﺮ ﻣﻦ ﺭﻭﻣﺎﻧﺴﻴﺔ ﺻﺪﻳﻘﺘﻬﺎ.
,ﺍﺧﺘﺎﺭﺕ ﺷﺎﻧﻮﻥ ﻭﺟﻮﺭﺝ ﺍﻟﺬﻫﺎﺏ ﺇﻟﻰ ﺃﻭﻛﻴﻨﺎﻭﺍ ﺑﺴﺒﺐ ﻭﺟﻮﺩ ﺣﻮﺽ ﺃﺳﻤﺎﻙ ﺿﺨﻢ ﻫﻨﺎﻙ.
,ﺫﻟﻚ ﻷﻥ ﻟﻘﺎﺋﻬﻤﺎ ﺍﻷﻭﻝ ﻛﺎﻥ ﻗﺪ ﺩﺍﺭ ﺣﻮﻝ ﺣﻮﺽ ﺃﺳﻤﺎﻙ.
,ﺑﻤﺎ ﺃﻥ ﺍﻟﺒﺪﺍﻳﺔ ﻛﺎﻧﺖ ﻓﻲ ﺣﻮﺽ ﺃﺳﻤﺎﻙ، ﻓﻼ ﺑﺪ ﺃﻥ ﻗﻀﺎﺀ ﺃﻭﻝ ﺭﺣﻠﺔ ﻟﻬﻤﺎ ﻫﻨﺎﻙ ﺃﻳﻀًﺎ ﺣﻤﻞ ﻣﻌﻨﻰً ﺧﺎﺻًﺎ ﻟﻬﻤﺎ.
Ushiromiya Jessica,"""ﻛﺎﻧﺖ ﻫﺬﻩ ﺭﺣﻠﺘﻜﻤﺎ ﺍﻟﺘﺬﻛﺎﺭﻳﺔ، ﻧﻘﻄﺔ ﺗﺤﻮﻟﻜﻤﺎ! ""ﺃﻭﻝ ﺭﺣﻠﺔ ﻟﻜﻤﺎ ﻣﻌًﺎ ﺧﺎﺭﺝ ﺍﻟﻤﻨﺰﻝ!! ﺃﻟﻢ ﻳﻜﻦ ﻳﺠﺐ ﺃﻥ ﻳﻜﻮﻥ ﻫﻨﺎﻙ ﺗﻘﺪﻡ ﻓﻲ ﺍﻟﻌﻼﻗﺔ؟!"""
