Speaker,Spanish (ES)
{f:5:Beatrice},"""¿Qué clase de té debería preparar a continuación? Eres libre de elegir cualquier marca de té que haya habido a lo largo de los tiempos."""
,"""Té de ciruela seca... Esas ciruelas secas que valen 200 yenes por paquete."""
{f:5:Beatrice},"""¡*carcajada*carcajada*! Por mil años he gustado del té negro, pero nunca había sabido de algo así. Jamás me cansaré de vivir en este mundo."""
,"""Beato... No tienes que mostrar tal hostilidad. Solo soy una Bruja Viajera. No vine con la intención de violar las reglas de tu territorio."""
{f:5:Beatrice},"""*carcajada*carcajada*, no hay ni una pizca de hostilidad. Solo es de mi preocupación ver que la bruja legendaria, Lady {f:5:Bernkastel}, sea bien atendida."""
{f:5:Bernkastel},"""Tú no lo entiendes. Estoy indefensa. Ante una bruja como tú, con el temible poder de matar a una persona cientos de veces, estoy completamente indefensa."""
{f:5:Beatrice},"""Que una bruja ""indefensa"" como tú posea un poder al que nadie se puede acercar es lo verdaderamente temible. Después de todo, fuiste victoriosa ante aquella Gran Bruja, Lady {f:5:Lambdadelta}, como una solitaria pieza."""
{f:5:Bernkastel},"""Yo solo gané un concurso de resistencia. Ella simplemente se cansó."""
{f:5:Beatrice},"""Aunque eso no es lo que dijo Lady {f:5:Lambdadelta}. *carcajada*carcajada*carcajada*, demasiada humildad puede ser indecorosa, Lady {f:5:Bernkastel}."""
{f:5:Bernkastel},"""Esa chica tiene un poder temible. El poder de matar a una persona ""sin falta"". No obstante, no existe tal cosa como ""sin falta"" en este mundo. Al igual que, no importa cuantas veces dividas 1, nunca lo puedes llevar a 0."""
{f:5:Bernkastel},"""Esa chica tiene el poder de llevarlo más y más cerca a ""virtualmente cero"", y dar lugar a una ""virtualmente absoluta certeza"". Espero no tener que volver luchar contra una bruja tan temible."""
{f:5:Beatrice},"""Sin embargo, tienes un poder que se manifiesta sin falta ""excepto por cero"". Aunque dices que no hay tal cosa como ""sin falta"" en este mundo, tú misma posees un poder infalible. ¡Qué aterrador, *carcajada*carcajada*carcajada*!"""
{f:5:Bernkastel},"""El poder de matar a una persona ""interminablemente""... Yo creo que tú eres la más aterradora."""
{f:5:Beatrice},"""Vaya broma... Desde tu punto de vista, este poder mío no es más que insignificante. Estos no son más que halagos vacíos."""
{f:5:Bernkastel},"""Llámalo un pago por mi estadía aquí. Soy una viajera fugitiva quien cruza los {ruby:kakera:Fragmentos}, huyendo continuamente del aburrimiento. Simplemente vine porque escuché que habías empezado algo interesante. Te aseguro que me iré por cuenta propia tan pronto como me aburras."""
{f:5:Beatrice},"""¡*carcajada*carcajada*! Estoy profunda y humildemente encantada de tener a la gran Lady {f:5:Bernkastel} como una observadora. ¡*carcajada*carcajada*! Y entonces, ¿tu impresión?"""
{f:5:Bernkastel},"""{f:5:Lambdadelta} es aterradora por su crueldad; sin embargo, es una chica a la que puedo entender. Pareces poseer afecto, pero no te entiendo en absoluto. Por eso eres mucho más aterradora que ella."""
{f:5:Beatrice},"""¡*carcajada*carcajada*carcajada*! Soy voluble por naturaleza. Mis disculpas. Además, creo que también disfrutas confiar tu destino al incierto tiro de los dados. ¿No es así, Lady {f:5:Bernkastel}?"""
{f:5:Bernkastel},"""Cuando tiro los dados, tengo una tirada a la que claramente quiero llegar. A diferencia de ti. Tú, por otra parte, anticipas todos los resultados."""
{f:5:Bernkastel},"""Y, sin importar la tirada, nunca te decepcionas. Sin importar lo que el dado muestre, estás satisfecha ""sin falta"". En ese sentido, me superas por mucho."""
