Speaker,Spanish (ES)
,... Era... una habitación oscura.
,"No había ventanas, y con la débil bombilla, solo se podía vislumbrar vagamente el estado de sus alrededores."
,"Parecía ser un almacén subterráneo viejo y olvidado, con algunos muebles polvorientos arrojados al azar aquí y allá..."
,"Sin embargo, incluso con poca luz, se podía decir que probablemente el lugar no servía de almacén."
,... Porque esa habitación estaba sellada por barras de acero.
Ushiromiya Kyrie,"""... ¿Dónde... se encuentra este lugar?..."""
Ushiromiya Krauss,"""No lo sé... Me pregunto si este lugar está debajo de la mansión... ¿Había una habitación de este tipo... directamente debajo del comedor?..."""
,"Habían caído en lo que parecía ser un hoyo, y {i:aterrizado} en la habitación."
,"Por lo tanto, era apropiado pensar que esta habitación estaba directamente debajo del comedor."
,"... Sin embargo, ni siquiera Krauss podía permitirse creer que había trampas escondidas en su querido comedor, donde había disfrutado sus comidas por años, y que directamente debajo de este se encontraba esta habitación que parecía ser un calabozo."
,Pero el techo que se encontraba sobre él estaba hecho de piedra en bruto... y no podía entender cómo era posible que hubieran caído por ese lugar.
,"No, las cinco personas que habían sido lanzadas a ese lugar pensaron lo mismo."
,"Aunque ellos habían tenido la sensación de caer en un hoyo... no era posible que hubiera trampas en el comedor, y tampoco podía estar este calabozo directamente debajo de él."
,"... Pero, la verdad era que {i:habían} caído a este lugar y estaban encerrados.{n}... Y así... habían estado confundidos."
Nanjo Terumasa,"""... Es afortunado que nadie quedara lastimado después de caer desde tal altura..."""
Ushiromiya Krauss,"""... Shannon, Kanon. ¿Alguno de ustedes sabía de este lugar?..."""
Kanon,"""... No. Nosotros tampoco sabíamos de este lugar."""
Ushiromiya Kyrie,"""... ¿En serio?..."""
Shannon,"""E-En serio... En serio... no sabíamos de un lugar como este..."""
,"Aparentemente Kyrie había pensado que había una alta probabilidad de que, a pesar de sus edades, como sirvientes con el permiso de portar el Águila de un Ala, pudieran saber de los trucos secretos de la mansión."
,"Hubo un largo silencio, como si Krauss estuviera evaluando esa respuesta..."
Ushiromiya Krauss,"""... No, probablemente es verdad que no lo sepan. Después de todo, estamos hablando de Shannon, la fanática de la limpieza."""
Ushiromiya Krauss,"""Si ella supiera de esta habitación, probablemente restregaría este lugar hasta dejarlo brillante. La suciedad de este lugar es prueba de que ustedes dos no lo conocían... Más importante que eso, creo que deberíamos preocuparnos por lo que debemos hacer ahora."""
Nanjo Terumasa,"""E-Exactamente... Necesitamos llamar a la policía... O-O más bien suministrar primeros auxilios lo más pronto posible..."""
,Las palabras de Nanjo estaban huecas.
,... Obviamente.
,Seis personas habían sido asesinadas en el comedor.{n}Todos habían visto el momento exacto en el que habían sido asesinadas.
,"Además, ya que la mitad de sus cabezas habían sido destruidas, cualquiera se daría cuenta de que las muertes habían sido instantáneas con solo dar un vistazo."
,Todos entendían que dar primeros auxilios seria inútil.
Ushiromiya Kyrie,"""Gracias, doctor Nanjo... Entendemos que nuestras parejas ya no se encuentran con vida... Gracias por intentar consolarnos al mencionar primeros auxilios."""
Ushiromiya Krauss,"""... Natsuhi..."""
,"Una vez más, un melancólico silencio se apoderó de ellos."
,"Pero Krauss sacudió su cabeza fuertemente una y otra vez, por el momento... decidió olvidar el dolor de perder a su esposa, y dedicarse a averiguar en qué lugar se encontraban."
Ushiromiya Krauss,"""Todos, escúchenme... Padre... ya no tiene esperanza. Ya no hay... manera de pedirle que entre en razón o... que dé explicación alguna."""
,Nadie respondió.
,"... Sin discusión o piedad alguna, seis personas habían sido asesinadas en un instante."
,"Y, Kinzo había estado tan resuelto como para proclamar que nos convertiríamos en sacrificios de una ceremonia que involucraba 13 asesinatos."
,"... Ya que hemos sido encerrados en este lugar, probablemente nos convertiremos en los siguientes sacrificios de la ceremonia en cuanto lo ordene."
,"Para ese entonces, nuestros ojos se habían acostumbrado a la oscuridad... y, poco a poco, pudimos entender más acerca del interior del calabozo."
,... Lo que en un principio pensamos que solo eran muebles olvidados en el interior del calabozo terminó siendo otra cosa.
,"Eran... objetos parecidos a cajas pequeñas para encerrar a personas dentro, camas y sillas con grilletes, o... potros de tortura."
,"... En cualquier caso, era obvio que estábamos en un lugar más horripilante que una simple celda de cárcel."
,"Ya que los objetos estaban oxidados y cubiertos por una gruesa capa de polvo, no había duda de que habían sido olvidados."
,"... Tal vez incluso se le podría llamar a estas cosas ""La locura sellada y olvidada de Kinzo""."
,"Sin embargo, habíamos sido encerrados en esta habitación."
,"... Esos objetos no eran exactamente reconfortantes para alguien que estuviera encerrado, y con esperanzas de ser liberado sin daños..."
Ushiromiya Krauss,"""... Como sea, vayámonos de aquí. Hemos perdido a amigos y seres queridos, y ciertamente me gustaría tomarme algo de tiempo para derramar unas cuantas lágrimas, pero más que eso... estoy preocupado por los niños."""
Shannon,"""... M-Me pregunto si estarán a salvo..."""
Ushiromiya Krauss,"""Todo lo que podemos hacer es rezar por ellos... Ahora que lo pienso, Kumasawa y Gohda no están aquí."""
Shannon,"""Tal vez... pudieron escapar a salvo..."""
Nanjo Terumasa,"""Nunca se sabe. Sería un alivio si fueron capaces de encontrarse con los niños..."""
Shannon,"""En casos como este, Gohda-san es de confianza, y Kumasawa-san es sabia y calmada... Estoy segura de que les serán de ayuda..."""
Ushiromiya Krauss,"""... Jajajaja. Eso es bueno."""
,"Shannon y Krauss sonrieron un poco con amargura. Pero rápidamente se dieron cuenta de lo inapropiado que eso era, y se detuvieron, aclarándose la garganta."
Kanon,"""... No podemos ser optimistas, Nee-san. Existe la posibilidad de que ya hayan sido atacados."""
Ushiromiya Kyrie,"""Estoy de acuerdo. Lo que padre llevó a cabo en el comedor fue... el ritual de los seis asesinatos del primer crepúsculo en el epitafio de la bruja, ¿cierto? Entonces, en el segundo crepúsculo se debe de ""separarán a los dos que están unidos""."""
Ushiromiya Kyrie,"""... No podemos negar la posibilidad de que Gohda-san y Kumasawa-san hayan sido asesinados después de escapar juntos... No podemos aferrarnos a la idea optimista de que definitivamente llegaron a la casa de huéspedes y se encuentran protegiendo a los niños."""
,Kyrie analizó fríamente el peor de los casos.
,"Para ella, era desgarrador el haber perdido a su amado esposo.{n}... Pero justo ahora, lo más importante era proteger al hijo de su esposo, y a los otros niños, de convertirse en los sacrificios del demente líder de la familia."
,Superó su tristeza con el impulso parental de proteger del dolor a los niños.
,"... Al parecer Kyrie y Krauss eran lo suficientemente fuertes como para olvidarse de su pesar, aunque fuera solo por el momento..."
,Más tarde les permitirían fluir a sus lágrimas.
,"... Para poder proteger a sus niños, debían actuar."
Ushiromiya Krauss,"""De cualquier forma, salgamos de aquí... Parece ser una celda bastante vieja. ¿No podremos romper los barrotes con algo? Intentemos buscar por toda la habitación para encontrar una forma de escapar."""
Ushiromiya Kyrie,"""Hay toda clase de basura en este lugar Me pregunto si habrá alguna clase de herramienta que podamos usar. Puede que haya algo que podamos usar como arma o para romper los barrotes."""
,Kyrie sacó un encendedor de su bolsillo.
,"Ella no fumaba, pero guardaba uno en su bolsillo para encender los cigarros de Rudolf."
,... Era una fuente de luz extremadamente valiosa para buscar en este oscuro calabozo.
Ushiromiya Krauss,"""Shannon, ayuda a Kyrie-san a explorar la habitación. Kanon, me ayudarás a examinar los barrotes. Esta es una celda bastante vieja, algunos podrían estar flojos."""
Nanjo Terumasa,"""¿C-Con qué debería ayudar?..."""
Ushiromiya Krauss,"""Por favor, solo mantente con energías... Padre probablemente vendrá muy pronto. Eres la única persona cuyas palabras pueden alcanzarle. En cierto modo, puede que estés sosteniendo nuestras vidas en tus manos."""
Nanjo Terumasa,"""... Creo que... mis palabras, ya no le alcanzarán. Lo siento, pero no creo que vaya a ser de utilidad..."""
Ushiromiya Kyrie,"""Entonces préstenos su experiencia como doctor... Me pregunto si hay alguna droga que provoque desmayos instantáneos."""
Shannon,"""... ¿Una droga que provoque desmayo instantáneo?... ¿De qué está hablando?..."""
Ushiromiya Kyrie,"""Según creo caímos por un hoyo, y aterrizamos en este calabozo... En ese lugar rodeado de pánico, eso es lo que creímos que sucedió."""
Ushiromiya Kyrie,"""... Pero, estimé la amplitud de este lugar, y llegué a una conclusión. Este calabozo no puede estar debajo del comedor."""
Shannon,"""¿Por qué dice que no puede estarlo?..."""
Kanon,"""... Eres una idiota, Nee-san. Si lo comparas con el comedor, este calabozo es demasiado estrecho."""
Ushiromiya Kyrie,"""Exactamente. La primera persona en caer fue Krauss nii-san. La segunda fui yo. Después de caer, ¿te moviste de ese lugar, Krauss nii-san?"""
Ushiromiya Krauss,"""... Es vergonzoso decirlo, pero la caída dolió bastante, y me quedé allí tirado gimiendo de dolor. Inmediatamente después de eso, Kyrie-san cayó estrellándose cerca de donde estaba."""
Ushiromiya Kyrie,"""La distancia entre el lugar en donde nos encontrábamos y el lugar en donde caímos es claramente extraña."""
Nanjo Terumasa,"""C-Ciertamente, cuando lo ves de ese modo... Fui el siguiente en caer, así que recuerdo bastante bien en dónde ustedes dos estaban de pie... La distancia entre ustedes dos en el comedor puede que incluso haya sido mayor que este cuarto entero."""
Ushiromiya Kyrie,"""Caímos en un hoyo, y aterrizamos directamente aquí... No es como si hubiéramos caído deslizándonos en múltiples tuberías entrelazadas, y reunido aquí."""
Ushiromiya Kyrie,"""La caída fue instantánea, ¿cierto? No recuerdo haber rodado en alguna clase de elaborado sistema de tuberías."""
Ushiromiya Krauss,"""... Cierto, no podemos explicarlo con una simple caída en línea recta... Qué historia tan extraña."""
Shannon,"""¿Qué es lo que tiene que ver eso... con la droga que hace que las personas se desmayen instantáneamente de la que Kyrie-sama estaba hablando?..."""
Kanon,"""... Kyrie-sama probablemente está pensando que no había trampas en el comedor, ¿correcto?"""
Ushiromiya Krauss,"""Pero en realidad, caímos."""
Ushiromiya Kyrie,"""Para decirlo con precisión, tuvimos la sensación de caer en un hoyo... Obviamente. Esa es la única forma en la que podemos describir esa experiencia."""
Nanjo Terumasa,"""Y-Ya veo... En otras palabras, intenta decir que..."""
Nanjo Terumasa,"""No caímos en un hoyo... Fuimos atacados por algo, un lanza dardos o cerbatana por ejemplo, y perdimos la conciencia instantáneamente. Puede ser que solo recordamos el instante en el que caímos al suelo como si estuviéramos cayendo a través de un hoyo..."""
Ushiromiya Krauss,"""... Ya veo. Ese es un argumento mucho más persuasivo que proponer la existencia de numerosas trampas en el comedor que nunca hemos notado, incluso después de décadas de comer allí."""
