Speaker,Spanish (ES)
,"Afuera, la lluvia había comenzado a caer con fuerza."
,"Sin embargo, dentro de la habitación de los primos, todo era ruidos y alegría."
,"Podrían haber estado lloviendo lanzas, y nadie habría prestado atención."
Ushiromiya Battler,"""¡¡Ijijiii!! ¡¡<Full hou~se>!! ¡Tomen eso!"""
Ushiromiya George,"""Guao. ¡No fanfarroneabas!..."""
,"Los primos estaban llenos de energía, sentados en círculo sobre la cama."
Ushiromiya Jessica,"""¡Y yo que pensaba que Battler siempre tenía una mano basura cada vez que se hacía el rudo!..."""
Ushiromiya Battler,"""Por supuesto, ¡he estado perdiendo todo este tiempo solo para hacerte creer eso! ¡Ushiromiya Battler, el hombre que pierde estratégicamente para ganar al final! ¡Ijiji!"""
Ushiromiya Maria,"""Uu, ¡Battler es asombroso!... Todas las monedas de María se fueron otra vez."""
Ushiromiya Jessica,"""Te daré algunas de las mías. Aplastemos a Battler juntas, ¿está bien?"""
,"Solo con una baraja de cartas, los primos podían divertirse durante horas."
,Estaban tan absortos que los truenos ocasionales apenas se percibían como estática de fondo.
Ushiromiya George,"""Me está empezando a dar hambre. Me pregunto si la cena estará lista."""
Ushiromiya Jessica,"""Quién sabe. Debería estar lista pronto. Gohda‐san y los demás realmente lo dieron todo para esta noche."""
Ushiromiya Battler,"""Jeje, lo que significa que tenemos mucho que esperar. ¿Es para celebrar mi tan ansiado regreso?"""
Ushiromiya George,"""Escuché de Shannon hace un momento que será una fiesta de Halloween. Pondrán un bufé en el salón. Suena increíble."""
Ushiromiya Maria,"""¡¿Una fiesta de Halloween?! ¡¡Sorprendente, guau, uu‐uu‐uu!!"""
Ushiromiya Jessica,"""¿Mmm? ¿Hola? ¿Quién es?"""
,"Hubo un golpe, la puerta se abrió y allí estaba Ange."
,Había estado durmiendo en la habitación de sus padres.
Ushiromiya Battler,"""Oh, ¡eres tú, Ange! Conque ya despertaste."""
Ushiromiya Ange,"""Um, dijeron que es hora de la cena, así que tenemos que ir a la mansión. Dijeron que nos preparáramos."""
Ushiromiya Maria,"""¡¡Uu‐uu‐uu!! ¡¡Comida, comida~!! ¡¡Tengo hambre~~!!"""
,"Quizá porque era la más hambrienta, María celebraba con más entusiasmo que nadie."
,Saltó felizmente de la cama.
,"Mientras los demás se levantaban de las suyas y comenzaban a ponerse los zapatos, Kyrie y Rudolf aparecieron."
Ushiromiya Rudolf,"""Oigan, mocosos. Hora de comer, prepárense."""
Ushiromiya Kyrie,"""Parece que hoy será muy especial. No puedo esperar para verlo."""
Ushiromiya Maria,"""¡¡Uu!! ¡María lo sabe! ¡Es una fiesta de Halloween!"""
Ushiromiya Ange,"""... ¿Una fiesta de Halloween?"""
Ushiromiya Maria,"""¡Kijjijijijiji! María sabe, y Ange no. Kijjijijiji."""
Ushiromiya Ange,"""Mamá, ¿qué es una fiesta de Halloween?"""
Ushiromiya Kyrie,"""¿Quién sabe? Tendremos que ir y verla nosotros mismos."""
Ushiromiya Hideyoshi,"""¿To’s listos? Ya es hora de irnos."""
Kanon,"""¿Están todos aquí? Por favor, síganme."""
Ushiromiya Rosa,"""María, ven aquí. Tu cuello está torcido."""
Ushiromiya Eva,"""Ah, tengo tanta hambre. La comida es la mejor parte de estas conferencias familiares. ¿Tú también tienes hambre, Ange‐chan?"""
,Eva sonrió a Ange.
Ushiromiya Ange,"""... Sí. Me ruge la pancita."""
Ushiromiya Kyrie,"""Ange. ‘Sí, tengo’, ¿no?"""
Ushiromiya Eva,"""*risita*. No te preocupes por eso. Sí, apuesto a que mueres de hambre. Mi estómago también está gruñendo."""
Ushiromiya Rudolf,"""Bien, salgamos de aquí. Parece que el viento sopla con fuerza. Asegúrense de no perder sus paraguas."""
Kanon,"""Por favor, tomen todos un paraguas."""
Ushiromiya Eva,"""Aquí está el tuyo, Ange‐chan."""
Ushiromiya Ange,"""Gracias, tía Eva."""
Ushiromiya Eva,"""*risita*... Ah, las niñas son realmente adorables. Ven a jugar a la casa de tu tía algún día. Es una promesa, ¿de acuerdo?"""
Ushiromiya Battler,"""... Parece que a la tía Eva le ha caído bien Ange."""
Ushiromiya George,"""Sí. Por lo visto, a mi madre realmente le hubiera gustado tener una niña."""
Ushiromiya Jessica,"""Ah, yo también he escuchado eso. Creo que también me mimaba cuando era pequeña."""
Ushiromiya Maria,"""Mi mamá dijo que en realidad quería un hijo, ¡uu!"""
Ushiromiya Rosa,"""Si tu hijo crece feliz, no importa si es niño o niña. María es mi precioso, precioso regalo de Dios."""
,"Cuando salieron, el viento era bastante fuerte."
,"Eva, quien ahora realmente había congeniado con Ange, ofreció compartir un paraguas con la pequeña."
,"Era difícil saber de qué estaban charlando tan ansiosamente, pero parecía que ya se llevaban de maravilla."
,Battler abrió su paraguas mientras presenciaba esto.
,"Su hermanita era adorable cuando se aferraba a él, pero era igual de linda y encantadora cuando miraba a otra persona con una feliz sonrisa."
,"El viento y la lluvia eran fuertes, pero incluso esto debió haber sido el condimento perfecto para aumentar su expectativa por la comida que se venía..."
,"Gracias a algunas decoraciones festivas, el salón principal se había transformado en la escena de una fiesta de Halloween."
,"Por norma general, la familia Ushiromiya siempre alojaba sus comidas en el comedor."
,Esta era mi primera vez viendo una fiesta estilo bufé en el salón principal.
{f:5:Beatrice},"""¡Saludos, Battleeer! ¡Oh, María! ¡Cuánto tiempo sin vernos!..."""
Ushiromiya Maria,"""¡¡Beato!! ¡Feliz Halloween! ¡¡Truco o trato!!..."""
{f:5:Beatrice},"""*carcajada*carcajada*. Tengo algunos dulces para ti, pero ahora no es momento. Después de todo, ya estamos por comer."""
Ushiromiya Rosa,"""*risita*. Gracias, {f:5:Beatrice}‐san. Veo que estás tan hermosa como siempre."""
{f:5:Beatrice},"""¡Igualmente, Rosa! Nadie creería que eres madre. ¡Wajaja!"""
Ushiromiya Battler,"""¿Has estado bebiendo? Tus orejas se ven bastante rojas."""
