Speaker,Arabic (AR)
Ronove,"""ﺻﺒﺎﺡ ﺍﻟﺨﻴﺮ ﻳﺎ ﺳﻴﺪﺗﻲ. ﻳﺎ ﺇﻟﻬﻲ، ﺗﺒﺪﻳﻦ ﻓﻲ ﻣﺰﺍﺝٍ ﺟﻴﺪ. ﻳﺒﺪﻭ ﺃﻧﻚِ ﺣﻈﻴﺖِ ﺑﻨﻮﻡٍ ﻫﻨﻲﺀ."""
{f:5:Beatrice},"""ﻟﻢ ﺃﻧﻢ ﺃﺻﻼً...! ﻛﻨﺖ ﻣﺘﺤﻤﺴﺔ ﻟﺪﺭﺟﺔ ﺃﻧﻪ ﻟﻢ ﻳﻐﻤﺾ ﻟﻲ ﺟﻔﻦ.  ﻟﻘﺪ ﻏﻤﺮﻧﻲ ﺍﻟﺤﻤﺎﺱ ﻟﻠﻤﺘﻌﺔ ﺍﻟﺘﻲ ﺳﺄﺣﻈﻰ ﺑﻬﺎ ﺑﻌﺪ ﺭﻓﻊ ﺍﻟﺴﺘﺎﺭ ﻋﻦ ﺍﻟﻠﻌﺒﺔ ﺍﻟﺮﺍﺑﻌﺔ...!"""
,ﻳﺒﺪﻭ ﺃﻧّﻬﺎ ﻣﻦ ﺷﺪّﺓ ﺣﻤﺎﺳﻬﺎ ﻟﻢ ﺗﻨﻢ.
,ﻟﻤﺎﺫﺍ ﻻ ﻳﻈﻬﺮ ﻋﻠﻰ ﻭﺟﻬﻬﺎ ﻋﻼﻣﺎﺕ ﻗﻠﺔ ﺍﻟﻨﻮﻡ؟ ﺃﺑﺴﺒﺐ ﺻﻐﺮ ﻋﻤﺮﻫﺎ ﺃﻡ ﻋﻘﻠﻬﺎ؟
,ﻓﻀﻞ ﺭﻭﻧﻮﻑ ﻋﺪﻡ ﺍﻟﺠﻬﺮ ﺑﺬﻟﻚ ﻭﺍﻟﻀﺤﻚ 'ﺑﻮ ﻛﻮ ﻛﻮ'.
{f:5:Beatrice},"""ﻟﻘﺪ ﺩﻋﺴﺖُ ﺑﺎﺗﻠﺮ ﺗﻤﺎﻣًﺎ ﻓﻲ ﺍﻟﻤﺮﺓ ﺍﻟﻤﺎﺿﻴﺔ! ﺗﻠﻚ ﺍﻟﻨﻈﺮﺓ ﻋﻠﻰ ﻭﺟﻬﻪ ﻋﻨﺪﻣﺎ ﻗﺎﻝ 'ﻟﻘﺪ ﺧﺪﻋﺘﻨﻲ'، ﻛﺎﻧﺖ ﻣﺜﻴﺮﺓً ﻟﻠﺸﻔﻘﺔ! ﺑﺄﻳﺔ ﺣﺎﻝ، ﻫﻞ ﻣﺎ ﺯﺍﻝ ﻣﺘﻜﺪﺭًﺍ؟"""
Ronove,"""ﺃﺗﻘﻮﻟﻴﻦ ﻣﺘﻜﺪﺭًﺍ...؟"""
{f:5:Beatrice},"""ﻫﻤﻢ، ﺣﺴﻨًﺎ، ﻛﻴﻒ ﺃﻗﻮﻟﻬﺎ. ...ﺇﻧّﻪ ﻳﻤﺘﻠﻚ ﻗﻠﺒًﺎ ﺑﺮﻳﺌًﺎ ﺑﺎﻟﻨﺴﺒﺔ ﻟﻌﻤﺮﻩ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟"""
Ronove,"""ﻓﻌﻼً. ﻳﻤﻜﻨﻚ ﺍﻟﻘﻮﻝ ﺃﻥ ﺫﻟﻚ ﺳﺮ ﺟﺎﺫﺑﻴﺘﻪ. ﺑﻮ ﻛﻮ ﻛﻮ..."""
{f:5:Beatrice},"""*ﻗﻬﻘﻬﺔ*ﻗﻬﻘﻬﺔ*ﻗﻬﻘﻬﺔ*! ﻓﻌﻼً، ﻓﻌﻼً! ﺣﺴﻨًﺎ، ﺑﺎﻟﺤﺪﻳﺚ ﻋﻨﻪ. ﺑﺮﺃﻳﻚ، ﺃﻟﻢ ﺗﻨﻄﻠﻲ ﻋﻠﻴﻪ ﺍﻟﺨﺪﻋﺔ ﺗﻤﺎﻣًﺎ؟"""
Ronove,"""ﻧﻌﻢ، ﻟﻘﺪ ﺧﺪﻋﺘﻪ ﺗﻤﺎﻣًﺎ. ...ﻟﻘﺪ ﺩﻧﺴﺖِ ﺑﻔﻌﻠﺘﻚ ﻃﻬﺎﺭﺓ ﻭﺑﺮﺍﺀﺓ ﻓﺘﻰً ﻟﻢ ﺗﻨﻄﻞِ ﻋﻠﻴﻪ ﺧﺪﻋﺔٌ ﻗﻂ ﻣﻨﺬ ﻭﻻﺩﺗﻪ، ﺭﻏﺒﺔً ﻓﻲ ﺇﺭﺿﺎﺀ ﻣﺘﻌﺔ ﻗﻠﺒﻚ."""
Ronove,"""............ﻣﺎ ﻓﻌﻠﺘﻪ ﻻ ﻳﻀﺎﻫﻲ ﻓﺮﺣﺘﻚ ﻓﻲ ﺍﻟﺠﺮﻱ ﻭﺍﻟﺪﻭﺱ ﻋﻠﻰ ﺍﻟﺤﻘﻮﻝ ﺍﻟﻤﻐﻄﺎﺓ ﺑﺜﻠﺞٍ ﻣﻨﻌﺶٍ ﻭﺟﻤﻴﻞ ﻓﻲ ﺻﺒﺎﺡٍ ﺷﺘﻮﻱ."""
Ronove,"""ﻟﻘﺪ ﺃﺧﺬﺕِ ﻗﻠﺐ ﺑﺎﺗﻠﺮ-ﺳﺎﻣﺎ ﺍﻟﻨﻘﻲ ﻳﺎ ﺳﻴﺪﺗﻲ، ﻭﺳﺤﻘﺘﻪ ﺑﺸﻜﻞٍ ﻗﺎﺱٍ ﻭﻓﻈﻴﻊ ﻭﻭﺣﺸﻲ ﻭﺑﻄﺮﻳﻘﺔ ﻏﻴﺮ ﺃﺧﻼﻗﻴﺔ ﺗﻤﺎﻣًﺎ، ﺃﻱّ ﺃﺣﺪٍ ﻓﻲ ﻣﻜﺎﻧﻚِ ﻛﺎﻥ ﻟﻴﺴﺄﻝ 'ﺃﻟﻢ ﺃﺑﺎﻟﻎ ﻗﻠﻴﻼً...؟""، ﻟﻘﺪ ﺇﺭﺗﻜﺒﺖ ﺑﺤﻘﻪ ﺃﻓﻈﻊ ﺍﻷﺳﺎﻟﻴﺐ ﺍﻟﻮﺣﺸﻴﺔ."""
Ronove,"""ﻣﻌﻈﻢ ﺍﻟﻨﺎﺱ ﺳﻮﻑ ﻳﺘﺤﻄﻤﻮﻥ ﺑﻌﺪ ﻣﺮﻭﺭﻫﻢ ﺑﺘﺠﺮﺑﺔ ﻛﻬﺬﻩ. ﺑﻮﻛﻮﻛﻮﻛﻮ، ﻟﺪﺭﺟﺔ ﺭﻓﻀﻬﻢ ﺭﺅﻳﺔ ﻭﺟﻬﻚ ﻣﺠﺪﺩًﺍ."""
{f:5:Beatrice},"""ﺃ-ﺃﻋﻠﻢ ﻫﺬﺍ...!"""
{f:5:Beatrice},"""ﻛﻤﺎ ﺃﻧﻨﻲ.. ﻫﻤﻢ، ﺑﻤّﺎ ﺃﻥ ﺍﻟﻠﻌﺒﺔ ﺍﻟﺮﺍﺑﻌﺔ ﺑﺪﺃﺕ ﺑﺎﻟﻔﻌﻞ، ﺗﺄﻟﻤﺖُ ﺟﺪًﺍ ﻣﻦ ﺷﻌﻮﺭﻩ ﺑﺎﻹﺣﺒﺎﻁ ﻭﻋﺪﻡ ﺭﻏﺒﺘﻪ ﻓﻲ ﺍﻟﺠﻠﻮﺱ ﻋﻠﻰ ﻣﻘﻌﺪ ﺍﻟﺨﺼﻢ، ﻟﻬﺬﺍ ﻗﺪﻣﺖُ ﺇﻟﻴﻚ ﻣﻦ ﺃﺟﻞ ﺍﻟﺘﻔﻜﻴﺮ ﻓﻲ ﺇﺟﺮﺍﺀٍ ﻣﻨﺎﺳﺐٍ ﻟﻬﺬﻩ ﺍﻟﻤﺴﺄﻟﺔ...!"""
Ronove,"""ﻫﻤﻤﻢ... ﺻﺤﻴﺢ، ﻋﻠﻴﻨﺎ ﺇﺗﺨﺎﺫ ﺇﺟﺮﺍﺀٍ ﻣﻨﺎﺳﺐٍ ﻓﻲ ﻫﺬﻩ ﺍﻟﺤﺎﻟﺔ. ﻟﻜﻦ ﻳﺤﺰﻧﻨﻲ ﺣﻘًﺎ ﺍﻟﻘﻮﻝ ﺑﺄﻥ ﺧﻄﺘﻚ 'ﺍﻟﺸﻤﺲ ﻭﺭﻳﺎﺡ ﺍﻟﺸﻤﺎﻝ' ﺃﺻﺎﺑﺖ ﺑﺎﺗﻠﺮ-ﺳﺎﻣﺎ ﺑﺼﺪﻣﺔٍ ﺃﺛﺮﺕ ﻋﻠﻴﻪ."""
{f:5:Beatrice},"""ﻫـ-ﻫﻮﻭﻩ... ......ﺃﺻﺪﻣﺔ ﻗﻠﺖ؟ ﻣﺎ ﻣﺪﻯ ﺃﺛﺮﻫﺎ ﻋﻠﻴﻪ...؟"""
,ﺃﺧﻔﻀﺖ ﺑﻴـﺎﺗﻮ ﺻﻮﺗﻬﺎ ﻗﻠﻴﻼً، ﻭﺳﺄﻟﺖ ﺑﻨﺒﺮﺓ ﻗﻠﻘﺔ.{n}ﺭﻭﻧﻮﻑ ﻓﻌﻞ ﺍﻟﻤﺜﻞ ﺃﺳﻮﺓ ﺑﻬﺎ.
Ronove,"""......ﻷﺻﺪﻗﻚ ﺍﻟﻘﻮﻝ، ﻓﻘﺪ ﻛﺎﻥ ﻣﻌﺘﻜﻔًﺎ ﻋﻠﻰ ﺭﻛﺒﺘﻴﻪ ﻣﻨﺬُ ﻣﺪﺓٍ ﻃﻮﻳﻠﺔ. ﻧﺎﺩﻳﺘﻪ ﻣﺮﺍﺕٍ ﻋﺪﺓ، ﻟﻜﻨﻲ ﻟﻢ ﺃﺗﻠﻘﻰ ﺟﻮﺍﺑًﺎ. ﻭﺃﻋﻄﻴﺘﻪ ﻣﺎ ﻳﺄﻛﻠﻪ، ﻭﻟﻜﻦ ﻣﺎ ﺃﻛﻞ ﻟﻘﻤﺔ."""
{f:5:Beatrice},"""...ﻫـ-ﻫﺬﻩ...ﻣﺸﻜﻠﺔ...... ﺃﺷﺠﻰ ﻟﻬﻜﺬﺍ ﺣﺎﻝ......?"""
