Speaker,Spanish (ES)
,"... Olvidemos las expectativas de nuestros padres...{n}Al menos para nosotros, los niños, se suponía que serían días divertidos en los que profundizaríamos nuestra amistad."
,"Sin embargo, cuando nos despertamos, nos encontramos con una realidad mucho más cruel esperándonos..."
Ushiromiya Jessica,"""... ¡Hic... hic... hic...!"""
Ushiromiya George,"""..."""
,George-aniki y Jessica estaban llorando por la muerte de Shannon-chan y Kanon-kun.
,"... En este momento, todos los que estábamos vivos nos reunimos en el vestíbulo del primer piso de la casa de huéspedes. Y éramos 12."
,"... Increíble, ¿verdad?{n}Hasta ayer éramos 18.{n}... Y en una noche, un tercio de ese número había perdido la vida..."
,"Debido a mi falta de sueño por haberme despertado tan temprano, cuando finalmente logré tranquilizarme, empecé a sentir que todo esto era un poco irreal."
,... Quiero creer que esto es solo un mal sueño... Mi escapismo barato me lo sigue repitiendo.
,María se había vuelto a dormir en el sofá en el que Rosa estaba sentada.
,"... Más que tener nervios de acero, ella probablemente no había dormido lo suficiente."
,Los adultos tenían en sus manos la colección de armas del abuelo... rifles de barril corto.
,"... Aparentemente un vestigio de la época en que estaba obsesionado por los westerns, había cuatro armas idénticas en total."
,"Las dividieron entre los 4 hermanos: tío Krauss, tía Eva, papá, y tía Rosa."
,"Sobre la mesa había cajas de papel llenas de balas, y los hermanos estaban cargando sus armas en silencio."
Ushiromiya Rudolf,"""... Me da algo de miedo. Aun ahora, si toco una de estas armas, tengo la sensación de que papá gritará ‘¡No toques eso!’ para luego golpearme."""
Ushiromiya Krauss,"""Entonces, ¿no eres afortunado?... Sin importar cuánto las toques, nadie va a golpearte de nuevo."""
Ushiromiya Rosa,"""... No puedo creer... que padre... haya terminado de esa forma..."""
Nanjo Terumasa,"""Pensé que cuando el final le llegase a Kinzo-san, probablemente no moriría en su cama, pero aun así... esto es demasiado horrible..."""
Ushiromiya Eva,"""Oigan. ¿Era realmente padre?... Creo que podría ser el cadáver de otra persona sustituyéndolo para engañarnos..."""
Ushiromiya Natsuhi,"""... No, sin duda alguna era padre. Viste sus pies, ¿verdad? Generalmente, en una sociedad no hay muchos humanos con 6 dedos en los pies."""
Ushiromiya Kyrie,"""Pero... no podemos decir que no haya ninguno. Tengo entendido que la polidactilia no es una anomalía muy rara. Él era un hombre al que le gustaban los grandes trucos, ¿verdad?... Pudo haber conseguido de algún lugar un cadáver que tuviese la misma cantidad de dedos en ambos pies."""
Ushiromiya Natsuhi,"""Ridículo. ¡¿Por qué haría algo así?!..."""
Ushiromiya Hideyoshi,"""... Estaría de acuerdo si fuese una persona normal... pero 'tamos hablando de padre. Uno no puede estar seguro de que lo que Kyrie dijo no tenga senti'o."""
Ushiromiya Rudolf,"""... Dicen que es difícil confirmar la identidad de un cadáver quemado. Sin embargo, debería haber varias formas de examinarlo a partir de sus dientes y su estructura ósea. Si la policía investigase, claramente sabrían de quién es el cuerpo."""
Ushiromiya Krauss,"""El problema es que antes que a la policía, necesitamos un ingeniero telefónico."""
