Speaker,Italian (Ars Magica) (Old) (ITA)
,"Sono diventata la principessa della festa di Halloween, e il torneo di enigmi e indovinelli solo per me è iniziato."
,Sembra che ottengo una medaglia per ogni enigma che risolvo.
,"Se ne ottengo molte, dovrei ricevere un meraviglioso premio dal Nonno."
,"Ok, inizio."
Ushiromiya Ange,"""Con chi dovrei cominciare?"""
Ushiromiya Eva,"""Non penso che importi. Comincia con chi vuoi."""
Ushiromiya Rudolf,"""Meglio ideare un enigma letale mentre ne ho l'occasione."""
Ushiromiya Rosa,"""Maria, non avevi un libro di indovinelli nella tua borsa?"""
Ushiromiya Maria,"""Uu-! Ce l'ho! Kihihihihihi, metterò alla prova Ange con un indovinello difficile...!"""
,Maria Onee-chan rise con un sorriso malvagio.
,Sembra che tutti vogliano prendersi gioco di me. Sono certa che penseranno a delle domande molto complicate.
Ushiromiya Eva,"""Non preoccuparti, ti darò una mano."""
Ushiromiya Ange,"""Davvero...?"""
Ushiromiya Eva,"""Ovviamente. Dopotutto, sono l'accompagnatrice della principessa. {n}Quindi, mettiamocela tutta insieme e otteniamo un enorme mucchio di medaglie."""
Ushiromiya Ange,"""Ok...!"""
Gohda Toshiro,"""Avanti, Ange-sama. Inizi da dove vuole. Io, Gohda, sono pronto a sfidarla quando desidera."""
Ushiromiya Kinzo,"""Whoa, non così in fretta. L'onore della prima udienza con la principessa appartiene a me. Ange, inizia con la mia sfida...!"""
Ushiromiya Ange,"""O-Ok!"""
,"Diventai improvvisamente nervosa, e mi si strinse lo stomaco."
,"Quindi, Eva oba-san prese delicatamente la mia mano."
Ushiromiya Eva,"""Andrà tutto bene. Facciamolo insieme!"""
Ushiromiya Ange,"""O... Ok!"""
Ushiromiya Kinzo,"""Allora iniziamo, Ange. Questa è una storia riguardo il 25 Dicembre, il giorno di Natale."""
Ushiromiya Ange,"""Natale...?"""
,"Anche se era Ottobre, iniziò improvvisamente a parlare del Natale. Chiederà che giorno è Natale?"
,Lo so. È il 25 Dicembre.
Ushiromiya Kinzo,"""Nel giorno di Natale, una donna guardò il cielo notturno e disse: {p:0:『}Prima o poi la notte avrà fine, e arriverà il mattino. Non sarebbe meraviglioso se, dopo che il sole sarà tramontato e sarà arrivata di nuovo la notte, potesse essere di nuovo Natale?{p:0:』} E allora, l'uomo parlò. {p:0:『}Va bene, realizzerò per te il tuo desiderio. {p:0:』} È possibile una cosa del genere...?"""
Ushiromiya Ange,"""Il giorno dopo Natale è il 26, un giorno normale. È impossibile."""
Ushiromiya Eva,"""... Ancora Natale, anche dopo che il sole sorge... oh, ho capito."""
Ushiromiya Ange,"""Huh? Come?! Come può il giorno dopo Natale essere di nuovo Natale?!"""
Ushiromiya Kinzo,"""Wahhahahahaha. Pensaci da sola, Ange."""
