Speaker,Spanish (ES)
,La extraña carta que la bruja le entregó a María había eliminado de nuestras mentes todos los recuerdos de la cena.
,"María fue continuamente acosada con preguntas por la tía Rosa y los demás padres, y como nadie le creía, estaba de muy mal humor."
," Incluso cuando nosotros intentábamos hablarle, nos ignoraba."
,"Nuestros padres estaban muy alterados por el oro, discutiendo ávidamente por la distribución de bienes, y hasta se habían olvidado por completo de que sus hijos estaban allí."
,"... Aunque ya me había imaginado que hablaban de esta forma a nuestras espaldas, nunca habría imaginado que serían tan bruscos. Fue una gran conmoción para nosotros."
,"... De lo que podíamos oír, todos nuestros padres querían tanto dinero como fuera posible, tan pronto como fuera posible."
,Discutieron una y otra vez sobre la herencia del abuelo.{n}Una y otra vez sobre la distribución del oro si era encontrado.{n}Sobre pagos por adelantado y dinero.
,"... Era tan despreciable que no podía aguantarlo, aun teniendo en cuenta que uno de ellos era mi padre."
,... Parecía que Jessica se sentía igual.
,"A pesar de que nadie nos lo pidió, dejamos nuestros asientos, y fuimos a pasar el rato en algún lugar lejos de nuestros padres..."
Ushiromiya Jessica,"""... Ya veo. Ahora entiendo por qué el abuelo no quería aparecer durante las comidas."""
Ushiromiya Jessica,"""¡Nuestros padres me han desilusionado! ¡El dinero, la herencia! ¡¿Cómo pueden actuar así tan abiertamente?!"""
Ushiromiya Battler,"""Bueno, yo ya estaba totalmente desilusionado del viejo bastardo. No hay forma de que mi opinión sobre él pueda empeorar aún más. ¡Ijiji!"""
Ushiromiya Jessica,"""¡L‐Lo mismo me ocurre a mí! Sin embargo... esto me impactó bastante. Hasta el fondo del corazón..."""
,"Jessica dirigió la mirada al suelo, irritada."
,"... Ella siempre hablaba sobre lo terribles que eran sus padres, pero tal vez eso no era lo que pensaba en realidad."
,Me di cuenta al ver lo conmocionada que estaba.
Ushiromiya George,"""... Todos son menores de edad y aún están siendo criados por sus padres, así que tal vez no lo comprendan, pero conseguir dinero no es algo simple ni bonito. Son menores de edad, así que no pretendo que lo entiendan... Pero aún así, quiero que se den cuenta de que sus padres están haciendo lo mejor que pueden, a su manera."""
Ushiromiya Battler,"""... Oh vaya, George‐aniki se puso todo serio."""
Ushiromiya Jessica,"""George nii‐san, sé que te has convertido en un miembro de pleno derecho de la sociedad y estás trabajando duro... ¿pero implica eso que cuando empiezas a hablar sobre dinero y activos, puedes convertirte en un desvergonzado y codicioso buitre, como nuestros padres?..."""
Ushiromiya George,"""... Si estás hablando solo de mí, no, no es algo que querría hacer. Sin embargo, cuando tu familia y empleados, tus subordinados y sus familias cuentan contigo... hay ocasiones en las que debes pelear."""
Ushiromiya Jessica,"""... Odio esa clase de peleas. Esa discusión sobre la herencia del abuelo, me provoca náuseas."""
,Jessica fingió un violento escupitajo.{n}... Tan violenta reacción hacía notar la profundidad de su dolor.
Ushiromiya Battler,"""... Dejemos de hablar sobre esto. Todo lo del oro oculto del abuelo, sobre propiedades y herencias, es problema de nuestros padres, no el nuestro."""
Ushiromiya George,"""Estoy de acuerdo... Como mínimo, creo que ser amables y no molestar a nuestros padres mientras hablan es el deber de sus hijos."""
Ushiromiya Jessica,"""... Tch... Eso no es divertido..."""
,"Todo el mundo conoce la frase ""Los adultos son asquerosos"", pero acabábamos de verlo con nuestros propios ojos, y realmente nos impactó."
,"George‐aniki ya era un adulto, y yo ya no esperaba nada bueno de mi padre, así que la conmoción no fue tan grande para nosotros... pero parecía que para Jessica era diferente."
,Al parecer la conmoción que sufrió Jessica fue incluso mayor de lo que pensaba.
,"... Esta chica siempre estaba hablando mal de sus padres, pero parece que en el fondo no ha cambiado después de todo."
,... Seguía siendo una persona delicada y de corazón puro que no podía dudar de los demás.
,Estoy seguro de que ella respetaba a sus padres tanto como cualquier otra persona.
,"... Y entonces sus padres se unieron a los otros, en frente de sus hijos, con eso del ""¡Dinero, dinero, herencia, herencia, mi dinero!"", así que no era extraño que estuviera tan conmocionada al escuchar todo eso..."
Ushiromiya George,"""... Jessica‐chan. Por favor, no odies a tus padres... No te pediré que los comprendas, pero por lo menos no los odies."""
Ushiromiya Jessica,"""¡¡Ya, lo entiendo, déjame sola por un rato!!..."""
,"Hace seis años, habría seguido burlándome de la abatida Jessica... supongo que realmente he madurado durante todo este tiempo."
,Me di cuenta de que sería mejor dejar a Jessica en paz un rato...
,"De repente, Jessica apartó la mirada malhumoradamente y se fue del salón."
,... Supongo que quiere estar sola un rato.{n}No pude hacer más que mirar su espalda en silencio mientras se iba...
Ushiromiya George,"""... Ahora que lo pienso, me pregunto dónde estará María‐chan."""
Ushiromiya Battler,"""Probablemente todavía esté dando vueltas en frente del retrato."""
,"María, quien realmente admiraba a las brujas, había esperado que entrar en contacto directo con {f:5:Beatrice} y recibir la carta como evidencia, sería un evento que sorprendería a todo el mundo y los haría felices."
,"Sin embargo, los adultos habían dudado de su autenticidad, y sin tragarse la historia de María, la habían bombardeado de preguntas."
,... No costaba imaginar lo mucho que esto debió herir a María.
,No podíamos hablar ni con María ni con Jessica.
,"... Al final, George‐aniki y yo nos abandonamos al sonido de la lluvia que caía en la oscura noche..."
Ushiromiya George,"""Me pregunto qué ocurrirá con ese tifón... Tal vez haya alguna noticia."""
,George‐aniki fue a la esquina del salón en la que estaba la televisión.
,"No me había pedido que lo acompañará, y me importaba poco en qué lugar del mar estaba el tifón ahora mismo. Así que sin acercarme a la televisión, holgazaneé por la ventana."
Ushiromiya Kyrie,"""... No hay demasiado viento por aquí, pero me pregunto qué tan horrible será en el mar. Según el reporte del clima había un gran peligro de tormenta."""
Ushiromiya Battler,"""Ah, Kyrie‐san... ¿Cómo ha ido la conversación de los adultos? ¿Algo interesante para contar?"""
,Parece que entendió el sarcasmo.{n}Kyrie‐san se encogió de hombros.
Ushiromiya Kyrie,"""... Ese dolor de estómago de conversación podría continuar toda la noche. Es todo muy cansador."""
Ushiromiya Battler,"""Bueno, lo único que puedo decir es, espero que disfruten jugando a los buitres con la propiedad del abuelo tanto como quieran... Es repugnante."""
Ushiromiya Kyrie,"""En eso estamos de acuerdo. Si pudiera simplemente largarme como tú, lo haría... Por desgracia, no puedo. Aun si no se me permite hablar. No es fácil ser una pareja, ¿sabes?"""
,"Kyrie‐san respiró profundamente, sonriendo con amargura."
,"Es cierto.{n}Probablemente no permitirían que Kyrie‐san, que se casó con alguien de la familia, hablara."
,"Y aun así, como pareja de papá, no tenía otra opción que quedarse a su lado y apoyarle."
,"... Al estar en la línea de fuego, debe haber sufrido toda esta presión psicológica mucho más que yo."
,"No iba a disculparme, pero al darme cuenta de que había sido demasiado duro, decidí dejar el sarcasmo..."
Ushiromiya Battler,"""¿Y con qué están ahora? ¿Siguen con el tema de la misteriosa bruja, {f:5:Beatrice}?"""
Ushiromiya Kyrie,"""... Más o menos. Ellos han estado haciendo tratos secretos por un largo tiempo, esperando llegar a algún tipo de acuerdo entre los cuatro por la distribución de la herencia del abuelo luego de su muerte."""
Ushiromiya Kyrie,"""... Y de la nada aparece una quinta persona para hacer las cosas aún más complicadas, así que esta conversación no será para nada pacífica. En un momento se insultan entre ellos, y en el siguiente establecen un frente común... Natsuhi nee‐san no es la única con dolores de cabeza."""
,"Por un lado, todos quieren una porción mayor que los otros hermanos, así que son rivales, pero por el otro, no quieren que nadie ajeno a la familia reciba ni un yen de la herencia, así que también son aliados."
,"No me contó todos los detalles, pero aparentemente discutían y discutían sobre la tregua que tenían, de reglas para impedir que cualquiera se adelantara, sobre las situaciones en las que sus porciones serían protegidas, y sobre qué respuestas legales se tomarían en los peores casos."
,"... A estas alturas, mis emociones habían ido más allá del disgusto, y en ese momento los percibía como una fuerza a tener en cuenta..."
Ushiromiya Battler,"""Entonces, básicamente, {f:5:Beatrice} es como una asesina enviada por el abuelo... Es probable que quisiera asustar a sus hijos por hablar sobre la distribución de la herencia sin él. ¡Ijiji!"""
Ushiromiya Kyrie,"""En cualquier caso, me pregunto quién es esta {f:5:Beatrice}. Si es quien dice ser, entonces es una persona misteriosa que nadie conocía, y que sabe de la existencia del oro oculto del abuelo. Además, incluso se le dio el Anillo del Líder de la familia... Realmente debe de ser de su confianza."""
Ushiromiya Battler,"""Bueno, obviamente no creo que sea una bruja de las que vuelan en una escoba... Pero es claro que es una persona misteriosa que se hace llamar una bruja."""
Ushiromiya Kyrie,"""Ojalá María‐chan pudiera darnos más detalles... Aun siendo solo una niña pequeña, todos han estado mordiéndola por esto. Realmente la han asustado, y varias preguntas que le podríamos haber hecho ya no se pueden hacer. Me pregunto si esa gente ha llegado a leer ""El Viento del Norte y el Sol""."""
Ushiromiya Battler,"""Lo que está claro es que María recibió una carta de una persona que tomó el nombre de {f:5:Beatrice}... Darle la carta a María y después esconderse, cuando podría haber aparecido sin más y hablado con nosotros... Esta persona misteriosa es realmente tímida. Jajajajaja..."""
Ushiromiya Kyrie,"""... Dime, Battler‐kun. ¿Crees que alguien con el nombre de {f:5:Beatrice} realmente exista?"""
Ushiromiya Battler,"""¿Quién sabe? Podría ser solo un nombre falso, ¿cierto? ¿Como si al ser la representante del abuelo, se le permitiera tomar el nombre de la bruja de sus delirios?"""
Ushiromiya Kyrie,"""No, no quería decir eso. Ahora mismo, hay un total de 18 personas en Rokkenjima... ¿Realmente piensas que hay una 19.ª persona?"""
,"¿Realmente hay 18 personas en esta isla?{n}Pensando en ello, empecé a contar con los dedos, y realmente me salieron 18 personas."
Ushiromiya Battler,"""Me preguntas si pienso que hay una 19.ª persona... ¿Qué quieres decir?"""
Ushiromiya Kyrie,"""Lo que he dicho... Parece que la persona que le dio el paraguas a María no era uno de los 18. Por tanto, ¿no tiene sentido pensar que existe una 19.ª persona, y que esta es la que le dio el paraguas a María?"""
Ushiromiya Battler,"""... Bueno... sí, supongo."""
Ushiromiya Kyrie,"""Entonces, ¿dónde exactamente está esa persona ahora mismo? Por lo menos, está claro que ha de haber estado en esta isla desde que empezó a llover. Y desde entonces, el tiempo ha ido empeorando lentamente, así que usar un barco sería prácticamente imposible. En cuyo caso, debe de seguir en esta isla, escondiéndose de la lluvia en algún sitio... Y sin que nadie la vea."""
Ushiromiya Battler,"""... Cierto, hemos merodeado aleatoriamente por la casa de huéspedes, pero nadie se ha encontrado con una 19.ª persona."""
Ushiromiya Battler,"""... Aun así, esta isla es enorme. Puede que haya otros lugares para cubrirse de la lluvia que no sean la mansión o la casa de huéspedes."""
,"En ese momento, empecé a darme cuenta de a dónde quería llegar Kyrie‐san."
,Kyrie‐san negaba la existencia de una 19.ª persona.{n}... {f:5:Beatrice} era una de los 18.
,"... En otras palabras, ella pensó que alguien que conocíamos estaba usando su nombre."
Ushiromiya Kyrie,"""Si {f:5:Beatrice} realmente fuera tal como se describió, esta persona definitivamente sería uno de los invitados de más honor... La más honrada de los confidentes del abuelo, la que tiene toda su confianza... No creo que el abuelo no fuera a darle a esa clase de persona una cálida bienvenida. Seguramente se habría acomodado en la mansión. Sin embargo, no hemos visto a nadie."""
Ushiromiya Battler,"""Un momento, ¿no te estás apresurando un poco? Sí, nadie ha visto nada, pero eso no significa que puedas negar la posibilidad de que exista una 19.ª persona, ¿verdad?"""
Ushiromiya Battler,"""Puede que, por algún motivo, llegara a la isla y estuviera escondiéndose desde entonces... Es lo que llaman Prueba Diabólica. Es fácil probar que algo existe. Si la tal {f:5:Beatrice} aparece ante nosotros y nos saluda, todo estará resuelto. Sin embargo, es imposible probar que no hay una 19.ª persona."""
Ushiromiya Kyrie,"""... Sí. Battler‐kun, tu razonamiento no es malo. En la situación actual, no hay suficiente información para aceptar o negar la existencia de una 19.ª persona... Pero si le das vuelta al tablero y lo piensas de esa forma, podemos estar casi totalmente seguros de que es imposible que dicha 19.ª persona exista."""
,"""Dar vuelta al tablero"" era una de las frases favoritas de Kyrie.{n}... También yo había sido influenciado por esas palabras, y las usaba de vez en cuando."
,"Cuando te quedas bloqueado intentando encontrar un movimiento en ajedrez o shogi, al dar vuelta al tablero y verlo todo desde la posición del oponente, a menudo podrías ver una estrategia que te daría la ventaja."
,"En otras palabras, significa pensar poniéndote en los zapatos de tu oponente, y pensar desde su punto de vista."
Ushiromiya Kyrie,"""... De acuerdo. Por un momento, pensemos que esta 19.ª persona llamada {f:5:Beatrice} existe. Dicha persona debe habérselas arreglado para llegar sigilosamente a esta isla, sin que nadie la vea, y quedarse escondida desde entonces. Tendría algún motivo, ¿correcto? En ese caso, ¿por qué se molestaría tanto en aparecer ante María y darle la carta?"""
,Una auténtica contradicción.
,"Si tenía algún motivo para esconderse, debería haberse quedado escondida todo el tiempo. Pero aun así, apareció abiertamente ante María."
Ushiromiya Battler,"""Entonces... espera, incluso María lo dijo. ¿Acaso no dijo que era una mensajera? Después de todo, María era la más joven, y parecía ser la más inocente..."""
Ushiromiya Kyrie,"""¿Por qué usar una mensajera? Si quería enviar una carta a la conferencia familiar, podrían haber usado el correo. Si se la enviaran a cada uno de los cuatro hermanos, no podrían ignorarla. No era necesario llevarla y entregarla con semejante secretismo."""
Ushiromiya Battler,"""... Realmente suena... bastante extraño."""
Ushiromiya Kyrie,"""En primer lugar, si {f:5:Beatrice} existiera, y quisiera que todos supiéramos de su presencia, tan solo debería haberse presentado ante nosotros. A pesar de ello, escogió el impreciso método de aparecer a través de una pequeña niña llamada María‐chan, y darnos una impresión poco definida de su identidad. Contradicción. Profundicemos un poco más, ¿está bien?"""
Ushiromiya Kyrie,"""... Apareció frente a María, intentando dar la impresión de que existe una 19.ª persona, y aun así, no ha aparecido ante nosotros y se está escondiendo en este mismo momento. Son contradicciones... Mantenlas en tu mente y da vuelta al tablero."""
Ushiromiya Kyrie,"""En otras palabras, la pregunta es: ¿por qué querría esta persona dar la impresión de que {f:5:Beatrice} existe como una 19.ª persona?"""
Ushiromiya Battler,"""... Si dicha persona quisiera esconderse, no habría dado a conocer su presencia. Y si quería mostrarse, no habría usado un método tan indirecto como darle una carta a alguien... ¿Lo que significa...?"""
Ushiromiya Kyrie,"""Es simple. {f:5:Beatrice} es uno de los 18. Lo que significa que quieren crear la impresión de que hay alguien aparte de las 18 personas... Y de esta forma, sugerir una 19.ª persona."""
Ushiromiya Kyrie,"""La única persona que podría beneficiarse de esto no sería una 19.ª persona escondida. Sino una de las 18 personas originales... Por supuesto, esta teoría tiene un montón de agujeros. Si le das la vuelta a algunas de sus premisas, se derrumbará. Pero estoy casi segura de que es correcta."""
,... No tardó en convertirse en un tema espeluznante.
,"¿Quién le dio a María el paraguas y la carta?{n}Todos los 18 habían sido descartados.{n}Y aun así, {f:5:Beatrice} estaba escondida entre esos 18."
,¿Qué planeaba esa persona al esconder su identidad y fingir ser {f:5:Beatrice}?...
Ushiromiya Kyrie,"""También sospechaba que podía ser una actuación de María‐chan, pero los contenidos del mensaje eran extremadamente complejos, así que es difícil de creer que ella lo haya preparado por sí misma... Pero no puedo negar la posibilidad de que esté trabajando con alguien."""
Ushiromiya Battler,"""E‐Espera un momento... ¡María tiene apenas nueve años! ¡¿Qué demonios sospechas que podría estar tramando, y con quién?! ¡¿Y su carácter serio, excesivamente honesto y obediente?!"""
Ushiromiya Kyrie,"""Sí, también sé qué clase de persona es María‐chan... Pero justo por eso creo que es posible. Es una soñadora que admira y cree ciegamente en la existencia de las brujas. Así que si una persona apareciera frente a ella y asegurara que es la bruja {f:5:Beatrice}, María‐chan estaría tan feliz que se lo tragaría, o eso creo."""
Ushiromiya Battler,"""... ¿Estás diciendo que si alguien se disfrazara con ese extravagante vestido del retrato, engañar a María no sería tan difícil?"""
Ushiromiya Kyrie,"""Por supuesto que, con ese razonamiento, las mujeres nos convertimos en las sospechosas principales... De cualquier forma, con quién se encontró María‐chan... Preguntarle los detalles de aquello podría ser la clave para resolver este acertijo."""
Ushiromiya Kyrie,"""... Pero dicha clave se ha encerrado obstinadamente en su corazón. Todos han negado la existencia de la bruja sin escucharla siquiera, y la bombardearon con preguntas sobre la identidad de {f:5:Beatrice}... No creo que María‐chan vaya a abrir su corazón a los adultos ahora."""
,"En el poco iluminado vestíbulo, frente al retrato de {f:5:Beatrice}, María estaba llorando."
Ushiromiya Maria,"""... Uu... Uu. ¡Nadie cree que María se encontró contigo!... Uu... uu... ¡Aun tras enseñarles la carta que me diste, siguen sin creer!... Uu... u... u... ¡hic... hic!"""
Ushiromiya Kyrie,"""Como sea, María‐chan es quien tiene la clave. La clave del misterio de si {f:5:Beatrice} está entre los 18 o es una 19.ª persona."""
Ushiromiya Battler,"""... María es bastante obstinada, ¿sabes? Cuando se enfada, es muy difícil conseguir que se sienta mejor."""
Ushiromiya Kyrie,"""Battler‐kun, creo que un joven como tú podría animarla con más facilidad que una adulta como yo... Cuando se sienta mejor, intenta preguntárselo."""
Ushiromiya Kyrie,"""... Sé que no te preocupa todo lo del reparto de la herencia, ¿pero no crees que esta típica situación de misterio en una mansión occidental es emocionante? ¿Quién le dio la carta a María‐chan?... Todo esto despierta mi curiosidad intelectual."""
Ushiromiya Battler,"""¿Incluso con toda esa charla del dinero, llamas a esto emocionante? Vaya que eres dura... Los adultos sí que son asombrosos."""
