Speaker,Spanish (ES)
,"Erika se estaba quedando dormida en la cama, así que cuando llamaron a la puerta, le llevó su tiempo darse cuenta de ello."
,Miró el reloj y vio que no había pasado tanto tiempo desde que se había acostado.
Furudo Erika,"""... Sí, ¿quién es? Espero que tengas un buen motivo para llamar a la puerta del detective a estas horas..."""
Furudo Erika,"""Así es... Tengo algo que decir antes de comenzar este juego."""
Ushiromiya Battler,"""Ah, esa proclamación del detective. Haz lo que quieras."""
Furudo Erika,"""No, más bien lo contrario... Yo digo que subamos las apuestas."""
{f:5:Beatrice},"""... ¿Subir... las apuestas?..."""
{f:5:Lambdadelta},"""¿Qué es esto? Parece interesante. ¿Qué quieres decir?"""
{f:5:Bernkastel},"""... Es sencillo. Battler nos atacó en el último juego. Así que si Erika hiciera lo mismo en este juego, estaríamos iguales."""
{f:5:Beatrice},"""¿No quedó el último juego como empate?..."""
{f:5:Bernkastel},"""Hemos echado a perder un juego que podíamos haber ganado fácilmente, ¿no es así? Si eso no es perder, entonces no sé lo que es. ¿No crees, Erika?..."""
Furudo Erika,"""S-Sí, mi ama. Si no hubiera fallado de forma tan miserable, habríamos ganado el juego por defecto..."""
{f:5:Lambdadelta},"""... Ooooh, ya lo entiendo. Así que en esta ocasión, intencionalmente lucharás en desventaja sin hacer la proclamación de detective... ¡y ganarás a pesar de ello!... No solo pretendes eliminar cualquier rastro de la derrota del juego anterior, sino darle por completo la vuelta al marcador, ¿verdad?"""
{f:5:Beatrice},"""¿P-Pretendes desafiar el juego en el que Battler-san puso todo su empeño en cuerpo y alma con esa ridícula desventaja?... ¡No solo es impertinente, sino además es de muy mala educación!..."""
Ushiromiya Battler,"""... Desde luego. Suena más a excusa en caso de perder."""
{f:5:Lambdadelta},"""Cierto, también se puede interpretar de esa manera. Si ellas ganan, será una victoria aplastante, pero si pierden, tienen una pequeña pero buena excusa. ¿No es algo antideportivo?"""
{f:5:Bernkastel},"""No se preocupen, esta apuesta está equilibrada en ambos lados... Si Erika puede ganar como {y:0:Humana}{n:0:humana} sin la proclamación del detective, a Battler y los demás les será imposible recoger las piezas de la Ilusión de la Bruja."
{f:5:Bernkastel},"... Pero por otro lado, si pierde, enviaré a esa basura de detective a las profundidades del olvido junto al peor Fragmento posible."""
Furudo Erika,"""..."""
{f:5:Bernkastel},"""... ¿Ven? Así queda equilibrado, ¿no es así? Una victoria definitiva en la que un simple {y:0:Humano}{n:0:humano}, no un súper detective, destruye la Ilusión de la Bruja... Ella pone en riesgo su propia destrucción en esta apuesta."
{f:5:Bernkastel}," Me he aburrido de los repetidos juegos lentos que tú y la anterior Beato crearon... Así que estamos subiendo las apuestas para terminar de una vez por todas."""
{f:5:Lambdadelta},"""... Bueno, eso es cierto... Si Battler {i:llega} al final de este juego, significará que habrá ""ganado"" el juego de Beato, y este concluirá... En cierto modo, es un veredicto del cual no puedes escapar, ¿no es así?..."""
Ushiromiya Battler,"""... Entiendo tu posición... ¿Estás de acuerdo con ello, Erika?"""
Furudo Erika,"""... S-Sí, por supuesto... Para recuperar la confianza de mi ama en mí que se ha perdido en mi derrota anterior... y-yo pondré mi propia destrucción en riesgo..."""
Ushiromiya Battler,"""¿Es esa tu voluntad?..."""
Furudo Erika,"""..."""
{f:5:Lambdadelta},"""..."""
{f:5:Bernkastel},"""... ¿Qué ocurre, Erika? Respóndele, ¿sí?..."""
Furudo Erika,"""O-Obviamente. Esta es mi propia voluntad... No perderé... Incluso sin la proclamación de detective, y... ¡¡te derrotaré a cualquier precio!!..."""
{f:5:Beatrice},"""... Battler-san..."""
Ushiromiya Battler,"""... De acuerdo, está bien. Si eso es lo que quieres, acepto tu desafío."""
Furudo Erika,"""... M-Muchísimas gracias. Me aseguraré de que no te arrepientas."""
{f:5:Lambdadelta},"""Después de todo, cuando Battler jugaba en el lado {y:0:Humano}{n:0:humano}, nunca tuvo algo tan conveniente como la autoridad del detective. Todo lo que se le permitía hacer era usar la verdad azul y decirle a Beato que repitiera lo que él decía."""
{f:5:Bernkastel},"""Exacto. En cierto modo, el último juego fue injusto... No pudimos ganar a pesar de ello, por lo que no es diferente a una derrota."""
Furudo Erika,"""..."""
Ushiromiya Battler,"""Haz lo que quieras. Si quieres hacer la proclamación de detective, hazlo cuando quieras... Entiendo que en estos momentos la tienes en reserva."""
Furudo Erika,"""¿De verdad crees... que la voy a usar?... ¿Ante un oponente como tú?..."""
Ushiromiya Battler,"""..."""
{f:5:Bernkastel},"""Comiencen entonces, ustedes dos. Ya empiezo a aburrirme."""
Furudo Erika,"""... ¡¡Déjemelo a mí, mi ama!!... ¡Destruiré la Ilusión de la Bruja para usted sin cometer ningún fallo!..."""
,George y Jessica eran quienes llamaban a la puerta de Erika.
,"Estaban preguntando si Battler y María habían venido a esta habitación... Evidentemente, no."
Ushiromiya George,"""Hace un momento bajaron las escaleras, diciendo que querían algo de beber. Pensamos que quizá habían venido a tu habitación..."""
Furudo Erika,"""Por supuesto que no... ¿Están seguros de que no fueron a la mansión?"""
Ushiromiya Jessica,"""Llamamos a la habitación de los sirvientes y al comedor de la mansión, pero nadie respondió..."""
Furudo Erika,"""... Quédense aquí por favor. Voy a echar un vistazo a la mansión."""
Ushiromiya George,"""O-Oye, es muy peligroso salir afuera a estas horas."""
Furudo Erika,"""¿Cómo podría un desconocido infiltrarse en esta isla sellada? Quédense en la habitación de los primos. Los contactaré si ocurre algo. Además, díganles a los sirvientes de la casa de huéspedes que no abandonen el edificio. Adiós."""
Ushiromiya Jessica,"""¡¡E-Espera un momento, Erika-san!!..."""
Ushiromiya George,"""... Qué chica más rara."""
,"Tras haber dicho lo que quería decir sin escuchar a nadie, Erika había bajado corriendo las escaleras y salido afuera."
Furudo Erika,"""... Normalmente el primer crepúsculo comienza por la mañana, pero parece ser que tendremos una batalla temprana esta vez... No ha habido crimen en la casa de huéspedes. Lo cual quiere decir que el lugar de la tragedia se encuentra en la mansión..."""
,"Aunque tenía el paraguas abierto, Erika se empapaba mientras corría."
,Se lamía el agua de lluvia que recorría su cara...
,... Erika estaba llena de energía...
,"Según lo que recordaba del juego anterior, la puerta del vestíbulo se cerraría con llave tras el comienzo de la conferencia familiar."
,"Sin embargo, esta vez no estaba cerrada."
,"... ¿La habría abierto alguien, no la habrían cerrado, o no habría sido posible cerrarla en primer lugar?"
Furudo Erika,"""Bueno, no tiene sentido pensar eso ahora. Después de todo, podría no ser nada más que el capricho del Game Master."""
,"Tan pronto como pisó el vestíbulo, la puertas del salón se abrieron violentamente.{n}De él salió el enorme cuerpo de Gohda."
Furudo Erika,"""Ah, buenas noches, Gohda-san. ¿Ocurre algo?"""
Gohda Toshiro,"""¡¡A-Awawawa, awawawa!! ¡¡P-Policía... ambulancia!!... ¡¡Awawawawawa!!"""
,"Esa expresión es, sin duda, maravillosamente patética. {n}Apropiada para la primera persona en descubrir el crimen."
Furudo Erika,"""Por favor, cálmese. ¿Cómo podría la policía o una ambulancia llegar a una isla aislada en medio de un tifón? Además, estoy segura de que el teléfono está fuera de línea, así que cálmese."""
,Los gritos de Krauss y Rudolf se podían escuchar desde el salón.
,La agitada actitud de ambos significó a la perfección la llegada del primer crepúsculo...
Furudo Erika,"""Bueno, dame los detalles de las víctimas, la escena y una reconstrucción de la situación."""
Ushiromiya Battler,"""... Aquellos que salieron a tomar un descanso no volvieron, así que los adultos regresaron al salón. Cuando lo hicieron, la puerta estaba cerrada por dentro y no pudieron abrirla. Luego se dieron cuenta de que habían usado el perchero de sombreros para bloquear la puerta doble desde el interior."""
Furudo Erika,"""¿Así que tratas de decirme que la puerta estaba cerrada y las ventanas estaban cerradas desde adentro?..."""
Ushiromiya Battler,"""Así es... Cuando salieron afuera y miraron al salón a través de la ventana, vieron a Rosa encima del sofá en una posición poco natural, con sangre brotando de su frente... Entonces rompieron el cristal, entraron al salón y vieron que María estaba también ahí, sobre el muro cubierta de sangre."""
Furudo Erika,"""... Entiendo. Eso les hizo gritar. ¿Y el resto de las escenas del crimen?"""
Ushiromiya Battler,"""El vestíbulo no estaba cerrado cuando entraste a la mansión... porque habían salido para echar un vistazo al salón desde fuera... Ya que la entrada estaba cerrada antes de que salieran, ellos pensaron que había posibilidades de que las otras personas que estaban desaparecidas estuvieran en algún lugar de la mansión, así que están buscando por todo el edificio..."""
Furudo Erika,"""¿Las ubicaciones de las víctimas concuerdan con esa estúpidamente larga y rídicula ilusión que nos mostraste antes?"""
Ushiromiya Battler,"""... Concuerdan."""
Furudo Erika,"""Rosa y María estaban en el salón. También... Natsuhi estaba en su habitación y... Kyrie en el estudio de Krauss. Eva estaba en el jardín de rosas... no, espera, ella fue transferida a la habitación VIP, ¿no es así?"""
Ushiromiya Battler,"""Sí. El cuerpo de Eva fue encontrado en la habitación VIP."""
Furudo Erika,"""Ya son cinco víctimas. Ah, falta una para el primer crepúsculo. ¿Quién es y dónde está la persona que falta?"""
Gohda Toshiro,"""¡¿...?! ¡Krauss-sama! ¡La cadena de esta habitación también está puesta!..."""
Ushiromiya Rudolf,"""¡¡Córtala!! ¡¡El culpable puede estar escondido ahí!!"""
Ushiromiya Krauss,"""¡Gohda, hazlo!"""
,Rudolf y Krauss llevaban escopetas de la preciada colección de Kinzo.
,"Le gritaban a Gohda, quien llevaba el cortaalambres, para que cortara la cadena."
,Las víctimas habían sido encontradas una tras otra en distintos lugares de la mansión.
,"Los hombres que habían perdido a sus esposas revisaban toda la mansión con rabia, buscando al culpable."
,Esa era... una habitación de huéspedes.
,"Anteriormente había sido la habitación donde se quedaban los familiares, pero apenas se había usado desde la construcción la casa de huéspedes."
,Esta habitación olvidada estaba cerrada por dentro con la cadena...
Gohda Toshiro,"""... Nnnnn... ¡¡hyaahh!!"""
,"Tan pronto como la cadena se cortó, Rudolf apartó a Gohda y se adentró en la habitación."
Ushiromiya Rudolf,"""¡¿Hay alguien ahí?! ¡¡Sal!!..."""
Ushiromiya Krauss,"""¡Hay alguien en la cama!..."""
Ushiromiya Rudolf,"""¡Enciende la luz, Aniki!..."""
,"Cuando Krauss encendió el interruptor de la pared... la habitación se iluminó, y la silueta que estaba tumbada en la cama se mostró..."
Ushiromiya Rudolf,"""¡¡B-Battler...!! M-Maldita sea... ¿qué estás haciendo... en un lugar como este?..."""
,Rudolf cayó encima del cuerpo de Battler como si sus rodillas se derrumbaran.
,Nada podía consolarlo mientras lloraba con rabia y tristeza...
,... En una noche... perdió tanto a su esposa como a su hijo.
,"Durante ese tiempo, Krauss echó un vistazo a la ventana, al baño, y examinó el armario para ver si había alguien escondido, pero no llegó a encontrar a nadie..."
Ushiromiya Rudolf,"""Battleeer... Battleeeeeeer... Maldicióóóóón... Aa{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}hhh..."""
Gohda Toshiro,"""Q-Qué triste..."""
Ushiromiya Krauss,"""... No puedo creerlo... pero esta habitación también es... una habitación cerrada."""
Gohda Toshiro,"""¡¿O-Otra?!..."""
Ushiromiya Krauss,"""Sí... Mi estudio, donde se estaba Kyrie, la habitación de Natsuhi, la habitación VIP con Eva, el salón con Rosa y su hija... Y ahora Battler-kun en esta habitación de huéspedes... Todas son habitaciones cerradas, ¿no es así?... No lo... entiendo... No ha podido ser suicidio, ¡¿verdad?!..."""
Ushiromiya Rudolf,"""¡¡Es imposible!!... ¡¿Cómo puede ser {i:esto} un suicidio?! Aaaaggggghhh... Battleeeeeeer..."""
Furudo Erika,"""Oh... qué sorpresa. Pensar que tú mismo serías la sexta persona."""
Ushiromiya Battler,"""Es más divertido matarse uno mismo de vez en cuando."""
{f:5:Beatrice},"""Y todas las escenas del crimen son habitaciones cerradas... Es un asesinato que no podría haberse llevado a cabo sin usar magia."""
Furudo Erika,"""Hmph, ¿no es ver a través de todo esto el objetivo del juego?... En otras palabras, los asesinatos {i:deben} haberse podido cometer sin magia... Después de todo, si de verdad solo se pudiera haber hecho con magia, esto no sería un juego."""
Ushiromiya Battler,"""... Es un razonamiento curioso... Así es, este es el tipo de juego que hemos estado jugando."""
,Este juego es justo.
,El objetivo es explicar sin magia los crímenes extraños que el otro lado declara haber cometio usando magia.
,"{i:Si eso no fuera posible}, no sería un juego."
,"En otras palabras, como Erika había dicho, deben ser asesinatos que puedan haber sido realizados sin usar magia..."
,"... Por otra parte, el lado de las brujas tenía cierta responsabilidad."
,Deben crear un crimen de tal manera que pueda {i:realizarse con trucos y no por magia}.
,"Mientras el lado {y:0:Humano}{n:0:humano} no lograra ver a través de esos trucos, el lado de las brujas podía usar todo tipo de magia e ilusiones."
,"... En otras palabras, para llevar a cabo un asesinato de habitación cerrada con magia... Es necesario crear un crimen que pudiera ser realizado por {y:0:Humano}{n:0:humano}s."
Ushiromiya Ange,"""... Ahora lo entiendo. Ya veo por qué cuando ordené a las siete hermanas que mataran a mis compañeras de clase en Santa Lucía... no pudieron hacerlo... Ya entiendo el significado de las palabras de Mammón."""
{f:5:Featherine},"""""La magia solo es capaz de realizar lo que puedes hacer con tus propias manos""... ¿no es así?"""
,"En ese momento, si hubiera tenido la determinación para matar a mis compañeras... no, no se trata de eso."
,"En ese momento, si yo hubiera sido capaz de matar a mis compañeras... capaz de llevarlo a cabo."
,... Entonces las Siete Hermanas del Purgatorio seguramente podrían haberlo realizado por mí.
,Solo son capaces de hacer lo que yo puedo hacer.
,"... No, tampoco es eso.{n}Ellas podrían tomar lo que {i:yo} había llevado a cabo y transformarlo en ""magia""."
,"Pero debido a que había un enorme número de testigos en la clase, habría sido prácticamente imposible... Habría terminado siendo anulado por esa toxina antimagia de la que María onee-chan y los demás siempre hablaban."
,Sin embargo... si hubiera llevado a esas compañeras a un lugar sin testigos... y llevado a cabo el asesinato...
,"De ese modo, las ""Siete Hermanas del Purgatorio"" serían capaces de ""llevar a cabo un asesinato mágico""..."
Ushiromiya Ange,"""... Incluso con magia, las brujas no pueden hacer cosas que no puedan lograr ellas mismas... Solo pueden ""adornar"" lo que realizan con magia."""
{f:5:Featherine},"""... Interesante... Y eso se debe a que aquellas que consiguen algo sin utilizar la magia... más tarde afirman que aquello fue obra de magia y se llaman a sí mismas brujas."""
{f:5:Featherine},"""Esta Erika lo ha comprendido desde el principio... Por eso no se doblega ante las brujas... Está convencida de que debe ser explicado mediante trucos. Juguetearon tanto con el viejo Battler debido a que no poseía esa convicción..."""
Ushiromiya Ange,"""... Si se ve a través de esta regla, la bruja pierde toda posibilidad de victoria... Por ello debe hacer que su oponente se rinda antes de que sea capaz de ver la verdad de esta regla... Mientras más larga se haga la partida... y mientras más pistas se otorguen... mayor es la asombrosa desventaja de las brujas..."""
