Speaker,Arabic (AR)
, ﺗﺒﻌﺜﺮﺕ ﻋﻠﻰ ﺍﻟﺴﺮﻳﺮ ﺍﻟﻜﺒﻴﺮ ﺣﺒّﺎﺕٌ ﻣﻦ ﺍﻟﺠﻴﻠﻲ ﺍﻟﻤﻠﻮّﻥ ﺍﻟﻈﺮﻳﻒ، ﻭﻗﺮﻭﺵ ﺷﻮﻛﻮﻻ.
, ﻭﻗﺪ ﻏُﺮِﺯﺕ ﺷﻮﻛﺔٌ ﻓﻲ ﻛﻌﻜﺔٍ ﺻﻐﻴﺮﺓٍ ﺗﻄﻞّ ﻣﻦ ﺻﻨﺪﻭﻕ ﻫﺪﻳﺔ، ﻭﻋﻠﻰ ﺍﻟﻄﺎﻭﻟﺔ ﺍﻟﺠﺎﻧﺒﻴّﺔ ﺍﺻﻄﻔﺖ ﺃﺑﺎﺭﻳﻖ ﺍﻟﺸﺮﺍﺏ ﺫﺍﺕ ﺍﻷﻟﻮﺍﻥ ﺍﻟﻤﺘﻨﻮّﻋﺔ.
, ﻟﻜﻦّ ﻟﻮﻥ ﺍﻟﺴُﻢِّ ﺍﻟﻤﺮﺍﻕ ﻓﻲ ﺍﻟﻜﺄﺱ ﻟﻢ ﻳُﺸﺎﺑﻪ ﻟﻮﻥ ﺃﻱٍّ ﻣﻦ ﺗﻠﻚ ﺍﻷﺑﺎﺭﻳﻖ.
, ﻟﻌﻞّ ﺃﺣﺪﻫﻢ ﻋﺒﺚ ﺑﺎﻟﻤﺰﻳﺞ ﻳﻠﻬﻮ ﻓﻲ ﺧﻠﻄﻬﺎ ﻣﻌًﺎ.
, ﻭﺃﻳًّﺎ ﻛﺎﻥ ﺍﻟﻄﻌﻢ، ﻓﻘﺪ ﻛﺎﻥ ﺫﺍﻙ ﺍﻟﻌﺒﺚ ﺑﺎﻋﺜًﺎ ﻟﻠﻤﺮﺡ.
, ﻓﻮﻕ ﺍﻟﺴﺮﻳﺮ ﺍﻟﻮﺛﻴﺮ ﺍﻧﺘﺜﺮﺕ ﻭﺳﺎﺋﺪ ﺿﺨﻤﺔ ﻣﻠﻮّﻧﺔ ﻣﺤﺸﻮّﺓ ﺑﺎﻷﺣﻼﻡ.
, ﻭﻋﻠﻰ ﺫﺍﻙ ﺍﻟﺴﺮﻳﺮ ﺍﻟﻌﻈﻴﻢ، ﻛﺄﻧّﻪ ﻣﺄﺧﻮﺫٌ ﻣﻦ ﻋﺎﻟﻢ ﻃﻔﻞٍ ﺣﺎﻟِﻢ، ﺍﺿﻄﺠﻌﺖ {f:7:ﺑﻴﺮﻧﻜﺎﺳﺘﻞ} ﻋﻠﻰ ﻭﺟﻬﻬﺎ، ﻭﺗﻤﺪّﺩﺕ {f:7:ﻻﻣﺪﺍﺩﻳﻠﺘﺎ} ﻋﻠﻰ ﻇﻬﺮﻫﺎ ﺗﻌﺎﻧﻖ ﻭﺳﺎﺩﺓً ﻓﻲ ﺍﺳﺘﺮﺧﺎﺀ......
{f:5:Lambdadelta},"""ﺁﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎ، ﻳﺎ ﻟﻪ ﻣﻦ ﺍﻧﺪﻓﺎﻉٍ ﻋﺎﺭﻡٍ ﻫﺬﻩ ﺍﻟﻤﺮّﺓ! ﻟﻘﺪ ﺗﻮﺗﺮﺕ ﺣﻴﻦ ﻗﺎﻟﺖ ﺑﻴـﺎﺗﻮ ﺇﻧّﻬﺎ ﺳﺘﻮﻗﻒ ﺍﻟﻠﻌﺒﺔ."""
{f:5:Bernkastel},""".....................ﻳﺎ ﻟﻬﺎ ﻣﻦ ﺳﺎﺣﺮﺓٍ ﻭﻗﺤﺔ، ﺗﺒﺪﺃ ﻟﻌﺒﺔ ﺑﻬﺬﺍ ﺍﻟﺤﺠﻢ، ﺛﻢّ ﺗﺴﻌﻰ ﻹﻧﻬﺎﺋﻬﺎ ﺑﻨﺒﺬﻫﺎ ﻛﺄﻧّﻬﺎ ﻟﻬﻮٌ ﺭﺧﻴﺺ."""
{f:5:Lambdadelta},"""ﺃﻣﺎ ﻛﺎﻧﺖ ﺇﻧﺠﻲ ﻗﻄﻌﺔً ﺑﺪﻳﻌﺔ؟ ﺑﻌﺪ ﺃﻥ ﻓﺮّﺕ ﺑﻴـﺎﺗﻮ، ﺷﺪّﺗﻬﺎ ﺇﻧﺠﻲ ﻣﻦ ﺷﻌﺮﻫﺎ ﻭﺃﻋﺎﺩﺗﻬﺎ ﻟﺘُﻜﻤﻞ ﺍﻟﻠﻌﺒﺔ. ﻣﻊ ﺃﻥ ﺗﺤﻔﻴﺰﻫﺎ ﻟﺒﺎﺗﻠﺮ ﺃﻛﺜﺮ ﻣﻦ ﺍﻟﻼﺯﻡ ﻛﺎﻥ ﻣﺰﻋﺠًﺎ ﺣﻘًﺎ."""
{f:5:Bernkastel},"""..................ﻷﻧّﻬﺎ ﻋﻠﻤﺖ ﺃﻥّ ﺑﺎﺗﻠﺮ ﻋﺎﻃﻔﻲٌ ﺟﺪًﺍ."""
{f:5:Lambdadelta},"""ﻻ ﺭﻳﺐ. ﻟﻘﺪ ﺑﺪﺍ ﻛﺄﻧّﻪ ﻗﺪ ﻳُﻠﻴﻦ ﻗﻠﺒﻪ ﺃﻣﺎﻡ ﻋﺪﻭّﺗﻪ ﺑﻴـﺎﺗﻮ."""
{f:5:Bernkastel},"""............ﺑﻨﺎﺀً ﻋﻠﻰ ﺍﻟﻠﻌﺒﺔ ﺍﻟﺴﺎﺑﻘﺔ، ﺧﺸﻴﺖُ ﺃﻥ ﻳﺮﻕّ ﻗﻠﺒﻪ ﻟﺒﻴـﺎﺗﻮ ﻓﺘﺆﻭﻝ ﺍﻟﻠﻌﺒﺔ ﺇﻟﻰ ﺩﺭﺏٍ ﻏﺮﻳﺐ. .........ﻟﻜﻦ ﺇﻧﺠﻲ ﻛﺎﻧﺖ ﺍﻟﻮﺭﻗﺔ ﺍﻟﺮﺍﺑﺤﺔ ﺍﻟﺘﻲ ﺃﻋﺎﺩﺗﻪ ﺇﻟﻰ ﺭﺷﺪﻩ ﺑﻌﺪ ﺃﻥ ﺿﻞّ ﻫﺪﻓﻪ."""
{f:5:Bernkastel},""".........ﻭﻛﻨﺖ ﻓﻲ ﺍﻟﺤﻘﻴﻘﺔ ﺃﺭﻳﺪ ﺃﻥ ﺗﺒﻘﻰ ﺗﺆﺍﺯﺭﻩ ﺃﻛﺜﺮ ﻗﺒﻞ ﺃﻥ ﺃُﺧﺮﺟﻬﺎ ﻣﻦ ﺍﻟﺮﻗﻌﺔ. ﻟﻘﺪ ﻟﻌﺒﺖ ﺩﻭﺭﻫﺎ ﺛﻢ ﺃُﺣﺮﻗﺖ ﻓﻮﺭًﺍ. ﻳﺎ ﻟﻀﻴﺎﻉ ﻗﻄﻌﺔٍ ﺍﺳﺘﻮﺟﺒﺖ ﻛﻞّ ﺫﺍﻙ ﺍﻹﻋﺪﺍﺩ."""
{f:5:Lambdadelta},"""ﺇﻳﻬﻬﻴﻬﻴﻬﻲ! ﺃﻧﺎ ﻣﺴﺮﻭﺭﺓٌ ﺟﺪًّﺍ ﺃﻧّﻲ ﻛﺒّﻠﺘﻬﺎ ﺑﺎﻟﺸﺮﻁ ﺃﻻّ ﺗُﻔﺼﺢ ﻋﻦ ﺍﺳﻤﻬﺎ! ﻟﻮ ﻟﻢ ﺃُﺣﻜﻢ ﺫﺍﻙ ﺍﻟﻘﻴﺪ، ﻻﺑﺘﻠﻊ ﺍﻟﺜﻨﺎﺋﻲ ﺍﻷﺧﻮﻱ ﺑﻴـﺎﺗﻮ ﻭﺣﻘّﻘﺎ ﺍﻟﻨﺼﺮ ﻓﻲ ﻟﻤﺢٍ ﻣﻦ ﺑﺼﺮ."""
{f:5:Bernkastel},"""............ﻇﻨﻨﺘﻬﺎ ﻓﺮﺻﺘﻲ ﻷﺿﻐﻂ ﻋﻠﻴﻬﺎ ﺩﻓﻌﺔً ﻭﺍﺣﺪﺓ، ﻟﻜﻨّﻚِ ﺭﺍﻗﺒﺘﻬﺎ ﻋﻦ ﻛﺜﺐٍ ﺣﺘﻰ ﻋﺠﺰﺕُ ﻋﻦ ﺍﺳﺘﺜﻤﺎﺭﻫﺎ ﻛﻤﺎ ﻳﻨﺒﻐﻲ. ......ﺁﻩ، ﻳﺎ ﻟﺨﺴﺎﺭﺓ ﺗﻠﻚ ﺍﻟﻘﻄﻌﺔ."""
{f:5:Lambdadelta},"""ﺃﺟﻞ، ﺃﻛﺎﻧﺖ ﻗﻮﻳﺔً ﺇﻟﻰ ﺣﺪٍّ ﻣﺒﺎﻟﻎٍ ﻓﻴﻪ، ﻟﺬﺍ ﻭﺟﺐ ﺇﺧﺮﺍﺟﻬﺎ ﻓﻲ ﺍﻟﺤﺎﻝ ﺗﻘﺮﻳﺒًﺎ. ﻋﻠﻰ ﺃﻱّ ﺣﺎﻝ، ﻟﻘﺪ ﺃﺩّﺕ ﺩﻭﺭﻫﺎ ﻓﻲ ﻣﻨﻊ ﺗﻮﻗّﻒ ﺍﻟﻠﻌﺒﺔ، ﻭﺫﻟﻚ ﻧﻔﻌﻨﻲ ﺃﻧﺎ ﺃﻳﻀًﺎ. ﺃﻓﻌﺎﻟﻬﺎ ﺍﻧﺘﻬﺖ ﺇﻟﻰ ﻣﺎ ﻳﺨﺪﻡ ﻣﺼﻠﺤﺘﻴﻨﺎ ﻣﻌًﺎ، ﻭﺑﻬﺬﺍ ﺍﻟﻤﻌﻨﻰ ﻛﺎﻧﺖ ﻗﻄﻌﺔً ﺭﺍﺋﻌﺔ ﺑﺤﻖّ."""
{f:5:Bernkastel},"""..................ﻛﺎﻧﺖ ﺑﺮﻳﺌﺔً ﻛﺒﺎﺗﻠﺮ، ﻓﺴﻬُﻞ ﻋﻠﻲّ ﺃﻥ ﺃﺟﻌﻠﻬﺎ ﺗﻨﻔّﺬ ﺃﻣﺮﻱ. .........ﺍﻷﺣﻤﻖ ﺃﻭ ﺍﻟﻤﺘﻬﻮّﺭ ﻫﻤﺎ ﺩﺍﺋﻤًﺎ ﺍﻟﺨﻴﺎﺭ ﺍﻷﻣﺜﻞ ﻟﻠﻘﻄﻌﺔ. ......ﺁﻩ، ﻛﻢ ﻛﺎﻥ ﻳﻤﻜﻦ ﻟﺘﻠﻚ ﺍﻟﻘﻄﻌﺔ ﺃﻥ ﺗﺒﻠﻎ ﻣﻦ ﺍﻟﻌﻈﻤﺔ ﺃﻛﺜﺮ!"""
{f:5:Lambdadelta},"""ﻭﺍﻵﻥ ﺻﺎﺭﺕ ﻟﺤﻤًﺎ ﻣﻔﺮﻭﻣًﺎ! ﻫﻴّﺎ، ﻟِﻨﺼﻨﻊ ﻣﻨﻬﺎ ﻫﻤﺒﺮﻏﺮًﺍ ﻻﺣﻘًﺎ{p:0:☆} ﺃﻭَﻩ، ﺃﻇﻨﻚِ ﺗﻔﻀﻠﻴﻦ ﺍﻟﺠﻴﻮﺯﺍ ﺃﻛﺜﺮ؟ ﺗُﺮﻯ ﻣﺎ ﻃﻌﻢ ﺍﻷﺧﺖ ﺍﻟﺼﻐﻴﺮﺓ؟ *ﺿﺤﻚ* ﻳﺎ ﻟﻠﺴﺨﺮﻳﺔ!"""
{f:5:Bernkastel},"""..................ﺃﺣﻘًّﺎ ﻳﺴﻮﻍ ﻟﻚِ ﻫﺬﺍ ﺍﻻﺳﺘﺮﺧﺎﺀ؟ ﻟﻘﺪ ﺍﺷﺘﻌﻠﺖ ﺟﺬﻭﺓ ﺑﺎﺗﻠﺮ ﺑﻔﻀﻞ ﺇﻧﺠﻲ. ﺃﺧﺬ ﻳﻄﺎﺭﺩ ﺑﻴـﺎﺗﻮ ﻛﺎﻟﻤﺠﻨﻮﻥ، ﻭﺃﺣﺴﺐ ﺃﻥّ ﺍﻟﻠﻌﺒﺔ ﻣﺎﻟﺖ ﺍﻟﻜﻔّﺔ ﻓﻴﻬﺎ ﻟﺼﺎﻟﺤﻲ ﺍﻵﻥ...؟ ﻓﻲ ﺍﻟﻮﺍﻗﻊ، ﺃﻟﻢ ﻳﺤﻞّ ﺑﺎﺗﻠﺮ ﺟﻞّ ﺍﻷﺣﺎﺟﻲ ﺣﺘّﻰ ﻫﺬﻩ ﺍﻟﻠﺤﻈﺔ؟"""
{f:5:Lambdadelta},"""ﻫﺎﻩ؟ ﻟﻴﺲ ﻗﺮﻳﺒًﺎ ﺣﺘّﻰ! ﺟﻞّ ﺣﻘﺎﺋﻖ ﺑﺎﺗﻠﺮ ﺍﻟﺰﺭﻗﺎﺀ ﺑﺎﻃﻠﺔ! ﻭﺍﻟﺤﻘﺎﺋﻖ ﺍﻟﺤﻤﺮﺍﺀ ﺍﻟﻤﺘﺮﺩّﺩﺓ ﻟﺒﻴـﺎﺗﻮ ﻣﻠﻴﺌﺔ ﺑﺎﻟﺜﻐﺮﺍﺕ. ﺃﻱّ ﻋﻘﻞٍ ﻧﺼﻒ ﺳﻠﻴﻢٍ ﻳﻤﻜﻨﻪ ﺍﻟﻨﻔﺎﺫ ﻋﺒﺮﻫﺎ ﺑﺨﺮﺍﻓﺎﺕٍ ﻣﺮﺗﺠﻠﺔ."""
{f:5:Lambdadelta},"""......ﺁﻩ، ﺫﺍﻙ ﺃﻏﺎﻇﻨﻲ ﺣﻘًّﺎ. ﻟﻮ ﻛﻨﺖُ ﻣﻜﺎﻧﻬﺎ، ﻟﻘﻄﻌﺖُ ﻛﻞّ ﺗﻠﻚ ﺍﻻﺩّﻋﺎﺀﺍﺕ ﺑﺤﺪّ ﺍﻟﺴﻴﻒ ﺍﻷﺣﻤﺮ."""
{f:5:Bernkastel},"""............ﺃﺣﻘًّﺎ؟ ﻛﻨﺖُ ﺃﻇﻨّﻬﺎ ﺟﻤﻴﻌًﺎ ﺍﻹﺟﺎﺑﺎﺕ ﺍﻟﺼﺎﺋﺒﺔ. ......ﻟﻜﻦ، ﺃﺟﻞ، ﺭﺍﻭﺩﺗﻨﻲ ﺷﻜﻮﻙٌ ﺣﻮﻝ ﻣﺎ ﻳﺘﻌﻠّﻖ ﺑﺎﺑﺘﻼﻉ ﺍﻟﻘﻨﺎﺑﻞ ﺍﻟﺼﻐﻴﺮﺓ."""
{f:5:Lambdadelta},"""ﺃﻣﺎ ﺣﻘﺎﺋﻖ ﺑﺎﺗﻠﺮ ﺍﻟﺰﺭﻗﺎﺀ، ﻓﻠﻢ ﺗﻜﻦ ﻛﻠّﻬﺎ ﺻﺎﻟﺤﺔ. ......ﻓﻘﺪ ﺃﻋﻠﻨﺖ ﺑﻴـﺎﺗﻮ ﺻﺮﺍﺣﺔً ﺃﻧّﻬﺎ ﻓﻲ ﺍﻟﻠﻌﺒﺔ ﺍﻷﻭﻟﻰ {p:1:ﺗﻀﻤﻦ ﻫﻮﻳﺔ ﻛﻞ ﺍﻟﺠﺜﺚ ﺍﻟﻤﺠﻬﻮﻟﺔ}! ﻭﺫﻟﻚ ﻳﻬﺪﻡ ﻣﻨﻄﻖ ﺑﺎﺗﻠﺮ ﺍﻟﻘﺎﺋﻞ ﺑﺄﻥّ ﺍﻟﺠﺎﻧﻲ ﻓﻲ ﺟﺮﻳﻤﺔ ﺇﻳﻔﺎ/ﻫﻴﺪﻳﻮﺷﻲ ﺩﺍﺧﻞ ﺍﻟﻐﺮﻓﺔ ﺍﻟﻤﻐﻠﻘﺔ ﻫﻮ ﺷﺨﺺٌ ﻛﺎﻥ ﻳﺰﻳِّﻒ ﺟﺜﺘﻪ."""
{f:5:Lambdadelta},"""ﺛﻢّ ﻗﺎﻝ ﺇﻥّ ﻣﻮﺕ ﻛﺎﻧﻮﻥ ﻓﻲ ﻏﺮﻓﺔ ﺍﻟﺴﺨﺎﻥ ﺣﺎﺩﺙٌ ﻋﻠﻰ ﺍﻷﺭﺟﺢ، ﻟﻜﻦ... *ﺿﺤﻚ*! ﺃﻱّ ﺣﺎﺩﺙٍ ﺫﺍﻙ ﺍﻟﺬﻱ ﻳُﻔﻀﻲ ﺇﻟﻰ ﺃﻥ ﻳﻐﺮﺱ ﺍﻟﻤﺮﺀ ﻭﺗﺪًﺍ ﻓﻲ ﺻﺪﺭﻩ ﺑﻨﻔﺴﻪ؟ ﻳﺎ ﻟﻠﻐﺒﺎﺀ! ﺳﺄﻣﺰّﻗﻪ ﺑﺬﺍﻙ ﺍﻟﺴﻴﻒ ﺍﻷﺣﻤﺮ ﺍﻟﺜﻤﻴﻦ ﺃﻭ ﻣﺎ ﺷﺌﺖَ ﺃﻥ ﺗﺴﻤﻴﻪ."""
{f:5:Lambdadelta},"""{p:1:ﻛﺎﻧﻮﻥ ﻟﻢ ﻳﻤﺖ ﺑﺤﺎﺩﺙ}! ﻭﺃﻣّﺎ ﺍﻟﺜﻼﺛﺔ ﺍﻟﻤﻘﺘﻮﻟﻴﻦ ﻓﻲ ﻏﺮﻓﺔ ﺍﻟﻤﻌﻴﺸﺔ، ﻭﻣﻨﻬﻢ ﻗﻴﻨﺠﻲ، ﻓﺎﻟﻘﻮﻝ ﺇﻧّﻬﻢ ﺃﻃﻠﻘﻮﺍ ﺍﻟﻨﺎﺭ ﻋﻠﻰ ﺑﻌﻀﻬﻢ ﻓﻲ ﻭﻗﺖٍ ﻭﺍﺣﺪٍ ﻋﻠﻰ ﻧﺴﻖٍ ﺩﺍﺋﺮﻱٍّ ﻫﻮ ﻧﻜﺘﺔٌ ﺳﻤﺠﺔ. {p:1:ﻗﻴﻨﺠﻲ ﻭﻛﻮﻣﺎﺳﺎﻭﺍ ﻭﻧﺎﻧﺠﻮ ﻟﻢ ﻳﻜﻮﻧﻮﺍ ﻗﺘﻠﺔ}! """
{f:5:Lambdadelta},"""ﻭﺃﻣّﺎ ﺍﻟﻔﺦّ ﺍﻷﺧﻴﺮ X ﻟﻘﺘﻞ ﻧﺎﺗﺴﻮﻫﻲ ﻓﻬﻮ ﻏﺒﺎﺀٌ ﻣﺤﺾ.{p:1:ﺍﻟﺬﻱ ﺃﻃﻠﻖ ﻋﻠﻰ ﻧﺎﺗﺴﻮﻫﻲ ﻟﻢ ﻳﻜﻦ ﻓﺨًّﺎ، ﺑﻞ ﻗﺘﻞٌ ﺣﻘﻴﻘﻲّ ﺑﺴﻼﺡٍ ﺭُﻓﻊ ﻭﺯﻧﺎﺩٍ ﺃُﻃﻠﻖ}! *ﺿﺤﻚ* ﺃﻗﺪّﻡ ﺃﺣﺮّ ﺍﻟﺘﻌﺎﺯﻱ...!"""
