Speaker,Spanish (ES)
,Las discusiones sobre el juego de lógica de {f:5:Bernkastel} se estaban intensificando en cada una de las mesas.
,"En algún momento, cada mesa había empezado a competir para ver quién podía resolverlo primero."
Ushiromiya Battler,"""{f:5:Bernkastel}. ¿Aún no han llegado Ange y Erika?"" "
{f:5:Bernkastel},"""... Deberían llegar en cualquier momento. ¿Quieres apostar sobre quién llega primero?"""
{f:5:Lambdadelta},"""Puedo entender que Erika llegue tarde, pero ¿qué hay de Ange?... ¿A qué clase de abismo la has lanzado esta vez?"""
{f:5:Bernkastel},"""Qué grosera. Está sentada en un sofá bebiendo té."""
{f:5:Beatrice},"""Espero que el tipo de té que le has dado se adapte a los gustos de Ange."""
Ushiromiya Battler,"""Jajaja, buen punto."""
{f:5:Bernkastel},"""Qué groseros. Ese té le gustaría a cualquiera... Erika incluso lamería la última gota de mi té del fondo de un cuenco de sopa de miso."""
Ushiromiya Battler,"""... ¿Qué tiene que ver la sopa de miso en esto?..."""
{f:5:Beatrice},"""Ahora que la mencionas... ¡Erika! Esta será una reunión muy esperada."""
Ushiromiya Battler,"""Sí, pensándolo bien. No puedo esperar por ver cuánto tiempo le tomará resolver el juego de {f:5:Bernkastel}."""
{f:5:Bernkastel},"""... Este tipo de juego es lo que mejor se le da a esa chica. Probablemente lo leerá de principio a fin tres veces, y luego simplemente dará una respuesta de inmediato."""
Ushiromiya Battler,"""Probablemente. Espero ver cómo da la respuesta correcta de inmediato con esa expresión arrogante en su cara."""
{f:5:Beatrice},"""Vamos, estamos hablando de Erika. Seguramente formulará alguna teoría rebuscada y dirá que es posible que alguien que no fuera de la familia de Battler lo hiciera."""
Ushiromiya Battler,"""Buen punto. De hecho, me gustaría escuchar su orgullosa y rebuscada lógica incluso más que la respuesta correcta."""
,"Aparentemente, Battler y Beato estaban esperando con emoción su reunión con Erika."
,... Ya habían peleado con Erika en dos juegos diferentes.
,"Pero ahora, no había distinción entre enemigos y aliados."
,"Realmente querían darle la bienvenida a esta ""fiesta tras el show"" como amiga..."
{f:5:Lambdadelta},"""Aún así, estoy un poco sorprendida."""
{f:5:Bernkastel},"""... ¿Qué sucede?"""
{f:5:Lambdadelta},"""Ya sabes. Es sorprendente que hayas dejado ir a Ange tan fácilmente."""
,"Asegurándose de que Battler y los demás no pudieran ver su rostro, {f:5:Lambdadelta} se rió disimuladamente."
{f:5:Bernkastel},"""¿Realmente es tan sorprendente?..."""
{f:5:Lambdadelta},"""Por supuesto que sí. Pensaba que, siendo tú, torturarías a Battler con varios puzles uno tras otro antes de liberarla... o que al menos intentarías inculcarle a Ange algunas ideas extrañas y hacer que cambiara el rumbo del juego al final."""
{f:5:Bernkastel},"""..."""
{f:5:Lambdadelta},"""Y yo que pensaba que te conocía mejor que a nadie en el mundo. Qué vergüenza haberme equivocado."""
{f:5:Bernkastel},"""... Estoy segura de que lo es. Pero no te preocupes... Obviamente me conoces mejor que a nadie en el mundo."""
{f:5:Lambdadelta},"""¡S-Sí, por supuesto! Después de todo, te amo, te adoro y te entiendo más que a ninguna otra persona en el universo{p:0:☆}."""
