Speaker,Spanish (ES)
Ushiromiya Eva,"""... Zzz..."""
Ushiromiya Hideyoshi,"""... Uf... Parece que finalmente se calmó..."""
,"Hideyoshi se secó la frente... Por un tiempo, parecía que Eva había estado teniendo una desagradable pesadilla, pero tras un rato finalmente se había dormido."
,"Como había prometido, él aún sostenía la mano de Eva... Había pensado que quizás no habría problema si la soltara, pero siguió tomando su mano fielmente."
,"Una que otra vez, su mano se cansaba, y debía cambiar entre su derecha e izquierda, pero aun así, como lo había prometido, no soltó su mano..."
,"En ese momento, se escuchó un fuerte golpe. Eva finalmente había podido conciliar el sueño, por lo que Hideyoshi hizo una mueca por un instante."
Ushiromiya Rudolf,"""... Aneki, Hideyoshi-san, lo siento. ¿Se encuentra Rosa allí?..."""
,Era la voz de Rudolf... ¿Qué podrá ser?
,"Hideyoshi se dirigió a la puerta, caminando con cuidado para no despertar a Eva."
,"... Definitivamente era la voz de Rudolf, pero por si acaso, abrió la puerta sin quitar la cadena."
Ushiromiya Hideyoshi,"""¿Qué pasa? ¿Qué ha pasa'o con Rosa?"""
Ushiromiya Rudolf,"""No podemos encontrar ni a Rosa ni a María-chan. Pensé que quizás estaban con ustedes."""
Ushiromiya Hideyoshi,"""... Escuché que le 'taba gritando a María-chan en el pasillo. Tras eso no hicieron más ruido, así que pensé que habían vuelto al vestíbulo... ¿no lo hicieron?..."""
Ushiromiya Rudolf,"""... Esa idiota..."""
,Rudolf chasqueó su lengua.
,"Otras personas podían ser vistas en el pasillo. Rosa no había vuelto luego de un rato tras salir al pasillo, por lo que habían empezado a preocuparse."
,"Cerca de la puerta del frente, Natsuhi señaló a la cadena quitada."
Ushiromiya Natsuhi,"""... La cadena no está puesta. Deben haber salido fuera a ver la rosa después de todo."""
Ushiromiya Krauss,"""Salir y dejar la puerta sin trabar, es demasiado descuidado. Qué persona más problemática."""
Ushiromiya Kyrie,"""... Más importante, ahora estoy preocupada por Rosa-san y María-chan."""
Ushiromiya Rudolf,"""Bien... Oigan, mocosos. ¡¿Dónde estaba esa rosa de María?!"""
Ushiromiya Jessica,"""Estoy bastante segura de que... estaba en el lecho de flores que está en la mitad del jardín de rosas..."""
Ushiromiya George,"""Si las dos están ahí, podremos averiguarlo rápidamente si vamos."""
Ushiromiya Battler,"""... Papá, ¿no deberíamos traerlas de vuelta tan pronto como podamos?..."""
Ushiromiya Rudolf,"""Por supuesto. Las traeremos de vuelta y las golpearemos en el trasero. Iré rápido y volveré. Cierren la puerta en cuanto salga."""
Ushiromiya Battler,"""... Papá, iré contigo."""
Ushiromiya Rudolf,"""No digas estupideces. Eres un mocoso, y lo que hacen los mocosos es vigilar la casa con mamá."""
Ushiromiya Eva,"""... ¿Qué pasa?... ¿Ocurrió algo?..."""
Ushiromiya Hideyoshi,"""Disculpa, ¿te desperté?... Parece que Rosa-san se llevó a María-chan afuera... Qué imprudente de su parte."""
Ushiromiya Eva,"""¿Rosa y María-chan están... afuera?... ¡¿En el jardín de rosas?!..."""
Ushiromiya Hideyoshi,"""Así es... Oh, ¿lo oíste? María-chan 'taba haciendo un alboroto porque quería ver su rosa."""
Ushiromiya Eva,"""... E-Ellas no deben... ¡Ellas no deben ir al jardín de rosas! ¡Dile a Rosa que se detenga!..."""
Ushiromiya Hideyoshi,"""Ya es muy tarde pa' eso, parece que se fueron hace un rato... En serio, qué imprudente de su parte."""
Ushiromiya Eva,"""... No es eso... No al jardín de rosas... Hay una bruja allí... ¡y está en espera de un sacrificio!... Rosa, no debes ir... ooooooooooohhh..."""
,"... Eva se encogió de nuevo, sujetando su cabeza.{n}... Su rostro se veía muy mal."
Ushiromiya Hideyoshi,"""¿Qué pasa? ¿La fiebre te hizo soñar algo malo?"""
Ushiromiya Eva,"""... Es un sueño... sí... En el jardín de rosas, la bruja, haciéndole eso a Rosa... Así es. Es un sueño... sí..."""
Ushiromiya Hideyoshi,"""Cálmate. Yo también 'toy en e'ta habitación. La cadena 'tá puesta también. La persiana de la ventana 'tá cerrada, e incluso hay un arma. E'ta habitación es como un fuerte. No hay na' que temer."""
,"Hideyoshi golpeó su pecho, tratando de calmarla, pero la expresión de inseguridad de Eva no cambió."
,... Bajo las sábanas... Eva siguió rezando que la grotesca pesadilla que acababa de tener solo fuese un sueño...
{f:5:Virgilia},"""En el centro del jardín de rosas, Rudolf descubrió los cadáveres de Rosa y María. Después de eso, volvió a la casa de huéspedes, pidió ayuda, y llevaron a ambas ahí."""
{f:5:Virgilia},"""Si podemos confiar en el diagnóstico de Nanjo, la causa de la muerte de Rosa fue una puñalada en la médula oblonga con la punta de la verja. Se cree que la muerte de María se debió a un estrangulamiento con manos descubiertas. Sin embargo, debido a la ""Prueba Diabólica"", no podemos descartar un diagnóstico erróneo."""
{f:5:Beatrice},"""... Lo diré en rojo. {p:1:Rosa y María murieron}. {p:1:Las causas de sus muertes son las que Nanjo diagnosticó}... No fueron comidas por una araña, ni fueron aplastadas por una montaña de pastel. No te preocupes."""
Ushiromiya Battler,"""... Así que dices que a pesar de lo mucho que jugaste con sus muertes, todo está bien porque el cadáver está limpio... Definitivamente no te perdonaré... Definitivamente no olvidaré todo ese brutal trato que le diste a la tía Rosa, Nunca lo olvidaré, y nunca te lo perdonaré..."""
{f:5:Beatrice},"""... C-Como dije, no fui yo... Creo que les di una muerte mucho más tranquila que el modo en que ella los trató..."""
Ushiromiya Battler,"""Cierra la boca. No quiero oírte... Se dijo que no había más de 18 personas en esta isla, y ahora que ocho están muertas, hay diez personas presentadas como sospechosas. Una de ellas probablemente mató a las dos."""
Ushiromiya Battler,"""... O también podría tratarse de una muerte accidental. Por ejemplo, María estaba teniendo un berrinche, y cuando la tía Rosa trató de que dejara de llorar, calculó mal cuánta fuerza usar matándola accidentalmente. Entonces, en su consternación, se tropezó y cayó, aterrizando en la valla donde, desafortunadamente, murió."""
Ushiromiya Battler,"""... ¿Qué te parece? De este modo no hay necesidad de brujas o magia."""
{f:5:Beatrice},"""... Bueno, eso no es verdad. De hecho, Rosa y María—"""
Ushiromiya Battler,"""Cállate. ¿No dije que no quería oírte? Eres desagradable a la vista, así que desaparece. Monstruo."""
,Battler lo dijo sin rabia... pero con una voz horriblemente fría.
,"... Beato también había sentido que había algo fuera de lugar desde el comienzo.{n}En una pelea, ambos podían atacarse el uno al otro sin restricciones."
,"Sin embargo, él ni siquiera subió al cuadrilátero.{n}Ella podía sentir esa frialdad."
,"Beato no estaba contenta con eso.{n}... Pensó en estallar, pero se contuvo."
,"Quizás, a pesar de que era inocente e infantil, tenía suficiente sentido común como para darse cuenta de que no debía luchar."
{f:5:Beatrice},"""... ¿Es así? Entonces, me ocultaré... Ronove, continúa por mí."""
Ronove,"""Como ordene... ¿Será eso de su agrado, Battler-sama?"""
{f:5:Virgilia},"""... No hay problema con esa propuesta. Si Battler-kun dice que no quiere ver la cara de Beato, está bien."""
Ushiromiya Battler,"""Haz lo que quieras... No podría importarme menos lo que hagas mientras no tenga que mirarle la cara a ese monstruo."""
{f:5:Beatrice},"""... Oye, espera un segundo... Sigues diciendo ""monstruo monstruo"", ¿pero no es esa una mala manera de hablarme?"""
