Speaker,Arabic (AR)
Leviathan,"""ﻣﻬﻼً!! ﺇﻧﻬﺎ ﻟـــــﻲ!! ﺃﻋﻴﺪﻳـــــﻬﺎ!!"""
Beelzebub,"""ﻻ، ﻻ، ﺳﺂﻛﻠـــﻬﺎ!! ﺁﺳﻤﻮ، ﺁﺳﻤﻮ، ﻣﺮّﺭﻳﻬﺎ!"""
Asmodeus,"""ﻛﻴﺎﻫﺎﻫﺎﻫﺎﻫﺎ! ﺃﺧﺘﻲ ﻟﻴﭭﻴﺎ، ﻣﻦ ﻫﻨﺎ، ﻣﻦ ﻫﻨﺎ!"""
,ﺃﺗﺴﺎﺀﻝ ﻣﻦ ﺃﻳﻦ ﺳﺮﻗﻨﻬﺎ.{n}ﻓﻘﺪ ﻛﻦّ ﻳﺘﺸﺎﺟﺮﻥ ﻋﻠﻰ ﻗﻄﻬﺔ ﺩﻭﻧﺎﺕ ﺃﻭ ﻣﺎ ﺷﺎﺑﻪ، ﻭﻳﻠﻌﺒﻦ ﺑﺼﻮﺕ ﺻﺎﺧﺐٍ ﻟﻠﻐﺎﻳﺔ.
Satan,"""ﺗﻮﻗﻔﻦ!!!!! ﺇﻧﺠﻲ-ﺳﺎﻣﺎ ﺗﻘﺮﺃ، ﻫﻼّ ﺃﺧﻔﻀﺘﻦّ ﺃﺻﻮﺍﺗﻜﻦّ ﻗﻠﻴﻼً؟!"""
Lucifer,"""ﺃﻧﺖِ ﻳﺎ ﺳﺎﺗﺎﻥ ﻫﻲ ﺍﻷﻛﺜﺮ ﺻﺨﺒًﺎ، ﻓﺄﺻﻤﺘﻲ ﺑﻨﻔﺴﻚ!! ﻳﺎ ﺃﺧﺘﻲ ﺍﻟﻤﻐﻔﻠﺔ!"""
Satan,"""ﺑـ-ﺑﻞ ﺃﻧﺖِ ﺃﺻﺨﺐ ﻣﻨّﻲ ﻳﺎ ﺃﺧﺘﻲ ﻟﻮﺳﻴﻔﺮ!! ﺃ-ﺃﻟﺪﻳﻚِ ﺍﻋﺘﺮﺍﺽ؟!"""
,ﺍﻋﺘﺪﺕ ﺑﺎﻟﻔﻌﻞ ﻋﻠﻰ ﺷﺠﺎﺭ ﺍﻷﺧﺖ ﺍﻟﻜﺒﺮﻯ ﻣﻊ ﺃﺧﺘﻬﺎ ﺍﻟﺜﺎﻟﺜﺔ. ﻳﻀﺤﻜﻨﻲ ﻣﺪﻯ ﺟﻔﻮﻟﻬﻤﺎ ﺑﻌﺾ ﺍﻟﺸﻲﺀ ﻋﻠﻰ ﺍﻟﺮﻏﻢ ﻣﻦ ﺳﺮﻋﺔ ﻏﻀﺒﻬﻤﺎ.
,ﺇﻧّﻬﻤﺎ ﻣﺘﺸﺎﺑﻬﺘﺎﻥ ﻋﻠﻰ ﻧﺤﻮٍ ﻣﺪﻫﺶ.
Belphegor,"""ﻫﻴﻪ-ﻫﻴﻪ. ﻟﻘﺪ ﺃﻣﺮﺗﻨﺎ ﺑﺄﻥ ﻧﻜﻮﻥ ﺻﺎﺧﺒﻴﻦ، ﻟﻜﻦ ﺍﻷﻣﺮ ﺗﺠﺎﻭﺯ ﺍﻟﺤﺪ ﻫﻨﺎ. ﻫﻞ ﺃﺟﺒﺮﻫﻦ ﻋﻠﻰ ﺧﻔﺾ ﺃﺻﻮﺍﺗﻬﻦ ﻗﻠﻴﻼً؟"""
Ushiromiya Ange,"""............ﻻ ﺗﻬﺘﻤﻲ ﻭﺩﻋﻴﻬﻦ ﻳﺜﺮﻥ ﺍﻟﻀﻮﺿﺎﺀ. ﺻﻮﺗﻬﻦ ﺃﺭﻳﺢ ﻣﺌﺔ ﻣﺮﺓ ﻣﻦ ﺳﻤﺎﻉ ﺗﻠﻚ ﺍﻟﻀﺤﻜﺎﺕ ﺍﻟﻤﻘﻴﺘﺔ ﻓﻲ ﺍﻟﺼﻒ."""
Mammon,"""ﺃﺳﺮﻋﻲ ﻭﺍﻗﻠﺒﻲ ﺍﻟﺼﻔﺤﺔ ﻳﺎ ﺇﻧﺠﻲ-ﺳﺎﻣﺎ! ﺇﻧّﻚ ﺗﻘﺮﺃﻳﻦ ﺑﺒﻂﺀٍ ﺣﻘًﺎ!"""
Ushiromiya Ange,"""ﺃﺗﺤﺒﻴﻦ ﺍﻟﻘﺮﺍﺀﺓ ﻳﺎ ﻣﺎﻣﻮﻥ؟ ﺗﺒﺪﻳﻦ ﺃﻛﺜﺮ ﻣﻦ ﻳﻄﻴﻖ ﺍﻷﺷﻴﺎﺀ ﺍﻟﻤﻤﻠﺔ."""
Belphegor,"""ﺍﻟﺨﻄﻴﺌﺔ ﺍﻟﺘﻲ ﺗﺤﻜﻤﻬﺎ ﻣﺎﻣﻮﻥ ﻫﻲ ﺍﻟﺠﺸﻊ. ......ﻭﻫﺬﺍ ﻳﺸﻤﻞ ﺗﻌﻄﺸﻬﺎ ﻟﻠﻤﻌﺮﻓﺔ. ﻟﻜﻦ ﺍﺣﺬﺭﻱ، ﻓﻬﻲ ﺗﻤﻴﻞ ﻻﺣﺘﻜﺎﺭ ﺗﻠﻚ ﺍﻟﻤﻌﺮﻓﺔ ﻟﻨﻔﺴﻬﺎ، ﻟﺬﺍ ﺇﺫﺍ ﺃﻋﻄﻴﺘﻬﺎ ﻛﺘﺎﺑﺎً، ﻓﻘﺪ ﺗﺤﺮﻗﻪ ﺑﻌﺪ ﻗﺮﺍﺀﺗﻪ ﺣﺘﻰ ﻻ ﻳﻘﺮﺃﻩ ﺍﻵﺧﺮﻭﻥ."""
