Speaker,Spanish (ES)
Ushiromiya Jessica,"""... ¿Una prueba?..."""
Ushiromiya Krauss,"""... S-Sí. Escucha bien..."""
,"Una vez más, hubo una llamada de Krauss a la casa de huéspedes."
,... Y el mensaje era... que Kinzo quería hacer una prueba para ver si alguno de los nietos tenía las cualidades para ser el próximo líder.
Ushiromiya Krauss,"""... El líder ha dicho que el próximo líder no será uno de mis hermanos... él quiere... elegir entre los nietos..."""
,"Dada la forma de hablar sobria de Krauss, Jessica, al ser su hija, se dio cuenta de que él estaba siendo forzado a hablar."
,"Y ella se vio obligada a darse cuenta de que los rehenes estaban siendo expuestos al peligro incluso ahora, y si se negaban a esa prueba, había una posibilidad de que fueran perjudicados."
Ushiromiya Jessica,"""E-Entonces... ¿qué deberíamos hacer?"""
Ushiromiya Krauss,"""... M-Mmm. Un momento..."""
,"Krauss alejó el teléfono de su oido, y luego miró al sonriente Kinzo al otro lado de los barrotes."
,Kinzo dio su siguiente orden.
Ushiromiya Kinzo,"""Antes de la prueba, aquellos que no estén relacionados deben ser eliminados... Gohda y Kumasawa están ahí, ¿estoy en lo cierto? Será un problema si entorpecen la prueba. Expúlsenlos de la casa de huéspedes."""
Ushiromiya Krauss,"""... ¿Expulsar... dices?..."""
Ushiromiya Kinzo,"""Debería haber un almacén de jardinería en el jardín de rosas. Encierra a Gohda y Kumasawa allí. Mmm, empezaremos desde ahí. Diles que lo hagan inmediatamente."""
Ushiromiya Kinzo,"""... Mis armas estarán observando. ¡Si por casualidad hacen algo dudoso, pararé la prueba instantáneamente y los ejecutaré a todos ustedes como sacrificios!"""
Ushiromiya Krauss,"""... C-Comprendo... Hola, Jessica... Escucha atentamente lo que digo..."""
,Krauss le transmitió la orden de encerrar a Gohda y Kumasawa...
Ushiromiya Kyrie,"""... ¿Qué tipo de prueba está planeando?"""
Ushiromiya Kinzo,"""¿Mmm? Aah, realmente es una simple prueba. Solo quiero que mis nietos me muestren su resolución. Bueno, entonces, me pregunto qué tipo de resultados me mostrarán... *carcajada*."""
,"Kyrie miró a Krauss, que estaba hablando con los niños, pareciendo disgustado."
,"... Es lamentable, pero por ahora no podemos rechazar sus órdenes."
,"En este calabozo, una débil resistencia no llegaría a nada."
,"Si lo provocamos demasiado y lo conducimos a una posición en la que quizás nos mate, no habrá ya ningún modo de detener a este asesino."
,"... Por ahora, la única opción es obedecer sus reglas sin perturbarlo... esperando todo el tiempo una oportunidad..."
,"Sin embargo, si continuamos siguiendo sus órdenes obedientemente, los niños quizás sean atacados en esta supuesta prueba, e incluso podrían perder sus vidas."
,... Ya sea que finjamos obediencia o tratemos de resistir... nada hará que la situación mejore. 
,"De todos modos, forzar nuestra vista para no dejar escapar ni una sola oportunidad hasta el final... es la única resistencia posible ahora."
,"... Mientras se decía esto a sí misma, Kyrie vigilaba a Krauss mientras entregaba las órdenes de Kinzo..."
Nanjo Terumasa,"""... Kyrie‐san. Seamos pacientes..."""
Ushiromiya Kyrie,"""Comprendo... Es una pena, pero todo lo que podemos hacer ahora mismo es esperar. Si simplemente pudiésemos hacer algo con respecto a estos barrotes, podríamos volver a la mansión..."""
Nanjo Terumasa,"""... Si pudiésemos salir de aquí de algún modo... P-Probaré algo... Kinzo-san, tengo una petición."""
Ushiromiya Kinzo,"""Mm, ¿cuál, mi amigo?"""
Nanjo Terumasa,"""Comprendemos bien que quieras poner a prueba a los niños... Está bien para ti hacer las cosas como desees."""
Nanjo Terumasa,"""Sin tu poder, la familia Ushiromiya quizás habría sido destruida hace mucho. Entendemos verdaderamente por qué quieres seleccionar cuidadosamente a la persona que tomará el cargo. Además, eso es de lo que trata la conferencia familiar. No vamos a interponernos en tu camino..."""
Ushiromiya Kinzo,"""Mmm. Tu perspicacia es útil. Eso es correcto, esta es la conferencia familiar. La última conferencia familiar, en la que seleccionaré al próximo líder. ¡Fujajajaja!..."""
Nanjo Terumasa,"""Y sin embargo, Kinzo-san... Aquí hace demasiado frío. Ya que no interferiremos en tu prueba, ¿no podrías llevarnos a un lugar algo más cálido?..."""
Ushiromiya Kinzo,"""..."""
,"Con las palabras de Nanjo, los leves signos de que el estado de ánimo de Kinzo hubiera estado mejorando se fueron volando."
,"Nanjo fue propiciado con un minuto de silencio cuando Kinzo lo miraba con ojos peligrosos, como si lo estuviera examinando..."
{f:5:Virgilia},"""... Ciertamente este lugar es frío. Es difícil para un cuerpo viejo... amo. ¿No estaría bien si los trasladásemos arriba?..."""
Ushiromiya Kinzo,"""¡¡No puedo hacer eso!! ¿Eres ingenuo, Nanjoooooo?... ¿Actuando como si al saltarte este turno, real y espléndidamente avanzarías en tu estrategia? No me trago eso, ¿sabeeeees?... ¡¡Si estás congelado, entonces por qué no llenas el suelo con rojas y calientes brasas!!"""
{f:5:Virgilia},"""M-Mis disculpas..."""
,"{f:5:Virgilia} había tratado de ayudar, pero al final, Kinzo no accedió..."
Gaap,"""... Ustedes dos sí que son obedientes... Si lo quisieran, podrían romper estos barrotes fácilmente."""
Kanon,"""..."""
Shannon,"""... Incluso si los rompemos, no sacaremos nada de ello."""
Gaap,"""Tienes razón... Si los rompieran, eso significaría el final del juego de {f:5:Goldsmith}... Todos ustedes, además de esos humanos en la casa de huéspedes, se convertirían inmediatamente en sacrificios para la ceremonia de Kinzo."""
Gaap,"""... Pero... sorprendentemente, ustedes dos pueden ser los únicos, ¿sí? Quizás solo ustedes dos tienen el poder de salir de esta situación... ¿verdad?"""
Gaap,"""... Quieren llegar a la Tierra Dorada, ¿no? Deben tener muchos sueños que quieren ver concedidos, ¿correcto?... *carcajada*carcajada*..."""
Kanon,"""..."""
Ronove,"""Gaap. No debes provocarlos... No es tu juego. Es el juego del amo, y milady."""
Ushiromiya Kinzo,"""... ¿Qué es eso, Ronove?"""
Gaap,"""Oh, no, nada... Estábamos hablando con los prisioneros. Perdónenos."""
,"Gaap envió una última sonrisa burlona a Kanon, luego se dio la vuelta."
,Kanon solo pudo morderse el labio inferior y agitar sus puños...
Kanon,"""... Maldición..."""
Shannon,"""... Hiciste bien... Buen trabajo aguantando..."""
Kanon,"""Somos impotentes... Porque somos muebles..."""
Shannon,"""Es cierto... somos impotentes... Sin embargo, hay ocasiones en las que un mueble es necesario, e incluso querido."""
Shannon,"""... Ahora mismo, tan solo hemos sido guardados en el sótano... Seguramente, un día, alguien nos querrá. Porque somos necesarios... Es por eso que, por ahora, es mejor ignorar sus provocaciones y tener paciencia... ¿Sí?"""
Ushiromiya Krauss,"""... Padre. Les he ordenado encerrar a Gohda y Kumasawa."""
Ushiromiya Kinzo,"""Muy bien. Cuelga ahora... Hermanas Siesta. Observen a los nietos mientras encierran bajo llave a Gohda y Kumasawa. Si hacen cualquier cosa sospechosa... entonces, la prueba de selección para el próximo líder terminará justo en ese momento."""
,"Cuando Kinzo dio la orden, las Hermanas Siesta aparecieron en línea tras él."
Chiester00,"""Comprendido, señor. Vigilaré. {ruby:Cinco‐cinco‐seis:556} y 410 cubrirán los dos flancos. 45 tendrá vigilada el área."""
Chiester45,"""00... 556 está..."""
Chiester00,"""Ah... correcto. Perdón."""
Chiester45,"""Era una buena chica..."""
Chiester410,"""... Por eso no me gustan, nyeh... Las buenas personas."""
Ushiromiya Kinzo,"""¡¿Qué están haciendo, Hermanas Siesta?! ¡Sigan mis órdenes!"""
Chiester00,"""... Mis disculpas, señor. Entonces, permítanos ir a observar... ¡Retirada!"""
,Las Hermanas Siesta desaparecieron simultáneamente.
,"Nanjo y Kyrie fueron testigos de los instantes en los que ellas aparecían y desaparecían como si se teletransportaran, pero lo interpretaron como si se movieran entrando y saliendo de las sombras de un modo que parecía que se teletransportaban, y los dos no pudieron hacer más que frotarse los ojos..."
Ushiromiya Kinzo,"""... Entonces. Voy a comenzar las preparaciones de la prueba. Ronove, Gaap. Les pido que sean los examinadores. {f:5:Virgilia}, tú vigilarás a estas ratas... Después de todo, dos de mis muebles están aquí. Por si acaso, mantente alerta."""
,"Echó un vistazo a Shannon y Kanon. Cerrando fuertemente sus ojos, Shannon hizo una silenciosa reverencia, respondiendo así sin palabras, evitando acciones innecesarias..."
{f:5:Virgilia},"""... Como ordene. Tendré cuidado."""
Gaap,"""¿No es duro este frío para tu viejo cuerpo, Lia? ¿Y si te traigo una bolsa de agua caliente?..."""
{f:5:Virgilia},"""Cállate. Ve rápido. Gap."""
Ronove,"""¡Pu ku ku ku!... Bueno, tener una prueba y examinadores es una extraña experiencia para este juego... Espero que este suceso entretenga a la milady."""
{f:5:Virgilia},"""... Vamos, levántense, sirvientes cabra."""
,"{f:5:Virgilia} comenzó a gritar a la oscuridad, y desde ese lugar, aparecieron de inmediato tres enormes sirvientes con cabeza de cabra."
Gaap,"""Ah, los súbditos de Beato. Qué bien. Además, parecen muy cálidos. Ya veo, esto en lugar de una bolsa de agua caliente. En ese caso, ¿no habrían sido mejores ovejas que cabras?"""
{f:5:Virgilia},"""Oye, tú eres la que viste de cachemira... No son muy listos, pero siguen las órdenes fielmente y son bastante fiables."""
Ushiromiya Kinzo,"""Mmm, te los dejo a ti. Mi amiga, {f:5:Virgilia}... El resto de ustedes, síganme."""
,"Con un digno gesto, Kinzo agitó su capa."
,Tras él fueron Ronove y Gaap... además de los tres sirvientes cabra convocados recientemente.
{f:5:Virgilia},"""... Se supone que ustedes tres esperarán aquí conmigo. No los sigan."""
,Las cabras se sobresaltaron y volvieron tambaleantes.
,"Kyrie, que había estado viendo asombrada todo esto, no pudo evitar resoplar."
Ushiromiya Kyrie,"""Jeje... Qué subordinados tan entretenidos."""
{f:5:Virgilia},"""L‐Lord {f:5:Goldsmith} no te proporcionó permiso para hablar libremente."""
,... Probablemente estaba avergonzada.
,"{f:5:Virgilia} había hablado fríamente, pero Kyrie, viendo a través de eso, no pudo contener su risa entre dientes durante un tiempo."
,"Sin embargo, en el interior, Kyrie estaba sorprendida por la cantidad de personas que Kinzo tenía con él."
,"Porque, incluyendo al mismo Kinzo, había detectado a por lo menos 10 enemigos..."
,... El calabozo en el que estaban encerrados estaba supuestamente bajo la mansión oculta llamada Kuwadorian.
,"A pesar de que se había rumoreado sobre esta mansión, ni siquiera Krauss había sabido de su existencia hasta hoy."
,"¿Hay realmente varias instalaciones como esta en Rokkenjima, en las que muchos secuaces desconocidos que solo Kinzo conoce se ocultan?"
,"¿Cuántos humanos hay en Rokkenjima, encerrados por el tifón?..."
,"No, por otro lado. ¿Fuimos los únicos bajo la impresión de que solo hay 18 personas en esta isla?..."
,"¿Éramos solo nosotros, que discutíamos sobre si {f:5:Beatrice} existía o no y que nos preocupábamos sobre si una 19.ª persona existía, no más que las ranas en un pozo en esta isla?..."
,"No, espera, no es solo eso... Ahora, ¿hay realmente más personas en el bando enemigo que en el nuestro?..."
Ushiromiya Kyrie,"""... Qué demonios está pasando... ¿Brujas? ¿Demonios? ¿Magia?... ¿Nos están diciendo que creamos en eso? ¿Está fallando mi vista? ¿O es mi cabeza?... Creo que la estoy perdiendo..."""
,Un asesinato en masa por magia.{n}Demonios apareciendo y desapareciendo de la nada.
,Más importante que el número de enemigos... ¿cómo deberíamos interpretar las distintas cosas ocurridas ante nuestros ojos que no pueden explicarse con el sentido común de este mundo?
,"... Kyrie comenzó a sentirse como si ya no supiera lo que estaba ocurriendo, mientras luchaba contra la tentación de abandonarlo todo y rendirse, trató de aferrarse a su cordura y soportar la tragedia ante ella..."
,"Obviamente, Gohda y Kumasawa eran bastante reacios a ser encerrados en el almacén del jardín de rosas."
,"... Pero fueron amenazados con que, si se resistían, la seguridad de los rehenes no podría ser garantizada..."
,"Fue bastante difícil que accedieran, pero una vez que comenzaron a pensar que su seguridad quizás estaría garantizada si les pasaban la llave del almacén de jardinería por una ventana tras haber sido encerrados, y cuando se decidió que les llevarían mantas y alimentos, fueron finalmente convencidos."
Kumasawa Chiyo,"""... Este lugar es bastante frío... Me pregunto cuánto tendremos que estar encerrados aquí..."""
Ushiromiya George,"""... En el peor de los casos, será hasta por la mañana del lunes, así que un día y una noche completos... Me siento realmente mal por hacerles esto a los dos..."""
,"George y Battler hicieron un espacio en el suelo, y luego extendieron las mantas ahí.{n}Dejaron también la comida enlatada, galletas y la merienda que habían traído."
Ushiromiya Battler,"""Será difícil para ustedes llegar hasta el lunes con solo esto, chicos... Si tan solo estuviéramos más cerca de la cocina..."""
Ushiromiya Jessica,"""Nos ordenaron no ir a ningún lugar innecesario... Parece que estamos siendo vigilados... Maldición."""
Gohda Toshiro,"""... Pido honestamente disculpas por no poder serles útiles... Y estos son los momentos en los que verdaderamente deberíamos estar a su lado..."""
Ushiromiya George,"""No hay remedio... Lo más importante, cuide de Kumasawa-san... No sabemos qué va a ocurrir. Cuando llegue el momento, quiero que hagan lo que puedan. Y más que nada, quiero que estén a salvo..."""
Gohda Toshiro,"""... Sí, comprendo... Por favor, tengan cuidado todos. Ahora mismo, el amo... está tomando vidas humanas como si fuesen piezas sobre un tablero... Por favor, tengan cuidado."""
,"Gohda miraba al suelo, incluso ahora sin poder creer lo que había ocurrido mientras recordaba aquella atrocidad en el comedor, y bajó su cabeza avergonzado por su fracaso al describir tal terror."
Ushiromiya George,"""Gracias... Asegúrese de mantenerse en guardia. Usted también, Kumasawa-san."""
