Speaker,Arabic (AR)
Ushiromiya Maria,"""......ﻻ ﺃﺩﺭﻱ ﻣﺎ ﺃﻏﻀﺒﻚ ﻳﺎ ﺑﺎﺗﻠﺮ."""
Ushiromiya Battler,"""{i:ﻛﻴﻒ ﻻ..} ﻭﻛﻞٌ ﻣﻘﺘﻮﻝ!! ﻗﺘﻠﻬﻢ ﺫﺍﻙ ﺍﻟﺸﺎﻳﺐ ﺍﻟﺰﻓﺖ!! ﻭﻋﺬﺭﻩ ﻃﻘﻮﺱ ﺑﻌﺚ {f:7:ﺑﻴﺎﺗﺮﻳﺲ}، ﻫﺮﻃﻘﺔٌ ﺗُﺠﻬﻞ!!"""
Ushiromiya Maria,"""ﻓﻴﻌﻨﻲ ﺃﻥّ ﺛﻼﺛﺔَ ﻋﺸﺮَ ﻧُﺤﺮﻭﺍ ﻗﺮﺍﺑﻴﻦ، ......ﻭﻭﻗﻊ ﻣﺒﻌﺚ {f:7:ﺑﻴﺎﺗﺮﻳﺲ}!"""
Ushiromiya Battler,"""ﻃﻴﺐ، ﻫﺎﺗﻬﺎ!! ﻷﺫﺑﺤﻨّﻪ ﻣﻊ {f:7:ﺑﻴﺎﺗﺮﻳﺲ}!!"""
Ushiromiya Maria,"""............ﻟﻘﺪ ﻧَﺠَﻮْﻧﺎ ﻣﻦ ﺍﻟﻄﻘﺲ. ﻓﺮَ، ﻧﺪﺍﺀُ ﺍﻷﺭﺽ ﺍﻟﺬﻫﺒﻴﺔ ﻣﻦ {f:7:ﺑﻴﺎﺗﺮﻳﺲ} ﻭﺍﺻِﻠُﻨﺎ......"""
Ushiromiya Maria,"""ﺛﻢّ ﻛﻞ ﺃﻣﻨﻴﺔ ﻣﺠﺎﺑﺔ. ﻓﺈﻥ ﺁﻟﻤﺘﻚ ﺇﺑﺎﺩﺓ ﺃﺳﺮﺗﻚ، ﻓﻤﺎ ﻋﻠﻴﻚ ﺇﻻ ﺃﻥ ﺗﺒﻌﺜﻬﻢ ﺃﺣﻴﺎﺀ. ......ﻭﻫﺬﺍ ﻣﺎ ﺃﻧﻮﻱ ﺃﻥ ﺃﻓﻌﻠَﻪ. ﺳﺄﺑﻌﺚ ﻣﺎﻣﺎ ﺍﻟﺤﻨﻮﻧﺔ ﺍﻟﺤﻘﻴﻘﻴﺔ، ﺗﻠﻚ ﺍﻟﺘﻲ ﻟﻢ ﺗﺘﻠﺒﺴﻬﺎ ﺍﻟﺴﺎﺣﺮﺓ ﺍﻟﺴﻮﺩﺍﺀ."""
Ushiromiya Maria,"""......ﻓﺴﺘﺒﻘﻰ ﺃﻣّﻲ ﻣﻌﻲ ﻣﻦ ﺍﻵﻥ ﻓﺼﺎﻋﺪًﺍ. .........ﻟﻦ ﻳﻜﻮﻥ ﺛﻤّﺔ ﻋﻤﻞٌ ﺇﺿﺎﻓﻲّ ﻭﻻ ﺩﻭﺍﻡٌ ﻓﻲ ﺍﻟﻌُﻄَﻞ. ...ﺳﺘﻜﻮﻥ ﻣﻌﻲ ﻋﻠﻰ ﺍﻟﺪﻭﺍﻡ، ﻭﻻ ﺗﻔﻜّﺮ ﺇﻻ ﺑﻲ، ﻛﻬِﻬِﻬِﻬﻴﻬﻲ، ﻭﺳﺘُﻘﺎﺗﻞ ﻋﻨّﻲ ﺃﻋﺪﺍﺀً ﻣﻬﻮﻟﻴﻦ. ﻛﻬِﻬِﻬﻴﻬﻴﻬﻴﻬﻲ...!"""
Ushiromiya Battler,"""......ﺑﻚ ﻋِﻠّﺔٌ ﻣﺎ. ......ﻛﻴﻒ ﺗﻠﻮﻙ ﻫﺬﺍ ﺍﻟﻬﺬﻳﺎﻥ ﻓﻲ ﻇﺮﻑٍ ﻛﻬﺬﺍ...؟!"""
Ushiromiya Maria,"""............ﺃﻟﻢ ﺗُﺨﺒﺮﻙ ﺧﺎﻟﺘﻲ ﻛﻴﺮﻳﻲ ﻳﺎ ﺑﺎﺗﻠﺮ...؟ ......ﺃﻟﻢ ﺗﻘﻞ ﻟﻚ... ﺃﻥ ﺗﺆﻣﻦ... ...ﺑﺎﻟﺴﺎﺣﺮﺓ؟"""
Ushiromiya Battler,""".....................ﺑﺌﺴًﺎ. ﻟﻴﺲ ﻫﺬﺍ ﺃﻭﺍﻥُ ﺍﻟﺠﺪﺍﻝ ﻣﻌﻚ...!! ﻣﺎ ﺑﻘﻲ ﺃﺣﺪ ﺣﻴًﺎ، ﻻ ﺍﻟﺮﻫﺎﺋﻦ ﻭﻻ ﻏﻴﺮﻫﻢ! ﻟﻘﺪ ﺍﻧﺘﻬﺖ ﻫﺬﻩ ﺍﻟﻠﻌﺒﺔُ ﺍﻟﺴﺨﻴﻔﺔ ﺍﻟﻤﻠﻌﻮﻧﺔ ﺑﻄﻘﻮﺳﻬﺎ ﺍﻵﻥ...!!"""
Ushiromiya Battler,"""ﻣﻦ ﻫﺬﻩ ﺍﻟﻠﺤﻈﺔ ﺳﺄﻓﻌﻞ ﻣﺎ {i:ﺃﺭﻳﺪ}. ﻗﺪ ﻳﻜﻮﻥ ﺃﺣﺪﻫﻢ ﺣﻴًّﺎ ﺑﻌﺪ. ﺃﻭ ﻳﺨﺘﺒﺊ ﺃﺣﺪٌ ﻓﻲ ﻣﻜﺎﻥٍ ﻣﺎ! ﺳﺄﻓﺘّﺶ ﻛﻞّ ﺯﺍﻭﻳﺔٍ ﻭﺭﻛﻦٍ، ﻭﺃﻋﺜﺮ ﻋﻠﻴﻬﻢ، ﻭﺃُﺑﺮّﺣﻬﻢ ﺿﺮﺑًﺎ!!"""
, ﻭﻓﻲ ﻓﻮﺭﺍﻥ ﺍﻟﻐﻀﺐ، ﻗﺒﺾ ﺑﺎﺗﻠﺮ ﻋﻠﻰ ﺭﻣﺢ ﺍﻟﻤﻌﺎﻃﻒ ﺧﺎﺻﺘﻪ ﻭﺍﻧﻘﺾّ ﺧﺎﺭﺝ ﺍﻟﻐﺮﻓﺔ.
, ﻧﻈﺮﺕ ﻣﺎﺭﻳﺎ ﺇﻟﻴﻪ ﻣﻨﺼﺮﻓﺔ ﺍﻟﺒﺎﻝ ﻭﻫﻮ ﻳﺮﺣﻞ...
Ushiromiya Maria,""".........ﻣﻊ ﺃﻥ {f:7:ﺑﻴﺎﺗﺮﻳﺲ} ﺳﺘُﺤﻘّﻖ ﺃُﻣﻨﻴﺎﺗﻚ ﻋﻤّﺎ ﻗﺮﻳﺐ ﻋﻠﻰ ﺃﻱّ ﺣﺎﻝ. ......ﺑﺎﺗﻠﺮ ﺍﻷﺣﻤﻖ. ......ﻛﻬِﻬِﻬِﻬﻴﻬﻲ."""
, ﺛﻢ ﺩﻭّﻯ ﺭﻧﻴﻦ ﺍﻟﻬﺎﺗﻒ ﻣﺮّﺓً ﺃﺧﺮﻯ......
, ﻓﻨﻬﻀﺖ ﻣﺎﺭﻳﺎ، ﻭﺭﻓﻌﺖ ﺍﻟﺴﻤّﺎﻋﺔ.
Ushiromiya Maria,"""ﺃﻭﻭ. ﻣﺮﺣﺒًﺎ. ......ﺃﻭﻭ؟ ﺃﻭﻭ!!!"""
, ﻭﻃﺒﻴﻌﻲٌّ ﺃﻥّ ﺻﻮﺕ ﺍﻟﻬﺎﺗﻒ ﺑﻠﻎ ﺃُﺫﻧَﻲ ﺑﺎﺗﻠﺮ ﻭﻫﻮ ﻳﻮﺷﻚ ﺃﻥ ﻳﺨﺮﺝ ﻣﻦ ﺑﻴﺖ ﺍﻟﻀﻴﺎﻓﺔ.
, ﻓﺎﺳﺘﺪﺍﺭ ﺑﻌﻨﻒٍ ﺧﺎﻃﻒٍ ﻭﺍﻗﺘﺤﻢ ﻏﺮﻓﺔَ ﺃﺑﻨﺎﺀ ﺍﻟﻌﻤﻮﻣﺔ...
Ushiromiya Battler,"""ﻡ...ﻣﺎﺭﻳﺎ......! ﺍﻟﻤﻜﺎﻟﻤﺔ، ......ﻣِﻤَّﻦْ ﻫﻲ...؟!"""
, ﺑﻤﻼﻣﺢ ﻳﻜﺴﻮﻫﺎ ﺍﻟﺮﻋﺐ ﺻﺮﺥ ﺑﺎﺗﻠﺮ ﺑﻤﺎﺭﻳﺎ ﺍﻟﺘﻲ ﻛﺎﻧﺖ ﻋﻠﻰ ﺍﻟﻬﺎﺗﻒ.
, ﻭﻟﻢ ﻳﻜﻦ ﺍﻟﻠﻮﻡ ﻋﻠﻴﻪ...... ﻓﻔﻲ ﺗﻠﻚ ﺍﻟﻠﺤﻈﺔ ﻟﻢ ﻳﺒﻖَ ﻣﻦ ﺍﻟﺒﺸﺮ ﺍﻷﺣﻴﺎﺀ ﻋﻠﻰ ﺍﻟﺠﺰﻳﺮﺓ ﻏﻴﺮﻩ ﻭﻣﺎﺭﻳﺎ ﻭﻗﻮﺩﺍ ﻭﻛﻮﻣﺎﺳﺎﻭﺍ.
, ﻏﻴﺮ ﺃﻥّ ﺫﻳﻨﻚ ﺍﻻﺛﻨﻴﻦ ﻛﺎﻧﺎ ﻣﺤﺒﻮﺳﻴﻦ ﻓﻲ ﻣﺴﺘﻮﺩﻉ ﺣﺪﻳﻘﺔ ﺍﻟﻮﺭﻭﺩ.
, ......ﻭﻫﺬﺍ ﻳﻌﻨﻲ.........ﺃﻧّﻪ ﻟﻢ ﻳﺒﻖَ ﺳﻮﻯ ﻭﺍﺣﺪ.{n}ﺇﻧّﻪ ﻛﻴﻨﺰﻭ ﻻ ﻣﺤﺎﻟﺔ.
, ﻭﺑﻴﻨﻤﺎ ﻛﺎﻧﺖ ﺗﺘﺤﺪّﺙ ﺑﻤﺮﺡٍ ﻣﻊ ﻣَﻦ ﻓﻲ ﺍﻟﻄﺮﻑ ﺍﻵﺧﺮ، ﺍﺳﺘﺪﺍﺭﺕ ﻣﺎﺭﻳﺎ ﺑﺒﻂﺀ ﻧﺤﻮ ﺑﺎﺗﻠﺮ.
," .........ﺛﻢ ﺿﺤﻜﺖ ﺑﻮﺟﻪٍ ﻣﺮﻳﺐٍ ""ﻛﻬِﻬﻲ{0}ﻫﻲ{0}ﻫﻲ{0}ﻫﻲ{0}ﻫﻴﻬﻴﻬﻲ"".{n}......ﻛﺄﻥّ ﻣَﻦ ﻓﻲ ﺍﻟﺠﻬﺔ ﺍﻷﺧﺮﻯ ﻛﺎﻥ ﻳُﺤﺎﺩﺛﻬﺎ ﻋﻦ ﺑﺎﺗﻠﺮ ﻧﻔﺴﻪ."
Ushiromiya Battler,"""ﻣﺎﺭﻳﺎ...ﻣَﻦ ﺍﻟﻤﺘّﺼﻞ؟ ......ﺍﻟﺠﺪّ......؟!"""
, ﻟﻢ ﻳﺴﺄﻟﻬﺎ ﻇﻨًﺎ.
, ...ﺇﺫ ﺑﺎﻋﺘﻘﺎﺩﻩ؛ ﻣﺤﺎﻝ ﺃﻥ ﻣﺎﺭﻳﺎ ﺗﺤﺎﺩﺙ ﻛﻴﻨﺰﻭ ﺑﻬﺬﻩ ﺍﻷُﻟﻔﺔ، ......ﻭﺑﺘﻠﻚ ﺍﻻﺑﺘﺴﺎﻣﺔ ﺍﻟﻐﺎﻣﻀﺔ.
, ﺃﻱّ ﻛﺎﺋﻦٍ ﺫﺍﻙ ﺍﻟﺬﻱ ﻓﻲ ﺍﻟﻬﺎﺗﻒ.........ﺫﺍﻙ ﺍﻟﺬﻱ ﺟﻌﻞ ﻣﺎﺭﻳﺎ ﺗﺘﺤﺪّﺙ ﺑﺘﻠﻚ ﺍﻟﺒِﺸﺮﻯ ﺍﻟﻤﺮﻳﺒﺔ؟
, .........ﻋﻨﺪﻫﺎ، ﻓﻲ ﺃﻋﻤﺎﻕ ﻓﻜﺮِﻩ، ﻃَﻔَﺖ ﻛﻠﻤﺎﺕ ﻛﻴﺮﻳﻲ ﺍﻟﺘﻲ ﺃﻟﻘﺘﻬﺎ ﻋﻠﻴﻪ.
, ﻭﺇﻥ ﻇﻬﺮﺕ ﺍﻟﺴﺎﺣﺮﺓ، ﻓﻼ ﺣﺎﺟﺔَ ﺃﻥ ﺗُﻜﺬّﺑﻬﺎ.{n}......ﺑﻞ.........ﺁﻣﻦْ ﺑﻮﺟﻮﺩﻫﺎ......
Ushiromiya Maria,"""ﻧﻌﻢ. ﻟﻘﺪ ﻋﺎﺩ ﺑﺎﺗﻠﺮ ﺗَﻮًّﺍ. ﻣﺎ ﺃﺳﺮﻋَﻪ. ﻛﻬِﻬﻲ{0}ﻫﻲ{0}ﻫﻲ{0}ﻫﻲ{0}ﻫﻲ{0}ﻫﻲ{0}ﻫﻴﻬﻴﻬﻲ......"""
Ushiromiya Battler,"""ﻣﺎﺭﻳﺎ!! ﻣَﻦ ﻋﻠﻰ ﺍﻟﻬﺎﺗﻒ؟! ﻣَﻦ؟!!"""
Ushiromiya Maria,"""......ﺃﺗُﺮﻳﺪ ﺃﻥ ﺗﺘﺴﻠّﻤﻪ؟ ﺣﺴﻦٌ ﺇﺫﻥ. ............ﻫﺎﻙ ﻳﺎ ﺑﺎﺗﻠﺮ."""
, ﻭﺑﻌﺪ ﺃﻥ ﺍﺳﺘﺄﺫﻧﺖْ ﻣﻦ ﺍﻟﻄﺮﻑ ﺍﻵﺧﺮ، ﻧﺎﻭﻟﺖْ ﺍﻟﺴﻤّﺎﻋﺔ ﺇﻟﻰ ﺑﺎﺗﻠﺮ...
Ushiromiya Battler,"""..................ﺃﻩ."""
Ushiromiya Maria,"""ﻫﺎﻙ."""
