Speaker,Arabic (AR)
Ushiromiya Eva,"""..............................ﺁﺁﺯﺯ..."""
Ushiromiya Hideyoshi,"""..................ﻓﻴﻮﻩ. ...ﻭﺃﺧﻴﺮًﺍ ﻫﺪﺃﺕ..."""
,"ﻗﺎﻟﻬﺎ ""ﻫﻴﺪﻳﻮﺷﻲ"" ﻭﻫﻮ ﻳﻤﺴﺢ ﺟﺒﻴﻨﻪ ﺍﻟﻤﺘﻌﺮﻕ. ...ﺃﻣﺎ ﺇﻳﻔﺎ ﻓﻘﺪ ﺑﺪﺕ ﻭﻛﺄﻧﻬﺎ ﺗﺤﻠﻢ ﺑﻜﺎﺑﻮﺱٍ ﻣﺮﻭﻉٍ ﻟﻠﻐﺎﻳﺔ، ﻟﻜﻦ ﻳﺒﺪﻭ ﺃﻧّﻬﺎ ﺍﻵﻥ ﻗﺪ ﻧﺎﻣﺖ ﺃﺧﻴﺮًﺍ."
,ﻟﻢ ﻳُﻔﻠّﺖ ﺯﻭﺟﻬﺎ ﻳﺪﻫﺎ ﺃﺑﺪًﺍ ﻛﻤﺎ ﻭﻋﺪﻫﺎ. ...ﻓﻜﺮ ﻟﻠﺤﻈﺔ ﺃﻧﻪ ﻗﺪ ﻳﺘﺮﻙ ﻳﺪﻫﺎ ﺍﻵﻥ، ﻟﻜﻦ ﻭﻓﺎﺀﻩ ﺩﻓﻌﻪ ﻟﻼﺳﺘﻤﺮﺍﺭ.
,ﺑﻴﻦ ﺍﻟﺤﻴﻦ ﻭﺍﻵﺧﺮ، ﻛﺎﻥ ﻳﺒﺪّﻝ ﺑﻴﻦ ﻳﺪﻩ ﺍﻟﻴﻤﻨﻰ ﻭﺍﻟﻴﺴﺮﻯ ﺣﻴﻦ ﻳﺘﻌﺐ، ﻟﻜﻨّﻪ ﻟﻢ ﻳﺘﺮﻙ ﻳﺪﻫﺎ ﺃﺑﺪًﺍ، ﻛﻤﺎ ﻭﻋﺪ ﺗﻤﺎﻣًﺎ...
,ﻋﻨﺪﺋﺬٍ، ﺗﺮّﺩﺩ ﺻﻮﺕ ﻃﺮﻕٍ ﺷﺪﻳﺪٍ ﻋﻠﻰ ﺍﻟﺒﺎﺏ. ﺷﻌﺮ ﻫﻴﺪﻳﻮﺷﻲ ﺑﺎﻟﻐﻀﺐ ﻗﻠﻴﻼً، ﺇﺫ ﺃﻥّ ﺫﻟﻚ ﻗﺪ ﻳُﻮﻗﻆ ﺇﻳﻔﺎ ﺍﻟﺘﻲ ﻫﺪﺃﺕ ﻭﻧﺎﻣﺖ ﻟﻠﺘﻮ.
Ushiromiya Rudolf,"""......ﺃﺧﺘﻲ، ﻫﻴﺪﻳﻮﺷﻲ-ﺳﺎﻥ، ﺁﺳﻒ ﻋﻠﻰ ﺍﻹﺯﻋﺎﺝ. ﻫﻞ ﺭﻭﺯﺍ ﺑﺎﻟﺪﺍﺧﻞ...؟"""
,ﺇﻧﻪ ﺭﻭﺩﻭﻟﻒ. ...ﻣﺎ ﺍﻟﺬﻱ ﻳﺮﻳﺪﻩ ﻳﺎ ﺗُﺮﻯ؟
,"ﺗﻮﺟﻪ ""ﻫﻴﺪﻳﻮﺷﻲ"" ﺑﺨﻄﻮﺍﺕ ﻫﺎﺩﺋﺔ ﻧﺤﻮ ﺍﻟﺒﺎﺏ ﺣﺘﻰ ﻻ ﻳﻮﻗﻆ ﺇﻳﻔﺎ."
,......ﻛﺎﻥ ﻣﺘﺄﻛﺪًﺍ ﻣﻦ ﺃﻥ ﺍﻟﻄﺎﺭﻕ ﻫﻮ ﺭﻭﺩﻭﻟﻒ، ﻭﺭﻏﻢ ﺫﻟﻚ، ﻓﺘﺢ ﺍﻟﺒﺎﺏ ﺩﻭﻥ ﺃﻥ ﻳﺰﻳﻞ ﺍﻟﺴﻠﺴﻠﺔ.
