Speaker,Spanish (ES)
Ushiromiya Eva,"""¿De quién deberíamos pedir un acertijo ahora?"""
Ushiromiya Ange,"""¿Qué tal de ellos dos?"""
Ushiromiya Eva,"""¿Shannon‐chan y Kanon‐kun? Claro, parece que serán un buen desafío."""
Shannon,"""¿Necesitan algo, Eva‐sama, Ange‐sama?"""
Kanon,"""... No seas tonta, nee‐san. Están pidiéndonos acertijos."""
Shannon,"""Ah, m‐mis disculpas."""
,Shannon estaba tan despistada como siempre.
,"Sin embargo, Kanon lucía bastante tranquilo y probablemente tenía un acertijo bien preparado."
Shannon,"""Umm, eehh..."""
Kanon,"""... Jaa. Bien, yo iré primero. Mientras nee‐san piensa en un acertijo."""
Shannon,"""E-Entiendo. Lo siento..."""
Kanon,"""Así que, si estoy ganando tiempo para que nee‐san piense en un acertijo, tendré que hacer uno lo suficientemente complicado para mantenerlas ocupadas un rato."""
Ushiromiya Eva,"""Ejejejejej, tienes agallas, chico. Pues comencemos, ¿no? ¡Muéstranos el más difícil que tengas!"""
Ushiromiya Ange,"""¡No lo provoques! ¡Quiero uno fácil!"""
Kanon,"""Ahora que tengo el permiso de Eva‐sama, permítanme presentar un acertijo increíblemente difícil."""
Ushiromiya Eva,"""Déjamelo a mí. ¡Tu tía lo resolverá!"""
Ushiromiya Ange,"""La cantidad de monedas es realmente diferente y algo extraña."""
Ushiromiya Eva,"""¡Espera un momento, Kanon‐kun! ¡¿En qué estás pensando?! ¡No hay forma de que pueda resolver esto, ¿verdad?!"""
Kanon,"""Esto es solo para ganar tiempo hasta que nee‐san pueda pensar en una pregunta, mis disculpas."""
Shannon,"""¡G‐Gracias!... ¡He pensado en una pregunta!..."""
Kanon,"""... Entendido. Pues entonces, Eva‐sama, Ange‐sama. Les daré una pista... El cobre es 29, la plata es 47 y el oro es 79. Esa es la pista."""
Ushiromiya Ange,"""¡Eso es exactamente lo que dijiste en la pregunta!... ¡Eso no es una pista!"""
Ushiromiya Eva,"""... ¿El cobre es 29? ¿¿La plata es 47??... ¡Ah, ya lo entiendo!"""
Ushiromiya Ange,"""¿Eh? ¡¿Lo entendiste?! ¡Ange también lo entiende! ¡El platino es mejor que el oro, así que el premio debe ser más de 79 monedas de oro!"""
Ushiromiya Eva,"""No exactamente. Con estas reglas, es probable que el premio de platino valga menos que el de oro. ¿No es así?"""
Kanon,"""... Es como dice. Parece que ya encontró la respuesta."""
Ushiromiya Eva,"""Este acertijo es imposible para Ange‐chan. Tendría que haber ido a la secundaria, por lo menos. ¡Yo responderé! ¿Te parece bien, Ange‐chan?"""
Ushiromiya Ange,"""S‐Sí. ¡Te lo dejo a ti!..."""
Kanon,"""Incorrecto."""
Ushiromiya Eva,"""¡¡Aaaaaaaahhh, lo siento, me equivoqué!! ¡Si tan solo hubiera tomado en serio la clase de ciencias!"""
Ushiromiya Ange,"""¿Qué quieres decir? No lo entiendo."""
Ushiromiya Eva,"""La cantidad de monedas de oro es el número atómico de cada elemento. El cobre es 29, la plata es 47 y el oro es 79. ¡¡No puedo recordar cuál era el número del platino!!..."""
Ushiromiya Ange,"""No tengo ni idea de lo que estás diciendo."""
Ushiromiya Eva,"""¡Oye, tú! ¡¿Qué tipo de problema crees que le estás dando a Ange‐chan?! ¡¿No puedes ser un poco más considerado con tus acertijos?!"""
Kanon,"""Usted me dio permiso para mostrarle el más difícil que tengo."""
Ushiromiya Ange,"""... Eso es cierto. Tú lo dijiste. Por eso obtuvimos un acertijo que era demasiado difícil para mí."""
