Speaker,Spanish (ES)
Ushiromiya Natsuhi,"""... Padre... soy yo, Natsuhi. Buenos días..."""
Ushiromiya Eva,"""¡Es imposible que se despierte si lo haces de esa manera! ¡Padre, soy Eva! ¡Levántate, por favor! ¡¡Es una emergencia!!"""
,Eva empujó a Natsuhi a un lado y golpeó repetidamente la puerta con todas sus fuerzas.
Ushiromiya Natsuhi,"""¡¡S-Silencio!!... ¡No hagas tanto ruido!..."""
Ushiromiya Eva,"""¡¿En serio crees que es el momento de decir algo así?!"""
Furudo Erika,"""... Así que no contesta el teléfono y tampoco responde a los golpes en la puerta. Qué dilema."""
Nanjo Terumasa,"""... P-Puede que esté de mal humor otra vez... Kinzo-san a veces incluso considera el más mínimo cambio como un mal presagio, y se pone de mal humor por razones que solo él puede entender..."""
Kumasawa Chiyo,"""Jo... jojojo... Sí, es cierto... No es algo que haya empezado hoy..."""
Ushiromiya Battler,"""¿Realmente el abuelo se encierra tanto en su estudio?"""
Shannon,"""... Sí... No es extraño para él estar en su estudio más de un mes sin salir..."""
Gohda Toshiro,"""... No se lo digan a nadie... pero aun trabajando en este lugar, a veces incluso se me olvida que el amo vive aquí..."""
Ushiromiya Natsuhi,"""Gohda. ¡¡Ese no es el tipo de declaración que espero escuchar de un sirviente!!"""
Gohda Toshiro,"""M-Mis disculpas, señora... lo siento de verdad..."""
Ushiromiya Hideyoshi,"""De todos modos... ¿no es un problema que no podamos contactar con él? ¡En el peor de los casos, padre podría no saber que ha ocurri'o un crimen! ¡¿Verdad?!"""
Kanon,"""... Y-Yo, no estoy seguro..."
,"Dándose cuenta de que estaban empezando a dudar de la existencia de Kinzo, Kanon farfulló..."
Ushiromiya Kyrie,"""... ¿Quién fue la última persona que estuvo con padre?... ¿Y cuándo?"""
Ushiromiya Natsuhi,"""F-Fui yo. Anoche... hasta que se inició el alboroto cuando Battler encontró el oro, yo estaba en el estudio de padre, dándole el informe diario."""
Furudo Erika,"""... Entonces alrededor de las once de la noche."""
Ushiromiya Rudolf,"""... No hay otro camino. Abramos."""
Ushiromiya Natsuhi,"""¡¿Q-Qué has dicho?!... ¡Este es el preciado estudio y lugar de investigación del líder de la familia! ¡A nadie se le permite entrar sin su permiso, a nadie!"""
