Speaker,Arabic (AR)
,ﺑﻘﻴﻨﺎ ﻧﺤﻦ ﺍﻷﻗﺮﺑﺎﺀ ﺍﻷﺭﺑﻌﺔ ﻧﺤﻜﻲ ﻗﺼﺼﺎ ﻓﻴﻤﺎ ﺑﻴﻨﻨﺎ، ﻟﻠﺘﺮﻓﻴﻪ ﻋﻦ ﺃﻧﻔﺴﻨﺎ.
,ﻫﻨﺎﻙ ﻋﻠﻰ ﺣﺪ ﺳﻮﺍﺀ ﻓﺘﺎﺗﺎﻥ ﻭﻓﺘﻴﺎﻥ. ﺑﺎﻹﺿﺎﻓﺔ ﻟﺬﻟﻚ، ﻓﻘﺪ ﻛﻨﺎ ﺃﺷﺨﺎﺻﺎ ﻣﻦ ﻣﺨﺘﻠﻒ ﺍﻷﻋﻤﺎﺭ: ﺑﺎﻟﻎ، ﻭﻃﺎﻟﺒﺎﻥ ﻓﻲ ﺍﻟﻤﺪﺭﺳﺔ ﺛﺎﻧﻮﻳﺔ، ﻭﻃﺎﻟﺒﺔ ﻓﻲ ﺍﻟﻤﺪﺭﺳﺔ ﺍﻻﺑﺘﺪﺍﺋﻴﺔ.
,ﻛﻠﻤﺎ ﺭﻭﻯ ﺃﺣﺪﻧﺎ ﻗﺼﺘﻪ ﺍﻟﺸﺨﺼﻴﺔ، ﺃﻧﺼﺖ ﺍﻟﺜﻼﺛﺔ ﺍﻵﺧﺮﻭﻥ ﺑﺎﻫﺘﻤﺎﻡ.
Ushiromiya Battler,"""ﺃﻋﺘﻘﺪ ﺑﺄﻧﻨﻲ ﺃﺧﻴﺮﺍ ﺑﺪﺃﺕ ﺍﻻﻋﺘﻴﺎﺩ ﻋﻠﻰ ﻛﻞ ﻫﺬﺍ. ﺟﻴﺴﻴﻜﺎ ﻭﻣﺎﺭﻳﺎ ﻗﺪ ﻛﺒﺮﺗﺎ ﺃﻛﺜﺮ ﻣﻤﺎ ﺃﻣﻜﻨﻨﻲ ﺃﻥ ﺃﺗﺨﻴﻞ ﻓﻲ ﺍﻟﺴﺖ ﺳﻨﻮﺍﺕ ﺍﻟﻤﺎﺿﻴﺔ. ﻷﻛﻮﻥ ﺻﺮﻳﺤﺎ، ﻛﻨﺖ ﺃﺷﻌﺮ ﺑﻌﺪﻡ ﺍﻻﺭﺗﻴﺎﺡ ﻗﻠﻴﻼ، ﻭﻟﻜﻦ ﺑﻤﺜﻞ ﻫﺬﺍ ﺍﻟﺤﺪﻳﺚ، ﺃﻋﺘﻘﺪ ﺃﻥ ﻣﺎ ﻓﻲ ﺍﻟﺪﺍﺧﻞ ﻟﻢ ﻳﺘﻐﻴﺮ ﻣﻨﺬ ﺫﻟﻚ ﺍﻟﺤﻴﻦ."""
Ushiromiya Jessica,"""ﺃﻭﺍﻓﻘﻚ ﺍﻟﺮﺃﻱ. ﺣﺘﻰ ﺑﻌﺪ ﺳﺖ ﺳﻨﻮﺍﺕ ﻟﻢ ﺗﺘﻐﻴﺮ ﻭﻟﻮ ﻗﻠﻴﻼ ﻳﺎ ﺑﺎﺗﻠﺮ. ﺑﺎﻟﺮﻏﻢ ﻣﻦ ﺃﻥ ﺟﺴﻤﻚ ﻗﺪ ﺃﺻﺒﺢ ﺃﺿﺨﻢ، ﺇﻻ ﺃﻧﻚ ﻣﺎ ﺗﺰﺍﻝ ﻃﻔﻼ ﻓﻲ ﺩﺍﺧﻠﻚ."""
Ushiromiya Maria,"""ﺃﻭﻭ-! ﻣﺎﺭﻳﺎ ﻃﻔﻠﺔ ﺃﻳﻀﺎ! ﻣﺎﺭﻳﺎ ﻃﻔﻠﺔ ﺃﻳﻀﺎ!"""
Ushiromiya Battler,"""ﺣﺴﻨﺎ، ﻟﻦ ﺗﻈﻠﻲ ﻃﻔﻠﺔ ﻟﻸﺑﺪ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ ﻳﺎ ﻣﺎﺭﻳﺎ؟ ﺃﻋﻨﻲ، ﺃﻧﺖ ﺗﻜﺒﺮﻳﻦ ﻟﺘﺼﺒﺤﻲ ﺳﻴﺪﺓ ﺷﺎﺑﺔ ﻭﻟﻄﻴﻔﺔ، ﺃﻻ ﺗﺤﺒﻴﻦ ﺫﻟﻚ؟ ﺣﻴﻨﻬﺎ ﺫﻟﻚ ﺍﻟﺼﺪﺭ ﺍﻟﻤﺴﻄﺢ ﺍﻟﺸﺒﻴﻪ ﺑﺎﻟﻠﻮﺡ ﺳﻴﻜﻮﻥ ﺑﻨﻔﺲ ﻣﺴﺘﻮﻯ ﺟﻴﺴﻴﻜﺎ، ﻫﺎﻩ~؟"""
Ushiromiya Battler,""" ﻋﻨﺪﻣﺎ ﻳﺤﺪﺙ ﺫﻟﻚ، ﺍﺳﻤﺤﻲ ﻟﻲ ﺑﻔﺮﻛﻪ، ﻣﻮﺍﻓﻘﺔ؟ ﻫﺬﺍ ﻭﻋﺪ!!"""
Ushiromiya Maria,"""ﺃﻭﻭ-! ﺃﺳﻤﺢ ﻟﻚ ﺑﻔﺮﻛﻪ! ﻭﻋﺪ! ﺃﻭﻭ-!"""
Ushiromiya George,"""ﻙ-ﻛﻼ، ﻣﺎﺭﻳﺎ-ﺗﺸﺎﻥ! ﻻ ﻳﻤﻜﻨﻚ ﻗﻄﻊ ﻣﺜﻞ ﻫﺬﺍ ﺍﻟﻮﻋﺪ، ﻫﺬﺍ ﺧﻄﺄ، ﺧﻄﺄ، ﺧﻄﺄ!"""
