Speaker,Spanish (ES)
Ushiromiya Krauss,"""... C-Cierto, no podemos descartarlo... Los sirvientes son los más sospechosos..."""
Furudo Erika,"""No tenemos ninguna prueba física, por lo que no podemos atarlos y encerrarlos en un armario. Así pues, necesitamos asegurarnos de que estén siempre a la vista de alguien armado y tenerlos vigilados todo el tiempo."""
Ushiromiya Rudolf,"""Aniki, también deberíamos reunir las llaves maestras... Solo los sirvientes pudieron haber creado esas habitaciones cerradas. Debieron haber hecho algo con las cadenas usando alguna herramienta o dispositivo del que solo supieran ellos."""
Ushiromiya Krauss,"""... Han trabajado aquí por mucho tiempo. Me es difícil imaginarlos cometiendo un asesinato..."""
Furudo Erika,"""La vida de Kinzo-san se está acabando y he oído que el problema de la herencia todavía no tiene solución... Además, está esa historia sobre las diez toneladas de oro escondidas en alguna parte. Una posible recompensa como esa puede ser suficiente para convencer a cierta gente para que cometa un crimen..."""
Ushiromiya Rudolf,"""No quiero pensar en ello, pero también hay una posibilidad de que el viejo bastardo esté organizando alguna extraña ceremonia secreta. Los sirvientes de Un Ala son sus peones, y ellos deben haber sido los que llevaron a cabo los asesinatos... De todos modos, ¿qué hay de padre? ¿Aún no hemos podido contactar con él?"""
Ushiromiya Krauss,"""N-No... La línea interna tampoco funciona... Los culpables deben haberla roto... Y algunas veces padre deja descolgado el auricular cuando está de mal humor... Cuando llamé a su puerta, umm... solo obtuve una respuesta gruñona... No podemos contactar con él, pero ese estudio está bien protegido. Probablemente sea más seguro, así que lo mejor es dejar que esté allí..."""
,"Nervioso, Krauss trató de justificar el silencio de Kinzo."
,"Battler, el Game Master, no ha hecho de ""la muerte de Kinzo"" un tema de importancia en este juego, así que la conversación no progresó más allá de ese punto."
,Dejaron de hablar de Kinzo sin que Rudolf pensase que había algo particularmente sospechoso.
Ushiromiya Rudolf,"""De cualquier modo, no podemos apartar la vista de los sirvientes. Ya hablé con Hideyoshi nii‐san sobre esto, y decidimos separar a todos en dos habitaciones en el segundo piso y refugiarnos allí."""
Ushiromiya Krauss,"¿Por qué dos habitaciones? ¿No sería más segura una habitación?"""
Furudo Erika,"""Bueno, si tratamos de meter a 12 personas en una habitación, se asfixiarían. Además, me gustaría aislar a las personas que necesitamos vigilar más de cerca. Que serían Genji-san, el jefe de los sirvientes; Gohda-san, el más grande de ellos; y aunque es solo un niño, Kanon-san también es un chico."""
Ushiromiya Rudolf,"""Creo que debemos prestar especial atención a esos tres, Aniki. De este modo, podemos aislar a ese grupo, tú y yo podemos vigilarles de cerca. Con dos armas, nosotros dos podríamos cooperar en un instante. Si hacen un solo movimiento sospechoso, ¡*boom*!"""
Ushiromiya Krauss,"""... Entiendo. Hagamos eso... Pero Rudolf. No podemos estar seguros de que son los culpables. No seas demasiado agresivo."""
Ushiromiya Rudolf,"""... ¿Tú diciéndome que no sea agresivo?... Debemos de estar volviéndonos viejos."""
Furudo Erika,"""En estos momentos, Hideyoshi-san está en el piso de arriba, dividiendo a todos entre las dos habitaciones. Reuniremos a quienes debamos aislar en la habitación de los primos y los demás estarán en la habitación de al lado."""
Ushiromiya Rudolf,"""Ah, por cierto, Aniki, ¿Qué hay de Jessica-chan?... Insiste en estar en la misma habitación que tú."""
Ushiromiya Krauss,"""... Jessica..."""
Furudo Erika,"""Estábamos planeando tener a cinco personas en la habitación de los primos y siete en la habitación de al lado. Si Jessica-san quiere ir a la habitación de los primos, el número de personas quedaría en mitad y mitad. Si esto fuera un acertijo de lobos y ovejas, ahora mismo en esa habitación habría tres lobos sirvientes y ustedes, dos ovejas. Creo que es buena idea añadir a Jessica-san para compensar las cosas."""
,"Por un momento, Krauss se cruzó de brazos y pensó."
,"La habitación de los primos sería probablemente más peligrosa, por lo que quería a su hija en la habitación de al lado."
,"... Sin embargo, en una emergencia como esta, quería tener a su hija donde pudiese verla."
Ushiromiya Rudolf,"""Que se quede con nosotros... Podemos necesitarla allí para asegurarnos de seguir siendo buenos padres y tíos."""
Ushiromiya Krauss,"""... Sí. Ahora estoy pensando de forma racional... Pero no puedo garantizar que la tristeza de haber perdido a mi mujer no se volverá ira..."""
,"Incluso sin pruebas físicas, los sirvientes son, con seguridad, los más sospechosos."
,"Durante la larga espera, el cansancio, la furia y la tristeza de los dos hombres podrían hacerles perder la razón y actuar cegados por la ira..."
,"Tras pensarlo detenidamente, Krauss decidió aceptar la petición de Jessica, en parte para prevenir que esto sucediese..."
Furudo Erika,"""... Creo que es una buena idea. También la apruebo."""
Ushiromiya Rudolf,"""Yo igual... Ya es suficiente con que Rosa y yo hayamos perdido un hijo..."""
Ushiromiya Krauss,"""... Rudolf..."""
,"De esta manera, todos los supervivientes, exceptuando a Kinzo, se separaron en dos grupos y se refugiaron en dos habitaciones del segundo piso de la casa de huéspedes."
,"Un grupo estaba en la habitación de los primos.{n}Krauss, Rudolf, Jessica, Genji, Kanon y Gohda.{n}Seis personas."
,"Otro grupo estaba en la habitación de al lado.{n}Hideyoshi, George, Shannon, Kumasawa, Nanjo y Erika.{n}Otras seis personas."
,"Quizás como resultado de las acciones del asesino, la línea telefónica externa había sido cortada, y tendrían que esperar al barco que llegaría el día siguiente antes de que pudiesen contactar con la policía."
,"Sin embargo, el reporte del tiempo dijo que el día de mañana el tifón haría que el océano fuese difícil para navegar."
,"... Cuando eso pasa, el barco se toma el día libre.{n}Así que probablemente pasarían dos días antes de que llegase el barco."
,"En otras palabras, deberían pasar dos noches enteras refugiados allí..."
,"Mientras Erika y los otros seguían con su reunión en el salón, se habían llevado comida y mantas en preparación para lo que venía."
,"La repentina tragedia tenía a todo el mundo tenso, ya eran pasadas las 2:00 de la madrugada."
,"Si sospechaban tanto de los sirvientes, los observadores no podían arriesgarse a dormir al mismo tiempo."
,"Alguno de los dos, ya sea Krauss o Rudolf, debía tomar una siesta en ese mismo momento..."
Ushiromiya Battler,"""... No está mal. Incluso sin la autoridad del detective has sido capaz de controlar las cosas bastante bien."""
