Speaker,Spanish (ES)
,Gohda estaba haciendo las rondas nocturnas.
,Nunca había existido nada en Rokkenjima ajeno a la familia Ushiromiya.{n}Así que revisar que las puertas y ventanas estuviesen cerradas no tenía un propósito real.
,"Sin embargo, como Natsuhi había sermoneado que eso era descuidado, las rondas nocturnas se habían convertido en parte de la rutina diaria de los sirvientes."
,... La razón por la cual Natsuhi ordenó esto eran los ocasionales incidentes de la bruja.
,"Todos los que venían y dejaban esta isla sabían de la leyenda de la bruja del bosque, {f:5:Beatrice}. Esta se había convertido en la historia de fantasmas característica de la isla."
,"Por esa razón, era natural que algunas personas dijesen que, cuando pensaban que estaban a solas en la mansión... escuchaban un extraño sonido o veían la sombra de una persona."
,"Sin embargo, cuando eso creó un alboroto lo suficientemente grande y llegó a oídos de Natsuhi, ella hizo un escándalo, pensando que alguna persona sospechosa podría haber estado entrando y saliendo de la mansión."
,"De cualquier manera, se decía que ella había ordenado a todos los sirvientes que revisaran la mansión."
,"Ya que todo el escándalo respecto a la bruja había pasado antes de que Gohda llegase, él había escuchado de ello de los sirvientes más antiguos."
,"Historias de fantasmas como esa podían ser encontradas en cualquier lugar de trabajo. Incluso en el hotel y en el restaurante en los que Gohda había trabajado una vez, nunca faltaron ese tipo de historias."
,"Así que cuando él escuchó esa historia en esta isla, sonrió amargamente, pensando ""ah, así que tienen esa clase de cosas por aquí después de todo""."
,"Él había sonreído amargamente, pero pensaba ‘en Roma, haz como los Romanos’, y no se había molestado por eso."
,"Gohda les siguió la corriente por fuera, pero por dentro pensaba que solo se trataba de alguna broma infantil... Hasta ahora."
Gohda Toshiro,"""... Esto es ciertamente misterioso. Ya veo, entiendo por qué los sirvientes se alborotaron por esto en el pasado."""
,"Él podía entender cómo alguien haciendo sus rondas en una noche misteriosa como esta, podría creer que había visto un fantasma si veía una cortina de encajes ondeándose con la brisa de una ventana que no había sido cerrada. Ciertamente sería natural pensar eso."
Gohda Toshiro,"""Así que hay una maldición si te burlas de la bruja del retrato... Parece que ha habido sirvientes que han tenido lesiones serias y han renunciado... Odiaría salir lastimado. Ya estoy tan viejo. Probablemente no encontraría un lugar de trabajo tan confortable como este de nuevo... Aaah. Gran bruja del retrato. Estoy trabajando honestamente, así que por favor deme algo de paz."""
,"Gohda le rezó al retrato, con sus manos juntas, como si estuviese en un altar Shinto..."
,En ese momento... él pensó haber escuchado un sonido.
,¿La cocina? ¿Fue ese el sonido de algo metálico cayendo al suelo?
,"Tal vez un ratón o una cucaracha salió, y tumbó algunos de los platos... No, no, cómo puede ser eso. ¡Normalmente era limpiada a profundidad!"
,Gohda pensó en revisar qué sonido había sido realmente y entró a la cocina.
,"Él encendió las luces de la cocina.{n}... Cuando lo hizo, escuchó un sonido extraño."
,*clank*clank*clank*clank*clank*clank*.
,"... Para un cocinero como Gohda, ese sonido parecía como el de la tapa de una olla de presión o algo que estaba temblando."
,"Por supuesto, una olla no podía estar siendo usada cuando nadie estaba en la cocina.{n}Si alguien ha estado usando la cocina de gas, irse y dejarla descuidada sería peligroso."
,"... Solo por las dudas, Gohda decidió inspeccionar el área alrededor del horno..."
Gohda Toshiro,"""... ¿Qué es esto?..."""
,"Cuando lo hizo, en la cocina de gas... la olla de presión estaba en la estufa, justo como él había pensado."
,"Pero la llama no estaba encendida.{n}... Y aun así, la tapa estaba sonando..."
