Speaker,Spanish (ES)
,"El asiento de Erika era el que correspondía al de menor rango. En otras palabras, estaba en el extremo inferior de la mesa."
,"Ya que el asiento de Kinzo en la punta de la mesa estaba vacío, si dabas la vuelta a la situación, parecía como si Erika fuera la anfitriona de la cena..."
Gohda Toshiro,"""Muy bien. Me gustaría comenzar la cena de esta noche, si me lo permiten."""
,"Luego del anuncio de Gohda, la cena comenzó con un aplauso, como casi era costumbre ya."
,Finalmente comenzaba la orquesta llamada cena dirigida por Gohda Toshiro.
,"Sentarse a comer en una mesa tan majestuosa no era cosa de todos los días para esta gente, exceptuando a la familia de Krauss."
,"No obstante, todos estaban acostumbrados y actuaban como si esto fuera completamente normal."
,"... En todo caso, si alguien debía estar sorprendido, esa debía ser Erika."
,"Y aun así, no mostró sorpresa en esta cena, y actuaba con compostura, como si fuera parte del grupo."
,... No había ni una pizca del miedo que cabría esperar de alguien que había vagado por aquí como un cachorro perdido.
Ushiromiya Natsuhi,"""... Es una muchacha extraña. No se ve nerviosa a pesar de estar participando de la cena más importante del año de la familia Ushiromiya."""
Ushiromiya Kyrie,"""Los jóvenes de hoy en día tienen nervios de acero... Definitivamente es algo que no me desagrada."""
Nanjo Terumasa,"""¿Está Furudo-san acostumbrada a cenas como esta?... Parece bastante tranquila."""
Ushiromiya Hideyoshi,"""Lo digo en serio, es toda una experta. A mí hasta se me olvida pa' qué son tantos tenedores. Sí... ¿se usaba este, o este otro?... ¡Wajajajajaja!"""
,"Erika había estado comiendo con gracia sus entremeses, sin mostrar ninguna confusión por la hilera de utensilios que tenía delante."
,"Hideyoshi empezó a bromear con ella, agarrando un tenedor en cada mano."
,"Por supuesto, el presidente de una empresa del sector alimenticio como Hideyoshi obviamente sabe los modales correctos en la mesa."
,"Sin embargo, pensando que Erika debía de estar nerviosa por esta cena, había hablado intencionadamente con un tono de voz cómico."
Furudo Erika,"""... Solo debes empezar desde afuera e ir hacia adentro... Si eso es mucho problema, solo pide unos palillos... Si eres japonés te deben encantar los palillos."""
Furudo Erika,"""Los palillos son fabulosos. ¡Solo con un par puedes comer cualquier tipo de comida!"""
,"En cuanto comenzó a hablar de los palillos, sus ojos empezaron a brillar."
,... La sonrisa que mostraba ahora por primera vez era muy distinta de la dignidad que había mostrado antes y más propia de alguien de su edad.
Ushiromiya Kyrie,"""*risita*. Pero usarías una cuchara para curry y arroz, ¿no es así?"""
Furudo Erika,"""Basta con servirlo en un cuenco al estilo {c:86EF9C:donburi}. ¿Hay alguien que coma gyuudon con una cuchara? Por supuesto que no. ¡Nosotros, los japoneses, debemos usar los palillos sin dudarlo, sin vacilar! Así que, Gohda‐san. Por favor, quisiera unos palillos. ¡Quiero enseñarles a todos cómo un verdadero japonés debería comer, sin estar avergonzado!"""
Furudo Erika,"""... A propósito, ¿cuál será el próximo platillo?"""
Gohda Toshiro,"""Desafortunadamente, será sopa."""
,"Mientras fingía encogerse de hombros, Erika le guiñó un ojo a todos."
,"""""""¡¡Wajjajajajajajajajajajajajajajaja!!..."""""""
,"Por supuesto, nadie se reía de ella."
,Ella obviamente sabía que sopa era lo que venía luego del aperitivo en una comida de varios platos.
,"Además, Erika había notado que se estaba comportando muy perfectamente, creando una tensión que le hizo pensar a Hideyoshi que ella estaba nerviosa... Y que por eso que él había tratado de romper el hielo."
,"Esa era la razón por la cual ella había comenzado a actuar de manera más infantil y menos seria, actuando como un invitado disfrutando de una armoniosa cena..."
,"Enseguida, no solo Kyrie, sino que todos los demás se dieron cuenta."
,"Aunque no fuera una invitada, al parecer era digna de participar en una cena de la familia Ushiromiya."
Ushiromiya Eva,"""Es una chica inteligente... ¿En serio llegó aquí de casualidad? No me digas que llamaste en secreto a tu hija ilegítima para que viniera a la conferencia familiar, ¿Nii-san?"""
