Speaker,Spanish (ES)
Ushiromiya Maria,"""... No sé por qué estás enojado, Battler."""
Ushiromiya Battler,"""¡¿No?! ¡¡Todos fueron asesinados!! ¡Por ese maldito viejo! ¡¡Diciendo algo incomprensible sobre la ceremonia de resurrección de {f:5:Beatrice} o algo así!!"""
Ushiromiya Maria,"""Entonces, eso significa que 13 personas han sido ofrecidas como sacrificios... y que {f:5:Beatrice} ya ha sido revivida, ¿sabes?"""
Ushiromiya Battler,"""¡¡Sí, perfecto!! ¡¡Los mataré a ambos!!"""
Ushiromiya Maria,"""... Hemos sobrevivido a la ceremonia. Así que recibiremos una invitación a la Tierra Dorada de parte de {f:5:Beatrice}..."""
Ushiromiya Maria,"""En ese lugar, todos los deseos serán concedidos. Si es doloroso que maten a tu familia, entonces solo tienes que revivirlos... Eso es lo que María piensa hacer. María revivirá a la verdadera y amable mamá, esa que no está poseída por la bruja negra."""
Ushiromiya Maria,"""... Así mamá siempre estará con María... Ya no se quedará hasta tarde trabajando ni hará horas extra en los días libres... Ella siempre estará con María, y solo pensará en María, kijjijiji, y luchará todo el tiempo contra temibles enemigos por el bien de María. ¡Kijjiijijijiji!..."""
Ushiromiya Battler,"""... Hay algo mal contigo... ¡¿Cómo es que puedes decir esas tonterías incomprensibles en una situación como esta?!..."""
Ushiromiya Maria,"""... ¿No te lo acaba de decir la tía Kyrie, Battler?... ¿Acaso ella no te dijo... que creyeras... en la bruja?"""
Ushiromiya Battler,"""... M-Mierda. ¡¡Este no es el momento de meterme en una discusión contigo sobre algo así!!... ¡Ya no hay rehenes... ya no queda nadie con vida! ¡¡Esta rara y estúpida ceremonia ya ha acabado!!..."""
Ushiromiya Battler,"""A partir de ahora, haré lo que {i:yo} quiera. Puede que alguien siga con vida. ¡O puede que alguien se esté escondiendo! ¡¡Buscaré en todos lados, los encontraré, y les daré una paliza!!"""
,"Con ira, Battler agarró su perchero-lanza y salió de la habitación."
,"María vio cómo se iba, con cara de aburrimiento..."
Ushiromiya Maria,"""... Pero {f:5:Beatrice} te concederá tus deseos pronto de todos modos... Estúpido Battler... Kijjijijiji."""
,"En ese momento, el teléfono volvió a sonar..."
,"María se levantó, y agarró el receptor."
Ushiromiya Maria,"""Uu. Hola... ¿Uu? ¡¡¡Uu!!!"""
,"Por supuesto, el sonido del teléfono también alcanzó los oídos de Battler mientras estaba a punto de salir de la casa."
,"Con una fuerza violenta, se dio la vuelta y corrió hasta la habitación de los primos..."
Ushiromiya Battler,"""¡M‐María!... ¡¿Quién... ha llamado?!..."""
,"Con una aterradora mirada en su cara, Battler le gritó a María, que estaba al teléfono."
,"No podías culparlo... En este momento, los únicos humanos que quedaban con vida en la isla eran él, María, Gohda, y Kumasawa."
,Pero no había manera de que esos dos pudieran llamar después de haber sido encerrados en almacén de jardinería.
,... Lo que significaba... que solo podía ser una persona.{n}Tenía que ser Kinzo.
,"Después de continuar con su placentera charla con la persona al otro lado del teléfono durante un rato, María lentamente se dio la vuelta para ver a Battler."
,"... Entonces, con una inquietante expresión en su cara, ella rió ""kijijijijijijijijiji"".{n}... Casi parecía como si la persona al otro lado del teléfono estuviera hablando sobre Battler."
Ushiromiya Battler,"""¿María... quién está al teléfono? ¡¿El abuelo?!..."""
,Battler no podía imaginarse que ese fuera el caso.
,"... Después de todo, era inconcebible que María hablara de manera tan íntima con Kinzo... y que ella estuviera hablando sobre Battler con esa inquietante sonrisa en su rostro."
,¿Entonces qué clase de persona podría haber llamado... quién podría hacer que María hable con una sonrisa como esa?
,"... En ese momento, las palabras que Kyrie le había dicho reaparecieron en su cabeza."
,"Incluso si una bruja aparece, no hay necesidad de dudarlo.{n}... Solo... cree que existe..."
Ushiromiya Maria,"""Sí. Battler acaba de regresar. Sí que es imprudente. Kijijijijijijijijijiji..."""
Ushiromiya Battler,"""¡¡María!! ¡¿Quién es?! ¡¿¡¿Quién?!?!"""
Ushiromiya Maria,"""... ¿Que le dé el teléfono? Claro... Toma, Battler."""
,"Después de recibir el consentimiento de la persona al otro lado de la línea, ella le entregó el receptor a Battler..."
Ushiromiya Battler,"""... Eh."""
Ushiromiya Maria,"""Toma."""
,María sostuvo el receptor para que él contestara... como si fuera perfectamente normal.
,Battler dudó un poco antes de contestar.
,... Porque... al aceptar la existencia de la persona al otro lado de la línea... él no tendría más elección que admitirlo.
,... Kyrie lo había dicho.
,... Ya no hay... ninguna necesidad... de dudar de su existencia...
,Battler agarró el receptor.
,"Después de hacerlo, María se dirigió rápidamente hacia la puerta."
,"Battler, que estaba temeroso de averiguar quién estaba al otro lado del receptor, cuestionó a María antes de contestar la llamada."
Ushiromiya Battler,"""¡O-Oye! ¡¿A dónde vas?!..."""
