Speaker,Spanish (ES)
Ushiromiya Rudolf,"""Dios. El odio de Aneki a los cigarrillos es un verdadero dolor de cabeza."""
Ushiromiya Hideyoshi,"""Lo siento. Ha esta'o malhumorada desde anoche. ¿Podrías dejarlo pasar?"""
,Rudolf y Hideyoshi salieron a la cubierta y sacaron unos cigarrillos.
,"Eva siempre había odiado el olor de los cigarrillos, pero cuando estaba de mal humor, se volvía aún más susceptible."
,"Los dos habían intentado pasar un rato relajados fumando hasta llegar a la isla, pero les habían gritado y echado a la cubierta."
,"Hideyoshi intentó usar su encendedor, pero no le fue nada bien con todo el fuerte viento que soplaba en la cubierta.{n}Rudolf sacó un Zippo con un gesto elegante, y le prestó la llama a Hideyoshi."
Ushiromiya Rudolf,"""¿Cuándo comenzaste a fumar, Hideyoshi nii-san?"""
Ushiromiya Hideyoshi,"""Justo después de la guerra. Al principio, yo los distribuía. Pero empecé a consumir la mercancía. Wajajajajajajaja."""
Ushiromiya Rudolf,"""Así que ya eras fumador cuando conociste a Aneki. Apuesto a que ella siempre te pide que lo dejes."""
Ushiromiya Hideyoshi,"""Nunca le hice caso, así que ya se ha da'o por vencida. Wajaja, parece que los hombres nacimos pa' ser tercos."""
,"Hideyoshi se rió a carcajadas, pero Rudolf solo sonrió."
,"Después de que Eva les regañara y les dijera que fumasen afuera, ellos huyeron abatidos a la cubierta. Casi no había duda de que era ella quien los tenía dominados."
Ushiromiya Hideyoshi,"""... Ella no suele ser tan irritable. Normalmente, es una mujer más dulce y tranquila. Cada año, ella cambia cuando llega este día."""
Ushiromiya Rudolf,"""¿En serio? A mí me parece la Aneki que conozco desde hace ya tanto tiempo."""
Ushiromiya Hideyoshi,"""... Es verdad. Ella vuelve a ser la Eva de la familia Ushiromiya. Pero esa Eva es diferente de la Eva cuando 'tá conmigo."""
Ushiromiya Rudolf,"""... Bueno, puedo entender por qué está tan irritable. Esta conferencia familiar va a ser un dolor de cabeza."""
Ushiromiya Hideyoshi,"""... Seguro que sí. Y más con ese plan de amenazar a Krauss nii-san pa' que nos dé dinero. De conferencia familiar solo tiene el nombre, en realidad es solo una pelea entre hermanos."""
,"Con la conferencia familiar por delante, tres de los hermanos, excluyendo a Krauss, habían hecho un acuerdo en secreto."
,Cada uno de ellos tenía que afrontar una situación urgente y necesitaban mucho dinero.
,"Y el único que podía ayudarlos era Krauss, quien hablaba en nombre del líder de los Ushiromiya, ya que Kinzo se había encerrado en su estudio."
,"Desde hacía tiempo, habían tenido la sensación de que Krauss se estaba aprovechando de la pérdida de interés de Kinzo en su propia fortuna, y estaba malversando esa fortuna para su propio uso."
,"Cuando todo marchaba bien para los hermanos, aunque lo encontraban detestable, habían pretendido no darse cuenta, pero ahora que necesitaban dinero, no podían seguir permitiéndoselo en silencio."
,"Eva había establecido una alianza con Rudolf y Rosa, y planeaban aprovechar ese conocimiento para sacarle dinero a Krauss..."
Ushiromiya Hideyoshi,"""... Rudolf-kun, tú y yo somos presidentes de empresas. Somos responsables del sustento de nuestros emplea'os."""
Ushiromiya Rudolf,"""Rosa es también una presidenta. Bueno, como un pasatiempo."""
Ushiromiya Hideyoshi,"""Es verdad, lo siento. En resumen, todos nosotros cargamos con alguna responsabilidad."""
Ushiromiya Rudolf,"""... Ahora que he lanzado el guante a la junta directiva, tengo que conseguir dinero, aunque tenga que arrastrarme o incluso beber barro."""
Ushiromiya Hideyoshi,"""Lo mismo digo. No puedo defraudar a esos emplea'os que han confia'o en mí y me han segui'o por tanto tiempo. Es por eso que tengo que sacarle algo de dinero a Krauss nii-san, incluso si tengo que agarrarlo por el cuello."""
Ushiromiya Rudolf,"""Aneki siempre ha estado enemistada con Aniki. Y ahora ella debe ponerse en su contra por completo. Probablemente eso sea suficiente para ponerla irritable."""
Ushiromiya Hideyoshi,"""¿Así que Eva siempre ha tenido una mala relación con Krauss nii-san?..."""
Ushiromiya Rudolf,"""¿No te lo ha contado? Pues sí, y una muy mala."""
Ushiromiya Hideyoshi,"""Ella no me habla de su pasa'o por más que se lo pregunte. Seguramente no quiere recordarlo."""
Ushiromiya Rudolf,"""... Aneki siempre ha sido inteligente y astuta. Sus calificaciones también eran buenas. Comparado con eso, Aniki era solo alguien promedio. Que ella fuese su hermana menor debería haber sido presión suficiente, pero Aneki no paraba de jactarse de ello y de dejar a Aniki mal parado."""
Ushiromiya Hideyoshi,"""... Esa tonta... ¿Por qué ser abiertamente tan hostil y atosigarlo? Eso no es ser muy astuta."""
Ushiromiya Rudolf,"""Jajaja, es verdad."""
