Speaker,Spanish (ES)
,La clínica que Nanjo había abierto y más tarde pasado a su hijo aún existía en Niijima.
,"El viejo doctor era hijo de Nanjo, pero la atmósfera a su alrededor era muy diferente."
Nanjo Masayuki,"""Realmente lamento decir esto después de que hayas recorrido todo este camino, pero no tengo nada en especial que decirte."""
,El hijo de Nanjo dijo eso de forma indiferente.
Nanjo Masayuki,"""... Después de que el accidente en esa isla fuera tratado por los programas de la manera más indiscreta, incluso mi padre, quien era el doctor y amigo del {nobr:Sr. Ushiromiya} fue abordado por muchos con un interés totalmente lamentable."""
Nanjo Masayuki,"""Todo ello sin pruebas, y además, ultrajaron todos los logros previos de mi padre. Todavía siento un gran resentimiento hacia todo eso."""
Ushiromiya Ange,"""... Creo que es entendible. A mí me pasó lo mismo. Repetidamente desde que tenía seis años."""
Nanjo Masayuki,"""Es verdad. Mis disculpas."""
,El doctor finalmente recordó que Ange también fue una víctima expuesta a las mismas miradas curiosas que él.
Nanjo Masayuki,"""En ese caso, probablemente entiendas por qué no quiero tener nada que ver con el incidente... Fue un accidente desafortunado. Los únicos que quieren hacer un escándalo diciendo que fue un delito son los programas de televisión y revistas irresponsables. Estoy más que harto de su actitud."""
,... Nanjo había sido bañado de atención por ser uno de los pocos amigos de Ushiromiya Kinzo.
,"Debido a eso, probablemente hubo una carrera agresiva y persistente entre los Cazadores de Brujas y la prensa al querer usar también al hijo de Nanjo, un pariente sobreviviente, como fuente de información."
,"... El doctor ido una y otra vez, criticando indignado a la prensa."
Ushiromiya Ange,"""Realmente entiendo cómo se siente. Para una persona como yo, quien fue espiada incluso en su vida personal, y cuya privacidad, imagen, e incluso derechos humanos podrían haber sido violados, es muy {i:fácil} percibir la ira de alguien en tu posición."""
Ushiromiya Ange,"""... Y por esa misma razón, quiero saber, más que nada, qué fue lo que ocurrió en el incidente que arruinó mi vida tan a fondo. Por eso vine."""
Ushiromiya Ange,"""... Yo estoy tan relacionada con esto como usted. No soy periodista de una revista ni una entrevistadora. Por favor, no tenga una mala impresión."""
Ushiromiya Ange,"""No vine a hacer esto por diversión... Deje de menospreciarme. Si comparamos cuál de nuestras vidas resultó más arruinada por ese incidente, lo suyo no es nada."""
Nanjo Masayuki,"""... Nn..."""
,Ange habló bruscamente.
,"El doctor, quien no había imaginado que le iban a responder de esa manera tan rotunda, no pudo evitar quedarse en silencio."
,"... Desde la perspectiva de Ange, el lloriqueo del doctor era verdaderamente absurdo."
,Ella realmente no quería ser menospreciada. Ya era hora de permitirle comprender cuántos días habían pasado para ella antes de que llegase a esta isla.
