Speaker,Spanish (ES)
Ushiromiya Jessica,"""¡¡Papá... mamá!!... ¡¡¿Quién haría algo así?!!... ¡¡Aaaaaaaaaaaaaaaaahhh!!..."""
,La angustiada voz de Jessica resonó por el jardín de rosas...
,Aunque quizás era la intuición de alguien que vivía en esta isla.
,"... Tras haber comprobado el jardín de rosas donde la tía Rosa y María habían caído y no haber visto nada, Jessica había ido a buscar en la pérgola contigua."
,"Usualmente, la pérgola era sin duda una maravillosa ubicación para disfrutar pacíficamente del té mientras se apreciaban las rosas en un hermoso día soleado."
,"... Quién sabe, tal vez incluso el tío Krauss y la tía Natsuhi... tuvieran sus días donde se relajaban y disfrutaban compartiendo una taza de té en ese lugar."
,... En esa pérgola yacían los cadáveres del tío Krauss y la tía Natsuhi.
,"Al menos no estaban empapados en la lluvia como la tía Rosa y María lo habían estado, pero en ese momento no había forma en la que le pueda decir eso a Jessica en voz alta..."
Ushiromiya Battler,"""... ¿Qué opina, doctor Nanjo?"""
Nanjo Terumasa,"""Es... estrangulación, creo... Echa un vistazo a esto. En sus cuellos, hay distintas marcas de que algo delgado fue usado para estrangularlos."""
Ushiromiya Battler,"""Cierto... Dudo que estas cosas hayan sido la principal causa de sus muertes."""
,"... Las dos armas que parecian estacas decoradas con un diseño ocultista, que reposaban en el suelo... se habían encontrado clavadas en la zona del muslo del tío Krauss, y cerca de la pantorrilla de la tía Natsuhi."
,"Cuando encontramos estas sobresaliendo de la frente y el pecho de mis padres, habíamos decidido dejarlas tal como estaban para la policía y preservar la escena del crimen... pero a Jessica ya no le importaban esos asuntos, e inmediatamente sacó las estacas de los desolados cadáveres de sus padres."
Ushiromiya Eva,"""... Así que ya hemos encontrado los cinco cadáveres atravesados en la cabeza, pecho, estómago, rodilla, y pierna."""
Ushiromiya Jessica,"""¡¡Oooooooohhhhh, maldición, madición, maldición!! ¡¡Mataré a ese maldito asesino, lo mataré!! ¡¡Uwaaaaaaaaaahhh!!..."""
Ushiromiya Eva,"""... Con esto, el octavo crepúsculo fue completado... ¿Ahora se acerca el noveno crepúsculo?... La bruja revivirá y nadie podrá quedar con vida."""
Ushiromiya Jessica,"""Adelante, maldita sea... Cuando dice que la bruja revive... eso significa que el culpable hará su gran aparición, ¡¿verdad?!"""
