Speaker,Spanish (ES)
Ushiromiya Natsuhi,"""... Sea como sea, cerraremos esta habitación y lo dejaremos todo como está hasta que venga la policía... ¿Todos de acuerdo?"""
,Natsuhi dijo todo esto como si no le preocupase si estábamos de acuerdo o no.
,"... Si alguien tenía derecho a poner objeciones, ese era George... pero parecía que ya había derramado suficientes lágrimas."
,"George asintió ligeramente, aún sin mirarnos, y cuando se levantó, todos también parecían estar de acuerdo."
,"Natsuhi aún no había abierto el sobre de estilo occidental del líder que había recogido.{n}... Pero ya que habíamos decidido abandonar la habitación, ella decidió abrirla en el salón, donde todo el mundo podría verlo."
,"Tan pronto como salió al pasillo para dirigirse al salón, algunos sentimos de inmediato que había algo fuera de lugar... o tal vez notamos algo extraño."
Ushiromiya Maria,"""... Uu... ¿Qué es ese olor?"""
Ushiromiya Jessica,"""Ah... ¿tú también te has dado cuenta, María?... ¿Qué es este olor?... Huele horrible..."""
,"Cuando todos olfatearon el aire, se dieron cuenta que había un horrible olor a quemado deslizándose por el salón, uno que ninguno de nosotros había notado hasta el momento."
Kumasawa Chiyo,"""... Iré a mirar la cocina... Estoy segura de que apagué la llama..."""
,"Después de notar un olor a quemado, fue natural que Kumasawa, quien acababa de cocinar, sospechara que su propia torpeza lo había provocado. Así que fue a revisar con rapidez."
Ronoue Genji,"""... Kanon, ve con Kumasawa. No la dejes sola."""
Kanon,"""¡S-Sí!..."""
,"Tras asentir a la orden de Genji, Kanon siguió a Kumasawa.{n}... Los demás, aunque no corrieron, también les siguieron para buscar la fuente del olor."
Ushiromiya Maria,"""... Uu. Huele mal... Uuu."""
Ushiromiya Natsuhi,"""Realmente es... un hedor que hace que la nariz se arrugue... Sin embargo, no creo que sea seguro abrir una ventana para ventilar..."""
,Natsuhi se mostraba reacia a abrir las ventanas en una situación en la que la autodefensa era tan importante.
Ronoue Genji,"""... Usemos el ventilador. No creo que sea necesario abrir las ventanas."""
Ushiromiya Battler,"""... George‐aniki... ¿puedo hablar contigo?"""
Ushiromiya George,"""... Si es sobre encontrar el culpable, no tengo ningún problema."""
,Parece que George todavía no había salido del abismo de su melancolía.
,... Todo lo que llenaba su corazón en ese momento era la llama del odio hacia el culpable que había arrebatado la vida de sus queridos padres.
Ushiromiya Battler,"""... La cadena de la habitación estaba puesta... Por lo que puedo deducir tras observarla, estoy seguro de que no podía ser abierta desde el exterior... En otras palabras, es una habitación cerrada perfecta."""
Ushiromiya George,"""... Tiene sentido. En el caso del almacén del jardín de rosas, podrían haber robado la llave de la habitación de sirvientes, o tal vez tenían un duplicado de la llave... Puedo imaginar muchas maneras en que podrían haberlo hecho."""
Ushiromiya George,"""... Pero esta cadena es algo distinto. Entre las técnicas de cierre, una cadena es la más simple para crear una habitación cerrada."""
Ushiromiya Jessica,"""Tan solo una cadena bloqueará a todo el que venga del exterior siempre y cuando no la rompan. ¿Significa eso que el culpable no habría podido entrar o salir por la puerta?..."""
