Speaker,Arabic (AR)
,......ﻣﺎ ﺍﻟﺼﻮﺕ ﺍﻟﺬﻱ ﻳﻤﻸ ﺍﻷﺫﻧﻴﻦ ﺩﺍﺋﻤًﺎ؟{n}ﺃﻫﻮ ﺻﻮﺕ ﺍﻟﻤﻄﺮ، ﺃﻡ ﺻﻮﺕ ﺍﻟﺸﻼﻝ، ﺃﻡ ﺗﺸﻮﻳﺶ ﺍﻟﻤﺬﻳﺎﻉ؟
,ﻓﻲ ﺗﻠﻚ ﺍﻟﺤﺎﻟﺔ، ﺃﺭﻳﺪﻩ ﺃﻥ ﻳﻜﻮﻥ ﺻﻮﺕ ﺍﻟﺪﻡ ﺍﻟﺬﻱ ﻳﺠﺮﻱ ﻓﻲ ﺍﻟﺠﺴﺪ. ......ﺃﺭﻳﺪﻩ ﺃﻥ ﻳﻜﻮﻥ ﺻﻮﺕ ﺍﻟﺪﻡ ﻳﺪﻭﺭ ﻓﻲ ﺟﺴﺪﻱ ﻛﻠﻪ، ﻳﺨﺒﺮﻧﻲ ﺃﻧﻲ ﻣﺎ ﺯﻟﺖ ﺣﻴًﺎ...
Ushiromiya Kinzo,""".....................ﻫﻤﻢ... ......ﻫﻞ ﺃﺷﺮﻗﺖ...ﺍﻟﺸﻤﺲ...؟"""
,ﻛﺎﻥ ﺍﻟﻀﻮﺀ ﺍﻟﻤﺘﺴﻠﻞ ﻣﻦ ﺷﻖ ﺍﻟﺴﺘﺎﺭﺓ ﺧﺎﻓﺘًﺎ، ﻟﻜﻨﻪ ﻋﻠﻰ ﺍﻷﻗﻞ ﺃﺧﺒﺮﻩ ﺃﻥ ﺍﻟﻔﺠﺮ ﻗﺪ ﺍﻧﺒﻠﺞ.
,ﻣﺎ ﺯﺍﻝ ﻛﻴﻨﺰﻭ ﻓﻲ ﺍﻟﻮﺿﻌﻴﺔ ﻧﻔﺴﻬﺎ ﺍﻟﺘﻲ ﺍﺳﺘﻴﻘﻆ ﻋﻠﻴﻬﺎ، ...ﺟﺎﻟﺴًﺎ ﻓﻲ ﻛﺮﺳﻴﻪ ﻳﻨﻈﺮ ﺇﻟﻰ ﺍﻟﺴﻘﻒ، ...ﻭﻗﺪ ﺷﻌﺮ ﺑﺎﻟﺪﻡ ﻳﺴﻴﺮ ﺑﺒﻂﺀٍ ﻓﻲ ﺟﺴﺪﻩ...
,...ﺃﺷﺎﺭﺕ ﺍﻟﺴﺎﻋﺔ ﺗﻤﺎﻣًﺎ ﺇﻟﻰ ﺍﻟﺴﺎﺩﺳﺔ ﺻﺒﺎﺣًﺎ. ﻣﻬﻤﺎ ﺑﻠﻎ ﻣﻨﻪ ﺍﻟﺘﻌﺐ، ﻭﻣﻬﻤﺎ ﻏﺎﺹ ﻓﻲ ﻧﻮﻡٍ ﻋﻤﻴﻖ، ﻛﺎﻥ ﻛﻴﻨﺰﻭ ﻳﺴﺘﻴﻘﻆ ﻓﻲ ﻫﺬﺍ ﺍﻟﻮﻗﺖ ﺑﺎﻟﺬﺍﺕ، ﻛﺄﻧﻤﺎ ﻗﺎﺳﻪ ﺑﺴﺎﻋﺔٍ ﺭﻣﻠﻴﺔ.
,ﻟﻢ ﻳﺮ ﻓﻲ ﻫﺬﺍ ﻣﺎ ﻳﺴﺘﺤﻖ ﺍﻻﻓﺘﺨﺎﺭ، ﻟﻜﻨﻪ ﺃﻗﻨﻊ ﻧﻔﺴﻪ ﺃﻧﻪ ﻣﺎ ﺩﺍﻡ ﻗﺎﺩﺭًﺍ ﻋﻠﻰ ﻓﻌﻞ ﺫﻟﻚ، ﻓﺈﻥ ﺻﺤﺘﻪ ﻻ ﺗﺰﺍﻝ ﻗﻮﻳﺔ.
Ushiromiya Kinzo,"""...ﻫﺎ ﻗﺪ ﺃﻃﻞ ﺍﻟﺼﺒﺎﺡ، ﻭﻫﺬﺍ ﻳﻌﻨﻲ... ...ﻫﻤﻢ. ...ﻳﺒﺪﻭ ﺃﻧﻨﻲ ﻧﺠﻮﺕ ﻣﻦ ﺃﻥ ﺃﻛﻮﻥ ﻣﻦ ﺍﻟﻘﺮﺍﺑﻴﻦ ﺍﻷﻭﻟﻰ. ...ﺃﻛﺎﻥ ﺫﻟﻚ ﺣﻈًﺎ ﻣﻦ ﺩﻭﺭﺍﻥ ﺍﻟﺮﻭﻟﻴﺖ، ﺃﻡ ﺛﻤﺮﺓ ﺟﻬﻮﺩﻱ؟ ﻳﺰﻋﺠﻨﻲ ﺃﻧﻨﻲ ﻻ ﺃﻣﻴﺰ ﺑﻴﻨﻬﻤﺎ، ﻟﻜﻨﻨﻲ ﻻ ﺃﻣﺎﻧﻊ."""
,ﻛﺎﺩ ﻛﻴﻨﺰﻭ ﻳﻐﺮﻯ ﻗﻠﻴﻼً ﺑﺮﻏﺒﺔٍ ﻓﻲ ﺇﻟﻘﺎﺀ ﻧﻈﺮﺓ ﻋﻠﻰ ﺍﻟﺠﺎﻧﺐ ﺍﻵﺧﺮ ﻣﻦ ﺑﺎﺏ ﺣﺠﺮﺓ ﺍﻟﺪﺭﺍﺳﺔ.
,ﻓﻘﺪ ﻇﻦ ﺃﻧﻪ ﺭﺑﻤﺎ ﻳﺠﺪ ﺁﺛﺎﺭ ﻛﻔﺎﺡ ﻋﺒﺜﻲ ﻟﻜﺴﺮ ﺍﻟﺒﺎﺏ،  ﺗﺮﻛﻪ ﺷﻲﺀ ﺣﺎﻭﻝ ﺍﺧﺘﻴﺎﺭﻩ ﺿﻤﻦ ﺍﻟﻘﺮﺑﺎﻥ ﺍﻟﺴﺖ ﺍﻷﻭﺍﺋﻞ.
