Speaker,Spanish (ES)
,... Lo único que podía oírse era el sonido del viento.
,"Un sonido de desgracias, lo suficientemente potente como para traer tristeza y malestar a aquellos que lo escuchasen."
,Lentamente... recuperé la conciencia.
,Acabé recuperando el sentido encima del firme colchón de una cama...
,¿Q-Qué es este lugar?...
,No puedo recordar dónde estoy... pero recuerdo vagamente... que no debo quedarme aquí.
,La habitación estaba pobremente iluminada.
,"Había una luz encendida, pero solo conseguía que tanto la oscuridad como lo horripilante de la habitación fuesen más aparente."
,"No había cortinas tapando la ventana, pero estaba tan oscuro fuera que no podía ver nada a través de ellas."
,"Entrecerré los ojos en esa oscuridad, y sentí como si pudiese ver a la bruja del bosque devolviéndome la mirada desde fuera, y aparté la mirada de la ventana con miedo."
,"... No puedo verlo ni oírlo, pero tengo la sensación de que si salgo de esta habitación, todo estará iluminado y habrá calor, y alguien estará ahí esperándome."
,Tengo que llegar donde están los demás ahora mismo...
,Los malos recuerdos de cuando era pequeño empezaron a salir a flote.
," Recuerdos duros, horribles... de cuando empecé a dormirme durante una de las reuniones familiares y me llevaron a un cuarto que no conocía. Recuerdo haberme despertado allí, en soledad y llorando..."
,No debo... quedarme en esta habitación.
,"Sí, tengo que salir de aquí lo antes posible."
,"Ahora que pienso en ello, no quiero quedarme en esta habitación ni un segundo más."
,Tengo miedo... Es aterradora... ¿Dónde está todo el mundo?{n}Quiero irme de aquí ahora mismo...
,"Abrí la puerta, intentando salir de la habitación."
,"Un resplandor agradable se coló a través de la abertura de la puerta.{n}... Como me imaginé, el pasillo estaba bañado por una reconfortante luz."
,"No podía oírlos realmente, pero podía sentir que muy lejos había gente divirtiéndose."
,... Estoy seguro de que todo el mundo se ha reunido en la habitación opuesta a esta.
,... Me encerraron en esta solitaria y lúgubre habitación... en soledad.
,"Debería irme, rápido."
,"En cuanto pensé eso oí un sonido metálico despiadado, y la puerta no quiso abrirse más."
,... La cadena estaba puesta.
,Siempre he odiado las cadenas de seguridad.
,Puedes abrir un cerrojo normal retorciéndolo.
,"... Pero las cadenas están construidas de una forma molesta, y no podía abrirlas fácilmente."
,... Así que las he odiado desde que era muy pequeño.
,¿Ves?... Incluso esta cadena... me causa problemas... y no puedo quitarla.
,¿Por qué me ocurre esto? Tan solo quiero irme de esta lúgubre habitación...
,"En el otro lado de esta delgada puerta, todo está bañado en una agradable luz..."
,No puedo quitarla... no puedo quitar esta cadena.
,"Cuanto más me desesperaba, más parecía que esa inquietante oscuridad se cerraba sobre mí, y más me asustaba..."
,"... Entonces, me di cuenta."
,Había algo... extraño en la cadena.
,"... Sí, había una cadena... pero no era una cadena de seguridad."
,Tan solo era una cadena puesta en la puerta para que no pudiera abrirse...
,"En otras palabras, no estaba hecha para ser abierta."
,"""¿Q-Qué demonios ocurre?... Quién haría algo así, maldita sea..."""
,"No importaba lo que hiciese, no importaba cuanto luchara, no podría quitar la estaca o deshacer la cadena ni romper el mecanismo."
,Esta puerta era la boca de un demonio... hecha para que pensase que se abriría antes de destrozar mis esperanzas.
,"Aun así, si pudiese abrir esta puerta de algún modo, podría entrar a ese apacible pasillo... Este deseo hizo que mantuviese mi mano pegada al pomo de la puerta."
,Pero era inútil.
,"Tanto la estaca como la cadena eran firmes, y aunque hiciesen ruido, no había forma de abrir más la puerta."
,"Aun sabiendo que podía ver el agradable pasillo a través de la abertura, no tenía forma de abrir la puerta."
,Quizás venga alguien si grito...
,Quizás la puerta pueda abrirse fácilmente desde el otro lado...
,Cuando pensé en ello... intenté llamar a alguien... pero fue como si me hubiesen sacado el aire.
,"Podía gesticular las palabras 'que venga alguien', pero mi boca no emitía sonido alguno."
,¡¿Qué... ocurre?!...{n}Que alguien venga... ¡¿Por qué no puedo gritar?!...
,"Ayúdenme, ayúdenme, ayúdenme."
,"El mero hecho de que no pudiese decir ""ayúdenme"" en voz alta era aun más aterrador."
,"Si me diese la vuelta... la bruja que miraba a la habitación desde la oscuridad del exterior... podría estar dentro de la habitación esta vez, de pie junto a mi espalda... estoy asustado, estoy asustado, estoy asustado, estoy asustado..."
,"Que alguien me ayude, que alguien me ayude..."
,No puedo salir... no puedo salir...
,"Déjenme salir... de esta habitación... ayúdenme, estoy asustado estoy asustado estoy asustado, déjenme salir déjenme salir déjenme salir, ayúdenme ayúdenme ayúdenme..."
,"""Señorita, parece que ya han llegado."""
,"""¿Eh?... Oh..."""
,Amakusa pasó su dedo por mi mejilla.
,Al instante me desperté de mi sueño leve.
,"Fulminé con la mirada a Amakusa por despertarme de una forma tan tétrica, pero se hizo el tonto."
,¿Dónde... estamos?
,"Parece el salón de la casa de alguna persona rica, pero no recuerdo este lugar para nada."
Ushiromiya Ange,"""..."""
,¿Dónde... está esto?... Y... ¿por qué estoy...?
Amakusa Juuza,"""¿Sigue media dormida, señorita?"""
Ushiromiya Ange,"""... Sí, perdona. ¿Dónde estamos?..."""
Amakusa Juuza,"""¿Eh?"""
,"Por lo que parece, no se esperaba que me olvidase de algo así por estar medio dormida... Extrañamente, estoy de acuerdo."
,¿Por qué estoy en un salón que no reconozco?
,El sonido de los pasos de aquellos que Amakusa había mencionado venían justo del otro lado de la puerta.
,Podía oír el sonido de una conversación. Probablemente eran mujeres...
,"A juzgar por el café y los aperitivos que tenía delante, soy una invitada."
