Speaker,Spanish (ES)
,"Silenciosamente, silenciosamente, la lluvia caía."
,"La lluvia de la tristeza goteaba por las paredes exteriores de la capilla, llevándose silenciosamente el polvo del mundo de los vivos."
,Las puertas de la capilla estaban abiertas.
,"En una boda, solo aquellos con invitaciones se les dejaría entrar."
,"Sin embargo, en un funeral, las puertas estarían abiertas para todos aquellos que recordasen al fallecido."
,... Así que esto debe ser un funeral.
,Una figura con un paraguas en la mano se acercó a la capilla.
,Era... Will.
Willard H. Wright,"""..."""
,En la entrada de la capilla se había instalado un mostrador de recepción.
,"Cuando la figura se acercó, Kanon, que había estado sentado en el escritorio, se levantó y le dio la bienvenida con una reverencia."
Kanon,"""... Este es el mostrador de recepción. Estamos reuniendo los nombres de todos los dolientes. Si puedes firmar aquí..."""
Willard H. Wright,"""Lo siento, pero no soy un doliente. Estoy aquí para encontrarme con alguien."""
,¿Ha venido a un funeral para encontrarse con alguien?... Una expresión de duda apareció en la cara de Kanon.
,Will sacó un sobre de su bolsillo y le enseñó el nombre del remitente.
Kanon,"""... Mis disculpas. Por favor, entre."""
Willard H. Wright,"""Gracias... ¿Podría tomar una de esas al menos?"""
Kanon,"""... Muchas gracias... Estoy seguro de que ella estará encantada."""
,"Kanon le entregó una única rosa dorada, que estaban siendo entregadas a todos los dolientes."
,"Will la tomó, inclinó la cabeza sin decir nada, y entró en la capilla."
,"En el interior de la capilla se encontraban reunidas varias personas que parecían ser familiares de la fallecida, y todos parecían estar recordando a la difunta."
Ushiromiya Kinzo,"""Oooooooohhh... Beatriceeeee... ¿Por qué?, ¿Por quéééééééé?... Oooooooohhhhh..."""
Ushiromiya Natsuhi,"""Padre, debes componerte... Por qué no descansas en la sala de espera por un rato..."""
Ronoue Genji,"""..."""
Ushiromiya Rosa,"""Yo la maté... ¡Yo lo hice!..."""
Kumasawa Chiyo,"""¡Absurdo!... ¿Cómo podría haber hecho eso, Rosa-sama?..."""
Ushiromiya Kyrie,"""Padre estaba llorando mucho."""
Ushiromiya Rudolf,"""... Sí. ""Beatriiiiice""."""
Ushiromiya Eva,"""Estoy segura de que no lloró tanto cuando madre falleció."""
Ushiromiya Hideyoshi,"""Oye. Este no es el momento de decir ese tipo de cosas."""
,"Algunos sollozaban, incapaces de ocultar sus lágrimas, y otros hablaban en voz baja de viejos recuerdos."
,... Todos ellos estaban recordando a la fallecida a su manera... eso parecía.
,"Cuando Will se acercó al altar, varias personas se dieron la vuelta.{n}Por supuesto, ninguno de ellos sabía quién era Will."
,"Sin prestarle atención a esto, Will caminó frente al ataúd en el altar, que parecía enterrado en rosas doradas."
,... Dentro del ataúd no había ningún cadáver.
,"En su lugar, como si reposara ahí en lugar de un cuerpo, había un solo libro grueso con una encuadernación extravagante."
,El espacio a su alrededor estaba lleno de innumerables rosas doradas.
,Habían palabras impresas en la cubierta del libro.
,"""A mi amada Beatrice. 5 de octubre de 1986."""
Willard H. Wright,"""... Señorita Beatrice. Si era ""señora"", entonces perdóneme... Nunca la conocí. Sin embargo, permítame expresar mis condolencias."""
,Tomó la rosa que había recibido del área de recepción y la puso en el ataúd.
,"... Él no tenía ninguna conexión con la mujer llamada Beatrice.{n}Sin embargo, como había venido a visitar un funeral, tenía que seguir esta mínima muestra de respeto por los muertos."
,"Como parte de esto, Will rezó por el paso de la fallecida al otro mundo..."
Ushiromiya Krauss,"""Disculpe, ¿quién es usted? Yo soy Ushiromiya Krauss. Actúo en lugar del jefe de los dolientes. Le presento a mi descendiente, Lion."""
Ushiromiya Lion,"""Es un placer conocerlo. Soy Ushiromiya Lion."""
Willard H. Wright,"""... ¿Lion? ¿Quién eres?"""
Ushiromiya Lion,"""Se escribe ""{p:0:理御}"", pero se pronuncia ""Lion""... Suena un poco raro para ser un nombre japonés, ¿verdad?"""
Willard H. Wright,"""..."""
,"Will miró a Lion a la cara, con una expresión confundida."
,"No parecía especialmente interesado en Krauss, pero al parecer Lion le había provocado algún tipo de reacción."
