Speaker,Spanish (ES)
Kumasawa Chiyo,"""Vamos, todo está bien. Apresurémonos."""
{f:5:Beatrice},"""E-Espero que a padre le gusten las cosas dulces..."""
Kumasawa Chiyo,"""Oh sí, le gustan. De hecho, parecería que le gusta comer todo tipo de cosas. Jojojojo."""
,"Después de esperar a que el dueño del estudio estuviese fuera, Beato y Kumasawa entraron al mismo."
,"Una vez allí, rápidamente quitaron todos los libros de encima del escritorio, dejaron allí la canasta que habían llevado y la abrieron."
,Dentro de la canasta... habían muchas bonitas galletitas cortadas en forma de mariposa.
,Prepararon un lindo plato y lo decoraron cuidadosamente con las galletitas.
,Era uno de esos arreglos tan sutiles que no eran apreciados al momento de comérselos. Toda la preparación daba esa sensación.
{f:5:Beatrice},"""No ahorras energías cuando se trata del bien de tu amado padre."""
{f:5:Beatrice},"""Ahora mismo, esto es... todo lo que puedo hacer."""
{f:5:Beatrice},"""Pensar que yo le daría galletitas a Battler... ¿Por qué yo, la ama de la noche, habría de hacer tantas cosas por un invitado que viene tan poco?"""
,"Entonces, la puerta se abrió violentamente."
,"Era Battler, con Genji a su lado..."
,"Los ojos de Battler se abrieron mucho cuando vio a Beato allí, pero rápidamente su expresión se volvió de piedra otra vez."
Ushiromiya Battler,"""... ¿Qué están haciendo aquí?"""
{f:5:Beatrice},"""Padre... por favor, perdóneme. No vine aquí a obstaculizar su importante juego..."""
Ushiromiya Battler,"""¿Cómo pudiste entrar aquí?... ¿No estaba esta habitación cerrada con llave?"""
Ronoue Genji,"""... Mis disculpas. Yo les presté una llave porque querían sorprenderlo con un regalo."""
Kumasawa Chiyo,"""Vea, ¡pase a mirar!... {f:5:Beatrice}-sama horneó estas galletitas poniendo toda su alma en ellas, con la esperanza de que usted las disfrutara."""
{f:5:Beatrice},"""Kumasawa-san y Genji-san me enseñaron a hacerlas... Nunca supe que Genji-san era tan bueno horneando galletas."""
Kumasawa Chiyo,"""Jojojo. Hace mucho que no lo hace, pero Genji-san solía cocinar muchas cosas hace tiempo. ¡Su especialidad eran los dulces!..."""
Ushiromiya Battler,"""¿Galletas?..."""
{f:5:Beatrice},"""S-Sí. Es un regalo para usted, padre. Con toda sinceridad, rezo por su victoria en este importante juego..."""
,"Battler miró al plato lleno de hermosas galletas que estaba sobre el escritorio del estudio... y a la carta con un mensaje alentador que se encontraba a su lado, y su cara se torció con una expresión compleja, que podría haber tenido rastros de tristeza y furia contenidos en ella..."
Ronoue Genji,"""... Amo..."""
,Genji lo instó para que considerase decir algunas palabras de gratitud hacia Beato...
,Battler lo entendió.{n}... No tenía razón para responder a este acto de amabilidad con disgusto.
,Pero aunque lo entendía racionalmente... no pudo evitar dar un suspiro exasperado.
