Speaker,Spanish (ES)
,... Habían pasado 30 minutos desde que el grupo de Rudolf abandonó la casa de huéspedes.
,"Se mire como se mire, tardaban demasiado en regresar.{n}... Y Krauss y Natsuhi, que esperaban en la entrada, estaban llegando al límite de su paciencia."
,La cadena estaba puesta en la puerta. Era una precaución en el caso de que el grupo de Rudolf fuera atacado y les robaran la llave maestra.
,"Por esta razón, ambos debían permanecer en la entrada de este modo esperando su regreso..."
Ushiromiya Natsuhi,"""... Se están tardando demasiado. ¿No piensas que algo les puede haber sucedido?..."""
Ushiromiya Krauss,"""... Mmm..."""
,"Krauss miró tanto su reloj como la puerta, luchando por mantener la compostura."
Ushiromiya Natsuhi,"""Si... ocurriese algo que impidiera su regreso..."""
Ushiromiya Krauss,"""... Un pensamiento terrible, pero parece que debemos prepararnos para esa posibilidad... Fue realmente imprudente, después de todo."""
Ushiromiya Natsuhi,"""¡E-Eso fue lo que dije!... ¡¿Por qué salieron sabiendo que era peligroso?! ¡Qué estupidez! ¡¡¿Por qué salir, incluso sabiendo que Rosa-san acababa de ser atacada?!!..."""
Ushiromiya Krauss,"""... Decir eso no ayudará en nada ahora... En cualquier caso, ahora hay tres adultos en la casa de huéspedes. Tú, yo... y Eva, que está dormida y con fiebre alta."""
,"En ese momento, se escuchó desde el pasillo el contundente ruido de una puerta que se abría, y oyeron la voz de pánico de Eva."
,"... Esa voz insistía llamando a Hideyoshi... Parecía que, al mismo en que había caído en una alta fiebre, había tenido una pesadilla o algo por el estilo y estaba llamando a su esposo."
Ushiromiya Natsuhi,"""Eva‐san... ¿qué ocurre, estás bien?..."""
Ushiromiya Eva,"""¡¿Dó-Dónde está mi esposo?! ¡¡Mi esposo no está aquí!! ¡Incluso cuando prometió que estaría conmigo todo el tiempo! ¡¡Me prometió que me tomaría de la mano todo el tiempo!!"""
,"... Krauss se quedó sin habla ante esta actitud suya, que nunca antes había mostrado delante de él, pero Natsuhi entendía sus sentimientos."
Ushiromiya Natsuhi,"""... Cá-Cálmate... Hideyoshi-san está con Rudolf-san y Kyrie-san, ellos están afuera por el momento."""
Ushiromiya Eva,"""¡¿¡¿Afuera?!?! ¿Po‐Po-Por qué? Él prometió que se quedaría conmigo todo el tiempo. ¡¿Por qué salió?! ¡¡No debes salir, la bruja está afuera, no debes salir, te matarán!! ¡¡Waaaaaaaaaaaaaaaaaaaahhh!!..."""
Ushiromiya Krauss,"""... Eva, cálmate... Hideyoshi-san volverá a la mansión con Rudolf y Kyrie-san."""
Ushiromiya Eva,"""¡¡¿Por qué tuvo él que ir a la mansión?!! ¡¡¿Por qué salió estando a salvo aquí dentro?!! ¡¡¿Por qué volvió a la mansión?!!"""
Ushiromiya Krauss,"""... Fueron a conseguir el suficiente alimento para durar hasta mañana... Hideyoshi-san estaba preocupado por tu salud, y él nos lo dijo..."""
Ushiromiya Eva,"""¡¿Cuándo volverán?! ¡¿Cuándo volverá?! ¡¡No pudo haber salido, no al jardín de rosas, no a la mansión!! ¡La Bruja está allí, la Bruja Dorada está merodeando por la isla! ¡¡Si te encuentra, serás asesinado, definitivamente, estarás muerto!! ¡¿Cuándo volverá mi esposo?!"""
Ushiromiya Natsuhi,"""... Salieron de aquí hace unos treinta minutos. Estamos esperando a que vuelvan."""
Ushiromiya Eva,"""¡¿Tre-Treinta minutos?! ¿No es extraño? ¡¿Por qué les tomaría tanto tiempo ir a la mansión por comida y volver?! ¡¿Y por qué ustedes están los dos solos merodeando por aquí?!"""
Ushiromiya Eva,"""¡¡Tenemos que encontrarlos!! ¡¡Tenemos que ir rápidamente a donde estén ellos!! ¡¡Hiiiiiiiiiiiiiiiiiiiiiiiiiiii!!"""
,"Eva probablemente tuvo una pesadilla... Y tras despertarse y descubrir que aún no había terminado, ya no pudo ocultar su confusión."
,"Natsuhi intentó calmarla, pero todo hizo que las emociones de Eva explotasen aún más."
,"... Tal vez escucharon ese alboroto. Battler y los niños, que tendrían que haberse ido al segundo piso, asomaban el rostro a través de la ligeramente abierta puerta del vestíbulo."
,"Krauss, Natsuhi, Eva. Y también Battler, George, Jessica, y Nanjo.{n}... Todos en la casa de huéspedes se reunieron en la entrada, y comprendieron la situación actual."
Ushiromiya George,"""Estoy de acuerdo con madre. Deberíamos ir por padre y los demás."""
Ushiromiya Battler,"""Sí, está bien. También es posible que la carga sea demasiado pesada y estén teniendo problemas para llevarla. Ellos deberían agradecer algunas manos extra."""
Nanjo Terumasa,"""... Ro-Rosa-san fue atacada no hace mucho... Cabe la posibilidad de que este sea un segundo desastre. Deberíamos actuar con cuidado y—"""
Ushiromiya Eva,"""¡¡No seas ridículo!! ¡¿Qué quieres decir con cuidado?! ¡¿Estás diciendo que deberíamos ver morir a mi marido, a pesar de que podría estar pidiendo ayuda?! ¡¡Yo voy a ir a revisar, los cobardes pueden quedarse aquí!!"""
,"Buscando agitada, Eva levantó su arma.{n}A juzgar por su actitud, sería inútil para cualquiera tratar de detenerla."
,"... George, que se dio cuenta en primer lugar, alzó la cabeza."
Ushiromiya George,"""Iré también. ¿Irás también, verdad, Battler-kun? ¡Cuanta más gente, mejor!..."""
Ushiromiya Battler,"""¡¡Cla‐Claro!! Tía Eva, iremos incluso si intentas impedírnoslo."""
Ushiromiya Jessica,"""... ¡Y-Yo iré también!... ¡No puedo ser la única que se esconda en un lugar seguro!..."""
Ushiromiya Natsuhi,"""¡¡Jessica, no debes salir!! Te quedarás conmigo. ¡¿Entendido?!"""
,"Era como si estuvieran insinuando que aquellos tres ya habían sido asesinados de todos modos, por lo que no tenía sentido salir."
,"Natsuhi se dio cuenta de que Eva se sintió como si su corazón hubiese sido arrancado, pero dijo eso tan fuerte por ser la madre de Jessica."
Ushiromiya Eva,"""... Tienes razón. Eso sería probablemente lo mejor. Que la familia de Nii-san vigile la casa de huéspedes."""
Ushiromiya Eva,"""Este es problema de mi familia y la familia de Battler-kun. Me pregunto si el doctor Nanjo podría venir también. Por si acaso."""
{f:5:Virgilia},"""... En el vestíbulo de la mansión, Battler, Eva, George, y Nanjo... encontraron los cadáveres de Rudolf, Kyrie y Hideyoshi."""
Ushiromiya Battler,"""... ¿Desde el cuarto hasta el sexto crepúsculo? Entonces, ¿los cadáveres fueron atravesados en la frente, pecho y estómago con esas estacas demoníacas?"""
{f:5:Virgilia},"""Sí. En la frente de Rudolf, en el pecho de Hideyoshi, y en el estómago de Kyrie: una estaca demoníaca se clavó en cada uno."""
