Speaker,Spanish (ES)
,"... En Rokkenjima, este día  —o más bien, este juego— era igual a cualquier otro."
,"El tifón llegaría pronto.{n}Todavía no se había nublado, pero las nubes avanzaban velozmente."
,En lo único que pensaba Natsuhi era el plan para encubrir nuevamente la ausencia de Kinzo este año.
,Al parecer Krauss sufría de dolor de estómago causado por el estrés y se encontraba durmiendo en su cuarto.
,Jessica y Kumasawa habían salido en barco para ir de compras y saludar a los familiares que llegarían a Niijima.
,"Los sirvientes habían estado ocupados desde temprano en la mañana, haciendo los preparativos para la conferencia familiar, el mayor evento del año..."
,Shannon y Kanon estaban preparando la casa de huéspedes.
Kanon,"""... ¿Acaso no son suficientes las habitaciones de huéspedes en la mansión para hospedar a los familiares?"""
Shannon,"""Buen punto. Es molesto tener que limpiar aquí también...  Aun así, me gusta limpiar la casa de huéspedes."""
Kanon,"""Sí, es tranquilo y agradable cuando no está la señora y todos los sirvientes molestos."""
,Shannon sonrió con amargura mientras examinaba detalladamente la habitación de huéspedes.
,¿Olvidamos limpiar algo? ¿Debemos reabastecer algo?{n}Shannon diligentemente le dio una última inspección al cuarto...
Kanon,"""Anoche también revisaste todo exhaustivamente, ¿cierto? Sí que eres dedicada."""
Shannon,"""En días como este te pueden jugar bromas si te descuidas... Nunca encuentras las cosas importantes cuando las necesitas, y las cosas que supuestamente estaban cerradas, resultan estar abiertas."""
Kanon,"""Eso es porque eres muy descuidada. No prestas atención mientras trabajas."""
Shannon,"""Supongo que es por eso que me ayudas a revisar. Gracias."""
Kanon,"""... No hay nada de qué agradecerme. Si fueras un poco más atenta, no te tendría que ayudar en absoluto."""
Shannon,"""... *risita*. Pero la verdad es que solo quieres pasar tiempo conmigo, ¿verdad? Qué infantil eres."""
Kanon,"""N-No es por eso... Es porque últimamente has estado demasiado entusiasmada con George-sama. Estás metiendo tanto la pata que no te puedo perder de mi vista."""
Shannon,"""*risita*... Kanon-kun. Hablemos un rato."""
Kanon,"""... Ahora no podemos. Estamos trabajando."""
Shannon,"""Te sigues burlando de mí y George-sama... pero... ¿cómo van las cosas entre tú y Jessica-sama?"""
Kanon,"""N-No pasa nada en particular. Si tienes tiempo para hablar de eso, entonces mejor terminemos de limpiar... ah—"""
,Kanon estaba tratando de cambiar el tema muy evidentemente.{n}Entonces Shannon se escabulló detrás suyo y lo empujó a la cama.
Shannon,"""Así que, ¿por qué rechazaste a la señorita cuando te pidió ir con ella a recibir a los familiares?"""
Kanon,"""... Porque tengo trabajo que hacer..."""
Shannon,"""Mentiroso... En realidad no tienes nada que hacer."""
,Shannon y Kanon habían cambiado de roles.
,"Normalmente, Kanon estaba al mando, pero cuando se trataba de romance, era al revés."
,Como dijo Shannon... se suponía que fueran Jessica y Kanon los que le dieran la bienvenida a los familiares en el puerto de Niijima.
,"Sin embargo, Kanon repentinamente dijo que tenía trabajo que hacer, así que Kumasawa tuvo que ir en su lugar."
,Kanon... no tenía trabajo que hacer. Shannon sabía esto...
Shannon,"""La señorita me dijo que... A pesar de lo que sucedió luego del festival cultural, en verdad le gustas, Kanon-kun."""
Kanon,"""... Aunque yo sea... un mueble..."""
Shannon,"""Así es. Y yo también soy un mueble."""
Kanon,"""... Y sin embargo, estás enamorada de un {y:0:humano}{n:0:humano}... Aunque eso sea imposible."""
Shannon,"""¿Tú crees?... Tal vez somos muebles... solo porque así lo creemos."""
Kanon,"""No siento nada en especial por la señorita Jessica... Solo pienso en ella como la hija de la familia a la que servimos."""
Shannon,"""¿En serio?"""
Kanon,"""En serio."""
Shannon,"""..."""
Kanon,"""... ¿Qu-Qué?"""
Shannon,"""Sabes, es posible que... George-sama me proponga matrimonio esta noche."""
Kanon,"""¡...!"""
,Shannon tenía una sonrisa extremadamente pacífica en su rostro... pero Kanon sabía que era imposible que ella lo dejara cambiar de tema.
,"Kanon se dio cuenta de que ella le había pedido ayuda para limpiar la casa de huéspedes para hablar sobre esto, y chasqueó la lengua por lo bajo..."
Kanon,"""... ¿En verdad crees que puedes casarte con un {y:0:humano}{n:0:humano} aunque seas un mueble?"""
Shannon,"""Creo que puedo."""
Kanon,"""Es imposible."""
Shannon,"""¿Por qué?"""
Kanon,"""Ese futuro de ensueño que George-sama ha imaginado para los dos... es algo que jamás le podrás dar."""
Shannon,"""P-Pues..."""
Kanon,"""... No somos {y:0:humanos}{n:0:humanos}. Somos muebles, inferiores a ellos. George-sama cree que eres {y:0:humana}{n:0:humana}."""
Shannon,"""... P-Pues, eso es cierto, pero..."""
Kanon,"""Me sorprende que hayas logrado engañarlo por tanto tiempo. ¿En verdad crees que podrás seguir engañándolo por siempre? A pesar de que aún no has podido decirle que eres un mueble."""
Shannon,"""... Ser un mueble o ser un {y:0:humano}{n:0:humano}... no tiene nada que ver con esto... Creo que George-sama me aceptará por completo."""
Kanon,"""Y aun así, no tienes el coraje para comprobarlo y asegurarte."""
Shannon,"""... ¿Sabes qué?... Creo que... aceptaré su propuesta."""
,Mientras miraba hacia el techo... Shannon habló del futuro que ella y George crearían.
,Aunque se podía ver en su rostro algo de ansiedad con respecto al futuro...  también se veía la alegría de descubrir cómo es vivir con amor.
,Mientras Kanon observaba ese vívido sueño... sabía que sus palabras ya no le llegarían a Shannon...
Kanon,"""... Hmph... Haz lo que quieras.  Una vez que dices algo, te vuelves terriblemente terca."""
Shannon,"""Así es... Quiero vivir mi vida a mi manera... Quiero dejar de preocuparme... por quién es mueble y quién es {y:0:humano}{n:0:humano}."""
Kanon,"""..."""
,Kanon caminó en silencio hacia la ventana.
,"... Vio el jardín de rosas, lleno de flores grises y aburridas..."
,Se dio cuenta de que Shannon actuaba por encima de su posición.
,Y sabía que no había manera de que su historia tuviera un final feliz.
,"... Sin embargo, también sabía que ninguna de sus palabras la harían cambiar de parecer... ahora que había tomado su decisión."
Kanon,"""... En ese caso...  no importa lo que diga... Si te digo que te detengas, no me escucharás. Si te digo que hagas lo que quieras, harás lo que quieres...  Entonces, ¿por qué me estás diciendo esto? No parece que te importe mi respuesta."""
Shannon,"""Lo que quiero saber... es qué sientes por la señorita."""
Kanon,"""... No tengo nada que ver con ustedes dos."""
