Speaker,Arabic (AR)
,ﻃُﺮﺩﻧﺎ ﻣﻦ ﺍﻟﻐﺮﻓﺔ ﺑﺪﻭﻥ ﺍﻟﺴﻤﺎﺡ ﻟﻨﺎ ﺑﺎﻧﺘﻈﺎﺭ ﺍﻟﺘﺤﻠﻴﺔ.
,ﺳﻤﻌﺖ ﺃﻧﻪ ﻓﻲ ﺍﻟﻨﻬﺎﻳﺔ ﻟﻢ ﻳﺘﻤﻜﻨﻮﺍ ﻣﻦ ﺇﻗﻨﺎﻉ ﺟﺪﻱ ﺑﺎﻟﺮﺩ.
,...ﺣﺴﻨًﺎ، ﺃﻛﺮﻩ ﻗﻮﻝ ﻫﺬﺍ، ﻟﻜﻨﻲ ﺃﺷﻌﺮ ﺑﺮﻏﺒﺔ ﺑﺎﻟﺘﺼﻔﻴﻖ ﻟﺠﺪﻱ.
,ﺭﺑﻤﺎ ﻳﺸﻌﺮ ﺑﺎﻟﺮﺿﻰ ﻋﻦ ﺍﻟﺼﺪﻣﺔ ﺍﻟﺘﻲ ﺗﻠﻘﺎﻫﺎ ﺃﺑﻨﺎﺀﻩ ﺑﺴﺒﺐ ﺭﺳﺎﻟﺘﻪ ﺍﻟﻐﺮﻳﺒﺔ، ﺑﻤﺎ ﺃﻧﻬﻢ ﺟﻤﻴﻌًﺎ ﻛﺎﻧﻮﺍ ﻣﻬﻮﻭﺳﻴﻦ ﺟﺪًﺍ ﺑﺎﻟﻤﻴﺮﺍﺙ ﺑﻴﻨﻤﺎ ﻻ ﻳﺰﺍﻝ ﻋﻠﻰ ﻗﻴﺪ ﺍﻟﺤﻴﺎﺓ.
,ﺷﻌﺮﺕ ﺃﻳﻀًﺎ ﺃﻥ ﺁﺑﺎﺀﻧﺎ ﻗﺪ ﺣﺼﻠﻮﺍ ﻋﻠﻰ ﻣﺎ ﻳﺴﺘﺤﻘﻮﻧﻪ.
,......ﻟﻜﻨﻨﻲ ﻟﻢ ﺃﺳﺘﻄﻊ ﺣﻘًﺎ ﺍﻟﻘﻮﻝ ﺑﺄﻧﻲ ﺃﺷﻌﺮ ﺑﺎﻟﺮﺿﺎ.{n}ﺷﻌﺮﺕ ﺑﺎﻟﻀﻴﻖ.
,ﻋﻠﻰ ﻣﺎ ﻳﺒﺪﻭ، ﻟﻢ ﻳﻜﻦ ﺟﺪﻱ ﻣﻬﺘﻤًﺎ ﺑﺎﻷﻣﺮ ﺑﺮﻣﺘﻪ، ﻟﻜﻨﻪ ﺃﻳﻀًﺎ ﻟﻢ ﻳﻨﻜﺮ ﺃﻱ ﺷﻲﺀ ﺑﺨﺼﻮﺹ ﺍﻟﺮﺳﺎﻟﺔ.
,ﺫُﻛﺮ ﺍﺳﻢ ﺟﺪﻱ ﻋﺪﺓ ﻣﺮﺍﺕ ﻓﻲ ﺭﺳﺎﻟﺔ ﺍﻟﺴﺎﺣﺮﺓ.
,ﻟﻮ ﻋﻠﻢ ﺟﺪﻱ ﺑﺄﻥ ﺃﺣﺪﻫﻢ ﻳﺘﻘﻤﺼﻪ، ﻓﺒﻄﺒﺎﻋﻪ، ﻟﻜﺎﻥ ﻗﺪ ﺛﺎﺭ ﻏﻀﺒًﺎ.
,ﻭﻟﻜﻦ ﻋﻠﻰ ﺍﻟﺮﻏﻢ ﻣﻦ ﺃﻧﻪ ﻳﻌﺮﻑ ﺍﻵﻥ ﻣﺤﺘﻮﻯ ﺗﻠﻚ ﺍﻟﺮﺳﺎﻟﺔ، ﺇﻻ ﺃﻧﻪ ﺗﺠﺎﻫﻠﻬﺎ ﺑﺒﺮﻭﺩ.
,ﻣﻤﺎ ﻳﺠﻌﻞ ﺍﻟﻤﺮﺀ ﻳﺘﺴﺎﺀﻝ: ﺃﻟﻴﺲ ﻫﺬﺍ ﺑﻤﺜﺎﺑﺔ ﻣﻮﺍﻓﻘﺔ ﺻﺎﻣﺘﺔ؟
,ﺣﺎﻭﻟﺖ ﺍﻟﻌﻤﺔ ﺇﻳﻔﺎ ﻭﺃﺑﻲ ﺗﻔﺴﻴﺮ ﺍﻟﺮﺳﺎﻟﺔ ﻟﺼﺎﻟﺤﻬﻤﺎ، ﻭﺟﺸﻌﻬﻤﺎ ﻇﺎﻫﺮٌ ﻟﻠﻌﻴﺎﻥ.
,ﻟﻜﻦ ﺍﻷﺳﻮﺃ ﻣﻦ ﺫﻟﻚ، ﺃﻥ ﺍﻟﻜﺒﺎﺭ ﻭﺟّﻬﻮﺍ ﺷﻜﻮﻛﻬﻢ ﻧﺤﻮ ﻣﺎﺭﻳﺎ ﺍﻟﻤﺴﻜﻴﻨﺔ، ﺍﻟﺘﻲ ﻛﺎﻧﺖ ﻫﻲ ﻣﻦ ﺗﺴﻠّﻤﺖ ﺍﻟﺮﺳﺎﻟﺔ. ﻇﻠﻮﺍ ﻳﺴﺄﻟﻮﻧﻬﺎ ﺑﺈﻟﺤﺎﺡ ﻣﻦ ﺍﻟﺬﻱ ﺃﻋﻄﺎﻫﺎ ﺍﻟﺮﺳﺎﻟﺔ.
,ﻛﺮّﺭﺕ ﻣﺎﺭﻳﺎ ﻣﺮﺍﺭًﺍ ﻭﺗﻜﺮﺍﺭًﺍ ﺃﻧﻬﺎ ﺗﻠﻘّﺘﻬﺎ ﻣﻦ {f:7:ﺑﻴﺎﺗﺮﻳﺲ}، ﻟﻜﻦ ﻻ ﺳﺒﻴﻞ ﺃﻥ ﻳﻜﻮﻥ ﺷﺨﺺٌ ﻏﺎﻣﺾٌ ﻛﻬﺬﺍ ﻣﺨﺘﻠﻄًﺎ ﺑﻴﻦ ﺍﻵﺧﺮﻳﻦ ﻓﻲ ﻫﺬﻩ ﺍﻟﺠﺰﻳﺮﺓ.
,...ﻓﻔﻲ ﺍﻟﻨﻬﺎﻳﺔ، ﻫﺬﻩ ﺟﺰﻳﺮﺓٌ ﺻﻐﻴﺮﺓ ﻻ ﻳﻌﻴﺶ ﻓﻴﻬﺎ ﺃﺣﺪ ﺳﻮﻯ ﻋﺎﺋﻠﺔ ﺃﻭﺷﻴﺮﻭﻣﻴﺎ.
,ﻇﻠﺖ ﻣﺎﺭﻳﺎ ﺗﻜﺮﺭ ﺃﻧﻬﺎ ﺣﺼﻠﺖ ﻋﻠﻴﻬﺎ ﻣﻦ {f:7:ﺑﻴﺎﺗﺮﻳﺲ} ﺑﻐﺾ ﺍﻟﻨﻈﺮ ﻋﻦ ﻋﺪﺩ ﺍﻟﻤﺮﺍﺕ ﺍﻟﺘﻲ ﺳُﺌﻠﺖ ﻓﻴﻬﺎ...
