Speaker,Spanish (ES)
,"{e:070:Tras ser obligada a casarse contra su voluntad, Natsuhi comenzó a odiar a la familia Ushiromiya y estaba llena de deseos de venganza.{n}(*Del Registro del Juicio: Página 3)}"
,"{e:070:Natsuhi, deseando además vengarse por la derrota financiera que la familia Ushiromiya había inflingido a su familia, planeó apoderarse de su riqueza.{n}(*Del Registro del Juicio: Página 4)}"
,"{e:070:A sabiendas de que la fortuna de la familia Ushiromiya estaba, en términos prácticos, administrada personalmente por Kinzo, mantuvo relaciones carnales con él para ganar su favor y así lograr engañarlo.{n}(*Del Registro del Juicio: Página 7){n}(*De los Documentos de {f:5:Bernkastel}: Página 682)}"
,"{e:070:Para que Kinzo la obedeciera, Natsuhi hizo muchas veces de {f:5:Beatrice}, la bruja de los delirios de Kinzo, y tuvo relaciones sexuales con él.{n}Kinzo, al ver a Natsuhi vestida como su amante muerta, fue engañado fácilmente.{n}Y los testimonios de los sirvientes que la veían con ese atuendo se convirtieron en parte en la base de la leyenda de la bruja.{n}(*Del Registro del Juicio: Página 8){n}(*De la evidencia presentada #17){n}(*De los Documentos de {f:5:Bernkastel}: Página 802)}"
,"{e:070:Sin embargo, en la noche del 4 de octubre de 1986, Ushiromiya Battler encontró el oro escondido.{n}Al ver que los familiares decidieron firmemente que Battler fuera el próximo sucesor, Natsuhi planeó el crimen.{n}Asesinó a los niños en la llamada ""habitación de los primos"" e intentó acusar a Battler por el crimen.}"
,"{e:070:Genji fue asesinado porque se opuso a este plan.{n}Después asesinó también a Hideyoshi.{n}De aquí en adelante, mostró la determinación de asesinar indiscriminadamente a todos los involucrados.{n}(*Del Registro del Juicio: Página 27){n}(*De los Materiales Suplementarios B: Página 61){n}(*De los Documentos de {f:5:Bernkastel}: Página 1103)}"
,{e:070:A continuación se especifican los detalles del crimen:}
,"{e:070:24:00, 4 de octubre de 1986.{n}Natsuhi decidió cometer el crimen.}"
,"{e:070:Ya que Genji se rehusó a ayudarla cuando se lo pidió, lo asesinó.}"
,{e:070:Después asesinó a su esposo Krauss en su propia habitación.{n}(*Del Registro del Juicio: Página 40){n}(*De los Materiales Suplementarios S: Página 8){n}(*De los Documentos de {f:5:Bernkastel}: Página 1105){n}(*De los Documentos Internos de la Gran Corte: Asuntos Generales A09 #9974)}
,"{e:070:Después, fue a la llamada ""habitación de los primos"" en el segundo piso de la casa de huéspedes, esperó a que Rosa se uniese a los demás, y asesinó a George, Jessica, María y Rosa.}"
,{e:070:Lastimó los cuellos de los cadáveres.}
,"{e:070:Luego, como había gente en la sala del primer piso, esperó en una habitación vacía del segundo.}"
,{e:070:Se ocultó en esta habitación vacía hasta que la gente en la sala se dispersara y fuera a dormir.{n}(*Del Registro del Juicio: Página 41){n}(*De los Materiales Suplementarios S: Página 10){n}(*De los Documentos de {f:5:Bernkastel}: Página 1131){n}(*De los Documentos Internos de la Gran Corte: Asuntos Generales A09 #9974)}
,{e:070:La gente de la sala se dispersó poco después de las 3:00 AM.}
,{e:070:Natsuhi dejó la habitación vacía y huyó de la casa de huéspedes.}
,"{e:070:Volvió a su habitación personal, donde se encontró con Kinzo, quien había estado ocultándose ahí.{n}Se quedó ahí hasta la mañana.}"
,{e:070:Kinzo dejó la habitación temprano a la mañana siguiente y se ocultó en algún lugar cercano a la casa de huéspedes.{n}(*Del Registro del Juicio: Página 41){n}(*De los Materiales Suplementarios S: Página 29){n}(*De los Documentos de {f:5:Bernkastel}: Página 1200){n}(*De los Documentos Internos de la Gran Corte: Asuntos Generales A09 #9974)}
,"{e:070:Posteriormente, Kinzo vio su oportunidad y se llevó los cadáveres de las seis víctimas de uno en uno para ocultarlos. Desafortunadamente, estos cadáveres no han sido encontrados.{n}(*Del Registro del Juicio: Página 42){n}(*De los Materiales Suplementarios S: Página 37){n}(*De los Documentos Internos de la Gran Corte: Asuntos Generales A09 #9974)}"
,"{e:070:Natsuhi, quien había fracasado en su plan para que sospechasen de Battler, cambió su plan y decidió matar a todos los presentes.{n}(*Del Registro del Juicio: Página 58){n}(*De los Materiales Suplementarios T: Página 19){n}(*De los Documentos de {f:5:Bernkastel}: Página 1348){n}(*De los Documentos Internos de la Gran Corte: Asuntos Generales A09 #9974)}"
,"{e:070:Adivinando que una de las personas presentes eventualmente querría descansar en su habitación, Natsuhi se ocultó en el armario de una de las habitaciones de huéspedes.}"
,"{e:070:A la 1:00 PM, asesinó a Hideyoshi justo después de que este entrase a la habitación.{n}(*Del Registro del Juicio: Página 61){n}(*De los Materiales Suplementarios T: Página 26){n}(*De los Documentos Internos de la Gran Corte: Asuntos Generales A09 #9974)}"
,"{e:070:Desde el momento en que los otros se dieron cuenta del incidente hasta que se llevaron el cadáver de Hideyoshi, Natsuhi estuvo escondida en el armario.{n}Como prueba de esto, un botón de la ropa de Natsuhi fue encontrado en el armario.}"
,"{e:070:Después, salió e intentó volver a su habitación.}"
,"{e:070:Pero antes de eso, Furudo Erika la encontró e interrogó, y ella confesó su crimen.{n}(*Del Registro del Juicio: Página 63){n}(*De los Materiales Suplementarios T: Pág. 32){n}(*De la evidencia presentada #26){n}(*De los Documentos de {f:5:Bernkastel}: Pág. 1348){n}(*De los Documentos de {f:5:Lambdadelta}: Línea 7){n}(*De los Documentos Internos de la Gran Corte: Asuntos Generales A09 #9974){n}(*De los Documentos Internos de la Gran Corte: Subsección Primera U99 #0107){n}(*De los Avisos Oficiales de la Gran Corte: #0172)}"
,"{e:070:Aviso Oficial de la Gran Corte #0172{n}Debido al resultado del Juicio de la Ilusión #0147-007982 (24:00, 5 de octubre, 1986), anunciamos que se ha determinado lo siguiente:{n}{n}Ushiromiya Natsuhi ha admitido su crimen.{n}{n}Durante los 13 meses subsecuentes a este aviso, los documentos relacionados pueden ser revisados en el Centro de Administración de los Documentos Legales de la Oficina de la Gran Corte, Subsección Primera.{n}{n}Jefa Adjunta de la Gran Corte{n}Inquisidora General de Herejía{n}Dlanor A. Knox}"
Ushiromiya Natsuhi,"""¡Entonces simplemente digan que yo lo hice, ¿de acuerdo?! ¡¿No es eso lo que quieren que diga?! ¡¡¡Waaaaaaaaaaaaaahhhhhh...!!!"""
,"Como habiéndose rendido y sabiendo que sería inútil intentar salir de esta, la tía Natsuhi dijo eso a gritos."
