Speaker,Arabic (AR)
Ushiromiya Kinzo,""".............ﻭﺍﻵﻥ ﻣﺎﺫﺍ. ﺇﻟﻰ ﺃﻳﻦ ﺳﺘﺆﻭﻝ ﻫﺬﻩ ﺍﻟﺠﻮﻟﺔ ﻣﻦ ﺍﻟﻠﻌﺒﺔ؟ ...ﺳﻮﺍﺀ ﺍﺳﺘﺴﻠﻤﺖ ﻟﻬﺎ ﺃﻭ ﻗﺎﻭﻣﺖ، ......ﻓﻲ ﻛﻠﺘﺎ ﺍﻟﺤﺎﻟﺘﻴﻦ، ﺳﺘﻜﻮﻥ ﺣﻘًﺎ ﻣﺄﺩﺑﺔ ﻣﺴﻠﻴﺔ ﺗﺴﺘﺤﻖ ﺃﻥ ﺃﺭﺍﻫﻦ ﻋﻠﻴﻬﺎ ﺑﻤﺎ ﺗﺒﻘﻰ ﻣﻦ ﺣﻴﺎﺗﻲ."""
,ﻓﻲ ﺣﺠﺮﺓ ﺩﺭﺍﺳﺘﻪ ﺍﻟﻤﻌﺘﻤﺔ، ﺍﻟﺘﻲ ﻛﺎﻧﺖ ﺗُﻀﺎﺀ ﺃﺣﻴﺎﻧًﺎ ﺑﺎﻟﺒﺮﻕ، ﻛﺎﻥ ﻛﻴﻨﺰﻭ ﻳﻐﻤﻐﻢ ﻭﻳﻀﺤﻚ ﻣﻊ ﻧﻔﺴﻪ.
,ﻋﻠﻰ ﻣﻜﺘﺒﻪ ﺗﻮﺟﺪ ﺳﺎﻋﺔ ﻋﺘﻴﻘﺔ ﺫﺍﺕ ﺗﺼﻤﻴﻢ ﻣﻌﻘﺪ، ﺑﺪﺃ ﺍﻟﻌﻘﺮﺑﺎﻥ ﺍﻟﻤﺘﺪﺍﺧﻼﻥ ﻳﻤﻴﻼﻥ ﺇﻟﻰ ﺍﻟﻴﻤﻴﻦ ﻭﻳﻨﻔﺼﻼﻥ ﻋﻦ ﺑﻌﻀﻬﻤﺎ، ﻣﻌﻠﻨﺎﻥ ﺩﻭﺭﺓً ﺟﺪﻳﺪﺓ.
,ﻭﺣﻴﻦ ﻭﺻﻠﺖ ﺍﻟﺴﺎﻋﺔ ﺇﻟﻰ 42، ﻋﺎﺩﺕ ﺇﻟﻰ ﺍﻟﺼﻔﺮ ﻭﺑﺪﺃﺕ ﺍﻟﻌﺪ ﻣﻦ ﺟﺪﻳﺪ...
Ushiromiya Kinzo,""".......ﻣﺮﻭﺭ ﺍﻟﻮﻗﺖ ﺷﻲﺀ ﻗﺎﺳﻲ. ﻧﻘﻀﻲ ﻳﻮﻣﺎً ﻛﺎﻣﻼً ﻟﻠﻮﺻﻮﻝ ﺇﻟﻰ ﺍﻟﺮﻗﻢ 42، ﺛﻢ ﻧﻌﻮﺩ ﻣﺒﺎﺷﺮﺓ ﺇﻟﻰ ﺍﻟﺼﻔﺮ. ﺑﻼ ﺷﻚ ﺃﻥ ﺍﻟﻮﻗﺖ ﻳﻤﻀﻲ ﺣﺘﻰ ﻳﺼﻞ 95:32. ﻟﻜﻦ، ﻫﻞ ﺗﻤﻜﻦّ ﻓﻌﻼً ﻣﻦ ﺑﻠﻮﻍ 00:42؟ ......ﺇﺫﺍ ﻛﺎﻥ ﺍﻟﻮﻗﺖ ﻳﻌﻮﺩ ﺇﻟﻰ 00:00 ﻣﻦ ﺟﺪﻳﺪ ﺩﻭﻥ ﺍﻟﻮﺻﻮﻝ ﺇﻟﻰ 00:42، ﻓﻬﺬﺍ ﻳُﻌﺪ ﻓﺸﻼً."""
,ﻻ، ﺃﻟﻴﺲ ﺫﻟﻚ ﻣﺸﺎﺑﻬًﺎ ﻟﺤﻴﺎﺓ ﺍﻹﻧﺴﺎﻥ؟ ﻳﺴﻌﻰ ﻧﺤﻮ 42، ﻭﺣﻴﻦ ﻳﺼﻞ ﺇﻟﻰ ﺗﻠﻚ ﺍﻟﻠﺤﻈﺔ ﺍﻟﻜﺎﻣﻠﺔ، ﻳﻌﻮﺩ ﺇﻟﻰ ﺍﻟﺼﻔﺮ.
,ﺭﺑﻤﺎ ﺳﻴﻘﺪﺭﻩ ﺍﻟﻨﺎﺱ ﺑﻌﺪ ﺭﺣﻴﻠﻪ، ﻗﺎﺋﻠﻴﻦ ﺃﻧﻪ ﺑﻠﻎ ﺍﻟـ42 ﺣﻘًﺎ، ﻟﻜﻦ ﺑﺎﻟﺘﺄﻛﻴﺪ ﻫﻮ ﻟﻢ ﻳﺒﻠﻐﻬﺎ،
,.........ﻓﻲ ﺍﻟﻨﻬﺎﻳﺔ ﻫﻮ ﻋﺎﺩ ﻟﻴﻜﻮﻥ ﺻﻔﺮًﺍ.
Ushiromiya Kinzo,"""ﻟﻜﻨﻨﻲ ﻣﺨﺘﻠﻒ. ﺳﺄﻋﻴﺶ ﻭﺃﺻﻞ ﺇﻟﻰ ﺍﻟﻠﺤﻈﺔ ﺍﻟﺘﻲ ﺗﺒﻠﻎ ﻓﻴﻬﺎ ﺍﻟﺴﺎﻋﺔ 42. ﻷﻥ ﺫﻟﻚ ﻧﻔﺴﻪ ﻫﻮ ﺍﻷﺭﺽ ﺍﻟﺬﻫﺒﻴﺔ. ...ﺍﻟﻤﻜﺎﻥ ﺍﻟﺬﻱ ﺗﻌﻴﺶ ﻓﻴﻪ {f:7:ﺑﻴﺎﺗﺮﻳﺲ}."""
,ﻛﺎﻥ ﻛﻴﻨﺰﻭ ﻳُﻘﻠﺐ ﺑﻌﺾ ﺑﻄﺎﻗﺎﺕ ﺍﻟﺘﺎﺭﻭﺕ (ﺑﻄﺎﻗﺎﺕ ﺗﻨﺠﻴﻢ). 
,ﻭﻛﺎﻥ ﻳﺒﺪﻭ ﻭﻛﺄﻧﻪ ﻳﻌﻴﺪ ﻗﺮﺍﺀﺓ ﺣﻈّﻪ ﻣﺮﺓ ﺗﻠﻮ ﺍﻷﺧﺮﻯ ﻛﻠﻤﺎ ﻟﻢ ﺗﻌﺠﺒﻪ ﺍﻟﻨﺘﻴﺠﺔ.
,ﻟﻜﻦ، ﻣﻦ ﺍﻟﻤﻌﺮﻭﻑ ﺃﻥ ﺃﻛﺒﺮ ﻣﺤﺮﻡ ﻓﻲ ﻗﺮﺍﺀﺓ ﺍﻟﺘﺎﺭﻭﺕ ﻫﻮ ﺗﻜﺮﺍﺭ ﻧﻔﺲ ﺍﻟﻘﺮﺍﺀﺓ ﻣﺮﺗﻴﻦ.
,ﻭﻛﺄﻧﻪ ﻳﺴﺨﺮ ﻣﻦ ﻧﺘﺎﺋﺞ ﺍﻟﻜﻬﺎﻧﺔ، ﺑﻞ ﻭﺇﻫﺎﻧﺔ ﻟﻠﻮﺟﻮﺩ ﺍﻷﻋﻠﻰ ﺍﻟﺬﻱ ﻳﻤﻨﺢ ﺍﻟﻮﺣﻲ ﻋﺒﺮ ﺑﻄﺎﻗﺎﺕ ﺍﻟﺘﺎﺭﻭﺕ.
,ﻭﻣﻊ ﺫﻟﻚ، ﻛﺎﻥ ﻛﻴﻨﺰﻭ ﻳﻌﻠﻢ.
,ﺃﻧﻪ ﻻ ﻳﻨﺒﻐﻲ ﺍﺳﺘﺨﺪﺍﻡ ﺑﻄﺎﻗﺎﺕ ﺍﻟﺘﺎﺭﻭﺕ ﻷﻛﺜﺮ ﻣﻦ ﻣﺮﺓ....ﻷﻧﻬﺎ ﻟﻴﺴﺖ ﺃﻛﺜﺮ ﻣﻦ ﺃﺭﻗﺎﻡ ﺣﻆ ﻋﺸﻮﺍﺋﻴﺔ، ﺃﻱ ﺃﻥ ﻗﺮﺍﺀﺗﻬﺎ ﻣﺮﺗﻴﻦ ﺳﺘﺆﺩﻱ ﺑﻄﺒﻴﻌﺔ ﺍﻟﺤﺎﻝ ﺇﻟﻰ ﻇﻬﻮﺭ ﻧﺘﻴﺠﺔ ﻣﺨﺘﻠﻔﺔ.
,"......ﻭﻟﻬﺬﺍ ﺍﻟﺴﺒﺐ ﻓﻘﻂ، ﻭُﺿﻌﺖ ﺗﻠﻚ ﺍﻟﻘﺎﻋﺪﺓ ﻟﺤﻔﻆ ""ﻗﺪﺳﻴﺔ"" ﺍﻟﻨﺘﺎﺋﺞ."
,...ﻭﻟﻜﻦ، ﻫﺬﺍ ﻻ ﻳﻌﻨﻲ ﺃﻥ ﻛﻴﻨﺰﻭ ﻻ ﻳﺄﺧﺬ ﻗﺮﺍﺀﺓ ﺍﻟﺘﺎﺭﻭﺕ ﻋﻠﻰ ﻣﺤﻤﻞ ﺍﻟﺠﺪ.
,ﺑﻞ ﻫﻮ ﻳﻔﺴﺮ ﻗﺮﺍﺀﺓ ﺍﻟﺘﺎﺭﻭﺕ ﺑﻄﺮﻳﻘﺔ ﻣﺨﺘﻠﻔﺔ ﺗﻤﺎﻣًﺎ.
,ﻃﺮﻳﻘﺘﻪ ﻛﺎﻧﺖ ﺃﻥ ﻳﻌﻴﺪ ﺍﻟﻘﺮﺍﺀﺓ ﻣﺮﺍﺭًﺍ ﻭﺗﻜﺮﺍﺭًﺍ، ﺩﻭﻥ ﺃﻱ ﺗﻬﺎﻭﻥ ﺃﻭ ﺗﻨﺎﺯﻝ، ﺣﺘﻰ ﻳﺤﺼﻞ ﻋﻠﻰ ﺍﻟﻨﺘﻴﺠﺔ ﺍﻟﻤﺜﺎﻟﻴﺔ ﺍﻟﺘﻲ ﻳﺮﻳﺪﻫﺎ.
,"ﻭﺭﻏﻢ ﺃﻥ ﺗﻌﺮﻳﻒ ""ﺍﻟﻨﺘﻴﺠﺔ ﺍﻟﻤﺜﺎﻟﻴﺔ"" ﻳﺨﺘﻠﻒ ﻣﻦ ﺷﺨﺺ ﻵﺧﺮ، ﻟﻜﻦ ﺇﻥ ﻃﺎﻟﺐ ﺑﺄﻓﻀﻞ ﻧﺘﻴﺠﺔ ﺑﺎﻟﻤﻌﻨﻰ ﺍﻟﺤﺮﻓﻲ، ﻓﻬﻮ ﺑﺬﻟﻚ ﻳﺨﻮﺽ ﻟﻌﺒﺔ ﺣﻆ ﺗﺸﺒﻪ ﻃﻠﺐ ﻣﻌﺠﺰﺓ ﺭﻳﺎﺿﻴﺔ."
,......ﺑﺄﻳﺔ ﺣﺎﻝ، ﻳﺴﺘﺨﺪﻡ ﻛﻴﻨﺰﻭ ﻣﻌﺠﺰﺍﺕ ﺍﻷﺭﻗﺎﻡ ﻛﺄﺳﺎﺱ ﻟﻘﻮﺗﻪ ﺍﻟﺴﺤﺮﻳﺔ، ﻷﻥ ﺫﻟﻚ ﻳﺘﻨﺎﺳﺐ ﻣﻊ ﻃﻘﻮﺳﻪ ﺍﻟﺴﺤﺮﻳﺔ.
,ﺑﻤﻌﻨﻰ ﺁﺧﺮ، ﺣﺘﻰ ﺗﻈﻬﺮ ﺍﻟﻨﺘﻴﺠﺔ ﺍﻟﺘﻲ ﻳﺮﻳﺪﻫﺎ ﺑﺸﻜﻞ ﻣﺜﺎﻟﻲ، ﻛﺎﻥ ﻳﺴﻌﻰ ﺟﺎﻫﺪﺍً ﻟﺘﻜﺮﺍﺭ ﻗﺮﺍﺀﺍﺕ ﺍﻟﺘﺎﺭﻭﺕ ﻣﺮﺍﺭًﺍ. ﻋﻦ ﻗﻨﺎﻋﺔ، ﻣﺤﻮﻻً ﻣﺸﺎﻋﺮ ﻗﻠﺒﻪ ﺇﻟﻰ ﺩﻋﻮﺍﺕ، ﺑﺤﻴﺚ ﻋﻨﺪﻣﺎ ﺗﺼﻞ ﺇﻟﻰ ﺍﻟﺴﻤﺎﺀ، ﺳﺘﺘﺤﻘﻖ ﺇﻟﻰ ﻧﺘﺎﺋﺞ ﻣﺮﺿﻴﺔ. ﻫﺬﺍ ﻫﻮ ﺗﻔﺴﻴﺮ ﻛﻴﻨﺰﻭ ﺍﻟﺴﺤﺮﻱ.
,ﻭﻟﻬﺬﺍ ﺍﻟﺴﺒﺐ، ﻛﺎﻧﺖ ﺑﻄﺎﻗﺎﺕ ﺍﻟﺘﺎﺭﻭﺕ ﺍﻟﺘﻲ ﻳﺴﺘﺨﺪﻣﻬﺎ ﻛﻴﻨﺰﻭ ﻋﺎﺩﻳﺔ ﺗﻤﺎﻣًﺎ، ﻟﻜﻦ ﻃﺮﻳﻘﺘﻪ ﻓﻲ ﺍﺳﺘﺨﺪﺍﻣﻬﺎ ﻛﺎﻧﺖ ﻣﻐﺎﻳﺮﺓ ﺗﻤﺎﻣًﺎ ﻟﻠﻌﺎﻣﺔ...
Ushiromiya Kinzo,"""................................. ...ﺍﻟﻠﻴﻠﺔ، ......ﻳﺄﺑﻰ ﺍﻟﺤﻆ ﺃﻥ ﻳﺴﻴﺮ ﻓﻲ ﻃﺮﻳﻘﻲ."""
,ﺃﻭﻗﻒ ﻛﻴﻨﺰﻭ ﻳﺪﻳﻪ ﻟﻠﺤﻈﺔ.
,...ﻳﺒﺪﻭ ﺃﻥ ﺍﻟﻨﺘﻴﺠﺔ ﺍﻟﺘﻲ ﺗﻮﻗﻌﻬﺎ ﻟﻢ ﺗﻈﻬﺮ.
,ﻋﻠﻰ ﻋﻜﺲ ﺫﻟﻚ، ﺍﻟﺒﻄﺎﻗﺎﺕ ﺍﻟﺴﻴﺌﺔ ﺍﻟﺘﻲ ﻳﻜﺮﻩ ﺭﺅﻳﺘﻬﺎ، ﻇﻬﺮﺕ ﻣﺮﺍﺭًﺍ ﻭﺗﻜﺮﺍﺭًﺍ، ﻣﻌﺮﻗﻠﺔً ﻇﻬﻮﺭ ﺍﻟﻤﻌﺠﺰﺓ ﺍﻟﺘﻲ ﻳﺘﻤﻨﺎﻫﺎ ﻛﻴﻨﺰﻭ.
Ushiromiya Kinzo,"""..................ﻫﻤﻤﻪ. ...ﻫﻜﺬﺍ ﺍﻷﻣﺮ ﺇﺫًﺍ؟"""
,ﻣﻤﺎ ﻳﺒﺪﻭ ﺃﻥ ﻛﻴﻨﺰﻭ ﺗﻠﻘﻰ ﻫﺬﻩ ﺍﻟﻤﺮﺓ ﻭﺣﻴًﺎ ﻣﺨﺘﻠﻔًﺎ ﻋﻦ ﺍﻟﻤﻌﺘﺎﺩ.
,ﻟﻜﻦ ﺑﺎﻟﻨﻈﺮ ﺇﻟﻰ ﺍﻟﺒﻄﺎﻗﺎﺕ ﺍﻟﻤﺸﺆﻭﻣﺔ ﺍﻟﻤﺒﻌﺜﺮﺓ ﻋﻠﻰ ﺍﻟﻄﺎﻭﻟﺔ، ﻓﻤﻦ ﺍﻟﺼﻌﺐ ﺍﻟﻘﻮﻝ ﺇﻥ ﺫﻟﻚ ﺍﻟﻮﺣﻲ ﻛﺎﻥ ﺑﺸﺎﺭﺓ ﺧﻴﺮ...
,ﺃﻏﻤﺾ ﻛﻨﺰﻭ ﻋﻴﻨﻴﻪ ﺑﺈﺣﻜﺎﻡ ﻟﻔﺘﺮﺓ ﻗﺼﻴﺮﺓ، ﻏﺎﺭﻗًﺎ ﻓﻲ ﺍﻟﺘﻔﻜﻴﺮ.
,ﺛﻢ، ﻭﻛﺄﻧﻪ ﺍﺗﺨﺬ ﻗﺮﺍﺭًﺍ ﻣﻊ ﺩﻭﻱّ ﺍﻟﺮﻋﺪ، ﺃﻣﺴﻚ ﺑﺴﻤﺎﻋﺔ ﺍﻟﻬﺎﺗﻒ ﻭﺑﺪﺃ ﻳﺘﺼﻞ.
Ushiromiya Kinzo,"""............ﻫﺬﺍ ﺃﻧﺎ. ﻫﻞ ﻗﻴﻨﺠﻲ ﻣﻮﺟﻮﺩ؟ ﺍﻷﻣﺮ ﻋﺎﺟﻞ."""
Shannon,"""..................ﻫﺎﺍﻩ."""
,ﺃﻣﺎﻡ ﻣﺪﺧﻞ ﺍﻟﻘﺎﻋﺔ، ﻛﺎﻧﺖ ﺷﺎﻧﻮﻥ ﺗﻘﻒ ﻫﻨﺎﻙ ﻭﻭﺟﻬﻬﺎ ﻳﻠﻤﻊ ﺑﺮﻭﺩﺓً ﺟﺮﺍﺀ ﺍﻟﻬﻮﺍﺀ ﺍﻟﺒﺎﺭﺩ.
