Speaker,Arabic (AR)
,...ﻣﻀﺖ ﺛﻼﺛﻮﻥ ﺩﻗﻴﻘﺔ ﻣﻨﺬ ﻣﻐﺎﺩﺭﺓ ﻣﺠﻤﻮﻋﺔ ﺭﻭﺩﻭﻟﻒ ﻣﻨﺰﻝ ﺍﻟﻀﻴﺎﻓﺔ.
,ﻟﻘﺪ ﺗﺄﺧﺮﻭﺍ ﺑﺎﻟﻌﻮﺩﺓ ﻟﻠﻐﺎﻳﺔ.{n}...ﺇﺫ ﺃﻥ ﻛﺮﺍﻭﺱ ﻭﻧﺎﺗﺴﻮﻫﻲ ﺍﻟﻠﺬﺍﻥ ﻳﻨﺘﻈﺮﺍﻥ ﻋﻨﺪ ﺍﻟﻤﺪﺧﻞ ﻗﺪ ﻭﺻﻼ ﺇﻟﻰ ﺣﺪﻭﺩ ﺻﺒﺮﻫﻤﺎ.
,ﻭﻛﺈﺟﺮﺍﺀ ﺍﺣﺘﺮﺍﺯﻱ، ﺃﻗﻔﻠﻮﺍ ﺍﻟﺒﺎﺏ ﺑﺎﻟﺴﻠﺴﻠﺔ، ﺗﻔﺎﺩﻳًﺎ ﻟﻠﻤﺨﺎﻃﺮ ﻓﻲ ﺣﺎﻝ ﺗﻌﺮﺽ ﻣﺠﻤﻮﻋﺔ ﺭﻭﺩﻭﻟﻒ ﻟﻠﻬﺠﻮﻡ ﻭﺳﺮﻗﺔ ﺍﻟﻤﻔﺘﺎﺡ ﺍﻟﺮﺋﻴﺲ ﻣﻨﻬﻢ.
,ﻟﺬﺍ ﻛﺎﻥ ﻻ ﺑﺪ ﻣﻦ ﺍﻧﺘﻈﺎﺭﻫﻢ ﻋﻨﺪ ﺍﻟﻤﺪﺧﻞ ﻣﺒﺎﺷﺮﺓ، ﺣﺘﻰ ﻳﻔﺘﺤﻮﺍ ﻟﻬﻢ ﺍﻟﺒﺎﺏ ﻋﻨﺪ ﻋﻮﺩﺗﻬﻢ...
Ushiromiya Natsuhi,"""...ﻟﻘﺪ ﺗﺄﺧﺮﻭﺍ ﺣﻘًﺎ. ﺃﻻ ﺗﻈﻦ ﺑﺄﻥّ ﺷﻴﺌًﺎ ﻣﺎ ﻗﺪ ﺣﺪﺙ ﻟﻬﻢ...؟"""
Ushiromiya Krauss,"""...............ﻫﻤﻢ..."""
,ﻛﺎﻥ ﻛﺮﺍﻭﺱ ﻳُﻤﺮﺭ ﺑﺼﺮّﻩ ﺑﻴﻦ ﺳﺎﻋﺘﻪ ﻭﺍﻟﺒﺎﺏ، ﻭﻫﻮ ﻳﻜﺎﻓﺢ ﻟﻠﺤﻔﺎﻅ ﻋﻠﻰ ﺭﺑﺎﻃﺔ ﺟﺄﺷﻪ.
Ushiromiya Natsuhi,"""ﻣﺎﺫﺍ... ﻟﻮ ﺃﻥ ﺷﻴﺌًﺎ ﺍﻋﺘﺮﺽ ﻃﺮﻳﻘﻬﻢ ﻭﻣﻨﻌﻬﻢ ﻣﻦ ﺍﻟﻌﻮﺩﺓ...."""
Ushiromiya Krauss,"""....ﺇﻧّﻬﺎ ﻓﺮﺿﻴﺔ ﺳﻴﺌﺔ، ﻭﻟﻜﻨّﻬﺎ ﻭﺍﺭﺩﺓ ﺍﻟﺤﺪﻭﺙ ﻓﻴﺠﺐ ﺃﻥ ﻧﺘﺄﻫﺐ. ......ﻟﻘﺪ ﻛﺎﻥ ﺫﻫﺎﺑﻬﻢ ﻟﻠﺨﺎﺭﺝ ﺗﺼﺮﻓًﺎ ﻣﺘﻬﻮﺭًﺍ ﻣﻨﺬ ﺍﻟﺒﺪﺍﻳﺔ."""
Ushiromiya Natsuhi,"""ﻗـ-ﻗﻠﺖُ ﻟﻜﻢ ﺫﻟﻚ...! ﻟﻤﺎﺫﺍ ﺧﺮﺟﻮﺍ ﺭﻏﻢ ﻋﻠﻤﻬﻢ ﺑﺄﻥ ﺍﻷﻣﺮ ﺑﺎﻟﻎُ ﺍﻟﺨﻄﻮﺭﺓ...؟! ﻳﺎ ﻟﻠﺤﻤﺎﻗﺔ! ﻛﻴﻒ ﻳﺨﺮﺟﻮﻥ ﺣﺘﻰ ﺑﻌﺪ ﺗﻌﺮﺽ ﺭﻭﺯﺍ-ﺳﺎﻥ ﻟﻠﻘﺘﻞ...؟!!"""
