Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
,...Thirty minutes had already passed since Rudolf's group had left the guesthouse.,...30 minutes had already passed since Rudolf's group had left the guesthouse. ,"...30 minutes had already passed since Rudolf's group had left the guesthouse.",…留弗夫たちがゲストハウスを出てから、すでに３０分は経過していた。,…留弗夫たちがゲストハウスを出てから、すでに３０分は経過していた。,"С того времени, как группа Рудольфа покинула домик для гостей, прошло уже 30 минут.",...Trinta minutos já tinham se passado desde que o grupo de Rudolf deixou a casa de hóspedes.,…距留弗夫他们离开宾馆，已过了三十分钟。,…距留弗夫他們離開賓館，已過了三十分鐘。,... Erano già trascorsi trenta minuti da quando il gruppo di Rudolf aveva lasciato la casa degli ospiti.,...Thirty minutes had already passed since Rudolf's group had left the guesthouse.,... Habían pasado 30 minutos desde que el grupo de Rudolf abandonó la casa de huéspedes.,...ﻣﻀﺖ ﺛﻼﺛﻮﻥ ﺩﻗﻴﻘﺔ ﻣﻨﺬ ﻣﻐﺎﺩﺭﺓ ﻣﺠﻤﻮﻋﺔ ﺭﻭﺩﻭﻟﻒ ﻣﻨﺰﻝ ﺍﻟﻀﻴﺎﻓﺔ.,...Thirty minutes had already passed since Rudolf's group had left the guesthouse.,...Thirty minutes had already passed since Rudolf's group had left the guesthouse.,...Thirty minutes had already passed since Rudolf's group had left the guesthouse.
,"By any measure, their return was too late.{n}...And Krauss and Natsuhi, who were waiting by the entrance, were by now about as restless as they could stand.","By any measure, their return was too late. ...And Krauss and Natsuhi, who waited by the entrance, were reaching the limits of their patience. "," By any measure, their return was too late....And Krauss and Natsuhi, who were waiting by the entrance, were reaching the limits of their patience.",いくらなんでも、戻りが遅すぎる。…玄関で待ち続ける蔵臼と夏妃の焦燥も限界に来ていた。,いくらなんでも、戻りが遅すぎる。{n}…玄関で待ち続ける蔵臼と夏妃の焦燥も限界に来ていた。,"По любым меркам, они значительно задержались.{n}...И у Краусса с Нацухи, ожидавших их возле входа, уже истекало терпение.","Independentemente das circunstâncias, eles já estavam demorando demais para retornar. ...Krauss e Natsuhi, que estavam esperando na entrada, estavam agora tão inquietos quanto podiam aguentar.",再怎么说，他们回来得也太晚了。{n}…一直在大门处等候的藏臼与夏妃的心情焦躁到了极点。,再怎麼說，他們回來得也太晚了。{n}…一直在大門處等候的藏臼與夏妃的心情焦躁到了極點。,"Non c'era dubbio che stessero tardando troppo a tornare. ... E Krauss e Natsuhi, che erano in attesa all'ingresso, stavano esaurendo la loro pazienza.","By any measure, their return was too late.{n}...And Krauss and Natsuhi, who were waiting by the entrance, were by now about as restless as they could stand.","Se mire como se mire, tardaban demasiado en regresar.{n}... Y Krauss y Natsuhi, que esperaban en la entrada, estaban llegando al límite de su paciencia.",ﻟﻘﺪ ﺗﺄﺧﺮﻭﺍ ﺑﺎﻟﻌﻮﺩﺓ ﻟﻠﻐﺎﻳﺔ.{n}...ﺇﺫ ﺃﻥ ﻛﺮﺍﻭﺱ ﻭﻧﺎﺗﺴﻮﻫﻲ ﺍﻟﻠﺬﺍﻥ ﻳﻨﺘﻈﺮﺍﻥ ﻋﻨﺪ ﺍﻟﻤﺪﺧﻞ ﻗﺪ ﻭﺻﻼ ﺇﻟﻰ ﺣﺪﻭﺩ ﺻﺒﺮﻫﻤﺎ.,"By any measure, their return was too late.{n}...And Krauss and Natsuhi, who were waiting by the entrance, were by now about as restless as they could stand.","By any measure, their return was too late.{n}...And Krauss and Natsuhi, who were waiting by the entrance, were by now about as restless as they could stand.","By any measure, their return was too late.{n}...And Krauss and Natsuhi, who were waiting by the entrance, were by now about as restless as they could stand."
,"The chain was set on the door. That was a precaution in the event that Rudolf's group was attacked, and the master key was stolen from them.",The chain was set on the door. That was a precaution in the event that Rudolf's group was attacked and the master key stolen from them. ," The chain was set on the door. That was a precaution in the event that Rudolf's group was attacked, and the master key stolen from them.",扉にはチェーンが掛けてある。それは、留弗夫たちが万一襲われ、マスターキーを奪われた場合に備えたものだ。,扉にはチェーンが掛けてある。それは、留弗夫たちが万一襲われ、マスターキーを奪われた場合に備えたものだ。,"Дверь была закрыта на цепочку. Это была мера предосторожности на тот случай, если на группу Рудольфа будет совершено нападение, и они лишатся главного ключа.","A corrente estava colocada na porta. Aquela era uma precaução caso o grupo de Rudolf fosse atacado, e a chave mestra roubada deles.",门上挂着链条锁。这是以防，万一留弗夫他们遇袭，被夺去总钥匙的情况，而做的措施。,門上掛著鏈條鎖。這是以防，萬一留弗夫他們遇襲，被奪去總鑰匙的情況，而做的措施。,"La catena di sicurezza della porta era inserita. Si trattava di una precauzione nel caso in cui il gruppo di Rudolf fosse stato attaccato, e gli venisse rubato il passepartout.","The chain was set on the door. That was a precaution in the event that Rudolf's group was attacked, and the master key was stolen from them.",La cadena estaba puesta en la puerta. Era una precaución en el caso de que el grupo de Rudolf fuera atacado y les robaran la llave maestra.,ﻭﻛﺈﺟﺮﺍﺀ ﺍﺣﺘﺮﺍﺯﻱ، ﺃﻗﻔﻠﻮﺍ ﺍﻟﺒﺎﺏ ﺑﺎﻟﺴﻠﺴﻠﺔ، ﺗﻔﺎﺩﻳًﺎ ﻟﻠﻤﺨﺎﻃﺮ ﻓﻲ ﺣﺎﻝ ﺗﻌﺮﺽ ﻣﺠﻤﻮﻋﺔ ﺭﻭﺩﻭﻟﻒ ﻟﻠﻬﺠﻮﻡ ﻭﺳﺮﻗﺔ ﺍﻟﻤﻔﺘﺎﺡ ﺍﻟﺮﺋﻴﺲ ﻣﻨﻬﻢ.,"The chain was set on the door. That was a precaution in the event that Rudolf's group was attacked, and the master key was stolen from them.","The chain was set on the door. That was a precaution in the event that Rudolf's group was attacked, and the master key was stolen from them.","The chain was set on the door. That was a precaution in the event that Rudolf's group was attacked, and the master key was stolen from them."
,"For that reason, they needed to wait by the entrance like this for the others to return...","For that reason, they needed to wait by the entrance like this for the others to return... "," For that reason, they needed to wait by the entrance like this for the others to return...",その為、彼らの帰りをこうして玄関で待つ必要があった…。,その為、彼らの帰りをこうして玄関で待つ必要があった…。,По этой причине им пришлось дежурить у входа в ожидании возвращения остальных...,"Por essa razão, eles precisavam esperar assim na entrada pelo retorno dos outros...",所以，必须待在大门处，等他们回来…。,所以，必須待在大門處，等他們回來…。,"Perciò, c'era bisogno che aspettassero così, all'ingresso, il ritorno degli altri...","For that reason, they needed to wait by the entrance like this for the others to return...","Por esta razón, ambos debían permanecer en la entrada de este modo esperando su regreso...",ﻟﺬﺍ ﻛﺎﻥ ﻻ ﺑﺪ ﻣﻦ ﺍﻧﺘﻈﺎﺭﻫﻢ ﻋﻨﺪ ﺍﻟﻤﺪﺧﻞ ﻣﺒﺎﺷﺮﺓ، ﺣﺘﻰ ﻳﻔﺘﺤﻮﺍ ﻟﻬﻢ ﺍﻟﺒﺎﺏ ﻋﻨﺪ ﻋﻮﺩﺗﻬﻢ...,"For that reason, they needed to wait by the entrance like this for the others to return...","For that reason, they needed to wait by the entrance like this for the others to return...","For that reason, they needed to wait by the entrance like this for the others to return..."
Ushiromiya Natsuhi,"""......They really are taking too long. You don't think something happened to them...?""","""...They really are too late. Don't you think something might have happened to them...?"" ","""......They really are too late. You don't think something happened to them...?""",「……さすがに遅すぎます。彼らの身に何かあったのでは…。」,「……さすがに遅すぎます。彼らの身に何かあったのでは…」,"""......Они и вправду задерживаются. Тебе не кажется, что с ними могло что‐нибудь случиться?..""","""......Eles realmente estão demorando demais. Não acha que pode ter acontecido alguma coisa com eles...?""",「……实在太慢了。他们会不会是出了什么事…？」,「……實在太慢了。他們會不會是出了什麼事…？」,"""... Ci stanno mettendo davvero troppo. Non pensi che potrebbe essergli successo qualcosa...?""","""......They really are taking too long. You don't think something happened to them...?""","""... Se están tardando demasiado. ¿No piensas que algo les puede haber sucedido?...""","""...ﻟﻘﺪ ﺗﺄﺧﺮﻭﺍ ﺣﻘًﺎ. ﺃﻻ ﺗﻈﻦ ﺑﺄﻥّ ﺷﻴﺌًﺎ ﻣﺎ ﻗﺪ ﺣﺪﺙ ﻟﻬﻢ...؟""","""......They really are taking too long. You don't think something happened to them...?""","""......They really are taking too long. You don't think something happened to them...?""","""......They really are taking too long. You don't think something happened to them...?"""
Ushiromiya Krauss,"""...............Hmm...""","""......Indeed..."" ","""............Hmm...""",「……………うむ…。」,「……………うむ…」,"""............Хм‐м...""","""...............Hmm...""",「……………嗯…」,「……………嗯…」,"""... Hmm...""","""...............Hmm...""","""... Mmm...""","""...............ﻫﻤﻢ...""","""...............Hmm...""","""...............Hmm...""","""...............Hmm..."""
,"Krauss glanced between the clock and the door, struggling to feign composure.","Krauss glanced between his watch and the door, struggling to keep his composure. ","Krauss glanced between his watch and the door, struggling to keep his composure.",蔵臼は時計と扉を見比べながら、冷静さを装うことに徹していた。,蔵臼は時計と扉を見比べながら、冷静さを装うことに徹していた。,"Краусс перевёл взгляд с часов на дверь, изо всех сил пытаясь сохранять хладнокровие.","Krauss olhou de relance entre o relógio e a porta, resistindo para fingir compostura.",藏臼交替看着门与时钟，依然强装着冷静。,藏臼交替看著門與時鐘，依然強裝著冷靜。,"Krauss spostò lo sguardo tra l'orologio da polso e la porta, sforzandosi di mantenere il suo contegno.","Krauss glanced between the clock and the door, struggling to feign composure.","Krauss miró tanto su reloj como la puerta, luchando por mantener la compostura.",ﻛﺎﻥ ﻛﺮﺍﻭﺱ ﻳُﻤﺮﺭ ﺑﺼﺮّﻩ ﺑﻴﻦ ﺳﺎﻋﺘﻪ ﻭﺍﻟﺒﺎﺏ، ﻭﻫﻮ ﻳﻜﺎﻓﺢ ﻟﻠﺤﻔﺎﻅ ﻋﻠﻰ ﺭﺑﺎﻃﺔ ﺟﺄﺷﻪ.,"Krauss glanced between the clock and the door, struggling to feign composure.","Krauss glanced between the clock and the door, struggling to feign composure.","Krauss glanced between the clock and the door, struggling to feign composure."
Ushiromiya Natsuhi,"""If...by some chance they were not to return......""","""If...something happened to prevent them from returning..."" ","""If, ...something happened to prevent them from returning......""",「もし、…彼らが戻らないようなことがあるならば……。」,「もし、…彼らが戻らないようなことがあるならば……」,"""Может... что‐то произошло, что помешало их возвращению...""","""Se... por alguma chance, eles não retornarem......""",「如果，…他们不回来的话……」,「如果，…他們不回來的話……」,"""Se... se fosse successo qualcosa che gli ha impedito di tornare...""","""If...by some chance they were not to return......""","""Si... ocurriese algo que impidiera su regreso...""","""ﻣﺎﺫﺍ... ﻟﻮ ﺃﻥ ﺷﻴﺌًﺎ ﺍﻋﺘﺮﺽ ﻃﺮﻳﻘﻬﻢ ﻭﻣﻨﻌﻬﻢ ﻣﻦ ﺍﻟﻌﻮﺩﺓ....""","""If...by some chance they were not to return......""","""If...by some chance they were not to return......""","""If...by some chance they were not to return......"""
Ushiromiya Krauss,"""...A terrible thought, but it looks as though we should ready ourselves for that possibility. ......It really was reckless, after all.""","""...A terrible thought, but it seems we should ready ourselves for that possibility. ...So, it really was too reckless after all."" ","""...A terrible thought, but it looks as though we should ready ourselves for that possibility. ......It really was reckless, after all.""",「…辛い想像だが、その覚悟を始めた方が良さそうだ。……やはり、無用心だったのだ。」,「…辛い想像だが、その覚悟を始めた方が良さそうだ。……やはり、無用心だったのだ」,"""...Страшная мысль, но судя по всему, нам следует быть готовыми и к такому варианту. ......Всё‐таки это было действительно безрассудно.""","""...Um pensamento terrível, mas parece que devemos nos preparar para essa possibilidade. ......Isso realmente foi imprudente, afinal.""",「…虽说不是滋味，但看来，是时候开始做好这心理准备了。……果然，是大意了啊。」,「…雖說不是滋味，但看來，是時候開始做好這心理準備了。……果然，是大意了啊。」,"""... Un pensiero terribile, ma pare che dovremmo prepararci a questa possibilità. ... È stata davvero una mossa avventata, dopotutto.""","""...A terrible thought, but it looks as though we should ready ourselves for that possibility. ......It really was reckless, after all.""","""... Un pensamiento terrible, pero parece que debemos prepararnos para esa posibilidad... Fue realmente imprudente, después de todo.""","""....ﺇﻧّﻬﺎ ﻓﺮﺿﻴﺔ ﺳﻴﺌﺔ، ﻭﻟﻜﻨّﻬﺎ ﻭﺍﺭﺩﺓ ﺍﻟﺤﺪﻭﺙ ﻓﻴﺠﺐ ﺃﻥ ﻧﺘﺄﻫﺐ. ......ﻟﻘﺪ ﻛﺎﻥ ﺫﻫﺎﺑﻬﻢ ﻟﻠﺨﺎﺭﺝ ﺗﺼﺮﻓًﺎ ﻣﺘﻬﻮﺭًﺍ ﻣﻨﺬ ﺍﻟﺒﺪﺍﻳﺔ.""","""...A terrible thought, but it looks as though we should ready ourselves for that possibility. ......It really was reckless, after all.""","""...A terrible thought, but it looks as though we should ready ourselves for that possibility. ......It really was reckless, after all.""","""...A terrible thought, but it looks as though we should ready ourselves for that possibility. ......It really was reckless, after all."""
Ushiromiya Natsuhi,"""Th‐that is what I said...! Why did they go outside when they knew it was this dangerous...! How foolish! Why go outside, even though Rosa‐san had just been attacked...?!!""","""Th-That is what I said...! Why did they go outside when they knew it was this dangerous...?! How foolish! Why go outside, even though Rosa-san had just been attacked...?!!"" ","""Th, that is what I said...! Why did they go outside when they knew it was this dangerous...! How foolish! Why go outside, even though Rosa-san had just been attacked...?!!""",「わ、私はそうだと申し上げました…！　なぜ彼らはこれほどの危険を承知で外に…！　愚かなことです！　楼座さんが襲われたばかりだというのに、なぜに外へ…！！」,「わ、私はそうだと申し上げました…！　なぜ彼らはこれほどの危険を承知で外に…！　愚かなことです！　楼座さんが襲われたばかりだというのに、なぜに外へ…！！」,"""О... об этом я и говорила!.. Почему они вышли наружу, когда им было известно, насколько это опасно!... Как глупо! Для чего выходить на улицу, когда на Розу‐сан совсем недавно напали?!!..""","""F‐Foi isso o que eu disse...! Por que eles saíram quando sabiam que era tão perigoso...?! Que tolice! Por que sair, mesmo que a Rosa‐san tivesse acabado de ser atacada...?!""",「我、我就是这么说的…！为什么他们明知如此危险，还要去外面…！太愚蠢了！楼座妹妹才刚刚遇害，为什么要去外面…！！」,「我、我就是這麼說的…！為什麼他們明知如此危險，還要去外面…！太愚蠢了！樓座妹妹才剛剛遇害，為什麼要去外面…！！」,"""I-Io l'avevo detto...! Perché sono usciti pur sapendo che era così pericoloso...! Che follia! Perché uscire, nonostante Rosa-san fosse stata appena attaccata...?!!""","""Th‐that is what I said...! Why did they go outside when they knew it was this dangerous...! How foolish! Why go outside, even though Rosa‐san had just been attacked...?!!""","""¡E-Eso fue lo que dije!... ¡¿Por qué salieron sabiendo que era peligroso?! ¡Qué estupidez! ¡¡¿Por qué salir, incluso sabiendo que Rosa-san acababa de ser atacada?!!...""","""ﻗـ-ﻗﻠﺖُ ﻟﻜﻢ ﺫﻟﻚ...! ﻟﻤﺎﺫﺍ ﺧﺮﺟﻮﺍ ﺭﻏﻢ ﻋﻠﻤﻬﻢ ﺑﺄﻥ ﺍﻷﻣﺮ ﺑﺎﻟﻎُ ﺍﻟﺨﻄﻮﺭﺓ...؟! ﻳﺎ ﻟﻠﺤﻤﺎﻗﺔ! ﻛﻴﻒ ﻳﺨﺮﺟﻮﻥ ﺣﺘﻰ ﺑﻌﺪ ﺗﻌﺮﺽ ﺭﻭﺯﺍ-ﺳﺎﻥ ﻟﻠﻘﺘﻞ...؟!!""","""Th‐that is what I said...! Why did they go outside when they knew it was this dangerous...! How foolish! Why go outside, even though Rosa‐san had just been attacked...?!!""","""Th‐that is what I said...! Why did they go outside when they knew it was this dangerous...! How foolish! Why go outside, even though Rosa‐san had just been attacked...?!!""","""Th‐that is what I said...! Why did they go outside when they knew it was this dangerous...! How foolish! Why go outside, even though Rosa‐san had just been attacked...?!!"""
