Speaker,Arabic (AR)
,...ﺑﻐﺾ ﺍﻟﻨﻈﺮ ﻋﻦ ﻧﻮﺍﻳﺎ ﺍﻟﻜﺒﺎﺭ ﻣﻦ ﻫﺬﺍ ﺍﻻﺟﺘﻤﺎﻉ،{n}ﻟﻜﻦ ﺑﺎﻟﻨﺴﺒﺔ ﻟﻨّﺎ ﻧﺤﻦ ﺍﻟﺼﻐﺎﺭ،  ﻛﺎﻥ ﻳﻔﺘﺮﺽ ﺑﻬﺬﻳﻦ ﺍﻟﻴﻮﻣﻴﻦ ﺃﻥ ﻳﻜﻮﻧﺎ ﻣﻤﺘﻌﻴﻦ ﻭﻳﻮﻃّﺪ ﻋﻼﻗﺘﻨﺎ ﺑﺒﻌﻀﻨﺎ.
,ﻟﻜﻦ، ﻋﻨﺪﻣﺎ ﺍﺳﺘﻴﻘﻈﻨﺎ، ﻛﺎﻥ ﻓﻲ ﺍﻧﺘﻈﺎﺭﻧﺎ ﻭﺍﻗﻊٌ ﻗﺎﺱٍ ﻻ ﻳُﺼﺪﻕ...
Ushiromiya Jessica,"""...........ﺇﻫﺊ، ﺇﻫﺊ.......!"""
Ushiromiya George,"""................................."""
,ﻛﺎﻥ ﺃﺧﻲ ﺟﻮﺭﺝ ﻭﺟﻴﺴﻴﻜﺎ ﻳﺒﻜﻴﺎﻥ ﻋﻠﻰ ﻭﻓﺎﺓ ﺷﺎﻧﻮﻥ-ﺗﺸﺎﻥ ﻭﻛﺎﻧﻮﻥ-ﻛﻦ.
,......ﺣﻴﻨﻬﺎ، ﺍﺟﺘﻤﻊ ﻛﻞ ﻣﻦ ﻛﺎﻥ ﻋﻠﻰ ﻗﻴﺪ ﺍﻟﺤﻴﺎﺓ ﻓﻲ ﺑﻬﻮ ﺍﻟﻄﺎﺑﻖ ﺍﻷﻭﻝ ﻣﻦ ﺑﻴﺖ ﺍﻟﻀﻴﺎﻓﺔ. ﻭﻛﻨﺎ ﻓﻘﻂ 21 ﺷﺨﺼًﺎ.
,...ﺃﻣﺮٌ ﻏﻴﺮ ﻣﻌﻘﻮﻝ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟{n}ﻓﻘﺪ ﻛﺎﻥ ﻋﺪﺩﻧﺎ  ﺛﻤﺎﻧﻴﺔ ﻋﺸﺮ ﺷﺨﺼًﺎ ﺣﺘﻰ ﻣﺴﺎﺀ ﺃﻣﺲ.{n}ﻭﻓﻲ ﻟﻴﻠﺔ ﻭﺍﺣﺪﺓ، ﻓﻘﺪ ﺛﻠﺚ ﻫﺬﺍ ﺍﻟﻌﺪﺩ ﺣﻴﺎﺗﻬﻢ...
,ﺃﻣﺎ ﺃﻧﺎ ﻓﻘﺪ ﻫﺪﺃﺕ ﻣﺸﺎﻋﺮﻱ ﺍﻟﻬﺎﺋﺠﺔ ﻣﻨﺬ ﻗﻠﻴﻞ، ﻭﺑﺴﺒﺐ ﻗﻠﺔ ﺍﻟﻨﻮﻡ ﺟﺮﺍﺀ ﺍﺳﺘﻴﻘﺎﻇﻲ ﺑﺎﻛﺮًﺍ، ﺇﻧﺘﺎﺑﻨﻲ ﺷﻌﻮﺭٌ ﻃﻔﻴﻒ ﺑﻔﻘﺪﺍﻥ ﺍﻻﺣﺴﺎﺱ ﺑﺎﻟﻮﺍﻗﻊ.
,......ﻭﺑﻘﻴﺖُ ﺃﻭﻫﻢ ﻧﻔﺴﻲ ﺃﻥ ﻛﻞ ﻫﺬﺍ ﻣﺠﺮّﺩ ﻛﺎﺑﻮﺱ... ﻣﺤﺎﻭﻟﺘﻲ ﺍﻟﺮﺧﻴﺼﺔ ﻟﻠﻬﺮﻭﺏ ﻣﻦ ﺍﻟﻮﺍﻗﻊ ﻣﺎ ﺗﺰﺍﻝ ﺗﺮﺩﺩ ﻫﺬﺍ ﺑﻼ ﺗﻮﻗﻒ.
,ﺃﻣﺎ ﻣﺎﺭﻳﺎ ﻓﻘﺪ ﻋﺎﺩﺕ ﻟﻠﻨﻮﻡ ﻋﻠﻰ ﺍﻷﺭﻳﻜﺔ ﺍﻟﺘﻲ ﺗﺠﻠﺲ ﻋﻠﻴﻬﺎ ﻋﻤﺘﻲ ﺭﻭﺯﺍ.
