Speaker,Spanish (ES)
Ushiromiya Jessica,"""¡¿Eeeeeeeeeh?! ¿Qué quieres decir con ""habitaciones separadas""? ¿Entonces tú y George nii-san se quedaron en habitaciones diferentes a propósito?"""
Shannon,"""S-Sí... umm, ¿fue algo tan extraño?..."""
,"Como las mejillas de Jessica estaban llenas de galletas chinsukou recubiertas de chocolate que Shannon había traído como souvenir de Okinawa, todas las migajas salieron volando hacia Shannon cuando Jessica gritó..."
Ushiromiya Jessica,"""Sha-Shannon, ¿por qué fuiste de viaje a Okinawa entonces?... ¡Incluso estando a solas con George nii-san!"""
Shannon,"""Eso se debe a que... Quiero decir... como hay un acuario muy grande en Okinawa, me invitaron a ir y... A mí... me gustan los peces y esas cosas..."""
Ushiromiya Jessica,"""¡¡No, eso no es a lo que me refiero!! Esto se trata de una joven pareja que se van junta de viaje y pasan la noche, ¿verdad? ¡¿Y dices que ni siquiera hubo besos ni abrazos?! ¡¡Por no hablar del hecho de que el chico y la chica se alojaron en habitaciones diferentes!!"""
Shannon,"""Sin comentarios en cuanto a lo de los b-besos. Ah, pero sí nos abrazamos... El pecho de George-san sí que era reconfortante..."""
Ushiromiya Jessica,"""¡¡Ese no es el punto!! ¡Aah, dios! ¡¿Por qué existen parejas como esta?! ¡¡Aaah, dios!! ¡Es muy irritante!"""
,"Desde la perspectiva de Shannon, habían sucedido muchas cosas y parecía haber sido un viaje muy feliz, pero parecía que la oportunidad desaprovechada había dejado a Jessica muy insatisfecha."
,"Durante un rato, Jessica masticó su souvenir, retorciéndose en su cama mientras se quejaba de su romance."
,Shannon y George eligieron ir a Okinawa porque allí había un enorme acuario.
,Eso fue porque su primer encuentro fue en torno a un acuario.
,"Dado que todo empezó en un acuario, el hecho de que su primer viaje juntos fuera también a un acuario debió de tener un valor conmemorativo."
Ushiromiya Jessica,"""¡Este fue su viaje conmemorativo especial, su punto de inflexión! ¡¡Su primer viaje pasando la noche juntos!! ¡¿No debería haber todo tipo de progresos?!"""
Ushiromiya Jessica,"""¡Y aun así! ¡¿Habitaciones separadas para el chico y la chica?! ¡¿Una pareja tomando habitaciones individuales?! Aah, dios, de verdad, ¡¿qué sucede contigo?!"""
Shannon,"""Bueno, umm, pero los dos estamos solteros... Y George-san dice que respetar los límites es de buena educación entre hombres y mujeres..."""
Ushiromiya Jessica,"""¡Por el amor de Dios, ¿no se supone que ese viaje era para que pudieras cruzar ese límite?! ¡Ya no estás en la etapa de simples abrazos y besos!"""
Shannon,"""S-Señorita, no sé qué quiere decir con eso, pero... G-George-sama fue un verdadero caballero conmigo hasta el final."""
Shannon,"""Quiero decir que, yo también... Me preguntaba si haríamos esas cosas, ya sabe, pero nosotros, puede ser que salgamos, pero... Quiero decir, no es como si estuviéramos casados o algo así..."""
Shannon,"""El tipo de cosas que parece esperar, señorita, pienso que deberíamos hacerlo solo después de haber hecho un voto delante de Dios, y, umm, no-nosotros no debemos... au."""
,"El rostro de Shannon estaba enrojecido.{n}Ella estaba inquieta, haciendo un círculo con ambas manos, luego una cadena de eslabones, entrelazándose continuamente, separándose y haciendo formas de corazón con ellas."
,"Aparentemente, el dramático progreso que Jessica había esperado no había sucedido, pero parecía que había sido una experiencia muy importante para Shannon a su manera."
,"Así que al final, por mucho que Jessica envidiara a Shannon o se burlara de ella, no cambiaba el hecho de que Shannon le llevaba una gran ventaja."
Ushiromiya Jessica,"""¡¡Aah, yo también quiero un novio!! ¡¡No puedo creer que te hayas adelantado!! Prometimos que conseguiríamos novios al mismo tiempo pero te adelantaste y me ganasteeee, ¡aaargh!"""
Shannon,"""U‐Umm... Señorita, usted es una persona maravillosa, así que estoy segura de que encontrará a alguien aún más maravilloso, dentro de poco..."""
Ushiromiya Jessica,"""¡¡No intentes consolarme!! ¡¡Shannon, traidora, vete de aquí, escoria!! ¡¡*toser*toser*, *toser*toser*toser*!!"""
,"Jessica le lanzó varios cojines.{n}Pero a mitad de camino, tuvo un ataque de asma y empezó a toser muy fuerte."
,Shannon se apresuró a correr hacia ella y echó un vistazo encima de la mesa de al lado.
,"Una adorable cesta estaba colocada allí, y dentro de ella estaba el inhalador de Jessica."
,Shannon lo recogió y se lo entregó a Jessica.
,"Los ataques de asma de Jessica siempre llegaban de repente. Por ello, tenía que llevar este medicamento consigo en todo momento."
,"Inhaló el medicamento y, tras un tiempo de contener la tos, su asma se calmó por fin."
,"Shannon pensó que esta era una buena oportunidad para irse, se inclinó con cortesía y se preparó para abandonar la habitación..."
,"Al hacerlo, otro pequeño cojín salió volando y golpeó a Shannon en la cabeza."
,"Ella volteó, y vio que Jessica estaba al borde del llanto, con la mitad de su cara escondida en su último y favorito cojín. Ese rostro estaba enrojecido y manso..."
Shannon,"""¿S-Señorita?..."""
Ushiromiya Jessica,"""S-Shannon... Sé honesta conmigo... ¿Es mi... peinado y demás... extraño?..."""
Shannon,"""¿Qué está diciendo?... Creo que su cabello es muy hermoso."""
Ushiromiya Jessica,"""Entonces, entonces, ¿son mis ojos extraños, o tal vez lo sea mi nariz? ¿O es mi forma de hablar después de todo?... ¿Es por eso que no puedo conseguir un novio?..."""
Shannon,"""Por supuesto que no. Señorita, usted es lo suficientemente maravillosa tal y como es. Y creo que su encanto seguirá aumentando cada vez más."""
Ushiromiya Jessica,"""Pero... solo yo no puedo conseguir un novio... Saku y Hina lograron encontrar uno, pero yo no puedo, soy la única... ¿Es porque no tengo ningún encanto después de todo?... Ya sabes, todo el mundo va a llevar a su novio al festival cultural..."""
Ushiromiya Jessica,"""Estaba tan segura de que conseguiría un novio para entonces, que he sido grandilocuente al respecto... Pero no pude conseguir un novio para salvar mi reputación. Soy la única, la única..."""
,"Antes de darse cuenta, Jessica estaba derramando lágrimas."
,"Jessica no había planeado llorar, y por supuesto, sintió que debía apoyar el progreso de Shannon en el amor como una amiga."
,"Sin embargo, al burlarse de Shannon, sus verdaderos sentimientos se habían mezclado de repente, y las lágrimas empezaron a salir por sí solas..."
,Shannon comprendió el corazón inocente y vulnerable de Jessica...
,El habitual estilo rudo de hablar de Jessica... era todo un intento de proteger su propio corazón vulnerable.
