Speaker,Spanish (ES)
Ushiromiya Lion,"""... Creo... que he averiguado lo mucho que esa mujer llamada Beatrice ha influenciado en la vida del abuelo."""
Willard H. Wright,"""No hemos averiguado nada. ""¿Quién mató {f:5:Beatrice}?"" A menos que lo resolvamos, nunca seremos capaces de salir de aquí."""
Ushiromiya Lion,"""... Tienes razón. Necesitamos terminar esto rápido. Después de todo, el funeral ya terminó."""
Willard H. Wright,"""... Te equivocas... Este {i:es}... el funeral."""
Ushiromiya Lion,"""¿A qué te refieres? ¿Qué es lo que ella nos está haciendo hacer?..."""
Willard H. Wright,"""Ninguna de las Beatrices de las que hemos oído hablar hasta ahora han sido {i:asesinadas}. Estamos intentando comprender donde está el factor ""asesinada"". Para {f:5:Bernkastel}, ese es el verdadero funeral."""
Ushiromiya Lion,"""... Nadie sabe sobre ese factor ""asesinada"". ¿Esa es la verdad que estamos intentando exponer?"""
Willard H. Wright,"""Mmm... buena perspectiva. No parece que le esté hablando a una pieza del plano inferior. Debe ser porque se te asignó como mi... ¡Ouch!"""
Ushiromiya Lion,"""No llames a tu acompañante pieza. Así que, ¿qué es lo siguiente, Willard Holmes?"""
Willard H. Wright,"""Preguntar a los testigos establece la base de una investigación. Aún hay una {f:5:Beatrice} sobre la que tenemos que preguntar."""
,"Para indicar al siguiente al qué le deberían hablar, Will asintió en dirección a George, Jessica, y María."
,Parecía que María les estaba explicando algo.
Ushiromiya George,"""Guau. {f:5:Beatrice} parece bastante increíble."""
Ushiromiya Maria,"""¡Sí! Y entonces, de dentro de la taza boca abajo, ¡ella hizo aparecer montones de dulces de la nada!"""
Ushiromiya Jessica,"""¿De dentro de la taza? Increíble. Parece magia para mí."""
Ushiromiya Lion,"""... A María-chan realmente le gustan las brujas y la magia."""
Willard H. Wright,"""No podemos evitar preguntar a la que más sabe sobre brujas, ¿verdad?"""
,"Si buscas a alguien para preguntarle sobre {f:5:Beatrice}, María es la primera de la lista."
,La {f:5:Beatrice} de la que hablaba no era la verdadera Beatrice de la que Kinzo y los demás les habían contado.
,"Aquí y ahora, en la Rokkenjima de 1986, el nombre de {f:5:Beatrice} probablemente se refiera a la {f:5:Beatrice} de la que María está hablando siempre."
Willard H. Wright,"""... No veo a Battler en ninguna parte."""
,"Ushiromiya Battler... La persona a la que le hicieron luchar como el oponente de {f:5:Beatrice} en varios juegos, y la persona más importante de este juego... de este cuento."
,"El Battler de este mundo probablemente sería la pieza, pero incluso así, podría ser posible conseguir algo de información vital de él."
,"... Will seguramente quería hablar con Battler también, pero no se le veía en el grupo de los primos."
Ushiromiya Lion,"""Battler-kun no asistió a este funeral. Es una pena, ya que es el más cercano a mi edad entre los primos."""
Willard H. Wright,"""¿Se llevan bien?"""
Ushiromiya Lion,"""Por supuesto."""
Willard H. Wright,"""... Y le pellizcas su trasero cada vez que dice algo pervertido."""
Ushiromiya Lion,"""Oh, ¿cómo lo supiste? ¿Te lo dijeron tus instintos de detective?"""
Willard H. Wright,"""Pobre chico."""
,... {f:5:Bernkastel} dijo que todo estaba reunido aquí.
,El que Battler no esté aquí seguramente signifique que es posible descubrirlo todo sin preguntarle su versión de la historia.
,"O quizá ella esté ocultando intencionalmente los elementos principales y haciéndonos tomar el camino más largo, como parte de algún caprichoso juego de brujas."
