Speaker,Arabic (AR)
,ﻋﺎﺩﺕ ﺭﻭﺯﺍ ﺇﻟﻰ ﺍﻟﺮﺩﻫﺔ.
,ﻋﻠﻰ ﺍﻟﺮﻏﻢ ﻣﻦ ﺃﻥ ﻣﻦ ﺍﻟﻤﻔﺘﺮﺽ ﺑﻪ ﺃﻥ ﺗﺮﺗﺎﺡ، ﺇﻻ ﺃﻥ ﺗﻌﺎﺑﻴﺮ ﻭﺟﻬﻬﺎ ﺗﻮﺣﻲ ﺑﺄﻧﻬﺎ ﻟﻢ ﺗﺘﻤﻜﻦ ﻣﻦ ﺍﻟﻨﻮﻡ ﺑﺴﺒﺐ ﺍﻟﺘﻮﺗﺮ.
Ushiromiya Rudolf,"""...ﺍﺳﺘﺮﺧﻲ ﻭﺍﺳﺘﻠﻘﻲ ﻫﻨﺎ. ﺳﺘﺘﻌﺒﻴﻦ ﻻﺣﻘًﺎ."""
Ushiromiya Rosa,"""ﺷﻜﺮﺍ ﻻﻫﺘﻤﺎﻣﻚ. ﺣﺎﻭﻟﺖ ﻭﻟﻢ ﺃﺳﺘﻄﻊ ﺍﻟﻨﻮﻡ. ......ﻟﻘﺪ ﺃﺧﺬﺕُ ﺣﻤﺎﻣًﺎ، ﻟﺬﺍ ﺃﻧﺎ ﺑﺨﻴﺮ.  ﻓﻠﻴﺴﺘﺮﺡ ﺍﻟﺸﺨﺺ ﺍﻟﺘﺎﻟﻲ."""
Ushiromiya Natsuhi,"""ﻣﺎﺫﺍ ﺑﺸﺄﻧﻜﻤﺎ؟"""
Ushiromiya Kyrie,"""......ﻣﺎ ﺭﺃﻳﻚ ﻳﺎ ﺭﻭﺩﻭﻟﻒ-ﺳﺎﻥ؟ ﺃﻧﺮﺗﺎﺡ؟"""
Ushiromiya Rudolf,"""ﻳﻤﻜﻨﻚِ ﺃﻥ ﺗﺮﺗﺎﺣﻲ ﻳﺎ ﻛﻴﺮﻳﻲ. ﺳﺄﺑﻘﻰ ﻳﻘﻈﺎ. ﻫﺬﺍ ﺃﻗﻞ ﻣﺎ ﻳﻤﻜﻨﻨﻲ ﻓﻌﻠﻪ ﻛﺮﺟﻞ."""
Ushiromiya Kyrie,"""ﺳﺄﺑﻘﻰ ﻳﻘﻈﺔ ﺇﺫﺍ. ﻓﻬﺬﺍ ﺃﻗﻞ ﻣﺎ ﻳﻤﻜﻨﻨﻲ ﻓﻌﻠﻪ ﻛﺰﻭﺟﺔ."""
Ushiromiya Natsuhi,"""......*ﺿﺤﻜﺔ*. ﻛﻢ ﺗﺒﺪﻭﺍﻥ ﻣﻨﺴﺠﻤَﻴﻦ ﻣﻌًﺎ."""
Ushiromiya Kyrie,"""ﻭﻛﺬﻟﻚ ﺃﻧﺖِ ﻣﻊ ﺯﻭﺟﻚ، *ﺿﺤﻜﺔ*."""
Ushiromiya Krauss,"""ﻳﺒﺪﻭ ﺑﺄﻥ ﺇﻳﻔﺎ ﻭﻫﻴﺪﻳﻮﺷﻲ-ﺳﺎﻥ ﻧﺎﻣﺎ ﺑﻌﻤﻖ. ﻻ ﻳﻤﻜﻨﻬﻢ ﺍﻟﺘﻐﻠﺐ ﻋﻠﻰ ﺗﺄﺛﻴﺮﺍﺕ ﻛﺒﺮ ﺍﻟﻌﻤﺮ، ﻋﻠﻰ ﻋﻜﺲ ﺭﻭﺯﺍ."""
,ﻛﺄﻧﻤﺎ ﺭﺩًﺍ ﻋﻠﻰ ﺗﻠﻚ ﺍﻟﻜﻠﻤﺎﺕ، ﻓُﺘﺢ ﺑﺎﺏ ﺍﻟﻘﺎﻋﺔ ﺑﺼﻮﺕٍ ﺛﻘﻴﻞ.
, ﻭ ﻫﺎ ﻗﺪ ﺃﺗﻴﺎ ﻣﻦ ﻏﺮﻓﺔ ﺍﻟﻀﻴﻮﻑ.
Ushiromiya Eva,"""ﻻ ﺷﺄﻥ ﻟﻚ ﻓﻲ ﻫﺬﺍ. ...ﺃﻭﻩ، ﺭﻭﺯﺍ، ﺃﺳﺘﻜﻮﻧﻴﻦ ﺑﺨﻴﺮ ﺩﻭﻥ ﻗﺴﻂٍ ﻣﻦ ﺍﻟﺮﺍﺣﺔ؟"""
Ushiromiya Rosa,"""ﻣﺎﺫﺍ ﻋﻨﻚِ ﻳﺎ ﺃﺧﺘﻲ، ﻟﻤﺎ ﻻ ﺗﺮﺗﺎﺣﻲ ﻗﻠﻴﻼً؟"""
Ushiromiya Eva,"""............ﻟﻢ ﺃﺳﺘﻄﻊ ﺍﻟﻨﻮﻡ ﺟﻴﺪًﺍ. ﺃﺧﺬﺕ ﺣﻤﺎﻣًﺎ ﺳﺮﻳﻌًﺎ ﻓﺄﺻﺎﺑﻨﻲ ﺍﻷﺭﻕ ﺑﻌﺪﻫﺎ. ﻳﻤﻜﻨﻜﻤﺎ ﺃﻥ ﺗﺮﺗﺎﺣﺎ ﻳﺎ ﺭﻭﺩﻭﻟﻒ ﺃﻧﺖ ﻭﻛﻴﺮﻳﻲ-ﺳﺎﻥ"""
Ushiromiya Rudolf,"""ﺣﺴﻨًﺎ، ﺷﻜﺮًﺍ ﻟﻚِ. ﻧﻴﺘﻚ ﺍﻟﻄﻴﺒﺔ ﺗﻜﻔﻲ ﺣﺎﻟﻴًﺎ. ﻟﻤﺎ ﻻ ﺗﺮﺗﺎﺡ ﻳﺎ ﺃﺧﻲ ﻗﺒﻠﻨﺎ؟"""
Ushiromiya Krauss,"""ﺷﻜﺮًﺍ ﻋﻠﻰ ﻟﻄﻔﻚ. ﻭﻟﻜﻦ ﻻ ﻳﻤﻜﻨﻨﻲ ﺃﻥ ﺃﺭﺗﺎﺡ ﺃﻭﻻ. ﻓﺄﻧﺎ ﺃﺧﻮﻛﻢ ﺍﻷﻛﺒﺮ."""
Ushiromiya Natsuhi,ﻧﺤﻦ ﺳﻨﺒﻘﻰ ﻣﺘﻴﻘﻈﻴﻦ ﺣﺘﻰ ﺍﻟﻨﻬﺎﻳﺔ، ﻓﻼ ﺗﻘﻠﻘﻮﺍ ﻋﻠﻴﻨﺎ.
Ushiromiya Kyrie,"""......*ﺿﺤﻜﺔ*. .........ﺑﺎﻟﻤﻨﺎﺳﺒﺔ ﻳﺎ ﺇﻳﻔﺎ ﻧﻴﻪ-ﺳﺎﻥ، ﺃﺃﻧﺖِ ﺑﺨﻴﺮ؟ ﻳﺒﺪﻭ ﻭﺟﻬﻚ ﺷﺎﺣﺒًﺎ ﻗﻠﻴﻼً."""
Ushiromiya Hideyoshi,"""......ﺍﻵﻥ ﻭﻗﺪ ﺫﻛﺮﺕِ ﺫﻟﻚ، ﺻﺪﻗﺖِ. ...ﻫﻤﻢ؟ ﻳﺒﺪﻭ ﺃﻥ ﻟﺪﻳﻚِ ﺣﻤﻰ ﺧﻔﻴﻔﺔ."""
,ﻗﺎﻝ ﻫﻴﺪﻳﻮﺷﻲ ﺫﻟﻚ ﻭﻫﻮ ﻳﻀﻊ ﻳﺪﻩ ﻋﻠﻰ ﺟﺒﻴﻦ ﺇﻳﻔﺎ.{n}ﻓﺄﺗﻀﺢ ﺃﻧﻬﺎ ﻟﻴﺴﺖ ﻋﻠﻰ ﻣﺎ ﻳﺮﺍﻡ...
Ushiromiya Rudolf,"""ﺃﻟﻢ ﺃﻗﻞ ﻟﻜﻢ ﺫﻟﻚ؟ ...ﻫﺬﺍ ﻣﺎ ﻳﺤﺪﺙ ﻋﻨﺪﻣﺎ ﻳﺘﻐﻴﺮ ﺭﻭﺗﻴﻨﻜﻢ ﻓﺠﺄﺓ. ......ﺃﻫﻲ ﻧﺰﻟﺔ ﺑﺮﺩ؟"""
Ushiromiya Krauss,"""...ﻧﺎﺗﺴﻮﻫﻲ. ﻫﻼّ ﺍﺳﺘﺪﻋﻴﺖِ ﺍﻟﻄﺒﻴﺐ ﻧﺎﻧﺠﻮ؟"""
Ushiromiya Natsuhi,"""ﺣـ-ﺣﺴﻨﺎ."""
