Speaker,Spanish (ES)
,"Sin siquiera permitirnos esperar al postre, nos echaron del comedor."
,"He oído que, al final, nuestros padres no consiguieron que el abuelo respondiera."
,"... Bueno, no sé si debería decir esto, pero creo que el abuelo se merece mis aplausos."
,"Él debió de sentirse satisfecho por la conmoción que su extraña carta causó en sus hijos, quienes estaban empeñados en dividir la herencia mientras él aún estaba vivo."
,"En mi opinión, nuestros despreciables padres recibieron su merecido por haber causado tanto alboroto."
,... Pero realmente no podría decir que me sintiera bien.{n}Me sentía malhumorado.
,"Aparentemente, el abuelo no se había mostrado preocupado por todo el asunto, pero tampoco había negado nada sobre la carta."
,El nombre del abuelo aparecía varias veces en la carta de la bruja.
,"Teniendo en cuenta su carácter, el abuelo probablemente se volvería loco de ira si se enterase de que alguien está usurpando su nombre."
,"Pero ahora que el abuelo estaba al tanto del contenido de la carta, la había pasado por alto sin inmutarse."
,¿Podría considerarse esto como una afirmación tácita?
,"La tía Eva y papá habían intentado interpretar la carta a su favor, evidenciando claramente su codicia."
,"No sería un problema si eso fuera todo, pero los adultos comenzaron a enfocarse en María, quien había recibido la carta. Ellos no paraban de preguntarle quién le había dado esa carta."
,"María repitió una y otra vez que la había obtenido de {f:5:Beatrice}, pero era difícil creer que tan misteriosa persona hubiera estado presente entre todos los demás en esta isla."
,"... Después de todo, esta es una pequeña isla donde no vive nadie más que la familia Ushiromiya."
,"María no paraba de repetir que {f:5:Beatrice} le había dado la carta, sin importar cuántas veces se lo preguntaran."
,"Al parecer, los adultos pensaban que María intentaba engañarlos, por lo que la interrogaron sin piedad hasta que no pudo soportarlo más y rompió en llanto..."
,"Cuando por fin dejaron a María, ella estaba sollozando, toda desgastada por el llanto."
,"Después de que nuestros padres nos ordenaran irnos a la casa de huéspedes y llevarnos a María con nosotros, se encerraron en el comedor y comenzaron a discutir ruidosamente sobre la herencia."
,"Parecía que, por culpa de esa extraña carta, surgía la posibilidad de que el tío Krauss ya no fuese el próximo líder, y a cambio de reconocerlo, mi papá y el resto estuvieron tratando de sacarle un montón de dinero... o algo parecido."
,"Jessica y yo estábamos conmocionados, pero aun así, estuvimos encantados de irnos a la casa de huéspedes."
,"No queríamos estar bajo el mismo techo que esos avaros adultos, obsesionados únicamente con el dinero."
,"George‐aniki apeló en nombre de nuestros padres, diciendo que tenemos que comprenderlos."
,"... Comprendí su manera de pensar. No importa lo sucia que sea esa discusión sobre el dinero, no desaparecería simplemente por ignorarla."
,"Pero aun así, ¿cómo es posible que hayan caído tan bajo como para pelear abiertamente por el dinero?..."
,"María se había escondido en su cama tras llorar sin parar. No se había movido en un rato, así que probablemente se quedó dormida..."
Ushiromiya George,"""... ¿Quién pudo haberle dado esa carta a María-chan?"""
Ushiromiya Jessica,"""George nii‐san. No debes seguir preguntando eso. Si María dice que se lo dio {f:5:Beatrice}, ¿no podemos dejarlo así?..."""
Ushiromiya Battler,"""Digo, no queremos que siga llorando."""
,... Dicho esto. Incluso nosotros sentíamos una confusión que no podíamos despejar.
Ushiromiya George,"""En esta isla ahora solo hay 18 personas. La idea de que una 19.ª persona desconocida le haya entregado la carta a María‐chan y ahora se encuentre escondida en algún lugar en medio de esta tormenta, honestamente no parece nada realista."""
Ushiromiya Jessica,"""Es probable que... Shannon o alguien se haya puesto el vestido de ese retrato, y hábilmente planeó esto de antemano con María."""
Ushiromiya Jessica,"""... Aunque, por supuesto, en cuanto María vio ese vestido, podría haber sido suficiente para convencerla de que era {f:5:Beatrice}."""
Ushiromiya Battler,"""Quizá no importe quién le dio la carta. Lo importante es quién la envió."""
Ushiromiya Battler,"""... Todo apunta a que el abuelo quería causar un alboroto asumiendo el nombre de la bruja. En serio, ese viejo sí que es bueno irritando a la gente."""
,"La verdad probablemente era que nuestro abuelo, amante del ocultismo, estaba jugando al elegir una forma dramática de entregar la carta a María, quien comparte su misma afición."
,... Sin importarle los problemas que le causaría a María o al resto de nosotros.
Ushiromiya Battler,"""En serio, cómo se atreve a jugar con el corazón puro de María... No importa quién le entregó la carta. María dice que se la dio {f:5:Beatrice}, dejémoslo así."""
Ushiromiya George,"""Estoy de acuerdo. Hagamos eso. Para María-chan, {f:5:Beatrice} es como lo que Santa Claus es para la mayoría de los niños."""
Ushiromiya Battler,"""Tanto si se trata de una inexistente 19.ª persona o de Santa Claus, mientras aceptemos que existen, al menos ""existirán"" dentro de María... Comprendo que es importante mentirle a un niño para proteger sus sueños."""
Ushiromiya Battler,"""... ¿Mmm? ¿Qué te pasa, Jessica? ¿Sigues molesta?"""
,"Jessica tenía la mano en su mentón, como si hubiera algo que no pudiera entender."
,"Cuando la llamé, ella volvió en sí."
Ushiromiya Jessica,"""Aah... lo siento. Bueno... la verdad... me preguntaba si sería posible que María se hubiera encontrado realmente con {f:5:Beatrice}."""
Ushiromiya Battler,"""... ¿A qué te refieres? ¿Estás diciendo que hay una 19.ª persona en esta isla?"""
Ushiromiya George,"""Si creemos con el corazón lo que dijo María-chan, entonces llegamos a esa respuesta."""
Ushiromiya Jessica,"""No, no es a eso a lo que me refiero... Hablo sobre la historia de que alguien que no conocemos vive en esta isla desde hace mucho tiempo."""
Ushiromiya Battler,"""Viviendo, dices. ¿Dónde?"""
Ushiromiya Jessica,"""... En el bosque."""
,"Los adultos estaban reunidos en el comedor, pasando un rato muy largo continuando la discusión que había iniciado la carta de {f:5:Beatrice}..."
,"Krauss afirmó rotundamente que la carta era una simple broma, pero no pudo refutar la afirmación de que el hecho de que Kinzo no negara la carta era respuesta suficiente."
,"A juzgar por el carácter de Kinzo, si supiese que otra persona ha escrito una carta en su nombre, se pondría furioso."
,"Como todos los hermanos sabían eso, Krauss no tuvo más remedio que retractarse de sus palabras."
,"Sin siquiera tener que resumirlo, el contenido de la carta era simple."
,La persona que resolviera el epitafio de la bruja obtendría el liderazgo y los bienes.
,"Esto perjudicó mucho a Krauss, quien había estado seguro de que recibiría el liderazgo, y para todos los demás, que se dieron por vencidos hace tiempo, fue una noticia mejor de lo que jamás hubieran podido esperar."
,"Sin embargo, habían algunos puntos que les preocupaban."
,"""La persona que resolviera el epitafio"" no se limitaba a un miembro de la familia Ushiromiya."
,"Literalmente cualquiera, sin importar cuán dudoso fuese su origen, podría recibir la herencia de la familia Ushiromiya."
,"Y además, esto significaba que existía la posibilidad de que todos los bienes de la familia Ushiromiya fueran robados por algún desconocido."
,"En ese sentido, definitivamente no era una situación en la que se pudiera bajar la guardia, ni siquiera los hermanos que no fueran Krauss."
,¿Había venido esta carta de un saboteador enviado por Kinzo que se hacía llamar a sí mismo {f:5:Beatrice}?... ¿O se trataba del plan de algún desconocido que intentaba robar la riqueza de la familia Ushiromiya? Ellos aún no sabían la verdad.
,... Pero podían decir una cosa son seguridad.
,"María había recibido esa problemática carta... hoy, en esta isla."
,"En otras palabras, alguien que planeaba algo relacionado con esa carta estaba hoy en esta isla."
,"... ¿Fue esa persona enviada por Kinzo? ¿Fue enviada por uno de los cuatro hermanos? ¿O tal vez, es una persona desconocida?"
,"Por mucho que sospecharan los unos de los otros, no llegaban a ninguna conclusión."
,"Después de cansarse de discutir entre ellos, finalmente llegaron a la conclusión extremadamente obvia de que dudar el uno del otro no era más que una pérdida de tiempo..."
Ushiromiya Krauss,"""... No vamos a ningún lado. Solo hemos estado dando vueltas en círculos."""
Ushiromiya Eva,"""Así es. Ahora que te has dado cuenta, no tenemos tiempo que perder."""
Ushiromiya Natsuhi,"""No sabemos con seguridad si fue padre quien envió la carta. Mi esposo está harto de que no puedas mantener una conversación."""
Ushiromiya Eva,"""¿Quién de nosotros no puede mantener una conversación? Tú eres la que sigue interrumpiéndome cada vez que digo algo. ¿De verdad piensas que un comportamiento tan vergonzoso es propio de un miembro de la familia Ushiromiya?"""
