Speaker,Arabic (AR)
,ﻛﺎﻥ ﺍﻟﻤﺆﺗﻤﺮ ﺍﻟﻌﺎﺋﻠﻲ ﺍﻟﺬﻱ ﻳُﻌﻘﺪ ﻓﻲ ﻓﺼﻞ ﺍﻟﺨﺮﻳﻒ ﺑﺸﻬﺮ ﺃﻛﺘﻮﺑﺮ ﻫﻮ ﺍﻟﺤﺪﺙ ﺍﻷﺑﺮﺯ ﻟﻌﺎﺋﻠﺔ ﺃﻭﺷﻴﺮﻭﻣﻴﺎ، ﻭﻟﻜﻦ ﺑﺎﻟﻨﺴﺒﺔ ﻟﺠﻴﺴﻴﻜﺎ، ﻛﺎﻥ ﻫﻨﺎﻙ ﺣﺪﺙ ﺁﺧﺮ ﻳﺴﺒﻘﻪ: ﺍﻟﻤﻬﺮﺟﺎﻥ ﺍﻟﺜﻘﺎﻓﻲ ﻟﻠﻤﺪﺭﺳﺔ.
,ﻛﺎﻧﺖ ﺟﻴﺴﻴﻜﺎ ﺗﺤﺐ ﺍﻟﻤﺪﺭﺳﺔ، ﺇﺫ ﻛﺎﻧﺖ ﺗﻤﺜﻞ ﻟﻬﺎ ﻣﻼﺫًﺍ ﺗﺴﺘﻄﻴﻊ ﻓﻴﻪ ﺍﻟﺘﺨﻠﺺ ﻣﻦ ﺍﻟﺘﻮﺗﺮ ﺍﻟﺬﻱ ﺗﺮﺍﻛﻢ ﺩﺍﺧﻠﻬﺎ ﺑﺴﺒﺐ ﻧﻤﻂ ﺍﻟﺤﻴﺎﺓ ﺍﻟﺼﺎﺭﻡ ﺍﻟﺬﻱ ﻓُﺮﺽ ﻋﻠﻴﻬﺎ ﻓﻲ ﺍﻟﻤﻨﺰﻝ.
,ﺃﻣﺎ ﺍﻟﻴﻮﻡ، ﻓﻘﺪ ﻛﻮّﻧﺖ ﻓﺮﻗﺔ ﻣﻮﺳﻴﻘﻴﺔ ﻣﻊ ﺻﺪﻳﻘﺎﺗﻬﺎ، ﻭﻛﺎﻥ ﻣﻦ ﺍﻟﻤﻘﺮﺭ ﺃﻥ ﻳﻘﺪﻣﻮﺍ ﻋﺮﺿًﺎ ﻟﻤﻮﺳﻴﻘﻰ ﺍﻟﺒﻮﺏ-ﺭﻭﻙ ﺑﺄﺳﻠﻮﺏ ﻏﻴﺮ ﺭﺳﻤﻲ ﻋﻠﻰ ﺧﺸﺒﺔ ﻣﺴﺮﺡ ﻣﺆﻗﺖ.
,ﻟﻘﺪ ﺍﺳﺘﻌﺪﺕ ﻟﻬﺬﺍ ﺍﻟﻴﻮﻡ ﻃﻮﻳﻼً، ﻭﺗﺪﺭﺑﺖ ﻣﺮﺍﺭًﺍ ﻭﺗﻜﺮﺍﺭًﺍ، ﻭﻛﺎﻧﺖ ﻣﺘﺤﻤﺴﺔ ﻟﻪ ﻟﻠﻐﺎﻳﺔ، ......ﺇﻻ ﺃﻥ ﻫﻨﺎﻙ ﺃﻣﺮًﺍ ﻭﺍﺣﺪًﺍ ﻛﺎﻥ ﻳﻘﻠﻘﻬﺎ.
,ﻧﻈﺮﺕ ﺇﻟﻰ ﺍﻟﺴﺎﻋﺔ. ...ﻻ ﻳﺰﺍﻝ ﻫﻨﺎﻙ ﺑﻌﺾ ﺍﻟﻮﻗﺖ، ...ﻟﻜﻦ ﺍﻟﻘﻠﻖ ﻟﻢ ﻳﻔﺎﺭﻗﻬﺎ.
,ﻫﻞ ﺳﻴﺄﺗﻲ ﺣﻘًﺎ؟
,ﻭﻗﺒﻞ ﺃﻥ ﺗﺘﻤﻜﻦ ﻣﻦ ﺇﻃﻼﻕ ﺗﻨﻬﻴﺪﺓ ﺗُﺨﻔﻒ ﻣﻦ ﺗﻮﺗﺮﻫﺎ، ﻗﻔﺰ ﻗﻠﺒﻬﺎ ﻓﺠﺄﺓ ﻋﻨﺪﻣﺎ ﻋﻠﺖ ﺃﺻﻮﺍﺕ ﺻﺪﻳﻘﺎﺗﻬﺎ ﺑﺎﻟﻬﺘﺎﻑ ﻭﺍﻟﺼﻴﺎﺡ.
,"""ﻻ ﻳُﺼﺪﻕ! ﺣﺒﻴﺐ ﻫﻴﻨﺎ ﻭﺳﻴﻴﻴﻢ ﺟﺪًﺍ!!"""""
,"""ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟!"" ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟!"""
,"""ﺭﻳﻦ، ﺻﺪﻳﻘﻚ ﻳﺒﺪﻭ ﺫﻛﻴًﺎ ﻟﻠﻐﺎﻳﺔ! ﺇﺫﻥ ﻓﻬﻮ ﻣﻦ ﺍﻟﻨﻮﻉ ﺍﻟﺼﺎﺭﻡ ﻣﻊ ﻧﻈﺎﺭﺍﺕ؟! ﻫﻞ ﻫﺬﺍ ﺣﻘﻴﻘﻲ؟!"""
,"""ﻻﺍﺍ، ﺣﺒﻴﺒﻲ ﻣﻦ ﺍﻟﻨﻮﻉ ﺍﻟﺸﻘﻲّ!"""
,"""""""*ﻗﻬﻘﻬﺔ*{p:0:♪} *ﻗﻬﻘﻬﺔ*{p:0:♪}"""""""
,......ﻟﻴﺲ ﻣﻦ ﺍﻟﻀﺮﻭﺭﻱ ﺃﻥ ﺗﻜﻮﻥ ﺟﻤﻴﻊ ﺍﻟﻔﺘﻴﺎﺕ ﻫﻜﺬﺍ، ...ﻟﻜﻦ ﻓﻲ ﻣﺪﺭﺳﺔ ﺟﻴﺴﻴﻜﺎ، ﻛﺎﻥ ﺍﻟﻤﻬﺮﺟﺎﻥ ﺍﻟﺜﻘﺎﻓﻲ ﺃﺷﺒﻪ ﺑﺈﺳﺘﻌﺮﺍﺽ ﻟﻠﻌﻼﻗﺎﺕ ﺍﻟﻌﺎﻃﻔﻴﺔ.
,"ﻟﻢ ﻳﻜﻦ ﻟﺪﻯ ﺟﻴﺴﻴﻜﺎ ﺣﺒﻴﺐ.{n}ﻛﺎﻥ ﻟﺪﻳﻬﺎ ﺍﻟﻌﺪﻳﺪ ﻣﻦ ﺍﻷﺻﺪﻗﺎﺀ ﻣﻦ ﺍﻟﺠﻨﺲ ﺍﻵﺧﺮ، ﻭﻟﻜﻦ ﻟﻢ ﻳﻜﻦ ﻟﺪﻳﻬﺎ ﺫﻟﻚ ""ﺍﻟﺸﺨﺺ ﺍﻟﻤﻤﻴﺰ""."
,...ﻟﻜﻨﻬﺎ ﻛﺎﻧﺖ ﻣﻌﺮﻭﻓﺔ ﺑﻌﺾ ﺍﻟﺸﻲﺀ ﻓﻲ ﺍﻟﻤﺪﺭﺳﺔ، ﻭﺍﻟﺠﻤﻴﻊ ﻛﺎﻥ ﻳﺘﻮﻗﻊ ﻣﻨﻬﺎ ﺑﺸﻜﻞ ﻃﺒﻴﻌﻲ ﺃﻥ ﻳﻜﻮﻥ ﻟﺪﻳﻬﺎ ﺷﺮﻳﻚ ﻣﻨﺎﺳﺐ.
,ﻭﻣﺎ ﺯﺍﺩ ﺍﻷﻣﺮ ﺳﻮﺀًﺍ، ﺃﻥ ﻛﺒﺮﻳﺎﺀﻫﺎ ﺃﺟﺒﺮﻫﺎ ﻋﻠﻰ ﺍﻟﺘﻈﺎﻫﺮ ﺑﺬﻟﻚ.
,ﻇﻠﺖ ﺗﺘﻤﻠﺺ ﻣﻦ ﺍﻷﺳﺌﻠﺔ ﻭﺗُﺒﻘﻲ ﻋﻠﻰ ﻫﺬﻩ ﺍﻟﻜﺬﺑﺔ ﻟﺴﻨﻮﺍﺕ،
,...ﻟﻜﻦ ﻟﺴﺒﺐ ﻣﺎ، ﻟﻢ ﺗﺴﺘﻄﻊ ﺍﻟﻔﺮﺍﺭ ﻣﻦ ﻣﻬﺮﺟﺎﻥ ﻫﺬﻩ ﺍﻟﺴﻨﺔ...
,"""ﺟﻴﺴﻲ~، ﺃﻳﻦ ﺣﺒﻴﺒﻚ؟"""
Ushiromiya Jessica,"""ﻫـﻪ..؟! ﺁﻩ،ﺁﻩ، ﻻ، ﻟﻢ ﻳﺼﻞ ﺑﻌﺪ. ﺭﺑﻤﺎ ﻣﺸﻐﻮﻝ ﺑﺎﻟﻌﻤﻞ؟  ﺁﻫﻬﺎﻫﺎﻫﺎﻫﺎ..."""
,"""ﺃﻱ ﻧﻮﻉ ﻣﻦ ﺍﻟﺮﺟﺎﻝ ﻫﻮ ﺣﺒﻴﺒﻚِ، ﺟﻴﺴﻲ؟ ﺃﻋﻄﻴﻨﺎ ﺗﻠﻤﻴﺤًﺎ ﻋﻠﻰ ﺍﻷﻗﻞ!"" ""ﻣﺎ ﻧﻮﻋﻪ؟ ""ﻣﺎ ﻧﻮﻋﻪ؟"""
,"""ﺭﺍﺋﻊ! ﺇﻧﻪ ﺭﺟﻞ ﻳﻌﻤﻞ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟ ﻫﻞ ﺳﻴﺄﺗﻲ ﻣﺮﺗﺪﻳًﺎ ﺑﺪﻟﺔ؟ ﻻ ﺷﻚ ﺃﻧﻪ ﻳﺮﺗﺪﻱ ﻧﻈﺎﺭﺍﺕ، ﺻﺤﻴﺢ؟!"" ﻛﻴﻴﻴﻴﺎﺍﺍﺍﺍﺍ!!!"""
,"""ﻟﻜﻦ ﺍﻧﺘﻈﺮﻱ، ﺃﻧﺖِ ﻻ ﺗﻤﻠﻜﻴﻦ ﺣﺒﻴﺒًﺎ ﺣﻘًﺎ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟ ﺇﻥ ﺍﻋﺘﺮﻓﺖِ ﺍﻵﻥ، ﺳﺄﺟﻌﻠﻚِ ﺗﻨﻀﻤﻴﻦ ﺇﻟﻲّ! ﻟﻨُﻐﺮﻕ ﻫﺬﺍ ﺍﻟﻤﻬﺮﺟﺎﻥ ﺑﺎﻟﺪﻣﻮﻭﻭﻉ!"""
Ushiromiya Jessica,"""....ﻛﻼ، ﻛﻼ، ﻟﺪﻱ، ﻟﺪﻱ، ﺃﻗﺴﻢ ﺃﻧﻪ ﻟﺪﻱ ﻭﺍﺣﺪ!"" ﺁﻫﻬﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎ...!!"""
,ﺿﺤﻜﺖ ﺟﻴﺴﻴﻜﺎ ﺑﺘﻮﺗﺮ، ﺑﻴﻨﻤﺎ ﻳﺘﺼﺒﺒﺎ ﺍﻟﻌﺮﻕ ﺍﻟﺒﺎﺭﺩ ﻣﻨﻬﺎ. ﻟﻢ ﻳﻜﻦ ﻭﺍﺿﺤًﺎ ﺇﻥ ﻛﺎﻧﺖ ﻗﺪ ﻧﺠﺤﺖ ﻓﻲ ﺧﺪﺍﻉ ﺻﺪﻳﻘﺎﺗﻬﺎ ﺍﻟﺤﺬﻗﺎﺕ...
Shannon,"""ﺣﺴﻨًﺎ، ﻟﻤﺎ ﻻ ﺗﺠﻠﺒﻴﻦ ﺣﺒﻴﺒًﺎ ﻣﺰﻳﻔًﺎ ﻭﺗﺬﻫﺒﻴﻦ ﺑﻪ؟"""
Ushiromiya Jessica,"""ﺡ-ﺣﺒﻴﺐ ﻣﺰﻳﻒ؟! ﻡ-ﻣﻦ...؟! ﻻ ﺃﺳﺘﻄﻴﻊ ﺍﻟﺘﻔﻜﻴﺮ ﻓﻲ ﺃﺣﺪ!"""
,ﺃﺩﻫﺸﻬﺎ ﺍﻗﺘﺮﺍﺡ ﺷﺎﻧﻮﻥ،
,ﻟﻜﻨﻪ ﺑﺪﺍ ﺃﻛﺜﺮ ﻭﺍﻗﻌﻴﺔ ﻣﻦ ﻣﺤﺎﻭﻟﺔ ﺍﻟﻌﺜﻮﺭ ﻋﻠﻰ ﺣﺒﻴﺐ ﺣﻘﻴﻘﻲ ﻗﺒﻞ ﺍﻟﻤﻬﺮﺟﺎﻥ.
Shannon,"""ﻋﻠﻰ ﺳﺒﻴﻞ ﺍﻟﻤﺜﺎﻝ، ......ﻣﺎﺫﺍ ﻋﻦ ﻛﺎﻧﻮﻥ-ﻛﻦ؟"""
Ushiromiya Jessica,"""ﻙ-ﻙ-ﻛﺎﺍﺍﺍﺍﺍﺍﺍﻧﻮﻥ-ﻛﻦ؟!"" ﻻﺍﺍﺍﺍ، ﻣﺴﺘﺤﻴﻞ ﺗﻤﺎﻣًﺎ! ﺛﻢ ﺇﻧﻪ ﺳﻴﻜﻮﻥ ﻣﺸﻐﻮﻻً ﻳﻮﻡ ﺍﻟﻤﻬﺮﺟﺎﻥ—""ﻻ ﺃﺭﻳﺪ ﺇﺯﻋﺎﺟﻪ ﺃﻭ ﺷﻲﺀ ﻣﻦ ﻫﺬﺍ ﺍﻟﻘﺒﻴﻞ..."""
Shannon,"""ﺑﺎﻟﻄﺒﻊ، ﻟﻘﺪ ﺗﺤﻘﻘﺖُ ﻣﺴﺒﻘًﺎ ﻣﻦ ﺍﻟﺠﺪﻭﻝ. ""ﻛﺎﻧﻮﻥ-ﻛﻦ ﻟﺪﻳﻪ ﺇﺟﺎﺯﺓ ﺫﻟﻚ ﺍﻟﻴﻮﻡ."""
Ushiromiya Jessica,"""ﻝ-ﻟﻤﺎﺫﺍ... ﻳﻈﻬﺮُ ﺩﻫﺎﺅﻙِ ﻓﻲ ﻣﺜﻞ ﻫﺬﻩ ﺍﻟﻤﻮﺍﻗﻒ...! ﻭﻟﻜﻦ ﻻ! ﺇﻥ ﻛﺎﻥ ﻳﻮﻡَ ﻋﻄﻠﺘِﻪ ﻓﺬﻟﻚ ﺃﺳﻮﺃ... ﻻ ﻳﻤﻜﻨﻨﻲ ﺣﺮﻣﺎﻧﻪ ﻣﻦ ﻳﻮﻡ ﻋﻄﻠﺘﻪ ﺍﻟﺜﻤﻴﻦ ﻟﻜﻲ ﺃﺭﺿﻲ ﻛﺒﺮﻳﺎﺋﻲ ﻭﺣﺴﺐ!"""
Shannon,"""ﺇﻥ ﻟﻢ ﻳُﺠﺒﺮ ﻛﺎﻧﻮﻥ-ﻛﻦ ﻋﻠﻰ ﺍﻟﺨﺮﻭﺝ، ﻓﺴﻴﻈﻞ ﺩﺍﺋﻤًﺎ ﻣﻨﻄﻮﻳًﺎ ﻋﻠﻰ ﻧﻔﺴﻪ. ""ﺃﻋﺘﻘﺪ ﺃﻥ ﺇﺧﺮﺍﺟﻪ ﺳﻴﻜﻮﻥ ﻣﻔﻴﺪًﺍ ﻟﻪ."""
Ushiromiya Jessica,"""ﺃ-ﺃﺣﻘًﺎ ﺗﻌﺘﻘﺪﻳﻦ ﺫﻟﻚ؟ ...ﻻ، ﻟﻜﻦ، ...ﺳﻴﻜﻮﻥ ﻫﺬﺍ ﻟﺌﻴﻤًﺎ ﺑﺤﻖ ﻛﺎﻧﻮﻥ-ﻛﻦ..."""
Shannon,"""ﺇﺫﻥ، ﻳﺒﺪﻭ ﺃﻧﻚِ ﻻﺗﻤﺘﻠﻜﻴﻦ ﺧﻴﺎﺭﺍﺕٍ ﺍﺧﺮﻯ... ﻟﻤﺎﺫﺍ ﻻ ﺗﻌﺘﺮﻓﻴﻦ ﻟﻠﺠﻤﻴﻊ ﺑﺒﺴﺎﻃﺔ ﺃﻧﻚِ ﺑﻼ ﺣﺒﻴﺐ؟"""
Shannon,"""ﺃﻭﻩ، ﻧﻌﻢ، ﻧﻌﻢ، ﻗﺪ ﻳﻜﻮﻥ ﺫﻟﻚ ﻣﺤﺮﺟًﺎ، ﻟﻜﻦ ﻋﻠﻴﻚِ ﻓﻘﻂ ﺗﺤﻤﻞ ﺫﻟﻚ ﺍﻟﻮﻗﺖ ﺍﻟﻘﺼﻴﻴﻴﺮ ﺍﻟﻄﻮﻳﻞ ﺟﺪًﺍ... ﺣﺘﻰ ﺍﻟﺘﺨﺮﺝ. ﻓﺒﺎﻟﻨﺴﺒﺔ ﻟﻠﻌﺸﺎﻕ، ﻻ ﻳﻮﺟﺪ ﺷﻲﺀ ﺃﺣﻠﻰ ﻣﻦ ﺭﺅﻳﺔ ﺃﻋﺰﺏٍ ﻳﺘﺠﺮﻉ ﻣﺮﺍﺭﺓ ﺍﻟﻮﺣﺪﺓ! {p:0:☆}"""
Ushiromiya Jessica,"""ﺷﺎﺍﺍﺍﺍﺍﺍﻧﻮﻥ~!! ﺃﻧﺖِ ﻻ ﺗﻔﻌﻠﻴﻦ ﻫﺬﺍ ﺑﺪﺍﻋﻲ ﺍﻟﻘﻠﻖ ﻋﻠﻲ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟! ﺃﻧﺖِ ﻓﻘﻂ ﺗﺴﺘﻬﺰﺋﻴﻦ ﺑﻴﻴﻴﻴﻴﻲ!!"
,ﺑﺪﺃﺕ ﺟﻴﺴﻴﻜﺎ ﺗﺼﺎﺭﻉ ﺷﺎﻧﻮﻥ ﺑﻌﻴﻮﻥ ﺩﺍﻣﻌﺔ.{n}ﻟﻜﻦ ﺷﺎﻧﻮﻥ ﻟﻢ ﺗﺄﺑﻪ، ﺑﻞ ﺿﺤﻜﺖ ﺑﻀﺤﻜﺘﻬﺎ ﺍﻟﻤﻌﺘﺎﺩﺓ.
Shannon,"""ﻧﻌﻢ، ﻫﺬﺍ ﺍﻧﺘﻘﺎﻡ ﺑﺴﻴﻂ ﻷﻧﻚِ ﺗﺴﺨﺮﻳﻦ ﻣﻨﻲ ﻭﻣﻦ ﺟﻮﺭﺝ-ﺳﺎﻣﺎ ﻃﻮﺍﻝ ﺍﻟﻮﻗﺖ."""
,ﻋﻨﺪ ﺳﻤﺎﻉ ﺫﻟﻚ، ﺍﺭﺗﻤﺖ ﺟﻴﺴﻴﻜﺎ ﻋﻠﻰ ﺳﺮﻳﺮﻫﺎ، ﺗﺤﺘﻀﻦ ﻭﺳﺎﺩﺗﻬﺎ ﻭﺗﺘﻠﻮﻯ ﻣﻦ ﺍﻹﺣﺮﺍﺝ.
,ﻛﺎﻧﺖ ﺍﺑﺘﺴﺎﻣﺔ ﺷﺎﻧﻮﻥ ﺍﻟﻤﻨﺘﺼﺮﺓ ﻣﺴﺘﻔﺰﺓ ﻟﻠﻐﺎﻳﺔ، ﻟﻜﻨﻬﺎ ﻛﺎﻧﺖ ﺍﻟﻮﺣﻴﺪﺓ ﺍﻟﺘﻲ ﻳﻤﻜﻦ ﻟﺠﻴﺴﻴﻜﺎ ﺍﻟﺘﺤﺪﺙ ﻣﻌﻬﺎ ﺑﺼﺮﺍﺣﺔ. ﺃﻣﺎ ﺳﺤﻘﻬﺎ ﺑﺎﻟﻮﺳﺎﺩﺓ، ﻓﺴﻴﺄﺗﻲ ﻻﺣﻘًﺎ.
Shannon,"""ﻟﻤﺎﺫﺍ ﻻ ﺗﻔﻜﺮﻳﻦ ﻓﻲ ﺍﻷﻣﺮ ﻳﺎ ﺁﻧﺴﺘﻲ؟ ﺇﻧﻪ ﻣﻬﺮﺟﺎﻥ ﺛﻘﺎﻓﻲ، ﻟﻜﻨﻪ ﺃﻳﻀًﺎ ﻓﺮﺻﺔ ﺟﻴﺪﺓ ﻟﻘﻀﺎﺀ ﻭﻗﺖ ﻣﻤﺘﻊ ﻣﻊ ﻛﺎﻧﻮﻥ-ﻛﻦ."""
