Speaker,Arabic (AR)
Ushiromiya Battler,""".......ﻛﺎﻥ ﻋﻠﻴﻨﺎ ﺃﻥ ﻧﺬﻫﺐ ﺑﺎﻟﻘﺎﺭﺏ.......ﺍﻟﻘﺎﺭﺏ..."""
Ushiromiya Maria,"""ﺳﻘﻮﻭﻭﻭﻁ! ﺳﻘﻮﻭﻭﻭﻁ! ﺃﻭﻭ-ﺃﻭﻭ-ﺃﻭﻭ-ﺃﻭﻭ!"""
Ushiromiya Rosa,"""ﻣﺎﺭﻳﺎ، ﻫﺬﺍ ﻳﻜﻔﻲ!"""
Ushiromiya Rosa,"""..........ﻭﻟﻜﻦ ﻳﺎﻟﻬﺎ ﻣﻦ ﻣﻔﺎﺟﺄﺓ. ﻇﻨﻨﺖ ﺃﻥ ﻻ ﺷﻲﺀ ﻳﻤﻜﻦ ﺃﻥ ﻳﺨﻴﻒ ﺑﺎﺗﻠﺮ-ﻛﻦ."""
Ushiromiya Rudolf,"""ﻫﺬﺍ ﺍﻟﺸﺨﺺ ﻻ ﻳﺴﺘﻄﻴﻊ ﺍﻟﺘﻌﺎﻣﻞ ﻣﻊ ﺍﻟﻤﺮﻛﺒﺎﺕ ﻟﺴﺒﺐ ﻣﺎ. ﻳﻈﻞ ﻳﺼﺮﺥ ﺩﺍﺋﻤﺎ ﺣﻮﻝ ﺍﺣﺘﻤﺎﻟﻴﺔ ﺍﻟﺴﻘﻮﻁ ﺃﻭ ﺍﻟﻐﺮﻕ ﻭﻫﺬﻩ ﺍﻷﻣﻮﺭ. ﻟﻤﻦ ﺍﻟﺨﺰﻱ ﻛﻮﻧﻚ ﺭﺟﻞ."""
Ushiromiya Battler,""".........ﺁﻩ، ﺃﺻﻤﺖ. ﻛﺎﻧﺖ ﺗﻠﻚ ﺍﻟﻄﺎﺋﺮﺓ ﺗﻬﺘﺰ ﻃﻮﺍﻝ ﺍﻟﺮﺣﻠﺔ ﻋﻠﻰ ﻧﺤﻮ ﺧﻄﻴﺮ... ﻟﻘﺪ ﺷﻌﺮﺕ ﺑﺎﻟﺘﻮﺗﺮ ﻗﻠﻴﻼ، ﻛﺎﻧﺖ ﺗﻠﻚ ﺍﻟﻤﺮﺓ ﺍﻷﻭﻟﻰ ﺍﻟﺘﻲ ﺃﺳﺎﻓﺮ ﺑﻬﺎ ﻋﻠﻰ ﻣﺘﻦ ﻃﺎﺋﺮﺓ ﺻﻐﻴﺮﺓ ﻣﻦ ﻫﺬﺍ ﺍﻟﻘﺒﻴﻞ..."""
Ushiromiya Eva,"ﺃﺗﺴﻤﻲ ﺫﻟﻚ ‘ﺗﻮﺗﺮﺍ ﻗﻠﻴﻼ‘؟ ﻫﺎﻫﺎﻫﺎ، ﻳﺒﺪﻭ ﺃﻧﻪ ﺳﻴﻜﻮﻥ ﻣﻦ ﺍﻟﻤﻤﺘﻊ ﻗﻀﺎﺀ ﻋﻄﻠﺔ ﻓﻲ ﺍﻟﺨﺎﺭﺝ ﻣﻌﻚ ﻳﺎ ﺑﺎﺗﻠﺮ-ﻛﻦ. ﺃﺗﺮﻏﺐ ﺑﺄﻥ ﺗﺬﻫﺐ ﺇﻟﻰ ﻣﺼﺮ ﺑﺮﻓﻘﺔ ﻋﻤﺘﻚ؟ ﺃﺗﻮﺩ ﺭﻛﻮﺏ ﻃﺎﺋﺮﺓ ﻟﻤﺪﺓ ﺃﺭﺑﻌﺔ ﻋﺸﺮ ﺳﺎﻋﺔ ﻛﺎﻣﻠﺔ؟"""
Ushiromiya Kyrie,"""ﺃﻫﺎﻫﺎﻫﺎﻫﺎﻩ! ﺗﻠﻚ ﺧﻄﺔ ﺭﺍﺋﻌﺔ. ﺑﺎﺗﻠﺮ-ﻛﻦ، ﻳﻨﺒﻐﻲ ﻋﻠﻴﻚ ﺃﻥ ﺗﺪﻉ ﻋﻤﺘﻚ ﺇﻳﻔﺎ ﺗﻘﻮﻳﻚ ﺑﻌﺾ ﺍﻟﺸﻲﺀ. ﻭﻟﻜﻦ، ﻛﺎﻥ ﺫﻟﻚ ﻣﻀﺤﻜﺎ ﺟﺪﺍ. ﺃﻫﺎ ﻫﺎ ﻫﺎ ﻫﺎ!!"""
Ushiromiya Hideyoshi,"""ﻭﻫﺎﻫﺎﻫﺎﻫﺎ، ﺣﺴﻨﺎ، ﺣﺴﻨﺎ. ﻛﻞ ﺷﺨﺺ ﻳﻤﺘﻠﻚ ﻧﻘﺎﻁ ﻗﻮﺓ ﻭﺿﻌﻒ ﺧﺎﺻﺔ ﺑﻪ. ﻟﻴﺲ ﻣﻦ ﺍﻟﺠﻴﺪ ﺍﻟﻀﺤﻚ ﻋﻠﻴﻬﻢ. ﻭﻫﺎﻫﺎﻫﺎﻫﺎ...!"""
Ushiromiya George,"""ﺃ، ﺃﺑﻲ، ﺃﻧﺖ ﺗﻀﺤﻚ ﺃﻳﻀﺎ. ﻣﺎﺭﻳﺎ-ﺗﺸﺎﻥ، ﺗﻮﻗﻔﻲ ﻋﻦ ﺍﻟﻀﺤﻚ ﺃﻧﺖ ﺃﻳﻀﺎ."""
Ushiromiya Maria,"""ﺃﺗﻮﻗﻒ ﻋﻦ ﺍﻟﻀﺤﻚ؟ ﺃﻭﻭ-!"""
,ﺁﺁﺁﻩ، ﺳﺤﻘﺎ! ﻫﻞ ﺍﻟﺨﻮﻑ ﻣﻦ ﺍﻟﻄﺎﺋﺮﺍﺕ ﺃﻣﺮ ﻣﻬﻢ؟ {n}ﻣﻦ ﺍﻟﻮﺍﺿﺢ ﺃﻥ ﺍﻟﺠﻤﻴﻊ ﻳﻌﺘﻘﺪﻭﻥ ﺍﻵﻥ ﺃﻧﻨﻲ ﺁﺑﻠﻪ ﻛﺒﻴﺮ.... ﺗﺸﺶ!
,ﺍﻧﻔﺼﻠﻨﺎ ﻋﻦ ﺑﻌﻀﻨﺎ ﻭﺍﺳﺘﻘﻠﻴﻨﺎ ﺳﻴﺎﺭﺍﺕ ﺃﺟﺮﺓ ﻣﻦ ﺍﻟﻤﻄﺎﺭ ﺇﻟﻰ ﺍﻟﻤﻴﻨﺎﺀ.{n}ﻣﻦ ﻫﻨﺎﻙ، ﺳﻨﺄﺧﺬ ﻗﺎﺭﺑﺎ ﺇﻟﻰ ﺍﻟﺠﺰﻳﺮﺓ.
,ﺗﻘﻊ ﺍﻟﺠﺰﺭ ﻋﻠﻰ ﻣﻘﺮﺑﺔ ﻣﻦ ﺑﻌﻀﻬﻢ، ﻟﺬﺍ ﻟﻦ ﺗﺴﺘﻐﺮﻕ ﺍﻟﺮﺣﻠﺔ ﺍﻟﻜﺜﻴﺮ ﻣﻦ ﺍﻟﻮﻗﺖ.{n}ﻳﺴﺘﻐﺮﻕ ﺍﻟﻄﺮﻳﻖ ﺛﻼﺛﻴﻦ ﺩﻗﻴﻘﺔ ﺇﻟﻰ ﺍﻟﺠﺰﻳﺮﺓ ﻋﻦ ﻃﺮﻳﻖ ﺍﻟﻘﺎﺭﺏ.
,ﺑﻌﺪ ﺃﻥ ﻭﺻﻠﻨﺎ ﺇﻟﻰ ﺍﻟﺮﺻﻴﻒ ﺍﻟﺬﻱ ﻳﺮﺳﻮ ﻓﻴﻪ ﺍﻟﻘﺎﺭﺏ ﺍﻟﻤﺘﺠﻪ ﺇﻟﻰ ﺍﻟﺠﺰﻳﺮﺓ، ﺭﺃﻳﻨﺎ ﻣﻦ ﺑﻌﻴﺪ ﻇﻞ ﻳﻠﻮﺡ ﺑﻴﺪﻩ.
Ushiromiya Jessica,"""ﺃﺧﻴﻴﻴﻴﻲ ﺟﻮﻭﻭﻭﺭﺝ! ﻣﻀﺖ ﻣﺪﺓ ﻃﻮﻳﻠﺔ ﻟﻠﻐﺎﻳﺔ!"""
Ushiromiya George,"""ﺁﻩ، ﺟﻴﺴﻴﻜﺎ-ﺗﺸﺎﻥ، ﻟﻘﺪ ﻣﺮﺕ ﺳﻨﺔ ﻛﺎﻣﻠﺔ ﻣﻨﺬ ﺃﻥ ﺭﺃﻳﺘﻚ ﺁﺧﺮ ﻣﺮﺓ! ﺍﺯﺩﺍﺩ ﻃﻮﻟﻚ ﻣﺠﺪﺩﺍ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟"""
