Speaker,Spanish (ES)
Ushiromiya George,"""... Erika-chan, ¿eh? Es una chica extraña... Por alguna razón, pareciera que no puedo llevarme bien con los jóvenes últimamente."""
Shannon,"""*risita* Usted sigue siendo bastante joven, George-san."""
Ushiromiya George,"""Jajaja... Supongo que es porque siempre he sido el mayor entre los primos... Siempre me hizo pensar que ya no soy joven."""
,"George y Shannon se encontraban en el lluvioso jardín de rosas.{n}Aunque seguía lloviendo a cántaros, no había mucho viento."
,La pequeña protección que ofrecía la pérgola era más que suficiente para albergar el encuentro secreto entre los amantes.
,"Después de aquella pelea con Erika, decidieron jugar un rato a las cartas para calmarse."
,"Cuando terminaron, Shannon regresó a la habitación de los sirvientes... y poco después de eso, George dejó su habitación para encontrarse con Shannon a la hora que habían acordado."
Shannon,"""Creo que a los jóvenes de una edad como la de Erika-san les es difícil aceptarse a sí mismos."""
Ushiromiya George,"""... Sí, cierto. A esa edad, la mayoría de los jóvenes están determinados a librarse del cascarón de la infancia que lo rompen a picotazos en todas las direcciones. Cuando salgan, finalmente serán libres para extender sus alas y volar alto... Yo también era así. Cuando seguía dentro del cascarón, era un hombre débil y deplorable que no merecía ningún respeto."""
Shannon,"""E-Eso no es verdad..."""
Ushiromiya George,"""No, está bien. Me doy cuenta. En ese entonces, puede que fuese el mayor de los primos, pero seguía siendo un tipo perezoso y sin remedio... Y no era solo con los primos. En casa, en la escuela... era así en todos lados."""
,... Odiaba ser así.
,Quería romper el cascarón y convertirme en un adulto espléndido como madre y padre.
Shannon,"""Pero al final... usted rompió el cascarón, George-sama... Siempre que nos volvíamos a ver en estos últimos años, usted había crecido al punto de que no podía reconocerlo."""
Ushiromiya George,"""Gracias."""
Shannon,"""... ¿Hubo algo que lo hizo tomar esa decisión?"""
Ushiromiya George,"""¿La de romper mi cascarón?"""
Shannon,"""Sí... No puedo creer que haya crecido tan rápido, como una mariposa saliendo de su crisálida, solo deambulando, sin un objetivo... Pensé que habría algún momento decisivo que hizo que se volviera tan determinado."""
Ushiromiya George,"""... Me enamoré de ti, y crecí gracias al poder del amor... es lo que te he dicho siempre. Jaja... pero la verdad, el momento decisivo fue una emoción mucho más negativa."""
Shannon,"""No puede ser... Es difícil creer que alguien como usted, que siempre está alegre y animado, pueda tener emociones negativas."""
Ushiromiya George,"""Bueno... mis padres me enseñaron cómo tratar bien a una chica. Y creí que había tenido éxito al vivir de esa forma."""
Shannon,"""Sí. De verdad pienso que es un maravilloso caballero..."""
Ushiromiya George,"""Pero estaba equivocado."""
Shannon,"""¿...?"""
Ushiromiya George,"""No sabía cómo interactuar con el sexo opuesto. Las deificaba demasiado... y aunque siempre me comportaba de forma caballerosa, a la ""las damas primero"", lo más probable es que simplemente tuviera miedo de interactuar con chicas."""
,"Por supuesto, George quería rodearse de chicas tanto como cualquier chico."
,"Sin embargo, no sabía cómo interactuar con ellas. Quería actuar como un caballero, evadir el rechazo por parte de ellas, y cuidarlas."
,"De aquellos sentimientos, solo las palabras ""trata bien a una chica"" tomaron precedencia, convirtiéndose en un inconsciente miedo a las mujeres..."
Ushiromiya George,"""Algunos dicen que ese tipo de hombres son ""caballerosos"" o ""maduros""... Ridículo. Solo era un cobarde. Por ello es que comencé a preguntarme por qué, si era tan caballeroso, no podía conseguir una novia, y al final, llegué a la conclusión de que ninguna mujer en el mundo tenía buen gusto, y estúpidamente comencé a odiarlas a todas... Eso es un hombre verdaderamente patético."""
,¿Hace cuántos años me di cuenta? Probablemente cuando estaba en la secundaria.
,"En ese momento, asumía que, como era obvio que yo era el más caballeroso de los primos, sin duda debía ser el más popular entre las mujeres."
,"Sin embargo, la realidad era muy distinta."
,En la escuela no tenía remedio alguno.
,"... Lejos de ser un líder, era el chico al que todos molestaban y pasaban por encima."
,"En ese tiempo, pensaba que era un hombre adaptable y capaz, que podía estar en perfecta armonía con su entorno... Qué estúpido."
,"Está bien, pude ganar algo de confianza de las chicas."
,"... Sin embargo, no solo ninguna de ellas quería ser mi novia, sino que a muy pocas de ellas podía siquiera llamarlas amigas."
Ushiromiya George,"""Por supuesto que... siempre estuve tras las chicas, bajo el pretexto de ""las damas primero"". ¿Quién querría apoyar a un hombre tan negativo y sin motivaciones?... Es gracioso. Ni siquiera me daba cuenta: pensaba que era un tipo muy atractivo."""
Shannon,"""... Puedo entender de alguna manera cómo se sentía... Hacer mucho esfuerzo para que el sexo opuesto encuentre a uno atractivo, no necesariamente funciona como estaba planeado."""
Ushiromiya George,"""¿Oh?... ¿También te pasó a ti, Shannon?"""
Shannon,"""Por supuesto... Una vez, realmente quería que un chico pusiera sus ojos en mí, así que intenté ponerme maquillaje, aunque no sabía cómo y fue vergonzoso... Ejeje, recuerdo un montón de fallas vergonzosas."""
Ushiromiya George,"""La persona que hizo que finalmente hizo que dejara atrás mi arrogancia y me abrió los ojos... fuiste tú, Shannon... No, fueron ustedes dos."""
Shannon,"""... ¿Cuál fue el momento decisivo para usted, George-san?"""
Ushiromiya George,"""Jaja... envidia, probablemente."""
Shannon,"""Eso fue inesperado... ¿Pero envidia por qué?"""
Ushiromiya George,"""Los vi a ti y a Battler-kun pasándola bien al hablar... Eso me hizo envidiarlos."""
Shannon,"""... ¿Battler-sama... y yo?"""
,"Shannon buscó rápidamente entre sus recuerdos, intentando encontrar alguna conversación que hubiese podido poner celoso a George."
Ushiromiya George,"""Jaja, lo más probable es que para ustedes fuera insignificante. Sin embargo, de cualquier forma me puso celoso... No quiero que Battler oiga nunca lo que voy a decir ahora. ¿Prometes que no se lo dirás?"""
Shannon,"""P-Por supuesto..."""
Ushiromiya George,"""... Va a ser una confesión vergonzosa... De todas formas, quiero que la escuches. Quiero que me respondas esta noche... pero solo después de que también veas mi lado malo."""
Shannon,"""... De acuerdo... Cuénteme."""
,"Con una sonrisa, pero con la mirada seria, Shannon asintió."
,Esta noche... Ella sabía lo que él iba a preguntarle.
,"George tenía el derecho de confesar antes de hacer aquella sagrada pregunta, y Shannon tenía el deber de escuchar."
,Shannon entendía... así que escuchó en silencio.
Ushiromiya Ange,"""¿Así que esto es lo que una Bruja de la Expectación hace en su tiempo libre, espiar?"""
{f:5:Featherine},"""... Las historias de amor realmente son eternas. Nunca me canso de ellas... Sin embargo, sí que es adorable esa expresión de virgen indignada que tienes..."""
,{f:5:Featherine} rió en voz baja.
,"Ange resopló y desvió la mirada, pero rápidamente se dio cuenta que esto entretendría a {f:5:Featherine} aún más, así que intentó actuar con indiferencia..."
Ushiromiya George,"""Battler-kun y Jessica-chan siempre han sido enérgicos... No, si lo expreso de esta manera solo estaría evadiendo el punto... Seré sincero."""
,"George miró donde debería estar la luna, por encima de las nubes de lluvia... y comenzó a hablar."
,"Eran palabras honestas, dichas desde su dócil corazón..."
Ushiromiya George,"""... En ese entonces y por mucho tiempo, pensé que Battler-kun y Jessica-chan eran niños maleducados... No, seré más directo... Pensaba que hasta la manera en la que hablaban era vulgar. Es cierto. No me molestará si me desprecias por ello."""
Shannon,"""No lo hago... La gente puede pensar lo que quiera dentro de su corazón. De hecho, creo que es admirable que no deje que lo que siente se vea en el exterior."""
Ushiromiya George,"""Gracias... Despreciaba a esos dos en secreto. Era tan engreído que realmente pensaba que rebosaba en encanto de caballero a comparación de ellos."""
,Estaba en esa edad en que pareciera que necesitas tener novia para ser un hombre de verdad.
,Realmente pensaba que no había mujer que no fuera a apreciar a un caballero que las trataba tan bien como yo.
,Así que realmente creía que las chicas que conocía se sentían atraídas por mí.
Ushiromiya George,"""Pensaba que Battler-kun y Jessica-chan, quienes siempre bromeaban y hablaban de manera poco educada y vulgar, nunca serían capaces de conseguir pareja... Quizás usé ese argumento para consolarme al todavía no poder conseguir una novia."
Ushiromiya George,"... Era un estúpido. Ellos no eran inferiores a mí, para nada. Yo era el inferior, con mi adoración y temor al sexo opuesto, los cuales escondía bajo la excusa de 'las damas primero'."""
{f:5:Featherine},"""Battler y Jessica siempre han tenido esa personalidad. Es verdad, ellos eran poco educados y no se puede decir que sean caballeroso o femenina, respectivamente... Sin embargo, ellos sí tenían el poder de interactuar con otros sin importar el sexo... De hecho, se podría decir que ese era su encanto."""
Ushiromiya Ange,"""... Entiendo un poco. Las personas como Onii-chan y Jessica onee-chan pueden llevarse bien con cualquiera sin importar si son chicos o chicas... Detesto decirlo, pero encuentro a los chicos que son demasiado educados como George onii-chan... un poco tétricos... Son como vírgenes que hacen demasiado esfuerzo o algo así..."""
{f:5:Featherine},"""La gente respeta cuando las personas de las que no son muy amigos son aburridos o inofensivos. Sin embargo, lo que les gusta de esas personas es que no les estorban... Ningún humano querría pasar el rato con una persona aburrida."""
