Speaker,Spanish (ES)
,El mundo se iluminó...
,No era un resplandor blanco... Era un color dorado de lo más brillante.
,Ahí... estaba el hermoso jardín de rosas de la familia Ushiromiya.
,"Sin embargo, todas las rosas del jardín eran doradas."
,... El néctar también era de un color dorado. Las mariposas que se reunían allí también eran doradas.
,... Esta es... la Tierra Dorada...
,La tierra prometida a la que las brujas del Mariage Sorcière han sido guiadas finalmente...
,"Ahí, todos los sueños se cumplen, y toda la magia y los sueños nacen."
,... En ese jardín de rosas doradas... estaban dos... y solo dos... brujas.
,"Por mi aparición inesperada, la atmósfera temblaba de inquietud."
,... Ante ellas estaba un viento de infortunio que sacudió las rosas doradas.
,La increíblemente bella escena formada por los pétalos de rosas doradas esparcidos por el viento... sin duda no era algo que perteneciera a este mundo...
,"Las dos que habían estado dando un paseo por un camino de rosas doradas se percataron de mi presencia, y se sorprendieron."
Ushiromiya Maria,"""... ¿Ange?... ¡¡Beato, es Ange!!..."""
{f:5:Beatrice},"""... ¿Cómo llegaste aquí?... Déjanos solas. Ya no invito a nadie a este lugar."""
,Beato habló con frialdad... Se veía como alguien completamente diferente de la mujer audaz y burlona que había sido una vez.
,"Había cerrado su corazón, y se había encerrado a sí misma en un mundo en el cuál solo estaban ella y María onee-chan."
,"Un mundo en el que podría seguir siendo amiga de María onee-chan para siempre, hablando sobre magia mientras toman té."
,"... Nadie las apresuraba, y nada las detenía."
,Un mundo donde no existía nadie que pudiese herirlas.
,"Sí, para ellas dos, era un pequeño y completo universo..."
Ushiromiya Ange,"""... Lo siento... No puedo dejar que te encierres en este lugar. El juego no continuará a menos que vuelvas..."""
{f:5:Beatrice},"""Dije que estaba cansada de esto. No volveré más al juego."""
Ushiromiya Maria,"""... Beato siempre estará aquí con María. ¡Tomaremos el té aquí juntas, y pensaremos en muchas maneras de jugar!... Tú también puedes jugar con nosotras, Ange."""
{f:5:Beatrice},"""... {f:5:María}. Decidimos no hacerlo. Estoy satisfecha siempre y cuando te tenga a ti. Dime que tú también estás satisfecha mientras me tengas a mí."""
Ushiromiya Maria,"""... Sí... Gracias. La única persona que necesita tanto a María eres tú, Beato. Así que, estaré contigo. Solo nosotras dos es suficiente."""
{f:5:Beatrice},"""... {f:5:María}... gracias... estoy muy agradecida..."""
,"Beato abrazó con fuerza a María, creando un pequeño, amable universo entre sus brazos entrelazados..."
,"... Probablemente fue el nacimiento del universo más pequeño de todos.{n}... El universo más pequeño de todos, el cual dos personas que se necesitaban mutuamente podrían crear..."
,"No importa qué tan pequeño fuese, era un mundo completo.{n}... Pero tengo que destrozarlo.{n}..."
Ushiromiya Ange,"""... Lo siento... pero no puedo dejar que esto siga así. Vine a destruir esta pequeña Tierra Dorada del Mariage Sorcière."""
{f:5:Beatrice},"""... ¿Por qué... destruirías... mi mundo?... ¡¿A quién más le ha causado problemas este mundo, aparte de a nosotras?!..."""
Ushiromiya Ange,"""¡Este juego que empezaste, y luego abandonaste sin terminar, está haciendo que Onii-chan se quede esperando para siempre! ¡¡Si no regresas a tu asiento, el juego nunca terminará!!..."""
{f:5:Beatrice},"""... ¡Jajajajaja... ja! Ya no queda ni un solo jugador en ese juego. Battler desapareció, y yo vine aquí y desaparecí también. Ese juego ya acabó."""
Ushiromiya Ange,"""¡No se ha acabado! Tú comenzaste el juego, ¡¡¿cierto?!! ¡Hazte responsable y participa hasta el final!"""
Ushiromiya Ange,"""¡¡O derrotas a Battler, y das nacimiento al mundo que realmente deseabas, o eres derrotada y liberas todo lo tragado por tu magia!! ¡¡Hazte responsable hasta el final!!"""
Ushiromiya Maria,"""... No, Ange. Beato pasará su tiempo en este mundo, sola junto a María durante toda la eternidad... Y María tampoco necesita nada más, mientras tenga a Beato... Aquí todos los deseos se cumplen. Todo está aquí."""
,... Esta Tierra Dorada está hecha de nada más que la cristalización de los pensamientos de María onee-chan y {f:5:Beatrice}.
,... Para sacar a Beato de este mundo... tendré que... destruirlo....
,"... Destruiré esta Tierra Dorada, la cual debe ser el último mundo pacífico para {f:5:Beatrice}..."
Ushiromiya Ange,"""Onee‐chan. Te equivocas. Esta Tierra Dorada es una mentira. No te ha concedido el único deseo que realmente querías que se hiciera realidad."""
Ushiromiya Maria,"""... ¡¡Eso no es cierto!! ¡Aquí todo está concedido! ¡¡Mira, incluso hay una mamá buena aquí!!"""
,"Mariposas doradas se reunieron detrás de María, formando una amable y sonriente tía Rosa."
,"... Y después de sonreírme dulcemente, se convirtió lentamente en pétalos dorados y se desmoronó."
Ushiromiya Maria,"""Aquí, todo puede crearse. ¡¡Incluso a Ange, a Battler, a George onii-chan, a Jessica onee-chan!!... ¡¡Puedes invocarlos cuantas veces quieras, y todos son amables!!... ¡¡Ven tú también, Ange, juguemos juntas!!"""
,"... Lo siento, Onee‐chan..."
Ushiromiya Ange,"""¿Y qué hay de Sakutaro?..."""
Ushiromiya Maria,"""...—"""
,"Al oír el nombre de Sakutaro, parecía que Onee-chan se ahogaba."
{f:5:Beatrice},"""Detente... No digas ese nombre..."""
,La expresión de Beato también cambió.{n}Y abrazó a María como si quisiera protegerla.
,... El nombre de Sakutaro seguía siendo algo prohibido para Onee-chan.
Ushiromiya Ange,"""¿Por qué no puedo decirlo? Es el nombre del mejor amigo de María onee-chan."""
Ushiromiya Ange,"""... ¿Por qué no invitas a ese amigo tan cercano a esta maravillosa Tierra Dorada? ¿Por qué, en esta Tierra Dorada donde todos los deseos se hacen realidad, Sakutaro es el único al que no puedes invocar?"""
{f:5:Beatrice},"""E-Eso es porque... Está bien, {f:5:María}. No tienes por qué recordarlo."""
Ushiromiya Maria,"""... ¡¡¡¡Sakutaro fue asesinado por mamá!!!!"""
,María onee-chan enfureció con una terrible expresión en su cara.
,"Sorprendidas por esa voz, las mariposas de todo el jardín huyeron... volando como un tifón de pétalos de flores."
Ushiromiya Ange,"""Sí, lo sé. ¡¡La tía Rosa... tomó a tu querido muñeco de peluche Sakutaro, y lo hizo pedazos!!..."""
Ushiromiya Maria,"""¡¡¡Gyaaaaaaaaaaaaaaaaaaaaaaaaaaaaahhhhhh!!!"""
,El grito de María se convirtió en una tormenta que violentamente dispersó las hojas y pétalos dorados.
,Fue una auténtica tormenta de oro.
{f:5:Beatrice},"""¡¡Para!!... ¡¡¡Para para para!!!... ¡¿Por qué intentas reabrir la cicatriz en el corazón de {f:5:María}?!... ¡¡No profanes el sueño de este amigo tan apreciado para María y para mí!!..."""
Ushiromiya Ange,"""En ese caso, ¿por qué no revives a ese apreciado amigo para ella con tu magia?"""
{f:5:Beatrice},"""¡¡Lo haría si pudiera!!... ¡Pero ese peluche era un objeto creado por la propia Rosa! El significado mágico de ese objeto único siendo destrozado es—"""
