Speaker,Arabic (AR)
,ﺑﻌﺪﻣﺎ ﺃﻧﻬﻰ ﻗﻴﻨﺠﻲ ﺗﻨﺎﻭﻝ ﻭﺟﺒﺘﻪ ﺍﻟﻤﺘﺄﺧﺮﺓ، ﺧﺮﺝ ﻟﻠﻘﻴﺎﻡ ﺑﺠﻮﻟﺘﻪ ﺍﻟﻠﻴﻠﻴﺔ ﺩﺍﺧﻞ ﺍﻟﻘﺼﺮ.
,ﺃﻋﺎﺩ ﺗﺴﺨﻴﻦ ﺍﻟﺤﺴﺎﺀ ﺍﻟﺬﻱ ﺣﻀّﺮﻩ ﻗﻮﺩﺍ ﻣﻦ ﻗﺒﻞ، ﻭﺃﻛﻞ ﺑﻌﺾ ﺑﻘﺎﻳﺎ ﺍﻟﻄﻌﺎﻡ ﺍﻟﻌﺸﻮﺍﺋﻴﺔ ﻣﻦ ﺍﻟﺜﻼﺟﺔ.
,ﻛﺎﻧﺖ ﺟﻤﻴﻌﻬﺎ ﻣﻦ ﺇﻋﺪﺍﺩ ﻗﻮﺩﺍ ﻧﻔﺴﻪ، ﻭﺑﺎﻟﻄﺒﻊ، ﻛﺎﻧﺖ ﻟﺬﻳﺬﺓ.
,ﻛﺎﻥ ﻗﺪ ﺫﻫﺐ ﺑﻨﺼﻒ ﺍﻫﺘﻤﺎﻡ ﻟﻴﺴﺄﻝ ﺭﻭﺯﺍ ﻭﺍﻟﺒﻘﻴﺔ ﻋﻤﺎ ﺳﻴﻔﻌﻠﻮﻧﻪ ﺑﺸﺄﻥ ﺍﻟﻌﺸﺎﺀ، ﻟﻜﻦ ﻛﻞ ﻣﺎ ﺗﻠﻘﺎﻩ ﻛﺎﻥ ﺻﻮﺗًﺎ ﻏﺎﺿﺒًﺎ ﻳﺼﺮﺥ ﺑﺄﻥ ﻟﺪﻳﻬﻢ ﻃﻌﺎﻣًﺎ ﻣﻌﻠﺒًﺎ ﻭﺃﻧﻬﻢ ﺑﺨﻴﺮ، ﻭﻟﻢ ﻳﻜﻠﻔﻮﺍ ﺃﻧﻔﺴﻬﻢ ﺣﺘﻰ ﻋﻨﺎﺀ ﻓﺘﺢ ﺍﻟﺒﺎﺏ ﻟﻪ.
,......ﺑﺸﻜﻞ ﺳﺎﺧﺮ، ﻛﺎﻥ ﺍﻟﺨﺎﺩﻡ ﻗﻴﻨﺠﻲ ﻫﻮ ﺍﻟﻮﺣﻴﺪ ﺍﻟﺬﻱ ﺗﻤﻜﻦ ﻣﻦ ﺗﻨﺎﻭﻝ ﺃﻓﻀﻞ ﻭﺟﺒﺔ...
,ﻭﻟﻜﻦ، ﺭﻏﻢ ﻛﻞ ﺍﻟﺠﺮﺍﺋﻢ ﺍﻟﺘﻲ ﻭﻗﻌﺖ، ﻭﺭﻏﻢ ﺃﻥ ﺍﺷﺨﺎﺻًﺎ ﻋﺪﺓ ﻟﻘﻮﺍ ﺣﺘﻔﻬﻢ ﺑﻄﺮﻕ ﻭﺣﺸﻴﺔ، ......ﻟﻤﺎﺫﺍ ﻟﻢ ﻳﻜﻦ ﻗﻴﻨﺠﻲ ﺧﺎﺋﻔًﺎ ﻣﻦ ﺍﻟﺘﺠﻮﻝ ﻭﺣﻴﺪًﺍ؟
,...ﺑﺎﻟﻨﻈﺮ ﺇﻟﻰ ﻫﻴﺌﺘﻪ ﻭﻫﻮ ﻳﺆﺩﻱ ﻣﻬﺎﻣﻪ ﺍﻟﻤﻌﺘﺎﺩﺓ ﺩﻭﻥ ﺃﺩﻧﻰ ﺃﺛﺮ ﻟﻠﺨﻮﻑ، ﻭﻛﺄﻥ ﺷﻴﺌًﺎ ﻟﻢ ﻳﺤﺪﺙ، ﻗﺪ ﻳﺨﺎﻝ ﻟﻚ ﺃﻥ ﻛﻞ ﺍﻟﻔﻈﺎﺋﻊ ﺍﻟﺘﻲ ﻭﻗﻌﺖ ﺍﻟﻴﻮﻡ ﻟﻢ ﺗﻜﻦ ﺳﻮﻯ ﺣﻠﻢٍ ﺃﻭ ﻭﻫﻢ.
,ﻫﻞ ﻛﺎﻥ ﻳﻨﻈﺮ ﺇﻟﻰ ﺍﻷﻣﻮﺭ ﺑﻤﻨﻈﻮﺭ ﻓﻠﺴﻔﻲ، ﺃﻡ ﺃﻧﻪ ﺑﺒﺴﺎﻃﺔ ﻗﺪ ﺍﺳﺘﺴﻠﻢ ﻟﻤﺼﻴﺮﻩ؟
,ﻻ ﺑﺪ ﺃﻥ ﻗﻴﻨﺠﻲ ﻛﺎﻥ ﻳﺮﻯ ﺃﻥ ﺗﻨﻔﻴﺬ ﻭﺍﺟﺒﻪ ﺣﺘﻰ ﺍﻟﻠﺤﻈﺔ ﺍﻷﺧﻴﺮﺓ ﻫﻮ ﻓﻀﻴﻠﺔ، ﻓﻤﺎ ﺩﺍﻡ ﺍﻟﻤﺼﻴﺮ ﺍﻟﺬﻱ ﻳﻨﺘﻈﺮﻩ ﻟﻢ ﻳﻜﻦ ﻗﺎﺑﻼً ﻟﻠﺘﻐﻴﻴﺮ، ﻟﻢ ﻳﻜﻦ ﻫﻨﺎﻙ ﺧﻴﺎﺭ ﺳﻮﻯ ﺍﻟﻤﻀﻲ ﻗﺪﻣًﺎ ﺑﻼ ﺗﺮﺩﺩ.
,ﻭﺭﺑﻤﺎ، ﻛﺎﻥ ﻣﻦ ﺍﻟﻤﺴﺘﺤﻴﻞ ﺇﻟﻰ ﺍﻷﺑﺪ ﺇﺩﺭﺍﻙ ﻣﺎﻓﻲ ﺃﻋﻤﺎﻗﻪ، ﻣﺎ ﻟﻢ ﻳﻘﺮﺭ ﻫﻮ ﻧﻔﺴﻪ ﺍﻟﺒﻮﺡ ﺑﻬﺎ...
