Speaker,Arabic (AR)
Shannon,"""ﺍﻧﻈﺮ، ﺟﻮﺭﺝ-ﺳﺎﻣﺎ! ﻣﺎ ﺃﻇﺮﻓﻬﺎ، ﺍﻧﻈﺮ، ﺍﻧﻈﺮ!"""
,ﺃﺷﺎﺭﺕ ﺷﺎﻧﻮﻥ ﺇﻟﻰ ﻗﺮﺷﻴﻦ ﻣﻦ ﻓﺼﻴﻠﺔ ﺃﺑﻲ ﻣﻄﺮﻗﺔ ﻳﻤﺮﺣﺎﻥ ﻓﻲ ﺍﻟﺤﻮﺽ، ﻭﺃﺑﺪﺕ ﺗﻌﺠﺒﻬﺎ ﺑﺼﺨﺐ ﻛﻄﻔﻠﺔ.
Ushiromiya George,"""ﻧﻌﻢ، ﻳﺎ ﻟﻈﺮﺍﻓﺘﻬﺎ. ﺃﻛﺎﺩ ﺃﺭﻳﺪ ﺃﻛﻠﻬﺎ."""
Shannon,"""ﻟﻜﻨﺖ، ﻟﻜﻨﺖ ﺣﺰﻧﺖ ﻋﻠﻴﻬﺎ... ﻫﻞ ﺗﻌﻠﻢ? ﺳﻤﻌﺖ ﺃﻻ ﺃﺣﺪ ﺳﻮﻯ ﺍﻟﻴﺎﺑﺎﻧﻴﻴﻦ ﻳﺰﻭﺭ ﺣﻮﺽ ﺍﻟﺴﻤﻚ ﻟﻴﻘﻮﻝ ﻛﻢ ﺗﺒﺪﻭ ﻟﺬﻳﺬﺓ"""
Ushiromiya George,"""ﺃﺣﻘﺎ? ...ﺃﻧﺎ ﻭﺍﺛﻖ ﻣﻦ ﺣﺐ ﺍﻷﻣﺮﻳﻜﻴﻴﻦ ﻭﺍﻹﻳﻄﺎﻟﻴﻴﻦ ﻷﻛﻠﻬﺎ."""
Shannon,"""...ﻫﺎﻩ، ...ﺍﻣﻢ......ﻫﺬﺍ..."""
Ushiromiya George,"""ﻫﺬﻩ ﺍﻟﺜﻴﺎﺏ ﺗﻠﻴﻖ ﺑﻚ. ﺟﺪﺍ."""
,ﻗﺒﻀﺖ ﺷﺎﻧﻮﻥ ﺻﺪﺭﻫﺎ ﺑﻴﺪﻳﻬﺎ ﺧﺠﻼ.{n}...ﻟﻌﻠﻬﺎ ﺷﻌﺮﺕ ﺑﺎﻟﺴﺨﺮﻳﺔ ﻻﺭﺗﺪﺍﺋﻬﺎ ﻣﻼﺑﺲ ﻏﻴﺮ ﻣﺴﺒﻮﻗﺔ ﻟﻬﺎ.
,ﻓﻲ ﺍﻟﺤﻘﻴﻘﺔ، ﺣﺘﻰ ﺟﻮﺭﺝ ﻟﻢ ﻳﺘﻮﻗﻊ ﺗﻔﻮﻩ ﺷﻔﺘﻴﻪ ﺑﻬﺬﺍ ﺍﻟﻜﻼﻡ ﺍﻟﻤﻌﺴﻮﻝ، ﻭﺃﺧﻔﻰ ﺣﺮﺟﺎ ﻛﺤﺮﺝ ﺷﺎﻧﻮﻥ ﻓﻲ ﺻﺪﺭﻩ.
,ﻭﻟﻜﻦ ﺭﺅﻳﺘﻪ ﻟﺨﺠﻞ ﺷﺎﻧﻮﻥ، ﺟﻌﻠﺘﻪ ﻳﺸﻌﺮ ﺑﻤﻤﺎﺯﺣﺔ ﻓﺘﺎﺓ ﻳﻬﻮﺍﻫﺎ، ﻭﺑﺪﻻ ﻣﻦ ﺍﻟﺤﺮﺝ، ﺷﻌﺮ ﺑﻤﺮﺡ ﻟﻄﻴﻒ ﻳﻐﻤﺮﻩ.
,......ﻣﻬﻼ، ﻫﺬﺍ ﻟﻴﺲ ﻣﺠﺮﺩ ﺷﻌﻮﺭ.{n}...ﺃﻧﺎ ﺣﻘﺎ ﺃﻣﺎﺯﺡ ﻓﺘﺎﺓ ﺃﻫﻮﺍﻫﺎ.
,ﻳﺆﻟﻤﻨﻲ ﺍﻻﻋﺘﺮﺍﻑ، ......ﻟﻜﻨﻲ ﻇﻨﻨﺖ ﻫﺬﻩ ﺍﻟﺘﻌﺎﺑﻴﺮ ﺍﻟﻤﺤﺮﺟﺔ ﻓﺎﺕ ﺃﻭﺍﻧﻬﺎ ﺣﺘﻰ ﻟﻢ ﺗﻌﺪ ﺗﻈﻬﺮ ﻓﻲ ﺍﻟﻤﺎﻧﻐﺎ.
,ﻋﻠﻰ ﺍﻟﻨﻘﻴﺾ، ﻟﻮ ﺭﺃﻳﺖ ﻋﺎﺷﻘﻴﻦ ﻳﻔﻌﻼﻥ ﻛﻬﺬﺍ، ﻟﻮﺩﺩﺕ ﺭﻣﻴﻬﻤﺎ ﺑﺤﺠﺎﺭﺓ.
,ﺃﻣﺎ ﺍﻵﻥ، ﻓﺤﺘﻰ ﻟﻮ ﺭﻣﻴﺖ ﻋﻠﻴﻨﺎ ﺍﻟﺤﺠﺎﺭﺓ ﻟﺤﺴﺒﻨﺎﻫﺎ ﻗﺼﺎﺻﺎﺕ ﻣﻠﻮﻧﺔ ﺗﺤﺘﻔﻞ ﺑﻨﺎ.
,ﻻ ﺃﺳﺘﻄﻴﻊ ﺣﺘﻰ ﺗﺬﻛﺮ ﺃﻳﺎﻡ ﺍﻟﻮﺣﺪﺓ ﺗﻠﻚ...ﺣﻴﻦ ﻛﺎﻥ ﺍﻟﻌﺸﺎﻕ ﺍﻟﻐﺎﻓﻠﻮﻥ ﻋﻦ ﻣﺤﻴﻄﻬﻢ ﻳﺜﻴﺮﻭﻥ ﻏﻴﻈﻲ.
,ﺑﻌﺒﺎﺭﺓ ﻋﺘﻴﻘﺔ، ﺃﻋﻴﺶ ﺃﻳﺎﻡ ﺍﻟﻮﺭﺩ...
,ﺳﺤﺮﺕ ﺣﺘﻰ ﺷﺮﺩﺕ ﻋﻦ ﺍﻟﺤﻮﺽ ﺍﻟﻌﻈﻴﻢ، ﻓﻲ ﺃﺿﺨﻢ ﺣﻮﺽ ﺳﻤﻚ ﻓﻲ ﺍﻟﻌﺎﻟﻢ.
,ﺑﺪﻻ ﻣﻦ ﺫﻟﻚ، ﻟﻢ ﺃﺭ ﺳﻮﻯ ﺷﺎﻧﻮﻥ ﺗﻤﺮﺡ ﻣﻊ ﺍﻷﺳﻤﺎﻙ، ﺭﺍﺳﻤﺔ ﻣﺸﺎﻋﺮ ﻣﺘﻨﻮﻋﺔ ﻋﻠﻰ ﻭﺟﻬﻬﺎ.
Shannon,"""...ﻣﺬﻫﻞ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ......? ﻟﻢ ﺃﺭ ﻓﻲ ﺣﻴﺎﺗﻲ ﺣﻮﺿﺎ ﺿﺨﻤﺎ ﺗﺴﺒﺢ ﻓﻴﻪ ﺍﻟﺤﻴﺘﺎﻥ."""
Ushiromiya George,"""ﺳﻤﻌﺖ ﺑﺸﺪﺓ ﺭﻭﺍﺝ ﻫﺬﺍ ﺍﻟﺤﻮﺽ ﻟﻠﺰﻭﺍﺭ. ﻭﺃﻧﻪ ﺍﻷﺿﺨﻢ ﻓﻲ ﺍﻟﻌﺎﻟﻢ ﻛﻠﻪ."""
Shannon,"""ﺃﻫﻮ ﻛﺬﻟﻚ? ﻫﺬﺍ ﻣﺬﻫﻞ. ......ﺇﻧﻪ ﻋﺠﻴﺐ ﺣﻘﺎ. ﻟﻴﺲ ﻛﺤﻮﺽ ﺇﻃﻼﻗﺎ، ﻭﻛﺄﻧﻬﻢ ﻗﻄﻌﻮﺍ ﺷﻄﺮﺍ ﻣﻦ ﺍﻟﺒﺤﺮ ﺑﺎﻟﺴﻜﻴﻦ ﻭﺟﻠﺒﻮﻩ."""
Ushiromiya George,"""ﻫﻮ ﻛﻤﺎ ﻗﻠﺖ. ﺑﺤﺮ ﺻﻐﻴﺮ ﺧﻼﺏ."""
,ﺭﻏﻢ ﺳﻌﺔ ﺍﻟﺤﻮﺽ، ﻟﻢ ﺃﺗﺨﻴﻠﻪ ﺃﻛﺜﺮ ﻣﻦ ﻣﺠﺮﺩ ﺣﻮﺽ.
,ﻟﺬﺍ ﺭﺃﻳﺖ ﺗﻌﺒﻴﺮﻫﺎ ﻋﻦ ﻛﻮﻧﻪ ﺷﻄﺮﺍ ﻣﻦ ﺍﻟﺒﺤﺮ ﻣﺪﻫﺸﺎ.
,ﻣﻬﻤﺎ ﻳﺨﺘﺒﺮ ﺍﻟﻤﺮﺀ، ﻓﻠﻦ ﻳﺪﺭﻙ ﺳﻮﻯ ﻣﻨﻈﻮﺭﻩ ﻭﺣﺪﻩ. ﻟﻌﻞ ﻫﺬﺍ ﻣﺎ ﻳﺠﻌﻞ ﺍﻻﺣﺘﻜﺎﻙ ﺑﻤﻦ ﻳﺨﺘﻠﻒ ﻋﻨﻚ ﻣﺜﻴﺮﺍ ﻟﻼﻫﺘﻤﺎﻡ.
,ﺻﺎﺭﺣﺘﻬﺎ ﺑﺬﻟﻚ.{n}ﻓﺄﺟﺎﺑﺖ:
Shannon,"""ﻻ ﺷﻚ ﺃﻧﻪ ﻟﻴﺲ ﺑﺤﻘﻴﻘﻲ. ...ﻭﻟﻜﻦ، ﻟﻮ ﺻﺪﻗﺖ ﻫﺬﻩ ﺍﻟﻤﺨﻠﻮﻗﺎﺕ ﺍﻟﺼﻐﻴﺮﺓ ﻫﻨﺎ ﺃﻧﻪ ﺑﺤﺮ، ﻓﻬﻮ ﺑﺎﻟﺘﺄﻛﻴﺪ ﺑﺤﺮ."""
Ushiromiya George,"""ﺭﻏﻢ ﻛﻮﻧﻬﻢ ﻓﻲ ﺣﻮﺽ ﻣﺤﺪﻭﺩ؟"""
