Speaker,Spanish (ES)
,La conferencia familiar Ushiromiya era llevada a cabo una vez al año.{n}Tomaba lugar el primer fin de semana de octubre.
,"Si una familia normal utilizara un nombre pretencioso como ""conferencia familiar"", uno esperaría que no fuese más que una reunión de familiares que se ven en contadas ocasiones rodeados de montones de sushi."
,"Sin embargo, ya que a los hijos y hermanos se les había prestado una gran fortuna, en la familia Ushiromiya, que solo consideraba adultos a los que triunfaban en los negocios, literalmente era una conferencia."
,¿Qué porcentaje de la fortuna fue invertido? ¿Qué tipo de negocios se llevaron a cabo? ¿Cuánto se ganó?
,"¿Y como resultado, qué porcentaje puede ser reembolsado a la fortuna principal de la familia?{n}O, tal vez, ¿cuánto debe ser prestado para futuras empresas del negocio?{n}¿Qué lecciones se han aprendido, y qué se puede aprender de sus errores?"
,Parece que asuntos como estos habían sido hablados con gran seriedad en el pasado.
,Mi padre lo comparó con una cama de clavos.
,"Al parecer, solía ser una reunión familiar muy seria y solemne, bañada por el sonido de las voces llenas de ira. Incluso en un buen año, no era extraño que alguien fuera abofeteado."
,"Sin embargo, eso es cosa del pasado."
,"Ahora que todos tienen sus propios negocios y persiguen el éxito por su cuenta, se ha convertido en un simple encuentro anual."
,"Aun así, que el abuelo les preguntara sobre cómo iban las cosas provocaba una cantidad significativa de estrés, así que mientras para nosotros los nietos no era más que una simple reunión, para nuestros padres seguía siendo un auténtico dolor de estómago."
,"Supongo que, dado que el líder estaba ausente por diversas razones, el día de hoy el almuerzo sabía incluso más delicioso."
,"Y eso hace que la frase ""mientras el demonio no esté aquí, cada uno puede relajarse"" se me pase por la mente."
,"Pues bien, aunque han pasado seis años desde la última vez que vi su cara, permítanme presentar al padre de Jessica."
,"El hombre sentado a la izquierda de mi padre es su hermano mayor y el padre de Jessica, mi tío Krauss ({p:0:蔵臼})."
,Este nombre es fácil de leer. Krauss.
,"Ya que todos tienen nombres extraños, nuestra idea de cómo han de ser los nombres debe estar bastante retorcida, así que Krauss en realidad no parece tan malo. He empezado a pensar que su nombre es genial..."
,"Al igual que con la tía Natsuhi, no tengo muchos recuerdos de haber hablado con el tío Krauss."
,"No era muy de pasar el rato con los niños, y tengo la impresión de que siempre estaba hablando con otros adultos, al igual que la tía Natsuhi."
,"De los chismes que me dio mi padre, parece ser que él era una persona bastante rencorosa e irracional."
,"Si lo que dijo mi padre es cierto, solía ostentar una posición muy dominante como el mayor de los hermanos, y era odiado por la tía Eva, tía Rosa, y el resto de la familia."
,"Teniendo eso en cuenta, es extraño verlo tener una charla bastante amistosa con el resto de la familia, ¿no?"
,"Oh, bueno. Aunque no se llevaran muy bien cuando eran niños, a veces, cuando las personas crecen y sus caminos se separan, sus relaciones cambian."
,"Sí, creo que es eso."
,"Después de todo, todos tienen niños de aproximadamente la misma edad."
,"Al compartir el mismo entorno familiar, es probable que se aprovechen del intercambio de opiniones."
,"Tal vez debido a esto, hace poco el círculo de padres comenzó a hablar de los exámenes de Jessica y los míos."
,"Jessica, tratando de huir de la discusión de los exámenes con mi padre sentado en su izquierda, comenzó a disparar una serie rápida de comentarios mientras miraba a su derecha a propósito, en un intento de no mostrar sus puntos débiles."
,"Bueno, echemos un vistazo al extremo opuesto del tío Krauss y los demás."
,"En el último asiento de la mesa, había un caballeroso anciano con un aspecto robusto sentado en frente de Kyrie‐san. La verdad es que nunca antes le había visto."
,"Acaban de presentármelo, pero al parecer es el médico personal del abuelo, un hombre llamado Nanjo ({p:0:南條})."
,"Tengo entendido que poseía una enorme clínica en la isla cercana Niijima, pero se la entregó a su hijo y ahora vive una vida de ocio en su vejez."
,"Ha conocido al abuelo desde que se construyó la mansión en esta isla, y llevan cultivando su relación desde hace varias décadas."
,"Supuse que compartiría las extrañas aficiones del abuelo, pero sorprendentemente, parece ser que no es más que su rival de ajedrez."
,"Ya veo. Este tipo de pasatiempo parece adecuado para nuestro abuelo, tan amante de todo lo occidental."
,"Se podría decir que es la única persona que puede entrar en Rokkenjima sin ser ni un miembro de la familia, ni un sirviente."
,Da la impresión de ser un calmado y caballeroso anciano mientras escucha la conversación de Kyrie y las otras mujeres.
,"Viendo que ha permanecido tanto tiempo junto al abuelo, su gran corazón no es nada de lo que uno pueda burlarse."
,"Sin embargo, incluso si él es el médico familiar, que alguien externo a la familia Ushiromiya asistiera a la conferencia era un poco extraño."
,"Por esto, supuse que la condición del abuelo había empeorado mucho, y esto puede haberse hecho uno de los principales temas de discusión..."
,George‐aniki estaba diciendo lo mismo.{n}Ya hace alrededor de un año que llegaban informes asegurando que al abuelo le quedaba muy poco tiempo de vida.
,"Por repugnante que esto resulte, el abuelo es un hombre sumamente rico.{n}En el momento de su muerte, su riqueza sería liberada, así como el ácido gástrico de nuestros padres, y probablemente formaría úlceras en el estómago."
,"Y es que, cuanto más hay que repartir, más problemas hay."
,"Dicha conversación podría aparecer en la conferencia familiar.{n}Aunque bueno, no es como si tuviera algo que ver con nosotros los jóvenes."
,"Por último, aunque esté ausente, permítanme presentar a nuestro abuelo."
,La persona que debería sentarse en aquel Asiento de Honor es Ushiromiya Kinzo ({p:0:金蔵}).
,"... Realmente apesta. Todos los demás en la familia tienen nombres extraños, pero él mismo tiene un nombre perfectamente normal."
,"Ojalá su nombre se escribiera con los caracteres de ""oro"" y ""bóveda"", y nos dejase llamarle ""Goldsmith"" o algo así. ¡Eso sí que sería genial!"
,"Como se puede adivinar con todo lo que ya se ha dicho, es una persona con un temperamento fuerte."
,"Como soy uno de los nietos y no me he encontrado con la familia desde la escuela primaria, no tengo ningún recuerdo de haber sido golpeado, pero parece ser que nuestros padres fueron criados con un puño de hierro."
,"Aquella conversación de antes entre mi padre y el tío Krauss sobre quién debía intentar convencer al abuelo de que salga, parece extrañamente divertida si tomamos eso en cuenta."
,"Para narrar la historia del abuelo, y recontar la historia de la familia Ushiromiya, primero tienes que volver atrás y recordar cierto episodio que ocurrió antes de la era {ruby:1926–1989:Showa}."
,Durante las eras {ruby:1868–1912:Meiji} y {ruby:1912–1926:Taisho} la familia Ushiromiya fue grande y próspera.
,"Ellos poseían varias hilanderías, así que solo tenían que reír animadamente mientras el dinero llegaba a montones, haciéndoles muy ricos."
,"Por cierto, el abuelo era de una rama aislada de la familia y, naturalmente, no tenía relaciones con la familia principal."
,"Estaba muy separado de la línea de la herencia, y su relación con la casa principal era también muy lejana, por lo que parece."
,"Aun así, en el Gran Terremoto de Kanto, en el año {ruby:1923:12} de la era Taishou, la mansión de la familia Ushiromiya en Odawara fue destruida."
,"Las hilanderías que ellos tenían en las partes inferiores de Tokio se quemaron en un gran incendio, y la familia perdió la mayor parte de su fortuna y de sus miembros en un instante."
,"Y entonces, cuando se empezó a discutir quién se convertiría en el nuevo sucesor del liderazgo de la familia Ushiromiya, por lo visto, no quedaba nadie más que Kinzo, quien era de una de las ramas más alejadas de la familia principal."
,Kinzo aseguró que había sido una suerte tan impresionante que era como si el destino hubiera dado un vuelco.
,"Y así, la vida del abuelo dio un giro de 180 grados.{n}Se le confió la resurrección de la riqueza de la familia Ushiromiya, que lo había perdido casi todo."
,"Naturalmente, solo porque se le había encomendado esta tarea no significaba que podría lograrlo.{n}Parece que la gente de su entorno no esperaba demasiado."
,"Sin embargo, de ahí en adelante, el abuelo comenzó a hacer uso de su extraordinario talento y buena suerte."
,"El abuelo, usando todo lo que le quedaba a la familia Ushiromiya, incluido desde su pelo a las uñas de sus pies, como garantía para tomar un préstamo enorme, acumuló una enorme cantidad de fondos y revivió los negocios familiares."
,Era como ir colina abajo en una bicicleta sin frenos.
,"¡Y entonces, saltar a otra bicicleta cercana, y después a otra! Como una especie de espectáculo callejero. Es probable que todos pensaran que el abuelo no tenía nada de talento para los negocios."
,"Aun así, con una increíble cantidad de buena suerte y milagros, con acumulación de coincidencias y de oportunidades aprovechadas, antes de que nadie se diera cuenta, comenzó a tener tratos con las fuerzas de ocupación."
,"En esa época, el General McArthur y la GHQ eran los líderes en Japón."
,"El abuelo, en un parpadeo, comenzó a tener un gran éxito en los negocios bajo la protección de las fuerzas de ocupación, convirtiéndose rápidamente en un hombre muy rico."
,"En ese punto, ya no era cuestión de suerte, si no la información que manejaba, lo que dio sus frutos."
,Debió haber tenido una gran conexión con las fuerzas de ocupación.
,El abuelo sabía de antemano acerca de las demandas de emergencia que se harían para la Guerra de Corea.
,"No, más que eso, debe haber previsto estas consecuciones desde el principio y empezó a preparar sus negocios para ello."
,"En los libros de historia leímos que todo Japón se benefició de las demandas de emergencia de la Guerra de Corea, pero no fue así."
,Solo un pequeño grupo de los realmente ricos jugó al juego del dinero y obtuvo un beneficio sencillo.
,"La mayor parte de la población siguió siendo pobre.{n}... En otras palabras, el abuelo fue un muy afortunado miembro de este grupo de ganadores."
,"Todo esto ocurrió... en el año {ruby:1950:25} de la era Showa, o eso creo.{n}Y, ya que el Gran Terremoto de Kanto ocurrió en el año {ruby:1923:12} de la era Taisho..."
,"Eso significa que, en poco más de 20 años, el abuelo revivió a la casi muerta familia y la llevó a un nivel nunca alcanzado hasta entonces."
,"Con esto, pensarías que reviviría la rama principal de la familia en Odawara, pero por alguna razón, hizo algo tan extraño como comprar una isla entera del archipiégalo de Izu."
,Comprar toda una isla no es algo que puedas hacer ordinariamente en estos días.
,"Sin embargo, el abuelo era astuto.{n}Contactó a la GHQ y levantó una petición para construir una base de recursos para la marina."
,"Adquirió esta isla como un negocio de propiedad, y luego abandonó esa posición para reclamarla como su propio terreno."
,"Con las dificultades de suministro de alimentos de la posguerra y el patrocinio de la GHQ, nadie podría oponerse a él."
,"He oído que en esos días, Tokio le ofreció esta tierra casi gratis por la falta de recursos."
,"Más tarde, Tokio provocó algunas dificultades, diciéndole a Kinzo que devolviera las tierras, pero no había mucho que se pudiera hacer con la GHQ involucrada, aunque no haya sido realmente por voluntad propia."
,"Sin duda alguna parece que los sobornos funcionaron a la perfección.{n}Al final, la frustrada ciudad decidió rendirse."
,"El abuelo, con verdadera habilidad y estando bendecido con buena suerte, logró nadar a través del tormentoso mar de la época, y obtuvo una gran fortuna e incluso una isla para sí mismo."
,"Por supuesto, probablemente no fue solo suerte.{n}Era bastante bueno en el inglés, y le apasionaba todo lo occidental.{n}Usando esto a su favor, fue capaz de sacarle lo suyo a la GHQ."
,Una mansión fue inmediatamente construida en la isla. Y ahí estamos.
,"El abuelo, con su amor por el estilo occidental, hizo de la una vez deshabitada isla de Rokkenjima, un lienzo en el cual podría realizar sus sueños a sus anchas."
,"La mansión occidental que él siempre se había imaginado, rebosante de emoción; el hermoso jardín donde varias rosas habían sido plantadas."
,Y una playa privada donde a nadie mas que él podría dejar sus huellas.
,"Si un chico pudiera tener todo esto, sería un sueño hecho realidad."
,"Después de esto, haciendo un buen empleo de su enorme fortuna, se convirtió en un gran accionista de la extremadamente estable industria del hierro y el acero, y pudo llevar una vida fácil y cómoda con solo utilizar los dividendos."
,"Bueno, él es realmente una persona increíble."
,"Este tipo de persona por lo general tiene la capacidad de prever y predecir el futuro, o al menos así los retratan, pero el abuelo niega todo esto, y asegura que simplemente fue bendecido con una suerte extraordinaria..."
,"De todas formas, aun siendo como él era, y ya teniendo todos sus sueños hechos realidad, no es raro que se volviera cada vez más y más extraño al estar encerrado por tantos años solo en esta isla."
,Todo el mundo ha sabido desde siempre de su obsesión por lo occidental... pero ninguno de nuestros padres sabe realmente cuándo apareció su extraño pasatiempo de la magia negra.
,¿Comenzó su obsesión con la magia negra por su amor por todo lo occidental... o tal vez se sintiera poseedor de algún extraño poder ante la milagrosa suerte que le permitió resucitar a la familia?
,"En algún momento, el abuelo convirtió la investigación de la magia negra en el objetivo de su vida, llenando su estudio de libros sospechosos, productos químicos y objetos mágicos, envolviéndose más en su locura."
,"Al ser los últimos años restantes de una persona exitosa, escuché que aquellos a su alrededor le cuidaron afectuosamente, pero..."
," Claramente no es así. Es probable que todos le abandonaran, pensando ""Eso es inquietante, es mejor que no me involucre""."
,"Bueno... ese agitado período bélico fue como una gran apuesta, con oportunidades y riesgos."
,Me pregunto si al abuelo le iría bien en estos tiempos.
,"Si no hubiese tenido tantas oportunidades, probablemente se habría lanzado a la enseñanza obligatoria hasta la universidad a un ritmo relajado, y seguro se habría convertido en nada más que un empleado común y corriente."
,"Si eso hubiese sucedido, probablemente estaría sentado con nosotros, feliz mientra habla a espaldas de su jefe."
,"No, no. No en el comedor de una mansión, sino en un taburete de un bar."
,"Si así fuera, seguro que sería una conferencia familiar mucho más tranquila."
,"Bueno, basta de historias del viejo.{n}¡¡Más importante aún, hablemos de este increíble almuerzo!!"
Ushiromiya Battler,"""¡Estoy convencido ya por la ensalada de sashimi! ¡Gohda‐san es un cocinero excelente! Además, estos peces han sido capturados en los mares adyacentes, ¿me equivoco? ¡Son totalmente diferentes del sashimi que podemos encontrar en el supermercado!"""
Ushiromiya Rudolf,"""Déjalo ya, Battler. Queda bien claro cómo has sido criado."""
,Todos dejaron salir una fuerte risa.
,"Maldita sea, dices eso a pesar de amar los bares baratos."
Ushiromiya George,"""Jajajaja. Dependiendo de la situación con mi trabajo, también he comido en muchos lugares famosos, pero en comparación con todos aquellos, este es un excelente plato. Me imagino que te podrías haber hecho bastante conocido en ese ámbito, Gohda‐san."""
Ushiromiya Jessica,"""Bueno, no sé mucho sobre ello. En el famoso hotel donde solía trabajar, las políticas empresariales se complicaron bastante y los trabajadores se dividieron en facciones. Y en medio de todo eso, parece ser que le obligaron a retirarse. Entonces, resultó que por casualidad, mamá había publicado ofertas de empleo para un sirviente al mismo tiempo."""
,"Gohda recogió el plato vacío y, sin perder su sonrisa, comenzó a narrar su propio pasado."
Gohda Toshiro,"""El mundo es un lugar difícil. Sin embargo, gracias a eso he adquirido otra oportunidad de demostrar mis capacidades culinarias una vez más, esta vez para la familia Ushiromiya."""
Gohda Toshiro,"""A pesar de que también gozo observando la sonrisa de un gran número de personas, el desempeñar estas tareas solo para el placer de quienes me han contratado es extremadamente entretenido para mí. Todo gracias a la oportunidad que me dio la señora."""
,Gohda‐san inclinó respetuosamente la cabeza en dirección a la tía Natsuhi.
Ushiromiya Natsuhi,"""Eso es porque entre todos los solicitantes, Gohda era el que tenía más talento. Mi decisión fue puramente objetiva, no hace falta que me des las gracias."""
,"Oh vaya, ¿en serio necesita hablar siempre con tanta franqueza?"
,"Si tan solo ella hablara con más suavidad, daría una impresión muy distinta."
,Shannon‐chan y Kumasawa‐san entraron desde el pasillo con un conjunto de mesa.
Shannon,"""... Por favor, discúlpennos."""
Gohda Toshiro,"""Pasemos al postre del día."""
,Gohda‐san y los demás colocaron sobre la mesa el postre bellamente adornado.
,Supongo que es cierto eso de que se tiene otro estómago para el postre...
,"Aunque pensaba que estaría lleno luego de comer toda esa deliciosa comida, bastó posar mis ojos en el postre para que mi estómago gritara ""¡Más!"""
,"No sé mucho de postres, pero este parece muy bueno."
,"Era un postre blanco estilo pudín aderezado con dos tonos de salsa roja, y lo adornaban elegantes pétalos de rosa."
,"Con tan magnífica comida a la vista de todos, era el turno del chef para alardear de su creación. Hasta que él terminase, como regla, uno no puede tocar la comida."
,"Sin embargo, María, indiferente ante esta estricta regla, se emocionó al ver un postre tan hermoso y delicioso, y saltó a comérselo una vez que lo tuvo frente a ella."
,"Tía Rosa la regañó, calificándolo de malos modales, pero George‐aniki intervino diciendo ""vamos, vamos, no hay problema""."
Ushiromiya Maria,"""¡¿Uu?! ¡Esta parte está agria! ¡Esta parte está agria! ¡Battler, algo está mal en esto! ¡Uu!"""
,"Exclamó María, mientras probaba la salsa de dos colores."
Ushiromiya Battler,"""¿Qué quieres decir? ¿Una parte está rica y otra no? ¡Muy bien, voy a probarlo~! ¡¿Mmmmm?!"""
,"Al parecer la salsa tenía una parte dulce y otra agria.{n}A pesar de ser de mala educación, también puse mi dedo meñique y lo lamí."
,"Whoa, esta mitad está increíblemente agria.{n}Si fuera amarilla, sospecharía que fuese limón, pero no me podía ni imaginar qué podía ser ese color rojo."
,"Decidí preguntarle a Shannon, que estaba tras nosotros con el carro de servicio."
Ushiromiya Battler,"""Shannon‐chan, ¿qué clase de salsa es esta cosa ácida?"""
Shannon,"""... Umm... err... u..."""
,Shannon‐chan dudó.
,"Tal vez su trabajo fuera solo poner la mesa y no lo supiera.{n}Vaya, está realmente confundida.{n}... ¿He hecho mal preguntándole?"
,¿O acaso no conviene que sepamos qué es lo que usaron?
,"Aunque tía Natsuhi tenía aspecto de estar sufriendo un dolor de cabeza, Kumasawa‐san, que estaba poniendo la mesa, soltó una risita."
Kumasawa Chiyo,"""¿De qué ingredientes crees que está hecha? Jo‐jo‐jo, seguro que no te lo esperas..."""
Ushiromiya Battler,"""¿Eh?... No tengo ni la menor idea. Abuela Kumasawa, esa risa es bastante espeluznante. ¡¿Qué es?!"""
Kumasawa Chiyo,"""... No se lo digas a nadie, ¿está bien? Acerca tus oídos."""
,"Kumasawa‐san se inclinó hacia mí desde el otro lado de la mesa. También yo me incliné hacia ella. Movidos por la curiosidad, Jessica, George‐aniki y, cómo no, María, también acercaron sus oídos."
Ushiromiya Maria,"""Uu. ¿Qué es? ¿Qué es? ¡Rápidoo! ¡Rápidoo!"""
Kumasawa Chiyo,"""La parte agria es, bueno... De hecho, es el jugo exprimido de una caballa, ¡jo‐jo‐jo!"""
,"""""""¡¿¡¿Eeeeeeeehh, caballa?!?!"""""""
,"""¡Es una locura!"", pensamos horrorizados.{n}Solo María lo aceptó, asintiendo con la cabeza con un ""ajá""."
Ushiromiya Maria,"""¿Uu? ¿Las caballas son agrias? ¡Si las exprimes, esto es lo que sale!"""
,"""""... Ja, ¡wajajajajaja!..."""""
,"Cuando María comenzó a decir que la caballa era agria, los adultos fueron incapaces de contener su risa."
Ushiromiya Rosa,"""¡Te equivocas, es caballa con vinagre!"""
,Tía Rosa le dijo a María en voz baja con su cara roja.
,"Ahhhh, ahora lo recuerdo perfectamente.{n}Kumasawa‐san siempre ha sido así, ¿me equivoco?{n}¡Apuesto a que también a mí me engañó de mil formas distintas cuando era pequeño!"
,"¡Entre todas ellas, la peor debió ser aquella!{n}¡Esa cosa negra del plato chino! ¡Era un hongo kikurage!{n}Me dijo que era carne de pingüino y yo fui por el colegio diciéndoselo a todos como un sabelotodo, ¡¿no?!"
Ushiromiya Battler,"""¡Abuela Kumasawa, no has cambiado nada!... Sabes que María te creerá, ¿verdad?"""
Kumasawa Chiyo,"""Jo‐jo‐jo, no era más que una broma. ¡Ahora es cuando Gohda‐san nos dice cuál es la auténtica naturaleza de esta salsa!"""
,"Gohda‐san parecía algo disgustado al ver que se reían de una forma tan extraña de su obra maestra, pero tras aclararse un poco la garganta, hizo su presentación."
Gohda Toshiro,"""Bueno, permítanme entonces presentar el postre de esta noche. Basándome en el rosal que tanto parecía gustarle a todo el mundo, hice el panna cotta dándole un toque del jardín de rosas. Los pétalos de rosa fueron extraídos del rosal."""
Gohda Toshiro,"""La salsa es una combinación de dos rojos, fresa y escaramujo. Por favor disfruten de esta mezcla del dulzor de la fresa y la acidez del escaramujo. Y por cierto, los pétalos de rosa están para decorar, así que por favor no se los coman. Dicho eso, por favor, disfruten."""
,Jaaa... Un poco más y rompo en aplausos antes de comer.
,"Es igual que con la medicina, ya saben, eso de que parecen tener un efecto mayor cuando lees sus instrucciones."
,"Con Gohda‐san dando los detalles sobre el postre, este parecía cada vez más delicioso."
,"Pero en serio, ¿debería llamarse sutileza o simplemente talento?"
,"Supongo que el postre estaría planeado desde el principio, pero aprovechando que nos detuvimos a disfrutar de tal forma el espectáculo del jardín, ha demostrado un impresionante tacto colocando algunos pétalos de rosa del jardín."
,"Esta combinación de dulce y agrio es exquisita.{n}Si fuera solo dulce, te acostumbrarías y aburrirías a medio camino."
,"Pero si entonces alcanzas la parte agria de la salsa, obtendrás un sabor realmente vivo. Y entonces, al tocar otra vez la salsa dulce, toda la acidez de tu boca sería reemplazada por una agradable dulzura."
,Seguro que todos se sentían igual.
,"Cada vez que Gohda‐san pasaba ante uno de los asientos, recibía una alabanza por el sabor de su creación."
