Speaker,Arabic (AR)
Ushiromiya Kinzo,"""......{f:7:ﺑﻴﺎﺗﺮﻳﺲ}. ﻛﻨﺖُ ﺃﻧﺎﺩﻳﻚِ ﻣﻨﺬ ﻓﺘﺮﺓ. ﺃﻟﻢ ﺗﺴﻤﻌﻴﻨﻲ...؟"""
{f:5:Beatrice},"""......ﻫﻤﻤﻢ. ﺃﻓﻌﻠﺖ؟ ﺃﻋﺘﺬﺭ. ﻛﻨﺖُ ﺷﺎﺭﺩﺓً ﻓﻲ ﺃﻓﻜﺎﺭﻱ. ﺳﺎﻣﺤﻨﻲ."""
Ushiromiya Kinzo,"""ﺍﻟﺠﻮ ﺟﻤﻴﻞ. ...ﻻ ﻋﺠﺐ ﺃﻥ ﻳﺴﺘﻮﻟﻲ ﻫﺬﺍ ﺍﻟﺠﻮ ﺍﻟﻤﺸﺮﻕ ﻋﻠﻰ ﻗﻠﺐ ﺍﻟﻤﺮﺀ. ﺃﺳﺘﺸﺮﺑﻴﻦ ﺍﻟﺸﺎﻱ ﻫﻨﺎ...؟"""
{f:5:Beatrice},"""....ﻣﻦ....ﺃﻧﺎ ؟"""
Ushiromiya Kinzo,"""................................. ...ﺳﺄﺫﻫﺐ ﻷﺣﻀﺮ ﺍﻟﺸﺎﻱ. ﺍﻧﺘﻈﺮﻱ ﻫﻨﺎ ﻟﺒﻌﺾ ﺍﻟﻮﻗﺖ."""
{f:5:Beatrice},"""ﺍﻧﺲَ ﺃﻣﺮ ﺍﻟﺸﺎﻱ ﻭ ﺍﺳﺘﻤﻊ ﻟﺤﺪﻳﺜﻲ."""
Ushiromiya Kinzo,"""......ﺣﺴﻨًﺎ."""
,ﺣﺎﻭﻝ ﻛﻴﻨﺰﻭ ﺍﻟﺘﻌﺬﺭ ﺑﺈﺣﻀﺎﺭ ﺍﻟﺸﺎﻱ ﻟﻴﻘﻄﻊ ﻣﺤﺎﺩﺛﺘﻬﻢ. ...ﻟﻜﻦ ﻣﺤﺎﻭﻟﺘﻪ ﻛﺎﻧﺖ ﻭﺍﺿﺤﺔ ﻭﺿﻮﺡ ﺍﻟﺸﻤﺲ.
,ﺟﻠﺴﺖُ ﻋﻠﻰ ﻛﺮﺳﻲ ﺍﻟﺤﺪﻳﻘﺔ ﻭﻃﻠﺒﺖ ﻣﻦ ﻛﻴﻨﺰﻭ ﺃﻥ ﻳﻔﻌﻞ ﺍﻟﺸﻲﺀ ﻧﻔﺴﻪ.{n}ﻛﻴﻨﺰﻭ، ﺑﺤﺮﻛﺎﺕ ﺗﻨﻢ ﻋﻦ ﺳﻨّﻪ ﻭﻭﻗﺎﺭﻩ، ﺟﻠﺲ ﺑﺒﻂﺀ.
,ﻭﺍﺳﺘﻤﺘﻌﻨﺎ ﺑﺎﻟﺠﻮ ﻟﺒﻌﺾ ﺍﻟﻮﻗﺖ ﻓﻲ ﻫﺪﻭﺀ...
