Speaker,Arabic (AR)
,ﺑﻤﻮﺕ ﺟﻴﺴﻴﻜﺎ، ﺑﺎﺕ ﻭﺍﺿﺤًﺎ ﺃﻥ ﺍﻟﻘﺎﺗﻞ ﻳﺨﺘﺒﺊ ﻗﺮﻳﺒًﺎ، ﻣﺘﺮﻗﺒًﺎ ﻓﺮﺻﺔ ﻟﻼﻧﻘﻀﺎﺽ ﻋﻠﻴﻨﺎ.
,ﻭﻭﻓﻘًﺎ ﻟﻤﺎ ﻗﺎﻟﻪ ﻗﻴﻨﺠﻲ-ﺳﺎﻥ، ﻓﺈﻥ ﺍﻟﻘﺎﺭﺏ ﺳﻴﺼﻞ ﻣﻊ ﺑﺰﻭﻍ ﺍﻟﻔﺠﺮ.
,ﻭﻫﻮ ﻣﺰﻭّﺩ ﺑﺠﻬﺎﺯ ﻻﺳﻠﻜﻲ.{n}ﺑﺬﻟﻚ، ﻳﻤﻜﻨﻨﺎ ﺍﻻﺗﺼﺎﻝ ﺑﺎﻟﺸﺮﻃﺔ ﻓﻮﺭًﺍ.
,ﺍﺟﺘﻤﻌﻨﺎ ﺟﻤﻴﻌًﺎ ﻓﻲ ﻏﺮﻓﺔ ﺍﻟﻤﻌﻴﺸﺔ، ﻭﺍﺗﻔﻘﻨﺎ ﻋﻠﻰ ﺍﻟﺘﺰﺍﻡ ﺍﻟﻬﺪﻭﺀ ﻭﺍﻧﺘﻈﺎﺭ ﺍﻟﺼﺒﺎﺡ.
,ﺍﻗﺘﺮﺣﺖُ ﺃﻥ ﻧﻔﺘّﺶ ﺍﻟﻘﺼﺮ ﺑﺤﺜًﺎ ﻋﻦ ﺃﻱ ﺃﺛﺮ ﻗﺪ ﻳﻘﻮﺩﻧﺎ ﺇﻟﻰ ﺍﻟﻘﺎﺗﻞ، ﻟﻜﻦ ﺭﻓﻀﺖ ﺍﻟﻌﻤﺔ ﺭﻭﺯﺍ ﺑﺸﺪﺓ  ﻗﺎﺋﻠﺔً ﺇﻥ ﺍﺳﺘﻔﺰﺍﺯ ﺍﻟﻘﺎﺗﻞ ﻗﺪ ﻳﺪﻓﻌﻪ ﺇﻟﻰ ﺍﺭﺗﻜﺎﺏ ﺟﺮﻳﻤﺔ ﺛﺎﻟﺜﺔ.
,...ﻭﻛﺎﻧﺖ ﻣﺤﻘﺔ.{n}ﺣﺘﻰ ﻟﻮ ﺣﺎﻭﻟﻨﺎ ﻧﺤﻦ ﺍﻟﻬﻮﺍﺓ ﺍﻟﺘﺤﻘﻴﻖ، ﻓﻠﻦ ﻧﺠﺪ ﺷﻴﺌًﺎ ﻋﻠﻰ ﺍﻷﺭﺟﺢ.
,ﻣﻦ ﺍﻷﻛﺜﺮ ﺣﻜﻤﺔً ﺍﻟﺘﺮﻛﻴﺰ ﻋﻠﻰ ﺣﻤﺎﻳﺔ ﺃﻧﻔﺴﻨﺎ، ﻭﺗﺠﻨﺐ ﺃﻱ ﺗﺼﺮﻑ ﻏﻴﺮ ﺿﺮﻭﺭﻱ، ﻭﺗﺮﻙ ﺍﻷﻣﺮ ﻟﻠﺸﺮﻃﺔ ﺑﻌﺪ ﺍﻟﻐﺪ.
,ﻓﻲ ﺍﻟﺒﺪﺍﻳﺔ، ﻛﻨﺎ ﺟﻤﻴﻌًﺎ ﻣﺘﻮﺗﺮﻳﻦ، ﺑﺈﺳﺘﺜﻨﺎﺀ ﺍﻟﻌﻤﺔ ﺭﻭﺯﺍ، ﻗﻀﻰ ﻣﻌﻈﻤﻨﺎ ﺍﻟﺼﺒﺎﺡ ﻓﻲ ﻣﺸﺎﻫﺪﺓ ﺍﻟﺘﻠﻔﺎﺯ ﺣﺘﻰ ﺑﺪﺃ ﺍﻟﻤﻠﻞ ﻳﺘﺴﻠﻞ ﺇﻟﻴﻨﺎ، ﻭﺗﻀﺎﺀﻝ ﺇﺣﺴﺎﺳﻨﺎ ﺑﺎﻟﺨﻄﺮ ﺗﺪﺭﻳﺠﻴًﺎ.
,ﻋﻨﺪﻣﺎ ﻓﻜﺮﻧﺎ ﻓﻲ ﺍﻷﻣﺮ، ﺭﻏﻢ ﺃﻥ ﺍﻟﺠﺮﻳﻤﺔ ﺍﻷﻭﻟﻰ ﺃﺳﻔﺮﺕ ﻋﻦ ﻣﻘﺘﻞ ﺳﺘﺔ ﺑﺎﻟﻐﻴﻦ ﺩﻓﻌﺔ ﻭﺍﺣﺪﺓ، ﺗﺼﻮﺭﻧﺎ ﺃﻥ ﻭﺳﻴﻠﺔ ﺧﻔﻴﺔ، ﻣﺜﻞ ﺍﻟﺴﻢ، ﻗﺪ ﺍﺳﺘُﺨﺪﻣﺖ.
,ﺃﻣﺎ ﺍﻟﺠﺮﻳﻤﺔ ﺍﻟﺜﺎﻧﻴﺔ، ﻓﺎﻓﺘﺮﺿﻨﺎ ﺃﻥ ﺍﻟﻀﺤﻴﺘﻴﻦ ﺳﻘﻄﺘﺎ ﻓﻘﻂ ﻷﻧﻬﻤﺎ ﻟﻸﺳﻒ ﻛﺎﻧﺘﺎ ﻣﻌﺰﻭﻟﺘﻴﻦ ﻋﻦ ﺍﻵﺧﺮﻳﻦ.
