Speaker,Spanish (ES)
,"Tras ir corriendo a su dormitorio, Jessica atendió la llamada telefónica que había sido transferida hasta allí."
Ushiromiya Jessica,"""Ah, ¡¿hola?! ¡Siento haberte hecho esperar! ¡Battle~r! ¡¿Qué hacías que no nos contactabas desde hace seis años?! ¡¿Cómo te vaaaaaaaaa?! ¿Oh, en serio? ¡¿Por qué demonios debería saberlo?! Je, cállate! ¡Ahjajajajajajaja! ¿Así que vas a venir a la conferencia familiar de este año? ¡Han pasado seis años!"""
,"Cinco hombres de negocios de trajes caros estaban de visita el salón, dándoles a Krauss y Natsuhi un informe del progreso de su negocio."
,"Extendidos sobre la mesa estaban los planos y diseños para un edificio, así como documentos relacionados con los gastos y cosas similares... tan repletos que hasta una taza de té habría sido un estorbo."
,"Oficialmente, se encontraban allí para darle a Krauss un informe del progreso... pero en realidad, Krauss los había llamado a Rokkenjima para que Natsuhi pudiera escuchar sus palabras directamente."
,Esto se debía a que Natsuhi necesitaba escuchar que alguien más que su esposo le explicara las condiciones en las que se encontraba su negocio.
,"... En resumen, aunque se acercaba otra conferencia familiar sin Kinzo, su negocio todavía no les había conseguido nada de dinero."
,"Después de decir a los invitados que esperen un rato y se pongan cómodos, Krauss llevó a Natsuhi al vestíbulo y volvió a resumir la situación..."
Ushiromiya Krauss,"""... Lo que están diciendo es básicamente que el negocio marcha mucho mejor de lo que imaginábamos. ¡Ahora es cuando esa conexión personal entre el gobernador y yo comienza realmente a valer la pena! A esta altura, es ciertamente imposible que se nos escape este pez. Al contrario, está creciendo tanto que, de una tirada, seremos capaces de recuperar no solo ese poder notarial, ¡sino también todo lo que hemos perdido hasta este punto!"""
,Krauss hablaba con pasión.
,"... Esto lo hacía más sospechoso para Natsuhi, pero esta vez, por lo menos, tenía que admitir que todo realmente parecía ir bien."
,"Ciertamente, este negocio del que presumía Krauss había expandido su alcance a lo largo del año anterior, y prometía unos beneficios aún mayores de los que habían sido anticipados desde el comienzo."
,Los inversores se subían al bote por iniciativa propia y la empresa recaudaba fondos rápidamente.
,"Era un ejemplo perfecto del dicho ""el dinero llama dinero""."
,"Probablemente este sea el mayor logro en la vida de Krauss hasta el momento... No, probablemente {i:se convertiría} en su mayor logro hasta la fecha."
,Eso era lo que más dudas le causaba a Natsuhi.
,"Sí, era seguro, y como Krauss había dicho, no perderían ese pez ahora."
,No obstante... el pez que tiraba del anzuelo se había vuelto demasiado grande.
Ushiromiya Krauss,"""Definitivamente podremos ser capaces de pescar a este pez. No hay necesidad de apurarnos. ¡Es tal el éxito que me gustaría poder enseñárselo a papá para que lo elogie, si aún viviera!..."""
Ushiromiya Natsuhi,"""Sí, lo sé. Sin embargo, me hiciste una promesa el año pasado. ¡Dijiste que estabas seguro que lograrías hacer algo en un año!..."""
,El rostro de Krauss se torció en una mueca afligida. Ciertamente habían enganchado un pez gordo que les garantizaba un gran éxito.
,"Sin embargo, requeriría cierto tiempo recogerlo..."
,"Natsuhi presionó a Krauss, preguntándole si había alguna manera de que consiguieran dinero antes de la conferencia familiar de ese año, pero Krauss seguía diciendo que necesitaba solo un año más..."
,Krauss planeaba usar este éxito sin precedentes... para lanzarlos hacia otros desafíos en el futuro.
,"Debido a eso, no quería hacer nada que causara sospechas al hacer que pareciera que necesitaban dinero urgentemente..."
,"Ciertamente, la suerte tiende a volverse en contra de quienes creen tenerla de su lado aunque sea un poco.{n}Como cuando alguien pide dinero apresuradamente..."
,"En muchas ocasiones anteriores, Krauss se había acobardado y había vendido negocios que seguramente le habrían reportado beneficios si hubiera esperado, y de hecho, había dado a otros sus caballos ganadores."
,Natsuhi también lo sabía.{n}Sabía que lo que más le faltaba a su esposo eran agallas.
,Por eso no pudo negarse cuando Krauss dijo que quería esperar prudentemente un año más...
Ushiromiya Kinzo,"""... Jajajajajajajaja. Es maravilloso que todo vaya bien. Y eso significa que parece que tendré que pasearme por aquí como un fantasma por un poco más de tiempo."""
