Speaker,Spanish (ES)
Ushiromiya Battler,"""Así que... al décimo crepúsculo, termina la travesía, y recibes el poder de los cuatro tesoros de la Tierra Dorada. María, en verdad eres diligente. Tomar tantas notas de esto es increíble."""
Ushiromiya Maria,"""¡Uu! ¡María olvida muchas cosas así que las escribe tal como son! ¡Mamá me dijo que lo hiciera!"""
,"Había un cuaderno en el bolso que María llevaba siempre consigo, y el epitafio de {f:5:Beatrice} estaba copiado en él."
,"Gracias a eso, fuimos capaces de desafiar al acertijo del epitafio mientras caminamos por esta playa."
,"Para Jessica y los demás, este era un rompecabezas que habían intentado resolver ya varias veces, y se habían aburrido de él."
,"Sin embargo, ya que era la primera vez para mí, estaba tan emocionado que no podía parar."
, ¡De verdad tocaba mi sentido de romance masculino!
Ushiromiya Battler,"""Comencemos con la primera línea. Contempla el río de ayus que atraviesa mi añorado pueblo natal. ¿Dónde es que vivía el abuelo?"""
Ushiromiya Jessica,"""Escuché que, antes de la guerra, la familia Ushiromiya tenía una mansión cerca de Odawara. Así que, estamos buscando el río de ayus que fluye por Odawara, ¿verdad?"""
Ushiromiya Battler,"""Sí, porque ese río sería el punto de inicio. Así que, quienes busquen la Tierra Dorada comenzarían desde ahí y buscarían la llave. ¿Cómo se llama el río de Odawara? ¿Puedes encontrar ayus en ese río?"""
Ushiromiya George,"""Si buscamos ayus en Odawara, tal vez Hayakawa. Es famoso por su pesca en ríos de montaña."""
Ushiromiya Maria,"""Uu. María ooodia el pescado."""
Ushiromiya Battler,"""Ijiji, María, ¡lo entenderás cuando seas ma~yor! ¡Lamer, lamer, lamer~ salados ayus fritos! ¡Yum~! Aunque acabemos de comer, estoy hambriento de nuevo."""
Shannon,"""... Umm, ¿debería traerle galletas?"""
Ushiromiya Battler,"""¿Eh? Oh, lo siento. No me refería a eso, ¡no importa!"""
,"Shannon‐chan, quien no tenía deberes por un rato esta tarde, estaba fielmente guardándonos compañía."
,"Me imaginaba que, como sirviente, el acompañarnos la forzaría a cuidar de nosotros y se cansaría, pero parece que no es así en absoluto."
,"... Al contrario, parecía estar divirtiéndose conversando con personas de edades similares a la suya."
,"Cuando pregunté, me dijeron que ella trabaja y vive aquí.{n}Así que normalmente, la única persona cercana a su edad sería Jessica."
,"Lo entiendo, debe ser algo agobiante."
Ushiromiya Battler,"""Bien, así que el río de ayus de Odawara es Hayakawa. ¡En ese caso, tenemos que seguirlo! ¿Hay algo que encuentres una vez sigues río abajo en Hayakawa?"""
Shannon,"""Ummm... si lo sigues río abajo, llegarás al océano."""
Ushiromiya Battler,"""¡Claro, llegarías a la desembocadura! Y luego la tercer línea del epitafio era ""A medida que avances río abajo, verás una aldea"". Por cierto, desde hace tiempo, las desembocaduras han sido puntos clave en transporte, y tienden a construirse ciudades grandes ahí. Ese sería el siguiente punto clave."""
Ushiromiya George,"""Mmmmmmm. Esa es una buena teoría. Tal como imaginabas, en tiempos antiguos había una ciudad muy próspera ahí. Ahí es donde está el Castillo de Odawara."""
Shannon,"""Ah, creo que fui a ese lugar en un viaje de campo una vez. Sí que era un castillo maravilloso."""
Ushiromiya Jessica,"""Sí, también fui allí. ¡Aunque viva en una casa de estilo occidental, sí que los japoneses se sienten mejor con el estilo japonés!"""
Ushiromiya Maria,"""Uu. Para María, los castillos son aburriiidos. Me gustan más los parques de diversiones. ¡Uu!"""
Ushiromiya Battler,"""Ya veo. ¡Bien, bien! ¡Si encontramos el oro, el gran Battler‐sama generosamente reservará todo un parque temático un día y te dejará jugar en él~!"""
Ushiromiya Battler,"""... Como sea, el Castillo de Odawara. El oro oculto del Castillo de Odawara... ¡¿Oho?! ¡¿No suena para nada mal, no creen?!"""
Ushiromiya Jessica,"""¡Jajajajaja! Bueno, hace dos años, llegamos hasta este punto. La aldea río abajo donde puedes encontrar ayus en un río de Odawara. Concluimos que probablemente esté cerca del Castillo de Odawara."""
Ushiromiya Jessica,"""El problema es la siguiente línea. Bien, veamos a dónde puede llevarle a Battler su extraño razonamiento."""
,"Jessica sonrió ampliamente.{n}Era como si dijera que si el rompecabezas pudiese resolverse con tanta facilidad, ya lo habría hecho hace un tiempo."
,"... Maldición, ¡definitivamente lo encontraré y me lo quedaré todo para mí solo!"
Ushiromiya Battler,"""La cuarta línea... En esta aldea, dos te dirán que explores la costa... No sé a qué se refiera con ""dos"", pero como sea, la costa... ¡¿A qué se refiere con la costa?! Mmmmm... ¿Hay algún lugar cerca de ahí que contenga {ruby:costa:{p:0:岸}} en su nombre?"""
Shannon,"""Ummm... he escuchado que hay un lugar llamado {ruby:Sogakishi:{p:0:曽我岸}} en Odawara."""
Ushiromiya Battler,"""¡¿Eh?! Wow, ¡sí que sabes mucho!"""
Ushiromiya Battler,"""Así que~, ¿qué significa eso? Shannon‐chan, ¿también buscas el oro e intentas resolver el acertijo~? ¡Eso nos convierte en rivales!"""
Shannon,"""N‐No es como si me interesara el oro... Solo que... George‐sama me dijo anteriormente de eso..."""
Ushiromiya Jessica,"""Eso es porque llegamos a la misma conclusión hace dos años. ¡Incluso buscamos un mapa para poder ubicarnos!"""
Ushiromiya George,"""Estaba como a cinco kilómetros al norte del Castillo de Odawara. Definitivamente encontramos un lugar llamado Sogakishi allí."""
Ushiromiya George,"""... Sin embargo, después de eso no sabemos. La siguiente línea no dice dónde está oculta la llave en ese lugar. María‐chan, ¿nos la podrías leer?"""
Ushiromiya Maria,"""... Uu... Ahí descansa la... llave a la... Tierra Dorada."""
Ushiromiya Maria,"""¡Uu! ¡Pude leerla!"""
Ushiromiya Jessica,"""Sogakishi probablemente es grande, y jamás hubo una casa construida ahí por los Ushiromiya. No hay pistas de dónde podría estar oculta la llave en esta enorme área, así que aquí es donde nos rendimos."""
Ushiromiya Battler,"""Tienes razón... Y sin la llave, no podemos avanzar a la siguiente línea. George‐aniki, ¿qué clase de lugar es Sogakishi?"""
