Speaker,Spanish (ES)
,"Después de que Genji terminara de comer su tardía comida, salió a hacer la ronda nocturna dentro de la mansión."
,Él recalentó la sopa que Gohda había preparado y comió algunas sobras del refrigerador.
,"Todas eran cosas que Gohda había hecho y, por supuesto, estaban deliciosas."
,"Fue a preguntarle a Rosa y a los demás qué iban a hacer para cenar, pero una voz le gritó que tenían comida enlatada, así que estaban bien, y ni siquiera le abrieron la puerta."
,"Así que, irónicamente, fue el sirviente Genji quien pudo comer la comida más deliciosa..."
,"Pero a pesar de que todos esos crímenes habían sido cometidos, y mucha gente ya había encontrado un brutal final, ¿por qué Genji no tuvo miedo de hacer la ronda él solo?"
,"A juzgar por su aspecto mientras realizaba sus tareas habituales sin rastro de miedo, como si todo fuera normal, se podría pensar que todos los horribles sucesos que ocurrieron hoy solo se trataron de un sueño o una ilusión."
,"¿Él tenía una visión filosófica, o era simplemente resignación?"
,"Genji debe considerar una virtud el cumplir sistemáticamente con su deber hasta el último momento, ya que el destino que le esperaba era inevitable."
,"Probablemente sería imposible comprender las profundidades de su corazón por la eternidad, a menos que él mismo lo contara..."
,"Debido a que le había devuelto la llave maestra a Rosa, los lugares a los que podía ir eran extremadamente limitados."
,Lo único que podía hacer era rondar por los pasillos y comprobar que las ventanas estuvieran cerradas.{n}Por lo que pudo recorrer esa ruta mucho más rápido de lo habitual.
Ronoue Genji,"""... Mgh."""
,"Después de oír sonido de la puerta siendo golpeada moderadamente, la tía Rosa, que poco antes había estado medio dormida, se sobresalto y se despertó, apuntando a la puerta con el cañón de la pistola mientras gritaba."
Ushiromiya Rosa,"""¡¿Quién es?!"""
,"Yo estaba durmiendo en un sofá, y esa voz me devolvió a la realidad."
Ronoue Genji,"""Rosa‐sama. Es Genji."""
Ushiromiya Rosa,"""¿Tienes algo que decirnos? Estaremos bien sin abrir la puerta. Cuéntanos desde allí."""
Ronoue Genji,"""Sí. Bien, perdóneme por hablar de esta manera. He encontrado los cuerpos del doctor Nanjo y Kumasawa."""
Ushiromiya Battler,"""¡¡¿Q-Qué has dicho?!!..."""
Ushiromiya Rosa,"""Ya veo. Muy bien, vayamos a verlos. Hasta que no vea los cuerpos, no creeré en nadie."""
Ushiromiya Battler,"""..."""
Ushiromiya Maria,"""Uu. Está bien, Battler. Si estás con María, todo estará bien."""
,"Tal vez mi cara estaba ensombrecida por la ansiedad.{n}María me sujetó con su pequeña mano, y me habló suavemente, intentando darme valor."
,"Como era tarea de la tía Rosa preparar el arma y montar guardia, me tocó a mí quitar la barricada de sofás."
,"Cuando terminé, voltee a echar un vistazo a la tía Rosa, quien me apuntaba por encima del hombro con el cañón del arma, y abrí la puerta."
Ushiromiya Battler,"""Genji‐san, ¿dónde están sus cadáveres?..."""
Ronoue Genji,"""En el patio. Les guiaré el camino."""
Ushiromiya Rosa,"""¡Battler‐kun, espera! Solo por si acaso, voy a comprobar las puertas y ventanas de esta habitación antes de irnos. Espera un segundo."""
,"La tía Rosa me llamó para que me detuviera y no me adelantara, y empezó a comprobar cuidadosamente las cerraduras de cada una de las ventanas."
,Pero esas cerraduras ya habían sido revisadas una vez.
,"Sentí algo desagradable, como si sospechara que yo las había abierto en secreto cuando ella no miraba."
,"No, tal vez ella estaba en lo correcto en ser tan cautelosa..."
